t,tracked,n_obs0,n_obs1,mean0,ms
1649764528.071146,1,450,198,60.45,9.26
1649764528.096146,1,397,0,60.45,0.55
1649764528.121143,1,389,0,60.56,0.49
1649764528.146140,1,381,0,60.57,0.47
1649764528.171138,1,376,0,60.47,0.50
1649764528.196135,1,373,0,60.46,0.49
1649764528.221133,1,371,0,60.56,0.53
1649764528.246130,1,368,0,60.58,0.52
1649764528.271127,1,366,0,60.45,0.51
1649764528.296124,1,366,0,60.46,0.52
1649764528.321121,1,363,0,60.54,0.52
1649764528.346119,1,360,0,60.55,0.53
1649764528.371116,1,358,0,60.43,0.55
1649764528.396114,1,358,0,60.43,0.55
1649764528.421111,1,356,0,60.53,0.54
1649764528.446108,1,356,0,60.54,0.56
1649764528.471106,1,352,0,60.41,0.59
1649764528.496103,1,352,0,60.43,0.57
1649764528.521100,1,350,0,60.53,0.57
1649764528.546098,1,347,0,60.55,0.57
1649764528.571095,1,346,0,60.41,0.59
1649764528.596092,1,345,0,60.42,0.58
1649764528.621089,1,344,0,60.51,0.58
1649764528.646087,1,344,0,60.53,0.60
1649764528.671084,1,343,0,60.42,0.63
1649764528.696081,1,342,0,60.42,0.61
1649764528.721079,1,341,0,60.50,0.61
1649764528.746076,1,341,0,60.53,0.64
1649764528.771073,1,341,0,60.42,0.62
1649764528.796071,1,340,0,60.43,0.64
1649764528.821068,1,340,0,60.51,0.66
1649764528.846065,1,339,0,60.55,0.85
1649764528.871063,1,339,0,60.42,0.94
1649764528.896060,1,339,0,60.45,0.71
1649764528.921057,1,339,0,60.51,0.70
1649764528.946054,1,339,0,60.52,0.71
1649764528.971051,1,338,0,60.41,0.77
1649764528.996049,1,337,0,60.46,0.73
1649764529.021046,1,335,0,60.54,0.73
1649764529.046044,1,335,0,60.55,0.74
1649764529.071041,1,335,0,60.43,0.78
1649764529.096038,1,334,0,60.46,0.77
1649764529.121036,1,334,0,60.54,0.77
1649764529.146033,1,334,0,60.55,0.75
1649764529.171030,1,334,0,60.44,0.75
1649764529.196027,1,334,0,60.48,0.73
1649764529.221025,1,332,0,60.53,0.86
1649764529.246022,1,332,0,60.54,0.74
1649764529.271019,1,332,0,60.42,0.74
1649764529.296017,1,332,0,60.49,0.73
