t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.14,0,0
1649764528.098053,0,0,0,60.45,1.01,0,0
1649764528.123050,0,0,0,60.56,1.02,0,0
1649764528.148048,0,0,0,60.57,1.06,0,0
1649764528.173045,0,0,0,60.47,1.02,0,0
1649764528.198042,0,0,0,60.46,1.13,0,0
1649764528.223039,0,0,0,60.56,1.06,0,0
1649764528.248037,0,0,0,60.58,1.06,0,0
1649764528.273034,0,0,0,60.45,1.01,0,0
1649764528.298031,0,0,0,60.46,1.01,0,0
1649764528.323029,0,0,0,60.54,1.03,0,0
1649764528.348026,0,0,0,60.55,1.03,0,0
1649764528.373023,0,0,0,60.43,1.02,0,0
1649764528.398021,0,0,0,60.43,1.04,0,0
1649764528.423018,0,0,0,60.53,1.01,0,0
1649764528.448015,0,0,0,60.54,1.05,0,0
1649764528.473012,0,0,0,60.41,1.05,0,0
1649764528.498010,0,0,0,60.43,1.01,0,0
1649764528.523007,0,0,0,60.53,1.01,0,0
1649764528.548005,0,0,0,60.55,1.04,0,0
1649764528.573002,0,0,0,60.41,1.02,0,0
1649764528.597999,0,0,0,60.42,1.01,0,0
1649764528.622997,0,0,0,60.51,1.04,0,0
1649764528.647994,0,0,0,60.53,1.00,0,0
1649764528.672991,0,0,0,60.42,1.05,0,0
1649764528.697988,0,0,0,60.42,1.02,0,0
1649764528.722986,0,0,0,60.50,1.00,0,0
1649764528.747983,0,0,0,60.53,1.05,0,0
1649764528.772980,0,0,0,60.42,1.02,0,0
1649764528.797978,0,0,0,60.43,1.01,0,0
1649764528.822975,0,0,0,60.51,1.02,0,0
1649764528.847972,0,0,0,60.55,1.12,0,0
1649764528.872969,0,0,0,60.42,1.01,0,0
1649764528.897967,0,0,0,60.45,1.01,0,0
1649764528.922964,0,0,0,60.51,1.00,0,0
1649764528.947961,0,0,0,60.52,1.04,0,0
1649764528.972959,1,177,89,60.41,26.45,1,88
1649764528.997956,1,300,108,60.46,27.05,0,88
1649764529.022953,1,300,111,60.54,28.17,0,88
1649764529.047951,1,300,113,60.55,28.81,0,88
1649764529.072948,1,300,114,60.43,28.38,0,88
1649764529.097945,1,300,111,60.46,23.70,0,88
1649764529.122942,1,300,113,60.54,32.74,1,179
1649764529.147940,1,300,116,60.55,28.07,0,179
1649764529.172937,1,300,116,60.44,23.86,0,179
1649764529.197934,1,300,112,60.48,23.29,0,179
1649764529.222932,1,300,114,60.53,23.53,0,179
1649764529.247929,1,300,113,60.54,28.07,0,179
1649764529.272927,1,300,113,60.42,38.28,1,187
1649764529.297924,1,300,117,60.49,23.20,0,187
1649764529.322921,1,300,113,60.53,22.75,0,187
1649764529.347918,1,300,114,60.55,22.86,0,187
1649764529.372916,1,300,114,60.46,23.39,0,187
1649764529.397913,1,300,115,60.50,22.99,0,187
1649764529.422910,1,300,116,60.56,40.88,1,192
1649764529.447908,1,300,112,60.56,22.53,0,192
1649764529.472905,1,300,113,60.43,22.44,0,192
1649764529.497902,1,300,116,60.48,22.65,0,192
1649764529.522899,1,300,113,60.56,22.63,0,192
1649764529.547897,1,300,113,60.56,22.50,0,192
1649764529.572894,1,300,113,60.44,40.36,1,205
