t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.17,0,0
1649764528.098053,0,0,0,60.45,1.00,0,0
1649764528.123050,0,0,0,60.56,1.01,0,0
1649764528.148048,0,0,0,60.57,1.05,0,0
1649764528.173045,0,0,0,60.47,1.02,0,0
1649764528.198042,0,0,0,60.46,1.01,0,0
1649764528.223039,0,0,0,60.56,0.99,0,0
1649764528.248037,0,0,0,60.58,1.02,0,0
1649764528.273034,0,0,0,60.45,0.99,0,0
1649764528.298031,0,0,0,60.46,0.99,0,0
1649764528.323029,0,0,0,60.54,1.01,0,0
1649764528.348026,0,0,0,60.55,1.00,0,0
1649764528.373023,0,0,0,60.43,1.02,0,0
1649764528.398021,0,0,0,60.43,0.98,0,0
1649764528.423018,0,0,0,60.53,1.00,0,0
1649764528.448015,0,0,0,60.54,1.02,0,0
1649764528.473012,0,0,0,60.41,1.00,0,0
1649764528.498010,0,0,0,60.43,0.99,0,0
1649764528.523007,0,0,0,60.53,0.99,0,0
1649764528.548005,0,0,0,60.55,1.02,0,0
1649764528.573002,0,0,0,60.41,0.98,0,0
1649764528.597999,0,0,0,60.42,1.03,0,0
1649764528.622997,0,0,0,60.51,1.04,0,0
1649764528.647994,0,0,0,60.53,1.00,0,0
1649764528.672991,0,0,0,60.42,1.05,0,0
1649764528.697988,0,0,0,60.42,0.98,0,0
1649764528.722986,0,0,0,60.50,1.00,0,0
1649764528.747983,0,0,0,60.53,1.04,0,0
1649764528.772980,0,0,0,60.42,1.05,0,0
1649764528.797978,0,0,0,60.43,0.99,0,0
1649764528.822975,0,0,0,60.51,1.03,0,0
1649764528.847972,0,0,0,60.55,1.06,0,0
1649764528.872969,0,0,0,60.42,0.99,0,0
1649764528.897967,0,0,0,60.45,1.09,0,0
1649764528.922964,0,0,0,60.51,1.10,0,0
1649764528.947961,0,0,0,60.52,1.16,0,0
1649764528.972959,1,177,89,60.41,27.06,1,88
1649764528.997956,1,300,108,60.46,27.05,0,88
1649764529.022953,1,300,111,60.54,28.36,0,88
1649764529.047951,1,300,113,60.55,28.92,0,88
1649764529.072948,1,300,114,60.43,28.45,0,88
1649764529.097945,1,300,111,60.46,23.97,0,88
