t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,2.91,0,0
1649764528.098053,0,0,0,60.45,2.54,0,0
1649764528.123050,0,0,0,60.56,2.49,0,0
1649764528.148048,0,0,0,60.57,2.73,0,0
1649764528.173045,0,0,0,60.47,2.49,0,0
1649764528.198042,0,0,0,60.46,2.43,0,0
1649764528.223039,0,0,0,60.56,2.46,0,0
1649764528.248037,0,0,0,60.58,2.47,0,0
1649764528.273034,0,0,0,60.45,2.46,0,0
1649764528.298031,0,0,0,60.46,2.58,0,0
1649764528.323029,0,0,0,60.54,2.46,0,0
1649764528.348026,0,0,0,60.55,2.48,0,0
1649764528.373023,0,0,0,60.43,2.50,0,0
1649764528.398021,0,0,0,60.43,2.42,0,0
1649764528.423018,0,0,0,60.53,2.44,0,0
1649764528.448015,0,0,0,60.54,2.46,0,0
1649764528.473012,0,0,0,60.41,2.47,0,0
1649764528.498010,0,0,0,60.43,2.41,0,0
1649764528.523007,0,0,0,60.53,2.53,0,0
1649764528.548005,0,0,0,60.55,2.63,0,0
1649764528.573002,0,0,0,60.41,2.71,0,0
1649764528.597999,0,0,0,60.42,2.44,0,0
1649764528.622997,0,0,0,60.51,2.54,0,0
1649764528.647994,0,0,0,60.53,2.46,0,0
1649764528.672991,0,0,0,60.42,2.46,0,0
1649764528.697988,0,0,0,60.42,2.48,0,0
1649764528.722986,0,0,0,60.50,2.46,0,0
1649764528.747983,0,0,0,60.53,2.49,0,0
1649764528.772980,0,0,0,60.42,2.44,0,0
1649764528.797978,0,0,0,60.43,2.42,0,0
1649764528.822975,0,0,0,60.51,2.46,0,0
1649764528.847972,0,0,0,60.55,2.48,0,0
1649764528.872969,0,0,0,60.42,2.48,0,0
1649764528.897967,0,0,0,60.45,2.44,0,0
1649764528.922964,0,0,0,60.51,2.48,0,0
1649764528.947961,0,0,0,60.52,2.45,0,0
1649764528.972959,1,177,89,60.41,40.22,1,88
1649764528.997956,1,300,108,60.46,49.05,0,88
1649764529.022953,1,300,111,60.54,51.08,0,88
1649764529.047951,1,300,113,60.55,51.40,0,88
1649764529.072948,1,300,114,60.43,51.17,0,88
1649764529.097945,1,300,111,60.46,46.39,0,88
1649764529.122942,1,300,113,60.54,54.57,1,179
1649764529.147940,1,300,116,60.55,51.39,0,179
1649764529.172937,1,300,116,60.44,47.06,0,179
1649764529.197934,1,300,112,60.48,46.84,0,179
1649764529.222932,1,300,114,60.53,46.75,0,179
1649764529.247929,1,300,112,60.54,51.36,0,179
1649764529.272927,1,300,113,60.42,60.82,1,190
1649764529.297924,1,300,115,60.49,47.16,0,190
1649764529.322921,1,300,113,60.53,46.97,0,190
1649764529.347918,1,300,114,60.55,46.96,0,190
1649764529.372916,1,300,114,60.46,46.89,0,190
1649764529.397913,1,300,115,60.50,46.90,0,190
1649764529.422910,1,300,116,60.56,64.16,1,195
1649764529.447908,1,300,112,60.56,47.19,0,195
1649764529.472905,1,300,113,60.43,47.00,0,195
1649764529.497902,1,300,116,60.48,47.38,0,195
