t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,2.63,0,0
1649764528.098053,0,0,0,60.45,2.57,0,0
1649764528.123050,0,0,0,60.56,2.46,0,0
1649764528.148048,0,0,0,60.57,2.45,0,0
1649764528.173045,0,0,0,60.47,2.48,0,0
1649764528.198042,0,0,0,60.46,2.45,0,0
1649764528.223039,0,0,0,60.56,2.49,0,0
1649764528.248037,0,0,0,60.58,2.49,0,0
1649764528.273034,0,0,0,60.45,2.50,0,0
1649764528.298031,0,0,0,60.46,2.43,0,0
1649764528.323029,0,0,0,60.54,2.47,0,0
1649764528.348026,0,0,0,60.55,2.49,0,0
1649764528.373023,0,0,0,60.43,2.50,0,0
1649764528.398021,0,0,0,60.43,2.50,0,0
1649764528.423018,0,0,0,60.53,2.61,0,0
1649764528.448015,0,0,0,60.54,2.49,0,0
1649764528.473012,0,0,0,60.41,2.45,0,0
1649764528.498010,0,0,0,60.43,2.42,0,0
1649764528.523007,0,0,0,60.53,2.50,0,0
1649764528.548005,0,0,0,60.55,2.49,0,0
1649764528.573002,0,0,0,60.41,2.46,0,0
1649764528.597999,0,0,0,60.42,2.43,0,0
1649764528.622997,0,0,0,60.51,2.49,0,0
1649764528.647994,0,0,0,60.53,2.49,0,0
1649764528.672991,0,0,0,60.42,2.48,0,0
1649764528.697988,0,0,0,60.42,2.48,0,0
1649764528.722986,0,0,0,60.50,2.47,0,0
1649764528.747983,0,0,0,60.53,2.50,0,0
1649764528.772980,0,0,0,60.42,2.52,0,0
1649764528.797978,0,0,0,60.43,2.49,0,0
1649764528.822975,0,0,0,60.51,2.50,0,0
1649764528.847972,0,0,0,60.55,2.47,0,0
1649764528.872969,0,0,0,60.42,2.47,0,0
1649764528.897967,0,0,0,60.45,2.49,0,0
1649764528.922964,0,0,0,60.51,2.53,0,0
1649764528.947961,0,0,0,60.52,2.55,0,0
1649764528.972959,1,177,89,60.41,40.02,1,89
1649764528.997956,1,300,108,60.46,49.32,0,89
1649764529.022953,1,300,111,60.54,50.84,0,89
1649764529.047951,1,300,113,60.55,51.29,0,89
1649764529.072948,1,300,114,60.43,51.33,0,89
1649764529.097945,1,300,111,60.46,46.95,0,89
1649764529.122942,1,300,113,60.54,54.13,1,202
1649764529.147940,1,300,116,60.55,52.00,0,202
1649764529.172937,1,300,116,60.44,46.86,0,202
1649764529.197934,1,300,112,60.48,46.68,0,202
1649764529.222932,1,300,114,60.53,46.94,0,202
1649764529.247929,1,300,112,60.54,51.22,0,202
1649764529.272927,1,300,113,60.42,57.60,1,270
1649764529.297924,1,300,117,60.49,47.81,0,270
1649764529.322921,1,300,113,60.53,47.20,0,270
1649764529.347918,1,300,114,60.55,47.12,0,270
1649764529.372916,1,300,114,60.46,46.93,0,270
1649764529.397913,1,300,115,60.50,46.90,0,270
1649764529.422910,1,300,116,60.56,62.08,1,279
1649764529.447908,1,300,112,60.56,46.95,0,279
1649764529.472905,1,300,113,60.43,46.69,0,279
1649764529.497902,1,300,116,60.48,46.93,0,279
1649764529.522899,1,300,113,60.56,46.92,0,279
1649764529.547897,1,300,113,60.56,46.72,0,279
1649764529.572894,1,300,113,60.44,64.28,1,281
1649764529.597891,1,300,113,60.50,47.25,0,281
1649764529.622889,1,300,115,60.55,47.16,0,281
1649764529.647886,1,300,113,60.56,46.87,0,281
1649764529.672883,1,300,112,60.42,46.98,0,281
1649764529.697881,1,300,115,60.48,46.84,0,281
