t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649856227.644541,0,0,0,84.75,2.61,0,0
1649856227.669539,0,0,0,86.11,2.53,0,0
1649856227.694538,0,0,0,84.83,2.53,0,0
1649856227.719536,0,0,0,86.02,2.53,0,0
1649856227.744534,0,0,0,84.91,2.50,0,0
1649856227.769533,0,0,0,85.93,2.48,0,0
1649856227.794532,0,0,0,84.99,2.59,0,0
1649856227.819530,0,0,0,85.85,2.53,0,0
1649856227.844528,0,0,0,85.10,2.51,0,0
1649856227.869527,0,0,0,85.84,2.53,0,0
1649856227.894525,0,0,0,85.20,2.51,0,0
1649856227.919524,0,0,0,85.73,2.52,0,0
1649856227.944522,0,0,0,85.27,2.55,0,0
1649856227.969521,0,0,0,85.64,2.53,0,0
1649856227.994519,0,0,0,85.33,2.48,0,0
1649856228.019517,0,0,0,85.53,2.52,0,0
1649856228.044516,0,0,0,85.40,2.51,0,0
1649856228.069515,0,0,0,85.45,2.49,0,0
1649856228.094513,0,0,0,85.46,2.46,0,0
1649856228.119511,0,0,0,85.33,2.46,0,0
1649856228.144510,0,0,0,85.50,2.50,0,0
1649856228.169508,0,0,0,85.21,2.54,0,0
1649856228.194507,0,0,0,85.56,2.53,0,0
1649856228.219505,0,0,0,85.12,2.52,0,0
1649856228.244503,0,0,0,85.66,2.51,0,0
1649856228.269502,0,0,0,85.04,2.53,0,0
1649856228.294501,0,0,0,85.73,2.50,0,0
1649856228.319499,0,0,0,84.94,2.53,0,0
1649856228.344497,0,0,0,85.80,2.48,0,0
1649856228.369496,0,0,0,84.86,2.50,0,0
1649856228.394495,0,0,0,85.87,2.46,0,0
1649856228.419493,0,0,0,84.75,2.46,0,0
1649856228.444491,0,0,0,85.96,2.52,0,0
1649856228.469490,0,0,0,84.69,2.49,0,0
1649856228.494488,0,0,0,86.02,2.48,0,0
1649856228.519487,0,0,0,84.61,2.48,0,0
1649856228.544485,0,0,0,86.06,2.53,0,0
1649856228.569484,1,69,8,84.53,25.43,1,8
1649856228.594482,1,248,27,86.14,42.06,0,8
1649856228.619481,1,300,31,84.44,48.79,0,8
1649856228.644479,1,300,35,86.16,48.16,0,8
1649856228.669477,1,300,32,84.38,47.73,0,8
1649856228.694476,1,300,34,86.23,42.78,0,8
1649856228.719474,1,300,31,84.30,46.89,1,40
1649856228.744473,1,300,36,86.26,49.01,0,40
1649856228.769471,1,300,30,84.23,42.65,0,40
1649856228.794470,1,300,35,86.30,43.28,0,40
1649856228.819468,1,300,29,84.17,42.51,0,40
1649856228.844467,1,300,35,86.37,43.10,0,40
1649856228.869465,1,300,30,84.15,56.65,1,205
1649856228.894464,1,300,34,86.43,43.23,0,205
1649856228.919462,1,300,31,84.08,48.55,0,205
1649856228.944461,1,300,35,86.49,43.25,0,205
1649856228.969459,1,300,34,84.07,43.03,0,205
1649856228.994457,1,300,35,86.53,43.41,0,205
1649856229.019456,1,300,32,84.01,55.17,1,274
1649856229.044454,1,300,38,86.53,42.98,0,274
1649856229.069453,1,300,32,83.95,48.67,0,274
1649856229.094451,1,300,36,86.58,48.36,0,274
1649856229.119450,1,300,30,83.91,48.84,0,274
1649856229.144448,1,300,37,86.56,43.81,0,274
1649856229.169446,1,300,29,83.92,64.09,1,216
1649856229.194445,1,300,35,86.60,43.90,0,216
1649856229.219444,1,300,31,83.85,45.62,0,216
1649856229.244442,1,300,36,86.58,43.76,0,216
1649856229.269440,1,300,30,83.81,48.39,0,216
1649856229.294439,1,300,32,86.60,49.48,0,216
1649856229.319437,1,300,33,83.76,65.83,1,130
1649856229.344436,1,300,33,86.55,49.49,0,130
1649856229.369434,1,300,32,83.75,43.14,0,130
1649856229.394433,1,300,38,86.53,48.49,0,130
1649856229.419431,1,300,32,83.69,48.22,0,130
1649856229.444430,1,300,35,86.48,48.61,0,130
1649856229.469428,1,300,34,83.65,58.64,1,133
1649856229.494426,1,300,35,86.42,48.38,0,133
1649856229.519425,1,300,32,83.60,48.52,0,133
1649856229.544423,1,300,32,86.34,48.15,0,133
1649856229.569422,1,300,29,83.56,48.44,0,133
1649856229.594420,1,300,35,86.25,49.29,0,133
1649856229.619419,1,300,33,83.49,65.38,1,175
1649856229.644417,1,300,35,86.17,50.45,0,175
1649856229.669416,1,300,39,83.45,45.84,0,175
1649856229.694414,1,300,33,86.04,49.97,0,175
1649856229.719413,1,300,34,83.37,48.37,0,175
1649856229.744411,1,300,40,85.90,43.35,0,175
1649856229.769409,1,300,32,83.31,66.53,1,139
1649856229.794408,1,300,38,85.77,43.69,0,139
1649856229.819406,1,300,32,83.25,45.29,0,139
1649856229.844405,1,300,32,85.63,48.34,0,139
1649856229.869403,1,300,34,83.19,43.99,0,139
1649856229.894402,1,300,37,85.47,44.08,0,139
1649856229.919400,1,300,31,83.12,68.44,1,167
1649856229.944399,1,300,37,85.28,45.54,0,167
1649856229.969397,1,300,29,83.06,42.99,0,167
1649856229.994396,1,300,38,85.09,43.54,0,167
1649856230.019394,1,300,37,82.95,42.98,0,167
1649856230.044393,1,300,36,84.89,43.58,0,167
1649856230.069391,1,300,33,82.90,65.25,1,164
1649856230.094389,1,300,32,84.67,43.83,0,164
1649856230.119388,1,300,36,82.79,43.56,0,164
1649856230.144386,1,300,39,84.47,43.60,0,164
1649856230.169385,1,300,32,82.75,44.57,0,164
1649856230.194383,1,300,31,84.26,43.51,0,164
1649856230.219382,1,300,32,82.70,67.91,1,124
1649856230.244380,1,300,39,84.06,43.53,0,124
1649856230.269377,1,300,33,82.67,42.96,0,124
1649856230.294375,1,300,37,83.87,43.68,0,124
1649856230.319374,1,300,33,82.65,43.35,0,124
1649856230.344372,1,300,39,83.71,44.41,0,124
1649856230.369371,1,300,32,82.63,70.94,1,80
1649856230.394369,1,300,35,83.54,43.41,0,80
1649856230.419367,1,300,33,82.64,42.70,0,80
1649856230.444366,1,300,37,83.37,43.19,0,80
1649856230.469364,1,300,32,82.64,42.96,0,80
1649856230.494363,1,300,37,83.17,42.82,0,80
1649856230.519361,1,300,32,82.54,73.72,1,73
1649856230.544360,1,300,37,82.92,43.22,0,73
1649856230.569358,1,300,32,82.50,43.31,0,73
1649856230.594357,1,300,35,82.63,43.54,0,73
1649856230.619355,1,300,32,82.36,43.09,0,73
1649856230.644354,1,300,35,82.30,43.16,0,73
1649856230.669352,1,300,34,82.19,78.96,1,73
1649856230.694350,1,300,32,81.95,44.08,0,73
1649856230.719349,1,300,31,81.97,43.67,0,73
1649856230.744347,1,300,31,81.57,44.07,0,73
1649856230.769346,1,300,35,81.77,43.57,0,73
1649856230.794344,1,300,33,81.16,43.12,0,73
1649856230.819343,1,300,38,81.54,79.69,1,90
1649856230.844341,1,300,28,80.79,43.39,0,90
1649856230.869340,1,300,33,81.38,43.04,0,90
1649856230.894338,1,300,32,80.45,42.50,0,90
1649856230.919337,1,300,33,81.23,44.65,0,90
1649856230.944335,1,300,32,80.16,45.01,0,90
1649856230.969333,1,300,36,81.12,103.16,1,179
1649856230.994332,1,300,31,79.90,43.00,0,179
1649856231.019330,1,300,33,81.00,42.60,0,179
1649856231.044329,1,300,33,79.66,43.26,0,179
