t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.071146,0,0,0,60.45,1.25,0,0
1649764528.096146,0,0,0,60.45,1.09,0,0
1649764528.121143,0,0,0,60.56,1.10,0,0
1649764528.146140,0,0,0,60.57,1.16,0,0
1649764528.171138,0,0,0,60.47,1.14,0,0
1649764528.196135,0,0,0,60.46,1.09,0,0
1649764528.221133,0,0,0,60.56,1.09,0,0
1649764528.246130,0,0,0,60.58,1.14,0,0
1649764528.271127,0,0,0,60.45,1.10,0,0
1649764528.296124,0,0,0,60.46,1.09,0,0
1649764528.321121,0,0,0,60.54,1.14,0,0
1649764528.346119,0,0,0,60.55,1.14,0,0
1649764528.371116,0,0,0,60.43,1.14,0,0
1649764528.396114,0,0,0,60.43,1.10,0,0
1649764528.421111,0,0,0,60.53,1.08,0,0
1649764528.446108,0,0,0,60.54,1.14,0,0
1649764528.471106,0,0,0,60.41,1.14,0,0
1649764528.496103,0,0,0,60.43,1.12,0,0
1649764528.521100,0,0,0,60.53,1.10,0,0
1649764528.546098,0,0,0,60.55,1.11,0,0
1649764528.571095,0,0,0,60.41,1.13,0,0
1649764528.596092,0,0,0,60.42,1.09,0,0
1649764528.621089,0,0,0,60.51,1.14,0,0
1649764528.646087,0,0,0,60.53,1.14,0,0
1649764528.671084,0,0,0,60.42,1.34,0,0
1649764528.696081,0,0,0,60.42,1.10,0,0
1649764528.721079,0,0,0,60.50,1.09,0,0
1649764528.746076,0,0,0,60.53,1.12,0,0
1649764528.771073,0,0,0,60.42,1.14,0,0
1649764528.796071,0,0,0,60.43,1.10,0,0
1649764528.821068,0,0,0,60.51,1.10,0,0
1649764528.846065,0,0,0,60.55,1.13,0,0
1649764528.871063,0,0,0,60.42,1.09,0,0
1649764528.896060,0,0,0,60.45,1.07,0,0
1649764528.921057,0,0,0,60.51,1.09,0,0
1649764528.946054,0,0,0,60.52,1.11,0,0
1649764528.971051,1,177,89,60.41,24.00,1,88
1649764528.996049,1,300,108,60.46,24.63,0,88
1649764529.021046,1,300,111,60.54,26.09,0,88
1649764529.046044,1,300,113,60.55,26.48,0,88
1649764529.071041,1,300,114,60.43,26.54,0,88
1649764529.096038,1,300,111,60.46,21.50,0,88
1649764529.121036,1,300,113,60.54,29.12,1,181
1649764529.146033,1,300,116,60.55,26.90,0,181
1649764529.171030,1,300,116,60.44,21.81,0,181
1649764529.196027,1,300,112,60.48,21.80,0,181
1649764529.221025,1,300,114,60.53,21.82,0,181
1649764529.246022,1,300,113,60.54,26.65,0,181
1649764529.271019,1,300,113,60.42,38.58,1,267
1649764529.296017,1,300,117,60.49,22.35,0,267
1649764529.321014,1,300,113,60.53,21.69,0,267
1649764529.346011,1,300,114,60.55,22.05,0,267
1649764529.371008,1,300,114,60.46,21.70,0,267
1649764529.396006,1,300,115,60.50,21.93,0,267
1649764529.421003,1,300,116,60.56,36.61,1,248
1649764529.446000,1,300,112,60.56,21.90,0,248
1649764529.470998,1,300,113,60.43,22.12,0,248
1649764529.495995,1,300,116,60.48,21.89,0,248
1649764529.520993,1,300,113,60.56,21.94,0,248
1649764529.545990,1,300,113,60.56,21.62,0,248
1649764529.570987,1,300,113,60.44,38.98,1,216
1649764529.595984,1,300,113,60.50,21.77,0,216
1649764529.620982,1,300,115,60.55,21.91,0,216
1649764529.645979,1,300,113,60.56,21.81,0,216
1649764529.670976,1,300,112,60.42,21.63,0,216
1649764529.695973,1,300,114,60.48,21.56,0,216
1649764529.720971,1,300,112,60.54,40.41,1,196
1649764529.745968,1,300,113,60.54,21.62,0,196
1649764529.770966,1,300,114,60.43,21.79,0,196
1649764529.795963,1,300,113,60.48,21.62,0,196
1649764529.820960,1,300,114,60.53,22.09,0,196
1649764529.845957,1,300,117,60.52,21.97,0,196
1649764529.870955,1,300,113,60.40,43.60,1,170
1649764529.895952,1,300,114,60.48,21.69,0,170
