t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.069239,0,0,0,60.45,1.13,0,0
1649764528.094239,0,0,0,60.45,1.00,0,0
1649764528.119236,0,0,0,60.56,1.00,0,0
1649764528.144233,0,0,0,60.57,1.05,0,0
1649764528.169231,0,0,0,60.47,1.02,0,0
1649764528.194228,0,0,0,60.46,1.01,0,0
1649764528.219225,0,0,0,60.56,1.00,0,0
1649764528.244222,0,0,0,60.58,1.01,0,0
1649764528.269220,0,0,0,60.45,0.99,0,0
1649764528.294217,0,0,0,60.46,1.00,0,0
1649764528.319215,0,0,0,60.54,1.06,0,0
1649764528.344212,0,0,0,60.55,1.05,0,0
1649764528.369209,0,0,0,60.43,1.04,0,0
1649764528.394207,0,0,0,60.43,0.99,0,0
1649764528.419204,0,0,0,60.53,1.01,0,0
1649764528.444201,0,0,0,60.54,1.03,0,0
1649764528.469198,0,0,0,60.41,1.12,0,0
1649764528.494196,0,0,0,60.43,0.99,0,0
1649764528.519193,0,0,0,60.53,1.09,0,0
1649764528.544190,0,0,0,60.55,1.05,0,0
1649764528.569188,0,0,0,60.41,1.01,0,0
1649764528.594185,0,0,0,60.42,1.00,0,0
1649764528.619182,0,0,0,60.51,1.04,0,0
1649764528.644179,0,0,0,60.53,1.00,0,0
1649764528.669177,0,0,0,60.42,1.06,0,0
1649764528.694174,0,0,0,60.42,1.00,0,0
1649764528.719171,0,0,0,60.50,0.99,0,0
1649764528.744169,0,0,0,60.53,1.14,0,0
1649764528.769166,0,0,0,60.42,1.07,0,0
1649764528.794163,0,0,0,60.43,0.99,0,0
1649764528.819161,0,0,0,60.51,0.99,0,0
1649764528.844158,0,0,0,60.55,1.07,0,0
1649764528.869155,0,0,0,60.42,1.11,0,0
1649764528.894153,0,0,0,60.45,0.99,0,0
1649764528.919150,0,0,0,60.51,1.00,0,0
1649764528.944147,0,0,0,60.52,1.01,0,0
1649764528.969144,1,177,89,60.41,23.69,1,88
1649764528.994142,1,300,108,60.46,24.44,0,88
1649764529.019139,1,300,111,60.54,25.99,0,88
1649764529.044137,1,300,113,60.55,26.53,0,88
1649764529.069134,1,300,114,60.43,26.14,0,88
1649764529.094131,1,300,111,60.46,21.29,0,88
1649764529.119128,1,300,113,60.54,29.59,1,175
1649764529.144126,1,300,115,60.55,21.77,0,175
1649764529.169123,1,300,115,60.44,21.70,0,175
1649764529.194120,1,300,111,60.48,21.71,0,175
1649764529.219118,1,300,113,60.53,26.76,0,175
1649764529.244115,1,300,113,60.54,21.64,0,175
1649764529.269112,1,300,112,60.42,41.96,1,267
1649764529.294109,1,300,116,60.49,21.99,0,267
1649764529.319107,1,300,112,60.53,21.61,0,267
1649764529.344104,1,300,113,60.55,21.69,0,267
1649764529.369101,1,300,113,60.46,21.46,0,267
1649764529.394099,1,300,114,60.50,22.02,0,267
1649764529.419096,1,300,116,60.56,42.21,1,238
1649764529.444093,1,300,112,60.56,22.28,0,238
1649764529.469090,1,300,113,60.43,21.77,0,238
1649764529.494088,1,300,116,60.48,21.79,0,238
1649764529.519085,1,300,113,60.56,21.80,0,238
1649764529.544083,1,300,113,60.56,21.50,0,238
1649764529.569080,1,300,113,60.44,44.88,1,224
1649764529.594077,1,300,113,60.50,21.62,0,224
1649764529.619075,1,300,115,60.55,21.69,0,224
1649764529.644072,1,300,113,60.56,21.70,0,224
1649764529.669069,1,300,112,60.42,21.67,0,224
1649764529.694067,1,300,114,60.48,21.54,0,224
1649764529.719064,1,300,112,60.54,37.08,1,235
1649764529.744061,1,300,113,60.54,21.46,0,235
1649764529.769058,1,300,114,60.43,21.70,0,235
1649764529.794056,1,300,113,60.48,21.56,0,235
1649764529.819053,1,300,114,60.53,21.81,0,235
