t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.13,0,0
1649764528.098053,0,0,0,60.45,1.01,0,0
1649764528.123050,0,0,0,60.56,1.01,0,0
1649764528.148048,0,0,0,60.57,1.05,0,0
1649764528.173045,0,0,0,60.47,1.03,0,0
1649764528.198042,0,0,0,60.46,0.98,0,0
1649764528.223039,0,0,0,60.56,1.00,0,0
1649764528.248037,0,0,0,60.58,1.02,0,0
1649764528.273034,0,0,0,60.45,1.00,0,0
1649764528.298031,0,0,0,60.46,0.99,0,0
1649764528.323029,0,0,0,60.54,1.06,0,0
1649764528.348026,0,0,0,60.55,1.00,0,0
1649764528.373023,0,0,0,60.43,1.04,0,0
1649764528.398021,0,0,0,60.43,1.00,0,0
1649764528.423018,0,0,0,60.53,0.99,0,0
1649764528.448015,0,0,0,60.54,1.03,0,0
1649764528.473012,0,0,0,60.41,1.03,0,0
1649764528.498010,0,0,0,60.43,1.02,0,0
1649764528.523007,0,0,0,60.53,1.00,0,0
1649764528.548005,0,0,0,60.55,1.05,0,0
1649764528.573002,0,0,0,60.41,0.99,0,0
1649764528.597999,0,0,0,60.42,1.01,0,0
1649764528.622997,0,0,0,60.51,1.23,0,0
1649764528.647994,0,0,0,60.53,1.17,0,0
1649764528.672991,0,0,0,60.42,1.13,0,0
1649764528.697988,0,0,0,60.42,1.01,0,0
1649764528.722986,0,0,0,60.50,1.00,0,0
1649764528.747983,0,0,0,60.53,1.06,0,0
1649764528.772980,0,0,0,60.42,1.04,0,0
1649764528.797978,0,0,0,60.43,1.03,0,0
1649764528.822975,0,0,0,60.51,1.01,0,0
1649764528.847972,0,0,0,60.55,1.04,0,0
1649764528.872969,0,0,0,60.42,1.00,0,0
1649764528.897967,0,0,0,60.45,1.00,0,0
1649764528.922964,0,0,0,60.51,1.00,0,0
1649764528.947961,0,0,0,60.52,1.02,0,0
1649764528.972959,1,177,89,60.41,26.11,1,89
1649764528.997956,1,300,108,60.46,27.05,0,89
1649764529.022953,1,300,111,60.54,28.28,0,89
1649764529.047951,1,300,113,60.55,28.92,0,89
1649764529.072948,1,300,114,60.43,28.54,0,89
1649764529.097945,1,300,111,60.46,23.88,0,89
1649764529.122942,1,300,113,60.54,32.04,1,202
1649764529.147940,1,300,116,60.55,28.20,0,202
1649764529.172937,1,300,116,60.44,23.42,0,202
1649764529.197934,1,300,112,60.48,23.16,0,202
1649764529.222932,1,300,114,60.53,23.34,0,202
1649764529.247929,1,300,113,60.54,28.22,0,202
1649764529.272927,1,300,113,60.42,34.61,1,268
1649764529.297924,1,300,116,60.49,23.10,0,268
1649764529.322921,1,300,112,60.53,22.80,0,268
1649764529.347918,1,300,114,60.55,22.65,0,268
1649764529.372916,1,300,114,60.46,22.84,0,268
1649764529.397913,1,300,114,60.50,22.79,0,268
1649764529.422910,1,300,115,60.56,38.44,1,278
1649764529.447908,1,300,112,60.56,22.56,0,278
1649764529.472905,1,300,113,60.43,22.74,0,278
1649764529.497902,1,300,115,60.48,22.55,0,278
1649764529.522899,1,300,113,60.56,22.39,0,278
1649764529.547897,1,300,113,60.56,22.29,0,278
1649764529.572894,1,300,113,60.44,38.98,1,267
1649764529.597891,1,300,113,60.50,22.46,0,267
1649764529.622889,1,300,115,60.55,22.49,0,267
1649764529.647886,1,300,113,60.56,22.33,0,267
1649764529.672883,1,300,112,60.42,22.18,0,267
1649764529.697881,1,300,114,60.48,22.44,0,267
1649764529.722878,1,300,112,60.54,45.94,1,276
1649764529.747875,1,300,113,60.54,22.08,0,276
1649764529.772872,1,300,114,60.43,22.66,0,276
1649764529.797870,1,300,113,60.48,22.75,0,276
1649764529.822867,1,300,113,60.53,22.39,0,276
1649764529.847864,1,300,117,60.52,22.19,0,276
1649764529.872862,1,300,113,60.40,58.22,1,273
1649764529.897859,1,300,114,60.48,22.18,0,273
1649764529.922856,1,300,114,60.53,22.13,0,273
1649764529.947854,1,300,114,60.54,28.19,0,273
1649764529.972851,1,300,116,60.40,22.22,0,273
1649764529.997848,1,300,115,60.48,22.27,0,273
1649764530.022846,1,300,114,60.53,51.40,1,275
1649764530.047843,1,300,113,60.53,22.21,0,275
1649764530.072840,1,300,115,60.40,22.28,0,275
1649764530.097838,1,300,115,60.48,22.39,0,275
1649764530.122835,1,300,114,60.53,22.61,0,275
1649764530.147832,1,300,115,60.53,22.29,0,275
1649764530.172829,1,300,115,60.39,56.33,1,269
1649764530.197827,1,300,113,60.50,22.21,0,269
1649764530.222824,1,300,113,60.54,22.37,0,269
1649764530.247821,1,300,115,60.51,22.53,0,269
1649764530.272819,1,300,116,60.40,22.26,0,269
1649764530.297816,1,300,114,60.47,22.52,0,269
1649764530.322814,1,300,114,60.49,51.73,1,273
1649764530.347811,1,300,116,60.48,22.68,0,273
1649764530.372808,1,300,115,60.35,22.39,0,273
1649764530.397805,1,300,115,60.46,22.20,0,273
1649764530.422802,1,300,115,60.47,22.42,0,273
1649764530.447800,1,300,113,60.47,22.23,0,273
1649764530.472797,1,300,116,60.35,64.25,1,276
1649764530.497794,1,300,115,60.45,22.54,0,276
1649764530.522792,1,300,115,60.49,22.48,0,276
1649764530.547789,1,300,113,60.49,22.26,0,276
1649764530.572786,1,300,112,60.36,22.40,0,276
1649764530.597784,1,300,116,60.46,22.64,0,276
1649764530.622781,1,300,116,60.49,58.96,1,280
1649764530.647778,1,300,116,60.50,22.69,0,280
1649764530.672776,1,300,114,60.37,22.48,0,280
1649764530.697773,1,300,115,60.47,22.34,0,280
1649764530.722770,1,300,115,60.51,22.52,0,280
1649764530.747767,1,300,114,60.50,22.43,0,280
1649764530.772765,1,300,114,60.38,62.39,1,271
1649764530.797762,1,300,114,60.49,22.64,0,271
1649764530.822759,1,300,116,60.51,22.84,0,271
1649764530.847757,1,300,114,60.48,22.35,0,271
1649764530.872754,1,300,114,60.36,22.60,0,271
1649764530.897751,1,300,113,60.49,22.53,0,271
