t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.14,0,0
1649764528.098053,0,0,0,60.45,1.01,0,0
1649764528.123050,0,0,0,60.56,1.01,0,0
1649764528.148048,0,0,0,60.57,1.03,0,0
1649764528.173045,0,0,0,60.47,1.02,0,0
1649764528.198042,0,0,0,60.46,1.01,0,0
1649764528.223039,0,0,0,60.56,0.99,0,0
1649764528.248037,0,0,0,60.58,1.04,0,0
1649764528.273034,0,0,0,60.45,0.99,0,0
1649764528.298031,0,0,0,60.46,0.99,0,0
1649764528.323029,0,0,0,60.54,1.02,0,0
1649764528.348026,0,0,0,60.55,0.99,0,0
1649764528.373023,0,0,0,60.43,1.04,0,0
1649764528.398021,0,0,0,60.43,0.98,0,0
1649764528.423018,0,0,0,60.53,1.08,0,0
1649764528.448015,0,0,0,60.54,1.05,0,0
1649764528.473012,0,0,0,60.41,1.02,0,0
1649764528.498010,0,0,0,60.43,0.98,0,0
1649764528.523007,0,0,0,60.53,0.98,0,0
1649764528.548005,0,0,0,60.55,1.05,0,0
1649764528.573002,0,0,0,60.41,0.98,0,0
1649764528.597999,0,0,0,60.42,0.99,0,0
1649764528.622997,0,0,0,60.51,1.03,0,0
1649764528.647994,0,0,0,60.53,1.00,0,0
1649764528.672991,0,0,0,60.42,1.01,0,0
1649764528.697988,0,0,0,60.42,0.99,0,0
1649764528.722986,0,0,0,60.50,0.98,0,0
1649764528.747983,0,0,0,60.53,1.00,0,0
1649764528.772980,0,0,0,60.42,1.01,0,0
1649764528.797978,0,0,0,60.43,0.98,0,0
1649764528.822975,0,0,0,60.51,0.99,0,0
1649764528.847972,0,0,0,60.55,1.06,0,0
1649764528.872969,0,0,0,60.42,0.99,0,0
1649764528.897967,0,0,0,60.45,1.13,0,0
1649764528.922964,0,0,0,60.51,0.99,0,0
1649764528.947961,0,0,0,60.52,1.03,0,0
1649764528.972959,1,177,89,60.41,23.54,1,88
1649764528.997956,1,300,108,60.46,24.30,0,88
1649764529.022953,1,300,111,60.54,25.78,0,88
1649764529.047951,1,300,113,60.55,26.52,0,88
1649764529.072948,1,300,114,60.43,26.03,0,88
1649764529.097945,1,300,111,60.46,21.38,0,88
1649764529.122942,1,300,113,60.54,29.65,1,179
1649764529.147940,1,300,116,60.55,26.76,0,179
1649764529.172937,1,300,116,60.44,21.76,0,179
1649764529.197934,1,300,112,60.48,21.73,0,179
1649764529.222932,1,300,114,60.53,21.80,0,179
1649764529.247929,1,300,113,60.54,26.86,0,179
1649764529.272927,1,300,113,60.42,33.84,1,138
1649764529.297924,1,300,117,60.49,21.94,0,138
1649764529.322921,1,300,113,60.53,21.68,0,138
1649764529.347918,1,300,114,60.55,21.70,0,138
1649764529.372916,1,300,114,60.46,23.05,0,138
1649764529.397913,1,300,115,60.50,21.89,0,138
1649764529.422910,1,300,116,60.56,38.68,1,270
1649764529.447908,1,300,112,60.56,21.73,0,270
1649764529.472905,1,300,113,60.43,21.80,0,270
1649764529.497902,1,300,116,60.48,21.93,0,270
1649764529.522899,1,300,113,60.56,21.86,0,270
1649764529.547897,1,300,113,60.56,21.76,0,270
1649764529.572894,1,300,113,60.44,42.58,1,207
