t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.13,0,0
1649764528.098053,0,0,0,60.45,1.07,0,0
1649764528.123050,0,0,0,60.56,1.02,0,0
1649764528.148048,0,0,0,60.57,1.16,0,0
1649764528.173045,0,0,0,60.47,1.04,0,0
1649764528.198042,0,0,0,60.46,1.01,0,0
1649764528.223039,0,0,0,60.56,0.99,0,0
1649764528.248037,0,0,0,60.58,1.06,0,0
1649764528.273034,0,0,0,60.45,0.99,0,0
1649764528.298031,0,0,0,60.46,1.00,0,0
1649764528.323029,0,0,0,60.54,1.04,0,0
1649764528.348026,0,0,0,60.55,1.00,0,0
1649764528.373023,0,0,0,60.43,1.07,0,0
1649764528.398021,0,0,0,60.43,1.10,0,0
1649764528.423018,0,0,0,60.53,1.10,0,0
1649764528.448015,0,0,0,60.54,1.15,0,0
1649764528.473012,0,0,0,60.41,1.14,0,0
1649764528.498010,0,0,0,60.43,1.09,0,0
1649764528.523007,0,0,0,60.53,1.11,0,0
1649764528.548005,0,0,0,60.55,1.02,0,0
1649764528.573002,0,0,0,60.41,1.00,0,0
1649764528.597999,0,0,0,60.42,1.00,0,0
1649764528.622997,0,0,0,60.51,1.00,0,0
1649764528.647994,0,0,0,60.53,0.99,0,0
1649764528.672991,0,0,0,60.42,1.03,0,0
1649764528.697988,0,0,0,60.42,0.99,0,0
1649764528.722986,0,0,0,60.50,1.00,0,0
1649764528.747983,0,0,0,60.53,1.05,0,0
1649764528.772980,0,0,0,60.42,1.14,0,0
1649764528.797978,0,0,0,60.43,1.01,0,0
1649764528.822975,0,0,0,60.51,0.99,0,0
1649764528.847972,0,0,0,60.55,1.03,0,0
1649764528.872969,0,0,0,60.42,1.00,0,0
1649764528.897967,0,0,0,60.45,0.99,0,0
1649764528.922964,0,0,0,60.51,0.99,0,0
1649764528.947961,0,0,0,60.52,1.02,0,0
1649764528.972959,1,177,89,60.41,39.69,1,88
1649764528.997956,1,300,108,60.46,26.47,0,88
1649764529.022953,1,300,111,60.54,25.70,0,88
1649764529.047951,1,300,113,60.55,26.57,0,88
1649764529.072948,1,300,114,60.43,25.99,0,88
1649764529.097945,1,300,111,60.46,21.47,0,88
1649764529.122942,1,300,113,60.54,29.78,1,179
1649764529.147940,1,300,116,60.55,26.48,0,179
1649764529.172937,1,300,116,60.44,21.78,0,179
1649764529.197934,1,300,112,60.48,21.78,0,179
1649764529.222932,1,300,114,60.53,21.82,0,179
1649764529.247929,1,300,113,60.54,26.91,0,179
1649764529.272927,1,300,113,60.42,33.97,1,239
1649764529.297924,1,300,117,60.49,22.17,0,239
1649764529.322921,1,300,113,60.53,21.79,0,239
1649764529.347918,1,300,114,60.55,21.77,0,239
1649764529.372916,1,300,114,60.46,21.86,0,239
1649764529.397913,1,300,115,60.50,21.66,0,239
1649764529.422910,1,300,116,60.56,37.00,1,213
1649764529.447908,1,300,112,60.56,21.80,0,213
1649764529.472905,1,300,113,60.43,22.05,0,213
1649764529.497902,1,300,116,60.48,21.77,0,213
1649764529.522899,1,300,113,60.56,21.84,0,213
1649764529.547897,1,300,113,60.56,21.57,0,213
1649764529.572894,1,300,113,60.44,38.86,1,204
1649764529.597891,1,300,113,60.50,21.90,0,204
1649764529.622889,1,300,114,60.55,21.80,0,204
1649764529.647886,1,300,113,60.56,21.67,0,204
1649764529.672883,1,300,112,60.42,21.54,0,204
1649764529.697881,1,300,114,60.48,21.71,0,204
1649764529.722878,1,300,112,60.54,40.54,1,207
1649764529.747875,1,300,113,60.54,21.50,0,207
1649764529.772872,1,300,114,60.43,21.86,0,207
1649764529.797870,1,300,113,60.48,21.73,0,207
1649764529.822867,1,300,114,60.53,21.83,0,207
1649764529.847864,1,300,117,60.52,21.99,0,207
1649764529.872862,1,300,113,60.40,42.80,1,186
1649764529.897859,1,300,114,60.48,21.82,0,186
1649764529.922856,1,300,114,60.53,21.77,0,186
1649764529.947854,1,300,115,60.54,21.97,0,186
1649764529.972851,1,300,116,60.40,21.91,0,186
1649764529.997848,1,300,115,60.48,21.81,0,186
1649764530.022846,1,300,114,60.53,45.40,1,193
1649764530.047843,1,300,113,60.53,21.60,0,193
1649764530.072840,1,300,115,60.40,21.69,0,193
1649764530.097838,1,300,115,60.48,22.05,0,193
1649764530.122835,1,300,114,60.53,21.72,0,193
1649764530.147832,1,300,115,60.53,21.51,0,193
1649764530.172829,1,300,115,60.39,56.16,1,267
1649764530.197827,1,300,113,60.50,21.61,0,267
1649764530.222824,1,300,113,60.54,21.46,0,267
1649764530.247821,1,300,115,60.51,21.96,0,267
1649764530.272819,1,300,116,60.40,22.22,0,267
1649764530.297816,1,300,114,60.47,21.79,0,267
1649764530.322814,1,300,113,60.49,52.35,1,266
1649764530.347811,1,300,116,60.48,22.09,0,266
1649764530.372808,1,300,115,60.35,21.93,0,266
1649764530.397805,1,300,115,60.46,21.63,0,266
1649764530.422802,1,300,114,60.47,21.78,0,266
1649764530.447800,1,300,113,60.47,22.06,0,266
1649764530.472797,1,300,116,60.35,62.63,1,234
1649764530.497794,1,300,115,60.45,22.07,0,234
1649764530.522792,1,300,116,60.49,21.90,0,234
1649764530.547789,1,300,113,60.49,21.53,0,234
1649764530.572786,1,300,112,60.36,21.62,0,234
1649764530.597784,1,300,116,60.46,21.83,0,234
1649764530.622781,1,300,116,60.49,65.16,1,248
1649764530.647778,1,300,116,60.50,21.88,0,248
1649764530.672776,1,300,113,60.37,21.58,0,248
1649764530.697773,1,300,115,60.47,21.97,0,248
1649764530.722770,1,300,115,60.51,22.01,0,248
1649764530.747767,1,300,114,60.50,21.78,0,248
1649764530.772765,1,300,114,60.38,58.42,1,197
1649764530.797762,1,300,114,60.49,21.87,0,197
1649764530.822759,1,300,116,60.51,21.93,0,197
1649764530.847757,1,300,114,60.48,21.95,0,197
1649764530.872754,1,300,114,60.36,21.93,0,197
1649764530.897751,1,300,113,60.49,21.63,0,197
1649764530.922749,1,300,117,60.51,60.64,1,153
1649764530.947746,1,300,116,60.48,22.04,0,153
1649764530.972743,1,300,120,60.36,22.13,0,153
1649764530.997741,1,300,116,60.48,21.66,0,153
1649764531.022738,1,300,116,60.51,21.80,0,153
1649764531.047735,1,300,114,60.48,21.50,0,153
1649764531.072732,1,300,114,60.37,64.53,1,156
1649764531.097730,1,300,115,60.48,21.84,0,156
1649764531.122727,1,300,115,60.51,21.87,0,156
1649764531.147724,1,300,116,60.48,21.60,0,156
1649764531.172722,1,300,117,60.37,21.87,0,156
1649764531.197719,1,300,114,60.48,21.79,0,156
1649764531.222716,1,300,116,60.50,69.09,1,156
1649764531.247714,1,300,113,60.46,22.06,0,156
1649764531.272711,1,300,113,60.37,22.11,0,156
1649764531.297708,1,300,114,60.47,21.80,0,156
1649764531.322706,1,300,117,60.51,22.17,0,156
1649764531.347703,1,300,115,60.46,21.60,0,156
1649764531.372700,1,300,114,60.35,73.76,1,149
1649764531.397697,1,300,115,60.46,26.39,0,149
1649764531.422695,1,300,113,60.49,22.12,0,149
1649764531.447692,1,300,114,60.45,21.61,0,149
1649764531.472689,1,300,115,60.34,21.91,0,149
1649764531.497687,1,300,113,60.46,21.61,0,149
1649764531.522684,1,300,115,60.51,77.96,1,148
1649764531.547681,1,300,114,60.45,21.55,0,148
1649764531.572679,1,300,115,60.34,21.91,0,148
1649764531.597676,1,300,115,60.46,21.51,0,148
1649764531.622673,1,300,117,60.49,21.71,0,148
1649764531.647671,1,300,113,60.44,21.52,0,148
1649764531.672668,1,300,116,60.34,85.59,1,154
1649764531.697665,1,300,115,60.47,21.97,0,154
1649764531.722662,1,300,114,60.50,21.85,0,154
1649764531.747659,1,300,115,60.44,21.72,0,154
1649764531.772657,1,300,117,60.34,21.99,0,154
1649764531.797654,1,300,113,60.45,21.67,0,154
1649764531.822652,1,300,114,60.49,90.67,1,158
1649764531.847649,1,300,116,60.42,22.23,0,158
1649764531.872646,1,300,117,60.34,21.81,0,158
1649764531.897644,1,300,117,60.45,21.73,0,158
1649764531.922641,1,300,115,60.48,22.18,0,158
1649764531.947638,1,300,114,60.41,21.44,0,158
1649764531.972636,1,300,114,60.32,153.78,1,256
1649764531.997633,1,300,117,60.45,22.00,0,256
1649764532.022630,1,300,114,60.49,22.41,0,256
1649764532.047627,1,300,114,60.41,21.76,0,256
1649764532.072625,1,300,116,60.32,21.87,0,256
1649764532.097619,1,300,116,60.44,21.85,0,256
1649764532.122616,1,300,116,60.48,97.76,1,242
1649764532.147614,1,300,114,60.42,22.15,0,242
1649764532.172611,1,300,115,60.31,22.28,0,242
1649764532.197608,1,300,116,60.42,21.88,0,242
1649764532.222605,1,300,117,60.49,21.95,0,242
1649764532.247603,1,300,117,60.40,21.77,0,242
1649764532.272600,1,300,115,60.31,102.82,1,234
1649764532.297597,1,300,115,60.41,22.04,0,234
1649764532.322595,1,300,115,60.47,22.01,0,234
1649764532.347592,1,300,116,60.40,21.98,0,234
1649764532.372589,1,300,116,60.31,21.99,0,234
1649764532.397587,1,300,117,60.44,21.65,0,234
1649764532.422584,1,300,117,60.52,110.87,1,237
1649764532.447581,1,300,118,60.45,22.39,0,237
1649764532.472578,1,300,118,60.39,22.22,0,237
1649764532.497576,1,300,113,60.50,21.75,0,237
1649764532.522573,1,300,120,60.54,22.22,0,237
1649764532.547570,1,300,117,60.48,21.76,0,237
1649764532.572568,1,300,116,60.39,154.48,1,224
1649764532.597565,1,300,118,60.51,22.18,0,224
1649764532.622562,1,300,116,60.54,22.37,0,224
1649764532.647559,1,300,116,60.45,21.84,0,224
1649764532.672557,1,300,114,60.35,21.88,0,224
1649764532.697554,1,300,117,60.49,21.71,0,224
1649764532.722551,1,300,116,60.51,120.87,1,212
1649764532.747549,1,300,118,60.42,22.02,0,212
1649764532.772546,1,300,114,60.32,21.68,0,212
1649764532.797544,1,300,116,60.44,21.68,0,212
1649764532.822541,1,300,116,60.44,22.13,0,212
1649764532.847538,1,300,115,60.32,21.65,0,212
1649764532.872535,1,300,117,60.23,173.87,1,218
1649764532.897532,1,300,117,60.32,21.93,0,218
1649764532.922530,1,300,117,60.36,22.10,0,218
1649764532.947527,1,300,116,60.26,22.00,0,218
1649764532.972524,1,300,117,60.21,21.85,0,218
1649764532.997521,1,300,115,60.33,21.57,0,218
1649764533.022519,1,300,115,60.36,172.86,1,224
1649764533.047516,1,300,115,60.25,21.77,0,224
1649764533.072514,1,300,116,60.18,21.85,0,224
1649764533.097511,1,300,118,60.26,21.80,0,224
1649764533.122508,1,300,117,60.28,21.87,0,224
1649764533.147506,1,300,116,60.14,21.97,0,224
1649764533.172503,1,300,117,60.11,88.21,1,196
1649764533.197500,1,300,115,60.18,21.70,0,196
1649764533.222497,1,300,114,60.23,22.14,0,196
1649764533.247494,1,300,120,60.13,21.96,0,196
1649764533.272492,1,300,116,60.10,21.67,0,196
1649764533.297489,1,300,116,60.20,21.63,0,196
1649764533.322486,1,300,114,60.27,48.75,1,181
1649764533.347484,1,300,115,60.17,22.27,0,181
1649764533.372481,1,300,115,60.12,21.80,0,181
1649764533.397478,1,300,117,60.23,21.64,0,181
1649764533.422476,1,300,115,60.27,21.82,0,181
1649764533.447473,1,300,114,60.14,21.54,0,181
1649764533.472470,1,300,115,60.10,49.75,1,197
1649764533.497467,1,300,116,60.19,22.24,0,197
1649764533.522465,1,300,116,60.22,21.92,0,197
1649764533.547462,1,300,115,60.11,21.74,0,197
1649764533.572459,1,300,117,60.07,21.79,0,197
1649764533.597457,1,300,113,60.17,21.53,0,197
1649764533.622454,1,300,114,60.19,52.69,1,189
1649764533.647451,1,300,113,60.07,21.93,0,189
1649764533.672448,1,300,114,60.05,21.71,0,189
1649764533.697446,1,300,116,60.14,21.59,0,189
1649764533.722443,1,300,117,60.16,21.75,0,189
1649764533.747440,1,300,114,60.06,21.82,0,189
1649764533.772438,1,300,116,60.01,57.79,1,238
1649764533.797435,1,300,112,60.10,21.95,0,238
1649764533.822432,1,300,114,60.14,22.31,0,238
1649764533.847429,1,300,114,60.02,22.11,0,238
1649764533.872427,1,300,115,60.00,21.91,0,238
1649764533.897424,1,300,117,60.09,22.12,0,238
1649764533.922421,1,300,117,60.10,53.27,1,207
1649764533.947419,1,300,117,59.98,22.63,0,207
1649764533.972416,1,300,116,59.93,28.00,0,207
1649764533.997413,1,300,111,59.67,27.07,0,207
1649764534.022410,1,300,113,59.02,28.07,0,207
1649764534.047408,1,300,112,58.40,28.37,0,207
1649764534.072405,1,300,114,58.26,61.46,1,243
1649764534.097402,1,276,118,58.46,28.26,0,243
1649764534.122400,1,252,115,58.74,27.80,0,243
1649764534.147397,1,262,114,58.93,26.65,0,243
1649764534.172394,1,253,115,59.24,25.75,0,243
1649764534.197391,1,300,129,59.57,28.56,0,243
1649764534.222389,1,300,136,59.65,93.15,1,290
1649764534.247386,1,300,139,59.35,30.13,0,290
1649764534.272383,1,300,139,59.20,30.00,0,290
1649764534.297381,1,300,148,59.23,30.43,0,290
1649764534.322378,1,300,146,59.31,30.20,0,290
1649764534.347375,1,257,125,59.38,28.42,0,290
1649764534.372372,1,245,129,59.82,74.74,1,340
1649764534.397370,1,234,138,60.37,25.99,0,340
1649764534.422367,1,230,133,60.96,24.47,0,340
1649764534.447364,1,220,134,61.48,24.90,0,340
1649764534.472362,1,220,126,62.20,23.89,0,340
1649764534.497359,1,228,131,63.04,24.94,0,340
1649764534.522356,1,300,147,63.91,71.41,1,422
1649764534.547354,1,300,156,64.60,30.21,0,422
1649764534.572351,1,300,152,65.53,28.79,0,422
1649764534.597348,1,300,151,66.52,29.12,0,422
1649764534.622345,1,280,138,67.43,28.03,0,422
1649764534.647343,1,300,148,68.05,28.21,0,422
1649764534.672340,1,300,160,68.79,105.20,1,455
1649764534.697337,1,283,154,69.30,28.73,0,455
1649764534.722334,1,300,168,69.67,29.58,0,455
1649764534.747332,1,300,176,69.96,29.71,0,455
1649764534.772329,1,300,181,70.60,29.43,0,455
1649764534.797326,1,300,180,71.46,28.95,0,455
1649764534.822324,1,300,180,72.57,126.99,1,511
1649764534.847321,1,300,183,73.74,29.56,0,511
1649764534.872318,1,300,176,75.43,28.77,0,511
1649764534.897316,1,300,190,77.30,30.13,0,511
1649764534.922313,1,300,186,79.18,29.54,0,511
1649764534.947310,1,300,182,81.10,30.20,0,511
1649764534.972307,1,300,179,83.32,129.14,1,544
1649764534.997305,1,300,182,85.20,29.78,0,544
1649764535.022302,1,300,168,86.74,29.08,0,544
1649764535.047299,1,300,167,87.83,30.78,0,544
1649764535.072296,1,300,162,89.01,29.10,0,544
1649764535.097294,1,300,157,90.10,29.40,0,544
1649764535.122291,1,300,148,91.15,99.22,1,569
1649764535.147288,1,300,139,92.00,29.21,0,569
1649764535.172286,1,300,154,88.47,29.08,0,569
1649764535.197283,1,300,157,88.62,29.81,0,569
1649764535.222280,1,300,155,89.78,29.60,0,569
1649764535.247277,1,300,153,89.31,28.99,0,569
1649764535.272275,1,300,158,90.31,84.41,1,592
1649764535.297272,1,300,158,85.17,29.73,0,592
1649764535.322269,1,300,159,86.95,29.14,0,592
1649764535.347267,1,300,153,86.15,28.94,0,592
1649764535.372264,1,300,155,88.42,29.25,0,592
1649764535.397261,1,300,147,82.45,29.01,0,592
1649764535.422258,1,300,147,85.25,87.82,1,616
1649764535.447256,1,300,150,79.05,29.88,0,616
1649764535.472253,1,300,145,82.33,28.86,0,616
1649764535.497250,1,300,138,80.25,29.31,0,616
1649764535.522248,1,300,136,83.05,28.34,0,616
1649764535.547245,1,300,136,75.69,29.17,0,616
1649764535.572242,1,300,139,78.56,84.63,1,623
1649764535.597239,1,300,139,74.96,29.31,0,623
1649764535.622237,1,300,136,77.36,28.51,0,623
1649764535.647234,1,300,150,73.51,29.36,0,623
1649764535.672231,1,300,152,76.28,29.18,0,623
1649764535.697229,1,300,149,72.76,28.59,0,623
1649764535.722226,1,300,144,75.67,97.45,1,637
1649764535.747223,1,300,142,72.17,29.08,0,637
1649764535.772221,1,300,144,75.53,30.57,0,637
1649764535.797218,1,300,150,72.35,29.24,0,637
1649764535.822215,1,300,157,75.85,30.37,0,637
1649764535.847212,1,300,155,72.63,30.31,0,637
1649764535.872210,1,300,156,76.50,101.20,1,661
1649764535.897207,1,300,162,73.41,30.93,0,661
1649764535.922204,1,300,159,77.21,30.09,0,661
1649764535.947201,1,300,157,73.99,30.59,0,661
1649764535.972199,1,300,151,78.21,31.38,0,661
1649764535.997196,1,300,153,74.83,30.26,0,661
1649764536.022193,1,292,160,78.13,103.01,1,700
1649764536.047191,1,300,155,73.60,30.68,0,700
1649764536.072188,1,300,157,76.64,30.07,0,700
1649764536.097185,1,300,160,72.16,30.03,0,700
1649764536.122183,1,300,154,75.41,29.78,0,700
1649764536.147180,1,300,159,71.21,29.93,0,700
1649764536.172177,1,286,156,74.87,106.51,1,734
1649764536.197175,1,275,151,70.61,28.23,0,734
1649764536.222172,1,273,149,73.91,27.39,0,734
1649764536.247169,1,268,141,69.62,27.84,0,734
1649764536.272166,1,265,131,73.59,28.18,0,734
1649764536.297163,1,258,133,69.75,27.55,0,734
1649764536.322161,1,259,129,73.65,104.92,1,745
1649764536.347158,1,236,119,69.84,26.18,0,745
1649764536.372155,1,227,114,74.70,25.62,0,745
1649764536.397153,1,225,109,71.71,25.16,0,745
1649764536.422150,1,217,114,76.25,25.66,0,745
1649764536.447147,1,198,104,71.74,24.02,0,745
1649764536.472145,1,191,101,75.17,112.54,1,746
1649764536.497142,1,179,100,70.70,23.81,0,746
1649764536.522139,1,176,105,74.09,22.09,0,746
1649764536.547137,1,176,101,69.74,22.32,0,746
1649764536.572134,1,265,132,73.28,26.80,0,746
1649764536.597131,1,210,107,69.30,26.38,0,746
1649764536.622128,1,193,104,72.68,104.75,1,775
1649764536.647125,1,176,96,68.81,23.09,0,775
1649764536.672123,1,169,90,72.78,22.68,0,775
1649764536.697120,1,155,81,69.35,21.21,0,775
1649764536.722118,1,153,83,72.93,19.69,0,775
1649764536.747115,1,148,75,65.30,20.37,0,775
1649764536.772112,1,159,79,69.54,108.47,1,795
1649764536.797110,1,154,77,65.95,20.59,0,795
1649764536.822107,1,151,79,70.00,21.59,0,795
1649764536.847104,1,146,77,66.24,20.75,0,795
1649764536.872101,1,135,72,70.58,19.30,0,795
1649764536.897099,1,126,71,66.63,19.05,0,795
1649764536.922096,1,136,74,70.21,109.37,1,818
1649764536.947093,1,160,81,65.85,20.94,0,818
1649764536.972090,1,135,68,69.55,20.23,0,818
1649764536.997087,1,134,70,62.07,18.78,0,818
1649764537.022085,1,152,76,65.63,19.84,0,818
1649764537.047082,1,147,67,61.93,20.19,0,818
1649764537.072080,1,138,67,65.94,95.64,1,850
1649764537.097080,1,130,62,62.54,19.07,0,850
1649764537.122077,1,119,60,66.27,20.23,0,850
1649764537.147074,1,108,54,62.75,17.92,0,850
1649764537.172071,1,112,60,66.87,18.34,0,850
1649764537.197069,1,100,52,63.76,18.61,0,850
1649764537.222066,1,108,60,67.68,101.34,1,879
1649764537.247063,1,110,56,64.63,18.18,0,879
1649764537.272061,1,113,60,68.84,22.00,0,879
1649764537.297058,1,180,89,65.70,21.47,0,879
1649764537.322055,1,129,68,68.89,21.07,0,879
1649764537.347052,1,115,64,65.34,18.66,0,879
1649764537.372050,1,106,54,68.12,56.67,1,820
1649764537.397047,1,102,58,64.87,17.92,0,820
1649764537.422044,1,100,46,66.79,16.83,0,820
1649764537.447042,1,108,56,64.11,16.11,0,820
1649764537.472039,1,116,56,66.51,17.90,0,820
1649764537.497036,1,254,117,64.42,23.99,0,820
1649764537.522033,1,143,71,66.54,87.41,1,839
1649764537.547031,1,217,101,64.49,23.68,0,839
1649764537.572028,1,182,75,67.00,25.32,0,839
1649764537.597025,1,103,47,64.94,19.26,0,839
1649764537.622023,1,88,43,66.71,15.61,0,839
1649764537.647020,1,77,40,64.44,80.58,1,864
1649764537.672017,1,70,42,66.20,13.88,0,864
1649764537.697014,1,61,35,64.44,14.10,0,864
1649764537.722012,1,62,36,65.76,12.79,0,864
1649764537.747009,1,300,102,63.96,25.78,0,864
1649764537.772007,1,74,37,65.82,23.87,0,864
1649764537.797004,1,72,40,64.27,74.83,1,880
1649764537.822001,1,300,83,65.35,24.04,0,880
1649764537.846998,1,75,42,64.00,22.48,0,880
1649764537.871995,1,138,65,65.14,17.01,0,880
1649764537.896993,1,79,42,64.64,17.88,0,880
1649764537.921990,1,300,102,65.02,24.52,0,880
1649764537.946987,1,300,103,64.65,98.06,1,959
1649764537.971985,1,300,103,65.25,32.72,0,959
1649764537.996982,1,101,58,65.37,81.29,1,989
1649764538.021979,1,128,65,65.17,18.32,0,989
1649764538.046977,1,91,50,65.18,18.05,0,989
1649764538.071974,1,79,45,65.12,14.53,0,989
1649764538.096971,1,73,45,65.64,14.23,0,989
1649764538.121968,1,101,56,64.78,15.87,0,989
1649764538.146966,1,78,42,65.24,84.89,1,1009
1649764538.171963,1,103,53,64.53,16.59,0,1009
1649764538.196960,1,83,52,65.28,16.44,0,1009
1649764538.221957,1,109,66,63.23,17.14,0,1009
1649764538.246955,1,93,48,63.99,16.99,0,1009
1649764538.271952,1,300,102,61.91,24.44,0,1009
1649764538.296949,1,99,52,63.70,90.79,1,1023
1649764538.321947,1,300,92,60.96,23.71,0,1023
1649764538.346944,1,300,92,62.85,30.17,0,1023
1649764538.371941,1,300,112,60.46,32.39,0,1023
1649764538.396939,1,222,88,63.00,29.06,0,1023
1649764538.421936,1,300,99,59.75,27.93,0,1023
1649764538.446933,1,208,79,62.13,82.27,1,1042
1649764538.471930,1,203,85,59.03,25.95,0,1042
1649764538.496928,1,220,83,62.14,26.19,0,1042
1649764538.521925,1,300,98,58.08,28.86,0,1042
1649764538.546922,1,262,86,60.96,30.79,0,1042
1649764538.571920,1,147,71,57.17,23.96,0,1042
1649764538.596917,1,193,77,60.77,89.56,1,1049
1649764538.621914,1,300,107,56.10,28.45,0,1049
1649764538.646911,1,274,98,59.47,31.32,0,1049
1649764538.671909,1,300,99,55.23,30.42,0,1049
1649764538.696906,1,227,86,66.27,29.17,0,1049
1649764538.721903,1,300,114,61.74,29.84,0,1049
1649764538.746901,1,300,105,65.12,92.79,1,1068
1649764538.771898,1,300,108,61.19,32.38,0,1068
1649764538.796895,1,210,79,65.69,27.78,0,1068
1649764538.821892,1,300,105,61.06,27.69,0,1068
1649764538.846890,1,220,84,64.96,28.08,0,1068
1649764538.871887,1,204,82,61.25,25.14,0,1068
1649764538.896884,1,300,110,66.29,91.22,1,1089
1649764538.921882,1,300,107,61.87,34.10,0,1089
1649764538.946879,1,300,97,66.39,33.36,0,1089
1649764538.971876,1,300,94,62.69,32.38,0,1089
1649764538.996873,1,255,82,68.33,30.48,0,1089
1649764539.021871,1,300,101,63.36,30.59,0,1089
1649764539.046868,1,300,106,68.29,96.08,1,1114
1649764539.071865,1,173,72,64.47,85.60,1,1085
1649764539.096863,1,162,73,71.07,20.87,0,1085
1649764539.121860,1,146,78,65.71,19.95,0,1085
1649764539.146857,1,158,78,71.14,19.52,0,1085
1649764539.171854,1,153,71,66.53,18.84,0,1085
1649764539.196852,1,171,77,73.08,20.30,0,1085
1649764539.221849,1,154,76,67.09,70.91,1,1105
1649764539.246846,1,266,93,72.65,25.94,0,1105
1649764539.271844,1,273,98,68.31,31.48,0,1105
1649764539.296841,1,300,92,75.66,32.89,0,1105
1649764539.321838,1,300,110,70.01,34.82,0,1105
1649764539.346835,1,300,102,76.44,33.62,0,1105
1649764539.371833,1,300,108,72.27,85.37,1,1133
1649764539.396830,1,188,84,80.46,28.02,0,1133
1649764539.421827,1,268,79,74.79,27.32,0,1133
1649764539.446825,1,251,82,82.00,28.26,0,1133
1649764539.471822,1,258,78,77.99,27.66,0,1133
1649764539.496819,1,300,91,86.62,31.17,0,1133
1649764539.521816,1,149,66,74.31,86.17,1,1128
1649764539.546814,1,287,84,82.24,26.20,0,1128
1649764539.571811,1,169,66,76.71,25.20,0,1128
1649764539.596808,1,300,91,86.46,27.32,0,1128
1649764539.621806,1,203,72,73.40,30.82,0,1128
1649764539.646803,1,300,85,82.59,30.84,0,1128
1649764539.671800,1,179,72,72.41,89.83,1,1131
1649764539.696797,1,300,96,83.18,28.90,0,1131
1649764539.721795,1,300,80,70.39,33.57,0,1131
1649764539.746792,1,300,83,79.89,33.35,0,1131
1649764539.771790,1,300,81,73.09,33.63,0,1131
1649764539.796787,1,300,91,83.79,34.82,0,1131
1649764539.821784,1,193,66,70.61,87.88,1,1137
1649764539.846781,1,300,80,80.10,28.45,0,1137
1649764539.871778,1,300,73,73.85,37.78,0,1137
1649764539.896776,1,300,81,84.53,36.78,0,1137
1649764539.921773,1,300,74,71.07,34.62,0,1137
1649764539.946770,1,300,77,80.29,34.77,0,1137
1649764539.971768,1,300,78,74.57,88.54,1,1159
1649764539.996765,1,300,80,84.82,37.06,0,1159
1649764540.021762,1,300,69,72.41,34.56,0,1159
1649764540.046760,1,300,71,81.21,35.50,0,1159
1649764540.071757,1,300,59,76.15,39.41,0,1159
1649764540.096754,1,300,62,85.63,33.53,0,1159
1649764540.121752,1,300,60,72.72,88.55,1,1155
1649764540.146749,1,300,69,80.31,37.65,0,1155
1649764540.171746,1,285,61,75.83,33.08,0,1155
1649764540.196743,1,286,63,84.57,32.60,0,1155
1649764540.221740,1,133,49,73.26,80.28,1,1122
1649764540.246738,1,300,64,80.56,27.62,0,1122
1649764540.271735,1,287,66,77.24,39.03,0,1122
1649764540.296732,1,162,51,85.13,27.70,0,1122
1649764540.321730,1,300,52,74.48,32.09,0,1122
1649764540.346727,1,199,48,80.79,30.73,0,1122
1649764540.371724,1,300,50,78.36,103.58,1,1113
1649764540.396722,1,292,52,85.27,33.69,0,1113
1649764540.421719,1,213,44,80.23,36.86,0,1113
1649764540.446716,1,167,52,85.44,72.53,1,1136
1649764540.471714,1,127,40,83.90,21.33,0,1136
1649764540.496711,1,129,38,89.51,18.79,0,1136
1649764540.521708,1,113,36,81.63,19.20,0,1136
1649764540.546705,1,300,45,86.02,25.88,0,1136
1649764540.571703,1,300,43,86.70,41.58,0,1136
1649764540.596700,1,300,42,92.10,97.89,1,1160
1649764540.621697,1,300,38,91.15,38.58,0,1160
1649764540.646694,1,300,39,95.63,34.03,0,1160
1649764540.671692,1,300,38,98.36,38.15,0,1160
1649764540.696689,1,156,34,103.04,65.56,1,1167
1649764540.721686,1,107,40,98.13,19.47,0,1167
1649764540.746684,1,115,37,101.20,17.42,0,1167
1649764540.771681,1,135,57,99.07,18.91,0,1167
1649764540.796678,1,147,90,93.32,20.25,0,1167
1649764540.821676,1,173,122,84.31,21.51,0,1167
1649764540.846673,1,182,135,79.13,90.51,1,1207
1649764540.871670,1,178,140,79.42,22.20,0,1207
1649764540.896667,1,170,134,78.01,20.91,0,1207
1649764540.921665,1,168,129,76.31,19.93,0,1207
1649764540.946662,1,177,132,74.47,20.71,0,1207
1649764540.971659,1,300,174,75.24,28.23,0,1207
1649764540.996656,1,297,178,73.84,80.84,1,1254
1649764541.021654,1,300,163,73.38,31.41,0,1254
1649764541.046651,1,266,151,71.08,27.76,0,1254
1649764541.071648,1,198,131,72.35,25.74,0,1254
1649764541.096648,1,300,162,70.08,28.39,0,1254
1649764541.121645,1,235,149,69.99,28.06,0,1254
1649764541.146642,1,300,162,67.00,90.17,1,1299
1649764541.171639,1,300,171,69.00,37.31,0,1299
1649764541.196637,1,300,169,66.29,32.43,0,1299
1649764541.221634,1,241,137,67.22,29.32,0,1299
