t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.15,0,0
1649764528.098053,0,0,0,60.45,1.06,0,0
1649764528.123050,0,0,0,60.56,1.07,0,0
1649764528.148048,0,0,0,60.57,1.06,0,0
1649764528.173045,0,0,0,60.47,1.06,0,0
1649764528.198042,0,0,0,60.46,1.05,0,0
1649764528.223039,0,0,0,60.56,1.04,0,0
1649764528.248037,0,0,0,60.58,1.07,0,0
1649764528.273034,0,0,0,60.45,1.07,0,0
1649764528.298031,0,0,0,60.46,1.01,0,0
1649764528.323029,0,0,0,60.54,1.08,0,0
1649764528.348026,0,0,0,60.55,1.06,0,0
1649764528.373023,0,0,0,60.43,1.06,0,0
1649764528.398021,0,0,0,60.43,1.05,0,0
1649764528.423018,0,0,0,60.53,1.04,0,0
1649764528.448015,0,0,0,60.54,1.06,0,0
1649764528.473012,0,0,0,60.41,1.03,0,0
1649764528.498010,0,0,0,60.43,1.02,0,0
1649764528.523007,0,0,0,60.53,1.04,0,0
1649764528.548005,0,0,0,60.55,1.04,0,0
1649764528.573002,0,0,0,60.41,1.01,0,0
1649764528.597999,0,0,0,60.42,1.03,0,0
1649764528.622997,0,0,0,60.51,1.06,0,0
1649764528.647994,0,0,0,60.53,1.05,0,0
1649764528.672991,0,0,0,60.42,1.04,0,0
1649764528.697988,0,0,0,60.42,1.05,0,0
1649764528.722986,0,0,0,60.50,1.00,0,0
1649764528.747983,0,0,0,60.53,1.04,0,0
1649764528.772980,0,0,0,60.42,1.05,0,0
1649764528.797978,0,0,0,60.43,1.06,0,0
1649764528.822975,0,0,0,60.51,1.06,0,0
1649764528.847972,0,0,0,60.55,1.09,0,0
1649764528.872969,0,0,0,60.42,1.04,0,0
1649764528.897967,0,0,0,60.45,1.07,0,0
1649764528.922964,0,0,0,60.51,1.05,0,0
1649764528.947961,0,0,0,60.52,1.04,0,0
1649764528.972959,1,177,89,60.41,23.70,1,88
1649764528.997956,1,300,108,60.46,24.48,0,88
1649764529.022953,1,300,111,60.54,25.82,0,88
1649764529.047951,1,300,113,60.55,26.54,0,88
1649764529.072948,1,300,114,60.43,26.15,0,88
1649764529.097945,1,300,111,60.46,21.50,0,88
1649764529.122942,1,300,113,60.54,30.15,1,183
1649764529.147940,1,300,116,60.55,26.80,0,183
1649764529.172937,1,300,116,60.44,21.79,0,183
1649764529.197934,1,300,112,60.48,21.59,0,183
1649764529.222932,1,300,114,60.53,21.69,0,183
1649764529.247929,1,300,114,60.54,21.70,0,183
1649764529.272927,1,300,113,60.42,35.22,1,262
1649764529.297924,1,300,116,60.49,22.08,0,262
1649764529.322921,1,300,113,60.53,22.19,0,262
1649764529.347918,1,300,114,60.55,21.92,0,262
1649764529.372916,1,300,114,60.46,21.74,0,262
1649764529.397913,1,300,115,60.50,21.72,0,262
1649764529.422910,1,300,117,60.56,48.82,1,260
1649764529.447908,1,300,113,60.56,21.68,0,260
1649764529.472905,1,300,114,60.43,21.80,0,260
1649764529.497902,1,300,117,60.48,21.77,0,260
1649764529.522899,1,300,114,60.56,21.86,0,260
1649764529.547897,1,300,114,60.56,21.89,0,260
1649764529.572894,1,300,114,60.44,38.58,1,234
1649764529.597891,1,300,114,60.50,21.64,0,234
1649764529.622889,1,300,115,60.55,22.06,0,234
1649764529.647886,1,300,114,60.56,21.86,0,234
1649764529.672883,1,300,113,60.42,21.76,0,234
1649764529.697881,1,300,115,60.48,21.59,0,234
1649764529.722878,1,300,113,60.54,45.97,1,224
1649764529.747875,1,300,114,60.54,21.68,0,224
1649764529.772872,1,300,115,60.43,21.81,0,224
1649764529.797870,1,300,114,60.48,21.66,0,224
1649764529.822867,1,300,115,60.53,21.74,0,224
1649764529.847864,1,300,118,60.52,21.88,0,224
1649764529.872862,1,300,114,60.40,45.36,1,194
1649764529.897859,1,300,115,60.48,21.81,0,194
1649764529.922856,1,300,115,60.53,21.93,0,194
1649764529.947854,1,300,116,60.54,21.92,0,194
1649764529.972851,1,300,117,60.40,21.72,0,194
1649764529.997848,1,300,116,60.48,22.03,0,194
1649764530.022846,1,300,115,60.53,41.41,1,135
1649764530.047843,1,300,114,60.53,21.73,0,135
1649764530.072840,1,300,116,60.40,21.83,0,135
1649764530.097838,1,300,116,60.48,21.68,0,135
1649764530.122835,1,300,115,60.53,21.83,0,135
1649764530.147832,1,300,116,60.53,21.86,0,135
1649764530.172829,1,300,116,60.39,48.70,1,205
1649764530.197827,1,300,114,60.50,21.57,0,205
1649764530.222824,1,300,114,60.54,21.55,0,205
1649764530.247821,1,300,116,60.51,21.78,0,205
1649764530.272819,1,300,117,60.40,21.97,0,205
1649764530.297816,1,300,115,60.47,21.83,0,205
1649764530.322814,1,300,114,60.49,51.20,1,231
1649764530.347811,1,300,117,60.48,22.21,0,231
1649764530.372808,1,300,116,60.35,21.83,0,231
1649764530.397805,1,300,116,60.46,21.75,0,231
1649764530.422802,1,300,116,60.47,21.87,0,231
1649764530.447800,1,300,114,60.47,21.78,0,231
1649764530.472797,1,300,117,60.35,48.24,1,233
1649764530.497794,1,300,116,60.45,21.99,0,233
1649764530.522792,1,300,117,60.49,21.86,0,233
1649764530.547789,1,300,114,60.49,21.74,0,233
1649764530.572786,1,300,113,60.36,21.85,0,233
1649764530.597784,1,300,116,60.46,21.91,0,233
1649764530.622781,1,300,117,60.49,58.65,1,238
1649764530.647778,1,300,117,60.50,22.00,0,238
1649764530.672776,1,300,115,60.37,21.79,0,238
1649764530.697773,1,300,116,60.47,22.10,0,238
1649764530.722770,1,300,116,60.51,22.01,0,238
1649764530.747767,1,300,115,60.50,22.00,0,238
1649764530.772765,1,300,115,60.38,73.48,1,232
1649764530.797762,1,300,115,60.49,22.06,0,232
1649764530.822759,1,300,117,60.51,21.99,0,232
1649764530.847757,1,300,115,60.48,21.75,0,232
1649764530.872754,1,300,115,60.36,21.92,0,232
1649764530.897751,1,300,114,60.49,21.74,0,232
1649764530.922749,1,300,118,60.51,58.05,1,217
1649764530.947746,1,300,118,60.48,22.35,0,217
1649764530.972743,1,300,121,60.36,22.16,0,217
1649764530.997741,1,300,118,60.48,21.72,0,217
1649764531.022738,1,300,118,60.51,21.93,0,217
1649764531.047735,1,300,115,60.48,21.55,0,217
1649764531.072732,1,300,115,60.37,121.65,1,226
1649764531.097730,1,300,116,60.48,21.82,0,226
1649764531.122727,1,300,116,60.51,21.85,0,226
1649764531.147724,1,300,117,60.48,21.87,0,226
1649764531.172722,1,300,118,60.37,22.18,0,226
1649764531.197719,1,300,115,60.48,22.16,0,226
1649764531.222716,1,300,117,60.50,62.96,1,207
1649764531.247714,1,300,115,60.46,22.07,0,207
1649764531.272711,1,300,115,60.37,21.77,0,207
1649764531.297708,1,300,115,60.47,21.94,0,207
1649764531.322706,1,300,117,60.51,22.23,0,207
1649764531.347703,1,300,116,60.46,21.52,0,207
1649764531.372700,1,300,115,60.35,81.66,1,207
1649764531.397697,1,300,115,60.46,26.78,0,207
1649764531.422695,1,300,114,60.49,22.77,0,207
1649764531.447692,1,300,115,60.45,21.80,0,207
1649764531.472689,1,300,116,60.34,21.81,0,207
1649764531.497687,1,300,114,60.46,21.61,0,207
1649764531.522684,1,300,116,60.51,68.39,1,202
1649764531.547681,1,300,115,60.45,21.76,0,202
1649764531.572679,1,300,117,60.34,21.84,0,202
1649764531.597676,1,300,116,60.46,21.89,0,202
1649764531.622673,1,300,118,60.49,22.09,0,202
1649764531.647671,1,300,114,60.44,21.81,0,202
1649764531.672668,1,300,117,60.34,108.05,1,205
1649764531.697665,1,300,116,60.47,22.00,0,205
1649764531.722662,1,300,116,60.50,21.88,0,205
1649764531.747659,1,300,116,60.44,21.70,0,205
1649764531.772657,1,300,118,60.34,22.11,0,205
1649764531.797654,1,300,113,60.45,21.46,0,205
1649764531.822652,1,300,115,60.49,75.47,1,193
1649764531.847649,1,300,118,60.42,22.27,0,193
1649764531.872646,1,300,118,60.34,21.88,0,193
1649764531.897644,1,300,117,60.45,21.55,0,193
1649764531.922641,1,300,115,60.48,21.93,0,193
1649764531.947638,1,300,115,60.41,21.76,0,193
1649764531.972636,1,300,116,60.32,79.04,1,183
1649764531.997633,1,300,118,60.45,21.94,0,183
1649764532.022630,1,300,115,60.49,21.91,0,183
1649764532.047627,1,300,116,60.41,21.75,0,183
1649764532.072625,1,300,118,60.32,21.88,0,183
1649764532.097619,1,300,118,60.44,22.02,0,183
1649764532.122616,1,300,116,60.48,106.67,1,204
1649764532.147614,1,300,115,60.42,21.83,0,204
1649764532.172611,1,300,116,60.31,21.90,0,204
1649764532.197608,1,300,117,60.42,21.76,0,204
1649764532.222605,1,300,117,60.49,21.83,0,204
1649764532.247603,1,300,118,60.40,21.79,0,204
1649764532.272600,1,300,116,60.31,137.30,1,200
1649764532.297597,1,300,116,60.41,22.20,0,200
1649764532.322595,1,300,115,60.47,21.96,0,200
1649764532.347592,1,300,117,60.40,21.94,0,200
1649764532.372589,1,300,117,60.31,21.95,0,200
1649764532.397587,1,300,118,60.44,21.84,0,200
1649764532.422584,1,300,118,60.52,172.07,1,187
1649764532.447581,1,300,119,60.45,22.15,0,187
1649764532.472578,1,300,118,60.39,22.16,0,187
1649764532.497576,1,300,114,60.50,21.79,0,187
1649764532.522573,1,300,120,60.54,21.97,0,187
1649764532.547570,1,300,118,60.48,21.78,0,187
1649764532.572568,1,300,117,60.39,124.54,1,210
1649764532.597565,1,300,118,60.51,22.37,0,210
1649764532.622562,1,300,116,60.54,21.97,0,210
1649764532.647559,1,300,117,60.45,21.89,0,210
1649764532.672557,1,300,115,60.35,21.93,0,210
1649764532.697554,1,300,118,60.49,21.92,0,210
1649764532.722551,1,300,116,60.51,233.40,1,215
1649764532.747549,1,300,119,60.42,22.06,0,215
1649764532.772546,1,300,115,60.32,21.86,0,215
1649764532.797544,1,300,116,60.44,21.70,0,215
1649764532.822541,1,300,116,60.44,21.94,0,215
1649764532.847538,1,300,116,60.32,21.90,0,215
1649764532.872535,1,300,118,60.23,148.48,1,212
1649764532.897532,1,300,117,60.32,22.50,0,212
1649764532.922530,1,300,117,60.36,21.91,0,212
1649764532.947527,1,300,116,60.26,21.86,0,212
1649764532.972524,1,300,118,60.21,22.00,0,212
1649764532.997521,1,300,116,60.33,21.65,0,212
1649764533.022519,1,300,116,60.36,148.04,1,216
1649764533.047516,1,300,116,60.25,22.05,0,216
1649764533.072514,1,300,117,60.18,21.98,0,216
1649764533.097511,1,300,118,60.26,21.77,0,216
1649764533.122508,1,300,118,60.28,21.92,0,216
1649764533.147506,1,300,118,60.14,21.87,0,216
1649764533.172503,1,300,118,60.11,105.73,1,182
1649764533.197500,1,300,116,60.18,21.87,0,182
1649764533.222497,1,300,114,60.23,22.20,0,182
1649764533.247494,1,300,119,60.13,21.92,0,182
1649764533.272492,1,300,117,60.10,22.27,0,182
1649764533.297489,1,300,116,60.20,21.75,0,182
1649764533.322486,1,300,114,60.27,45.90,1,202
1649764533.347484,1,300,116,60.17,22.14,0,202
1649764533.372481,1,300,116,60.12,22.02,0,202
1649764533.397478,1,300,118,60.23,21.77,0,202
1649764533.422476,1,300,116,60.27,22.22,0,202
1649764533.447473,1,300,115,60.14,21.62,0,202
1649764533.472470,1,300,116,60.10,41.56,1,144
1649764533.497467,1,300,116,60.19,22.12,0,144
1649764533.522465,1,300,117,60.22,21.90,0,144
1649764533.547462,1,300,116,60.11,21.97,0,144
1649764533.572459,1,300,118,60.07,21.96,0,144
1649764533.597457,1,300,113,60.17,22.12,0,144
1649764533.622454,1,300,115,60.19,41.18,1,151
1649764533.647451,1,300,114,60.07,21.95,0,151
1649764533.672448,1,300,115,60.05,21.87,0,151
1649764533.697446,1,300,117,60.14,21.61,0,151
1649764533.722443,1,300,118,60.16,21.81,0,151
1649764533.747440,1,300,115,60.06,21.90,0,151
1649764533.772438,1,300,116,60.01,52.33,1,216
1649764533.797435,1,300,113,60.10,22.05,0,216
1649764533.822432,1,300,115,60.14,22.00,0,216
1649764533.847429,1,300,115,60.02,22.16,0,216
1649764533.872427,1,300,116,60.00,22.15,0,216
1649764533.897424,1,300,118,60.09,22.07,0,216
1649764533.922421,1,300,118,60.10,53.41,1,168
1649764533.947419,1,300,118,59.98,22.35,0,168
1649764533.972416,1,300,116,59.93,27.33,0,168
1649764533.997413,1,300,110,59.67,27.85,0,168
1649764534.022410,1,300,112,59.02,27.62,0,168
1649764534.047408,1,300,113,58.40,28.38,0,168
1649764534.072405,1,300,115,58.26,72.78,1,205
1649764534.097402,1,272,119,58.46,28.23,0,205
1649764534.122400,1,269,114,58.74,26.70,0,205
1649764534.147397,1,277,114,58.93,27.38,0,205
1649764534.172394,1,253,116,59.24,26.47,0,205
1649764534.197391,1,300,128,59.57,28.19,0,205
1649764534.222389,1,254,125,59.65,70.91,1,264
1649764534.247386,1,300,134,59.35,28.76,0,264
1649764534.272383,1,300,138,59.20,31.42,0,264
1649764534.297381,1,300,142,59.23,29.97,0,264
1649764534.322378,1,279,142,59.31,30.45,0,264
1649764534.347375,1,300,150,59.38,29.38,0,264
1649764534.372372,1,300,141,59.82,72.95,1,321
1649764534.397370,1,300,153,60.37,31.47,0,321
1649764534.422367,1,300,166,60.96,30.23,0,321
1649764534.447364,1,270,156,61.48,28.53,0,321
1649764534.472362,1,297,168,62.20,29.07,0,321
1649764534.497359,1,273,157,63.04,28.41,0,321
1649764534.522356,1,300,159,63.91,71.06,1,400
1649764534.547354,1,300,154,64.60,29.77,0,400
1649764534.572351,1,300,155,65.53,29.47,0,400
1649764534.597348,1,300,147,66.52,28.08,0,400
1649764534.622345,1,300,155,67.43,29.14,0,400
1649764534.647343,1,293,162,68.05,28.61,0,400
1649764534.672340,1,298,166,68.79,61.14,1,455
1649764534.697337,1,300,167,69.30,29.74,0,455
1649764534.722334,1,300,171,69.67,29.09,0,455
1649764534.747332,1,300,178,69.96,29.11,0,455
1649764534.772329,1,300,187,70.60,28.49,0,455
1649764534.797326,1,300,186,71.46,29.13,0,455
1649764534.822324,1,300,187,72.57,87.23,1,485
1649764534.847321,1,300,185,73.74,29.68,0,485
1649764534.872318,1,300,185,75.43,29.29,0,485
1649764534.897316,1,300,190,77.30,30.81,0,485
1649764534.922313,1,300,191,79.18,30.78,0,485
1649764534.947310,1,300,190,81.10,30.35,0,485
1649764534.972307,1,300,186,83.32,87.19,1,513
1649764534.997305,1,300,177,85.20,29.85,0,513
1649764535.022302,1,300,171,86.74,29.54,0,513
1649764535.047299,1,300,173,87.83,30.39,0,513
1649764535.072296,1,300,163,89.01,29.57,0,513
1649764535.097294,1,300,155,90.10,29.80,0,513
1649764535.122291,1,300,152,91.15,88.81,1,547
1649764535.147288,1,300,144,92.00,29.37,0,547
1649764535.172286,1,300,155,88.47,29.70,0,547
1649764535.197283,1,300,156,88.62,30.15,0,547
1649764535.222280,1,300,156,89.78,29.11,0,547
1649764535.247277,1,300,155,89.31,29.97,0,547
1649764535.272275,1,300,159,90.31,119.60,1,570
1649764535.297272,1,300,156,85.17,29.85,0,570
1649764535.322269,1,300,156,86.95,29.76,0,570
1649764535.347267,1,300,150,86.15,30.18,0,570
1649764535.372264,1,300,150,88.42,32.03,0,570
1649764535.397261,1,300,142,82.45,29.18,0,570
1649764535.422258,1,300,146,85.25,102.54,1,603
1649764535.447256,1,300,144,79.05,29.87,0,603
1649764535.472253,1,300,140,82.33,29.52,0,603
1649764535.497250,1,300,138,80.25,29.66,0,603
1649764535.522248,1,300,136,83.05,29.17,0,603
1649764535.547245,1,300,137,75.69,28.45,0,603
1649764535.572242,1,300,137,78.56,94.11,1,612
1649764535.597239,1,300,135,74.96,29.50,0,612
1649764535.622237,1,300,138,77.36,30.70,0,612
1649764535.647234,1,300,144,73.51,29.63,0,612
1649764535.672231,1,300,146,76.28,30.19,0,612
1649764535.697229,1,300,147,72.76,29.34,0,612
1649764535.722226,1,300,149,75.67,95.70,1,647
1649764535.747223,1,300,151,72.17,29.85,0,647
1649764535.772221,1,300,144,75.53,30.23,0,647
1649764535.797218,1,300,152,72.35,30.75,0,647
1649764535.822215,1,300,162,75.85,30.93,0,647
1649764535.847212,1,300,160,72.63,30.10,0,647
1649764535.872210,1,300,162,76.50,99.43,1,666
1649764535.897207,1,300,157,73.41,30.19,0,666
1649764535.922204,1,300,158,77.21,29.97,0,666
1649764535.947201,1,300,157,73.99,30.19,0,666
1649764535.972199,1,300,154,78.21,31.82,0,666
1649764535.997196,1,300,153,74.83,29.76,0,666
1649764536.022193,1,287,158,78.13,95.57,1,705
1649764536.047191,1,300,157,73.60,29.90,0,705
1649764536.072188,1,300,157,76.64,30.20,0,705
1649764536.097185,1,300,154,72.16,30.13,0,705
1649764536.122183,1,300,157,75.41,30.36,0,705
1649764536.147180,1,289,157,71.21,29.40,0,705
1649764536.172177,1,300,159,74.87,101.12,1,744
1649764536.197175,1,294,156,70.61,30.84,0,744
1649764536.222172,1,300,145,73.91,29.81,0,744
1649764536.247169,1,283,140,69.62,28.99,0,744
1649764536.272166,1,262,130,73.59,27.69,0,744
1649764536.297163,1,257,123,69.75,26.39,0,744
1649764536.322161,1,257,127,73.65,106.98,1,762
1649764536.347158,1,239,112,69.84,26.45,0,762
1649764536.372155,1,235,117,74.70,25.33,0,762
1649764536.397153,1,222,110,71.71,25.56,0,762
1649764536.422150,1,224,115,76.25,25.13,0,762
1649764536.447147,1,207,107,71.74,24.24,0,762
1649764536.472145,1,197,100,75.17,125.34,1,773
1649764536.497142,1,185,103,70.70,23.85,0,773
1649764536.522139,1,181,108,74.09,22.20,0,773
1649764536.547137,1,178,104,69.74,21.97,0,773
1649764536.572134,1,260,131,73.28,26.68,0,773
1649764536.597131,1,212,113,69.30,26.28,0,773
1649764536.622128,1,205,117,72.68,105.10,1,804
1649764536.647125,1,193,113,68.81,24.00,0,804
1649764536.672123,1,189,108,72.78,23.59,0,804
1649764536.697120,1,182,101,69.35,22.75,0,804
1649764536.722118,1,172,99,72.93,23.54,0,804
1649764536.747115,1,165,90,65.30,21.42,0,804
1649764536.772112,1,173,91,69.54,99.27,1,838
1649764536.797110,1,164,94,65.95,23.23,0,838
1649764536.822107,1,164,91,70.00,20.75,0,838
1649764536.847104,1,164,94,66.24,21.42,0,838
1649764536.872101,1,141,74,70.58,21.55,0,838
1649764536.897099,1,135,79,66.63,18.92,0,838
1649764536.922096,1,139,74,70.21,109.27,1,851
1649764536.947093,1,148,78,65.85,20.05,0,851
1649764536.972090,1,168,90,69.55,21.07,0,851
1649764536.997087,1,157,82,62.07,20.51,0,851
1649764537.022085,1,142,77,65.63,20.35,0,851
1649764537.047082,1,152,75,61.93,22.19,0,851
1649764537.072080,1,131,66,65.94,101.70,1,884
1649764537.097080,1,123,64,62.54,19.47,0,884
1649764537.122077,1,119,60,66.27,19.04,0,884
1649764537.147074,1,107,55,62.75,18.02,0,884
1649764537.172071,1,108,58,66.87,17.95,0,884
1649764537.197069,1,102,59,63.76,17.32,0,884
1649764537.222066,1,107,59,67.68,135.64,1,910
1649764537.247063,1,107,54,64.63,18.44,0,910
1649764537.272061,1,110,61,68.84,19.07,0,910
1649764537.297058,1,99,49,65.70,17.31,0,910
1649764537.322055,1,97,53,68.89,16.74,0,910
1649764537.347052,1,93,54,65.34,15.90,0,910
1649764537.372050,1,106,45,68.12,97.11,1,872
1649764537.397047,1,88,43,64.87,18.86,0,872
1649764537.422044,1,83,36,66.79,16.60,0,872
1649764537.447042,1,75,36,64.11,14.46,0,872
1649764537.472039,1,133,57,66.51,16.52,0,872
