t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.12,0,0
1649764528.098053,0,0,0,60.45,1.01,0,0
1649764528.123050,0,0,0,60.56,1.12,0,0
1649764528.148048,0,0,0,60.57,1.06,0,0
1649764528.173045,0,0,0,60.47,1.03,0,0
1649764528.198042,0,0,0,60.46,1.02,0,0
1649764528.223039,0,0,0,60.56,1.01,0,0
1649764528.248037,0,0,0,60.58,1.04,0,0
1649764528.273034,0,0,0,60.45,0.98,0,0
1649764528.298031,0,0,0,60.46,1.10,0,0
1649764528.323029,0,0,0,60.54,1.05,0,0
1649764528.348026,0,0,0,60.55,1.00,0,0
1649764528.373023,0,0,0,60.43,1.05,0,0
1649764528.398021,0,0,0,60.43,0.99,0,0
1649764528.423018,0,0,0,60.53,1.00,0,0
1649764528.448015,0,0,0,60.54,1.04,0,0
1649764528.473012,0,0,0,60.41,1.04,0,0
1649764528.498010,0,0,0,60.43,0.99,0,0
1649764528.523007,0,0,0,60.53,0.98,0,0
1649764528.548005,0,0,0,60.55,1.04,0,0
1649764528.573002,0,0,0,60.41,0.99,0,0
1649764528.597999,0,0,0,60.42,0.99,0,0
1649764528.622997,0,0,0,60.51,1.04,0,0
1649764528.647994,0,0,0,60.53,0.99,0,0
1649764528.672991,0,0,0,60.42,1.02,0,0
1649764528.697988,0,0,0,60.42,1.00,0,0
1649764528.722986,0,0,0,60.50,1.00,0,0
1649764528.747983,0,0,0,60.53,1.05,0,0
1649764528.772980,0,0,0,60.42,1.03,0,0
1649764528.797978,0,0,0,60.43,0.98,0,0
1649764528.822975,0,0,0,60.51,0.99,0,0
1649764528.847972,0,0,0,60.55,1.03,0,0
1649764528.872969,0,0,0,60.42,1.00,0,0
1649764528.897967,0,0,0,60.45,0.99,0,0
1649764528.922964,0,0,0,60.51,0.99,0,0
1649764528.947961,0,0,0,60.52,1.14,0,0
1649764528.972959,1,177,91,60.41,19.16,1,91
1649764528.997956,1,300,113,60.46,19.54,0,91
1649764529.022953,1,300,120,60.54,20.79,0,91
1649764529.047951,1,300,116,60.55,15.96,0,91
1649764529.072948,1,300,116,60.43,15.96,0,91
1649764529.097945,1,300,118,60.46,15.97,0,91
1649764529.122942,1,300,116,60.54,23.25,1,203
1649764529.147940,1,300,120,60.55,20.84,0,203
1649764529.172937,1,300,120,60.44,15.98,0,203
1649764529.197934,1,300,116,60.48,16.23,0,203
1649764529.222932,1,300,118,60.53,15.98,0,203
1649764529.247929,1,300,117,60.54,15.94,0,203
1649764529.272927,1,300,118,60.42,29.77,1,267
1649764529.297924,1,300,119,60.49,15.95,0,267
1649764529.322921,1,300,119,60.53,15.98,0,267
1649764529.347918,1,300,118,60.55,16.03,0,267
1649764529.372916,1,300,119,60.46,16.22,0,267
1649764529.397913,1,300,119,60.50,16.09,0,267
1649764529.422910,1,300,119,60.56,36.91,1,258
1649764529.447908,1,300,118,60.56,15.87,0,258
1649764529.472905,1,300,119,60.43,15.94,0,258
1649764529.497902,1,300,119,60.48,16.07,0,258
1649764529.522899,1,300,120,60.56,16.07,0,258
1649764529.547897,1,300,117,60.56,21.23,0,258
1649764529.572894,1,300,117,60.44,36.24,1,268
1649764529.597891,1,300,117,60.50,17.60,0,268
1649764529.622889,1,300,118,60.55,20.94,0,268
1649764529.647886,1,300,119,60.56,16.33,0,268
1649764529.672883,1,300,117,60.42,16.06,0,268
1649764529.697881,1,300,118,60.48,16.13,0,268
1649764529.722878,1,300,118,60.54,34.87,1,275
1649764529.747875,1,300,115,60.54,16.11,0,275
1649764529.772872,1,300,118,60.43,16.08,0,275
1649764529.797870,1,300,116,60.48,15.96,0,275
1649764529.822867,1,300,120,60.53,15.99,0,275
1649764529.847864,1,300,118,60.52,16.07,0,275
1649764529.872862,1,300,117,60.40,37.37,1,285
1649764529.897859,1,300,118,60.48,15.95,0,285
1649764529.922856,1,300,117,60.53,15.94,0,285
1649764529.947854,1,300,119,60.54,16.09,0,285
1649764529.972851,1,300,119,60.40,15.86,0,285
1649764529.997848,1,300,119,60.48,15.95,0,285
1649764530.022846,1,300,118,60.53,40.19,1,291
1649764530.047843,1,300,116,60.53,16.04,0,291
1649764530.072840,1,300,118,60.40,15.88,0,291
1649764530.097838,1,300,118,60.48,15.84,0,291
1649764530.122835,1,300,119,60.53,16.21,0,291
1649764530.147832,1,300,119,60.53,16.23,0,291
1649764530.172829,1,300,119,60.39,55.20,1,256
1649764530.197827,1,300,119,60.50,16.09,0,256
1649764530.222824,1,300,121,60.54,15.98,0,256
1649764530.247821,1,300,118,60.51,15.99,0,256
1649764530.272819,1,300,123,60.40,16.15,0,256
1649764530.297816,1,300,119,60.47,16.04,0,256
1649764530.322814,1,300,121,60.49,52.59,1,246
1649764530.347811,1,300,119,60.48,16.07,0,246
1649764530.372808,1,300,119,60.35,15.92,0,246
1649764530.397805,1,300,119,60.46,16.09,0,246
1649764530.422802,1,300,121,60.47,16.17,0,246
1649764530.447800,1,300,119,60.47,16.01,0,246
1649764530.472797,1,300,118,60.35,47.98,1,251
1649764530.497794,1,300,120,60.45,16.09,0,251
1649764530.522792,1,300,121,60.49,15.80,0,251
1649764530.547789,1,300,118,60.49,15.91,0,251
1649764530.572786,1,300,120,60.36,16.09,0,251
1649764530.597784,1,300,121,60.46,16.13,0,251
1649764530.622781,1,300,121,60.49,80.10,1,275
1649764530.647778,1,300,118,60.50,16.29,0,275
1649764530.672776,1,300,118,60.37,16.11,0,275
1649764530.697773,1,300,120,60.47,15.95,0,275
1649764530.722770,1,300,120,60.51,16.01,0,275
1649764530.747767,1,300,118,60.50,15.96,0,275
1649764530.772765,1,300,119,60.38,86.86,1,269
1649764530.797762,1,300,119,60.49,16.12,0,269
1649764530.822759,1,300,120,60.51,16.11,0,269
1649764530.847757,1,300,119,60.48,15.94,0,269
1649764530.872754,1,300,120,60.36,16.21,0,269
1649764530.897751,1,300,119,60.49,15.92,0,269
1649764530.922749,1,300,124,60.51,70.73,1,266
1649764530.947746,1,300,120,60.48,16.19,0,266
1649764530.972743,1,300,123,60.36,16.06,0,266
1649764530.997741,1,300,121,60.48,15.90,0,266
1649764531.022738,1,300,120,60.51,16.07,0,266
1649764531.047735,1,300,122,60.48,20.74,0,266
1649764531.072732,1,300,119,60.37,78.50,1,268
1649764531.097730,1,300,118,60.48,16.16,0,268
1649764531.122727,1,300,122,60.51,15.99,0,268
1649764531.147724,1,300,118,60.48,15.99,0,268
1649764531.172722,1,300,122,60.37,16.27,0,268
1649764531.197719,1,300,120,60.48,16.03,0,268
1649764531.222716,1,300,120,60.50,80.73,1,270
1649764531.247714,1,300,117,60.46,16.23,0,270
1649764531.272711,1,300,117,60.37,16.21,0,270
1649764531.297708,1,300,118,60.47,16.14,0,270
1649764531.322706,1,300,121,60.51,16.08,0,270
1649764531.347703,1,300,122,60.46,15.99,0,270
1649764531.372700,1,300,117,60.35,128.01,1,262
1649764531.397697,1,300,122,60.46,16.40,0,262
1649764531.422695,1,300,118,60.49,16.28,0,262
1649764531.447692,1,300,118,60.45,16.14,0,262
1649764531.472689,1,300,121,60.34,16.32,0,262
1649764531.497687,1,300,119,60.46,16.23,0,262
1649764531.522684,1,300,118,60.51,94.07,1,262
1649764531.547681,1,300,118,60.45,16.11,0,262
1649764531.572679,1,300,119,60.34,16.25,0,262
1649764531.597676,1,300,120,60.46,16.05,0,262
1649764531.622673,1,300,121,60.49,16.13,0,262
1649764531.647671,1,300,118,60.44,15.88,0,262
1649764531.672668,1,300,123,60.34,79.84,1,259
1649764531.697665,1,300,118,60.47,16.19,0,259
1649764531.722662,1,300,120,60.50,16.07,0,259
1649764531.747659,1,300,119,60.44,16.09,0,259
1649764531.772657,1,300,120,60.34,16.01,0,259
1649764531.797654,1,300,118,60.45,16.07,0,259
1649764531.822652,1,300,118,60.49,88.91,1,259
1649764531.847649,1,300,119,60.42,16.20,0,259
1649764531.872646,1,300,122,60.34,16.17,0,259
1649764531.897644,1,300,122,60.45,21.88,0,259
1649764531.922641,1,300,120,60.48,16.56,0,259
1649764531.947638,1,300,119,60.41,15.98,0,259
1649764531.972636,1,300,123,60.32,94.77,1,252
1649764531.997633,1,300,122,60.45,16.05,0,252
1649764532.022630,1,300,121,60.49,16.26,0,252
1649764532.047627,1,300,121,60.41,16.09,0,252
1649764532.072625,1,300,123,60.32,16.21,0,252
1649764532.097619,1,300,124,60.44,15.96,0,252
1649764532.122616,1,300,119,60.48,103.83,1,255
1649764532.147614,1,300,120,60.42,16.15,0,255
1649764532.172611,1,300,122,60.31,16.19,0,255
1649764532.197608,1,300,122,60.42,16.22,0,255
1649764532.222605,1,300,120,60.49,16.05,0,255
1649764532.247603,1,300,122,60.40,16.26,0,255
1649764532.272600,1,300,125,60.31,144.40,1,257
1649764532.297597,1,300,123,60.41,16.11,0,257
1649764532.322595,1,300,122,60.47,16.31,0,257
1649764532.347592,1,300,120,60.40,16.11,0,257
1649764532.372589,1,300,122,60.31,16.25,0,257
1649764532.397587,1,300,120,60.44,15.94,0,257
1649764532.422584,1,300,121,60.52,157.68,1,249
1649764532.447581,1,300,122,60.45,16.22,0,249
1649764532.472578,1,300,120,60.39,16.10,0,249
1649764532.497576,1,300,119,60.50,16.11,0,249
1649764532.522573,1,300,122,60.54,16.44,0,249
1649764532.547570,1,300,121,60.48,15.90,0,249
1649764532.572568,1,300,121,60.39,122.54,1,237
1649764532.597565,1,300,122,60.51,16.58,0,237
1649764532.622562,1,300,118,60.54,22.23,0,237
1649764532.647559,1,300,120,60.45,16.08,0,237
1649764532.672557,1,300,119,60.35,16.07,0,237
1649764532.697554,1,300,121,60.49,16.36,0,237
1649764532.722551,1,300,123,60.51,129.53,1,234
1649764532.747549,1,300,123,60.42,16.05,0,234
1649764532.772546,1,300,121,60.32,16.00,0,234
1649764532.797544,1,300,121,60.44,16.07,0,234
1649764532.822541,1,300,120,60.44,16.22,0,234
1649764532.847538,1,300,122,60.32,16.11,0,234
1649764532.872535,1,300,122,60.23,142.67,1,236
1649764532.897532,1,300,123,60.32,16.61,0,236
1649764532.922530,1,300,119,60.36,16.55,0,236
1649764532.947527,1,300,120,60.26,16.17,0,236
1649764532.972524,1,300,123,60.21,16.06,0,236
1649764532.997521,1,300,120,60.33,15.85,0,236
1649764533.022519,1,300,118,60.36,189.38,1,231
1649764533.047516,1,300,119,60.25,16.19,0,231
1649764533.072514,1,300,120,60.18,16.16,0,231
1649764533.097511,1,300,121,60.26,16.14,0,231
1649764533.122508,1,300,121,60.28,16.04,0,231
1649764533.147506,1,300,118,60.14,16.57,0,231
1649764533.172503,1,300,119,60.11,90.52,1,186
1649764533.197500,1,300,119,60.18,16.06,0,186
1649764533.222497,1,300,119,60.23,16.23,0,186
1649764533.247494,1,300,123,60.13,16.23,0,186
1649764533.272492,1,300,121,60.10,15.97,0,186
1649764533.297489,1,300,120,60.20,15.92,0,186
1649764533.322486,1,300,119,60.27,41.53,1,172
1649764533.347484,1,300,121,60.17,16.16,0,172
1649764533.372481,1,300,121,60.12,16.18,0,172
1649764533.397478,1,300,121,60.23,15.92,0,172
1649764533.422476,1,300,120,60.27,16.25,0,172
1649764533.447473,1,300,120,60.14,15.96,0,172
1649764533.472470,1,300,121,60.10,43.38,1,185
1649764533.497467,1,300,120,60.19,16.31,0,185
1649764533.522465,1,300,120,60.22,16.07,0,185
1649764533.547462,1,300,123,60.11,16.09,0,185
1649764533.572459,1,300,120,60.07,16.19,0,185
1649764533.597457,1,300,119,60.17,16.39,0,185
1649764533.622454,1,300,118,60.19,53.12,1,193
1649764533.647451,1,300,120,60.07,16.40,0,193
1649764533.672448,1,300,119,60.05,16.38,0,193
1649764533.697446,1,300,118,60.14,16.16,0,193
1649764533.722443,1,300,121,60.16,16.02,0,193
1649764533.747440,1,300,119,60.06,15.96,0,193
1649764533.772438,1,300,120,60.01,44.32,1,182
1649764533.797435,1,300,118,60.10,16.24,0,182
1649764533.822432,1,300,121,60.14,16.36,0,182
1649764533.847429,1,300,118,60.02,16.16,0,182
1649764533.872427,1,300,120,60.00,16.33,0,182
1649764533.897424,1,300,122,60.09,16.18,0,182
1649764533.922421,1,300,121,60.10,49.21,1,191
1649764533.947419,1,300,122,59.98,16.37,0,191
1649764533.972416,1,300,119,59.93,21.37,0,191
1649764533.997413,1,300,114,59.67,21.89,0,191
1649764534.022410,1,300,118,59.02,22.38,0,191
1649764534.047408,1,300,113,58.40,22.61,0,191
1649764534.072405,1,300,118,58.26,59.86,1,263
1649764534.097402,1,281,122,58.46,22.46,0,263
1649764534.122400,1,268,120,58.74,20.79,0,263
1649764534.147397,1,278,117,58.93,21.51,0,263
1649764534.172394,1,258,121,59.24,20.70,0,263
1649764534.197391,1,300,132,59.57,22.58,0,263
1649764534.222389,1,300,139,59.65,58.38,1,295
1649764534.247386,1,300,147,59.35,23.86,0,295
1649764534.272383,1,300,149,59.20,22.88,0,295
1649764534.297381,1,300,148,59.23,23.24,0,295
1649764534.322378,1,288,148,59.31,23.10,0,295
1649764534.347375,1,265,140,59.38,20.79,0,295
1649764534.372372,1,300,139,59.82,61.62,1,374
1649764534.397370,1,246,142,60.37,21.90,0,374
1649764534.422367,1,300,161,60.96,21.04,0,374
1649764534.447364,1,254,159,61.48,19.93,0,374
1649764534.472362,1,252,156,62.20,18.86,0,374
1649764534.497359,1,300,170,63.04,20.69,0,374
1649764534.522356,1,300,156,63.91,73.74,1,443
