t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.11,0,0
1649764528.098053,0,0,0,60.45,1.00,0,0
1649764528.123050,0,0,0,60.56,1.01,0,0
1649764528.148048,0,0,0,60.57,1.20,0,0
1649764528.173045,0,0,0,60.47,1.17,0,0
1649764528.198042,0,0,0,60.46,1.15,0,0
1649764528.223039,0,0,0,60.56,1.18,0,0
1649764528.248037,0,0,0,60.58,1.25,0,0
1649764528.273034,0,0,0,60.45,1.14,0,0
1649764528.298031,0,0,0,60.46,1.11,0,0
1649764528.323029,0,0,0,60.54,1.01,0,0
1649764528.348026,0,0,0,60.55,1.01,0,0
1649764528.373023,0,0,0,60.43,1.02,0,0
1649764528.398021,0,0,0,60.43,0.99,0,0
1649764528.423018,0,0,0,60.53,1.00,0,0
1649764528.448015,0,0,0,60.54,1.04,0,0
1649764528.473012,0,0,0,60.41,1.04,0,0
1649764528.498010,0,0,0,60.43,0.99,0,0
1649764528.523007,0,0,0,60.53,0.99,0,0
1649764528.548005,0,0,0,60.55,1.05,0,0
1649764528.573002,0,0,0,60.41,1.00,0,0
1649764528.597999,0,0,0,60.42,1.01,0,0
1649764528.622997,0,0,0,60.51,1.04,0,0
1649764528.647994,0,0,0,60.53,1.00,0,0
1649764528.672991,0,0,0,60.42,1.02,0,0
1649764528.697988,0,0,0,60.42,0.98,0,0
1649764528.722986,0,0,0,60.50,0.99,0,0
1649764528.747983,0,0,0,60.53,1.02,0,0
1649764528.772980,0,0,0,60.42,1.00,0,0
1649764528.797978,0,0,0,60.43,0.99,0,0
1649764528.822975,0,0,0,60.51,0.99,0,0
1649764528.847972,0,0,0,60.55,1.02,0,0
1649764528.872969,0,0,0,60.42,0.99,0,0
1649764528.897967,0,0,0,60.45,0.99,0,0
1649764528.922964,0,0,0,60.51,1.08,0,0
1649764528.947961,0,0,0,60.52,1.00,0,0
1649764528.972959,1,177,89,60.41,23.47,1,88
1649764528.997956,1,300,108,60.46,24.54,0,88
1649764529.022953,1,300,111,60.54,25.83,0,88
1649764529.047951,1,300,113,60.55,26.37,0,88
1649764529.072948,1,300,114,60.43,26.00,0,88
1649764529.097945,1,300,111,60.46,21.34,0,88
1649764529.122942,1,300,113,60.54,29.94,1,183
1649764529.147940,1,300,116,60.55,26.28,0,183
1649764529.172937,1,300,116,60.44,21.84,0,183
1649764529.197934,1,300,112,60.48,21.43,0,183
1649764529.222932,1,300,114,60.53,21.58,0,183
1649764529.247929,1,300,113,60.54,21.42,0,183
1649764529.272927,1,300,113,60.42,44.25,1,259
1649764529.297924,1,300,117,60.49,22.00,0,259
1649764529.322921,1,300,113,60.53,21.61,0,259
1649764529.347918,1,300,114,60.55,21.57,0,259
1649764529.372916,1,300,114,60.46,21.60,0,259
1649764529.397913,1,300,115,60.50,21.61,0,259
1649764529.422910,1,300,117,60.56,47.50,1,252
1649764529.447908,1,300,113,60.56,21.82,0,252
1649764529.472905,1,300,114,60.43,21.80,0,252
1649764529.497902,1,300,117,60.48,21.76,0,252
1649764529.522899,1,300,114,60.56,21.62,0,252
1649764529.547897,1,300,114,60.56,21.84,0,252
1649764529.572894,1,300,114,60.44,39.23,1,233
1649764529.597891,1,300,114,60.50,21.75,0,233
1649764529.622889,1,300,116,60.55,21.58,0,233
1649764529.647886,1,300,114,60.56,21.42,0,233
1649764529.672883,1,300,113,60.42,21.53,0,233
1649764529.697881,1,300,115,60.48,21.62,0,233
1649764529.722878,1,300,113,60.54,42.66,1,218
1649764529.747875,1,300,114,60.54,21.47,0,218
1649764529.772872,1,300,115,60.43,21.72,0,218
1649764529.797870,1,300,114,60.48,21.47,0,218
1649764529.822867,1,300,115,60.53,21.57,0,218
1649764529.847864,1,300,118,60.52,21.76,0,218
1649764529.872862,1,300,114,60.40,48.30,1,253
1649764529.897859,1,300,115,60.48,21.69,0,253
1649764529.922856,1,300,115,60.53,21.66,0,253
1649764529.947854,1,300,116,60.54,21.92,0,253
1649764529.972851,1,300,117,60.40,21.66,0,253
1649764529.997848,1,300,116,60.48,21.74,0,253
1649764530.022846,1,300,115,60.53,58.59,1,235
1649764530.047843,1,300,114,60.53,21.48,0,235
1649764530.072840,1,300,116,60.40,21.83,0,235
1649764530.097838,1,300,116,60.48,21.78,0,235
1649764530.122835,1,300,115,60.53,21.60,0,235
1649764530.147832,1,300,116,60.53,21.53,0,235
1649764530.172829,1,300,116,60.39,46.43,1,220
1649764530.197827,1,300,114,60.50,21.61,0,220
1649764530.222824,1,300,114,60.54,21.41,0,220
1649764530.247821,1,300,116,60.51,21.61,0,220
1649764530.272819,1,300,117,60.40,22.14,0,220
1649764530.297816,1,300,116,60.47,21.74,0,220
1649764530.322814,1,300,115,60.49,49.67,1,233
1649764530.347811,1,300,117,60.48,22.02,0,233
1649764530.372808,1,300,116,60.35,21.69,0,233
1649764530.397805,1,300,116,60.46,21.60,0,233
1649764530.422802,1,300,116,60.47,22.26,0,233
1649764530.447800,1,300,114,60.47,21.68,0,233
1649764530.472797,1,300,117,60.35,68.59,1,238
1649764530.497794,1,300,116,60.45,21.85,0,238
1649764530.522792,1,300,116,60.49,21.69,0,238
1649764530.547789,1,300,114,60.49,22.03,0,238
1649764530.572786,1,300,113,60.36,21.86,0,238
1649764530.597784,1,300,117,60.46,21.84,0,238
1649764530.622781,1,300,117,60.49,70.16,1,218
1649764530.647778,1,300,117,60.50,21.94,0,218
1649764530.672776,1,300,114,60.37,21.62,0,218
1649764530.697773,1,300,117,60.47,21.90,0,218
1649764530.722770,1,300,116,60.51,21.69,0,218
1649764530.747767,1,300,115,60.50,21.76,0,218
1649764530.772765,1,300,115,60.38,73.09,1,202
1649764530.797762,1,300,115,60.49,22.08,0,202
1649764530.822759,1,300,117,60.51,22.02,0,202
1649764530.847757,1,300,115,60.48,21.90,0,202
1649764530.872754,1,300,115,60.36,21.99,0,202
1649764530.897751,1,300,114,60.49,21.49,0,202
1649764530.922749,1,300,118,60.51,58.18,1,223
1649764530.947746,1,300,117,60.48,22.07,0,223
1649764530.972743,1,300,121,60.36,22.10,0,223
1649764530.997741,1,300,118,60.48,21.69,0,223
1649764531.022738,1,300,116,60.51,21.78,0,223
1649764531.047735,1,300,115,60.48,21.48,0,223
1649764531.072732,1,300,115,60.37,61.99,1,242
1649764531.097730,1,300,116,60.48,21.87,0,242
1649764531.122727,1,300,116,60.51,21.62,0,242
1649764531.147724,1,300,117,60.48,21.69,0,242
1649764531.172722,1,300,118,60.37,21.94,0,242
1649764531.197719,1,300,115,60.48,21.99,0,242
1649764531.222716,1,300,117,60.50,78.47,1,236
1649764531.247714,1,300,114,60.46,21.97,0,236
1649764531.272711,1,300,114,60.37,21.97,0,236
1649764531.297708,1,300,115,60.47,22.05,0,236
1649764531.322706,1,300,117,60.51,22.12,0,236
1649764531.347703,1,300,116,60.46,21.55,0,236
1649764531.372700,1,300,115,60.35,68.83,1,226
1649764531.397697,1,300,116,60.46,22.02,0,226
1649764531.422695,1,300,114,60.49,22.39,0,226
1649764531.447692,1,300,115,60.45,21.70,0,226
1649764531.472689,1,300,116,60.34,21.84,0,226
1649764531.497687,1,300,114,60.46,21.52,0,226
1649764531.522684,1,300,116,60.51,72.35,1,227
1649764531.547681,1,300,115,60.45,21.82,0,227
1649764531.572679,1,300,116,60.34,21.90,0,227
1649764531.597676,1,300,116,60.46,21.79,0,227
1649764531.622673,1,300,118,60.49,21.98,0,227
1649764531.647671,1,300,114,60.44,21.47,0,227
1649764531.672668,1,300,117,60.34,77.47,1,226
1649764531.697665,1,300,116,60.47,21.91,0,226
1649764531.722662,1,300,116,60.50,22.31,0,226
1649764531.747659,1,300,116,60.44,21.73,0,226
1649764531.772657,1,300,118,60.34,21.78,0,226
1649764531.797654,1,300,113,60.45,21.63,0,226
1649764531.822652,1,300,115,60.49,82.02,1,222
