t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.11,0,0
1649764528.098053,0,0,0,60.45,1.01,0,0
1649764528.123050,0,0,0,60.56,1.00,0,0
1649764528.148048,0,0,0,60.57,1.03,0,0
1649764528.173045,0,0,0,60.47,1.05,0,0
1649764528.198042,0,0,0,60.46,1.00,0,0
1649764528.223039,0,0,0,60.56,1.17,0,0
1649764528.248037,0,0,0,60.58,1.04,0,0
1649764528.273034,0,0,0,60.45,0.99,0,0
1649764528.298031,0,0,0,60.46,1.00,0,0
1649764528.323029,0,0,0,60.54,1.04,0,0
1649764528.348026,0,0,0,60.55,0.99,0,0
1649764528.373023,0,0,0,60.43,1.08,0,0
1649764528.398021,0,0,0,60.43,1.03,0,0
1649764528.423018,0,0,0,60.53,1.00,0,0
1649764528.448015,0,0,0,60.54,1.03,0,0
1649764528.473012,0,0,0,60.41,1.03,0,0
1649764528.498010,0,0,0,60.43,0.99,0,0
1649764528.523007,0,0,0,60.53,0.99,0,0
1649764528.548005,0,0,0,60.55,1.05,0,0
1649764528.573002,0,0,0,60.41,0.99,0,0
1649764528.597999,0,0,0,60.42,1.00,0,0
1649764528.622997,0,0,0,60.51,1.02,0,0
1649764528.647994,0,0,0,60.53,1.00,0,0
1649764528.672991,0,0,0,60.42,1.04,0,0
1649764528.697988,0,0,0,60.42,1.00,0,0
1649764528.722986,0,0,0,60.50,1.10,0,0
1649764528.747983,0,0,0,60.53,1.14,0,0
1649764528.772980,0,0,0,60.42,1.02,0,0
1649764528.797978,0,0,0,60.43,0.99,0,0
1649764528.822975,0,0,0,60.51,0.99,0,0
1649764528.847972,0,0,0,60.55,1.04,0,0
1649764528.872969,0,0,0,60.42,1.01,0,0
1649764528.897967,0,0,0,60.45,0.99,0,0
1649764528.922964,0,0,0,60.51,0.99,0,0
1649764528.947961,0,0,0,60.52,0.99,0,0
1649764528.972959,1,177,89,60.41,19.22,1,89
1649764528.997956,1,300,109,60.46,19.08,0,89
1649764529.022953,1,300,112,60.54,20.47,0,89
1649764529.047951,1,300,113,60.55,20.81,0,89
1649764529.072948,1,300,115,60.43,20.21,0,89
1649764529.097945,1,300,112,60.46,15.88,0,89
1649764529.122942,1,300,114,60.54,23.49,1,203
1649764529.147940,1,300,116,60.55,20.92,0,203
1649764529.172937,1,300,116,60.44,16.10,0,203
1649764529.197934,1,300,112,60.48,15.98,0,203
1649764529.222932,1,300,115,60.53,16.11,0,203
1649764529.247929,1,300,114,60.54,16.21,0,203
1649764529.272927,1,300,114,60.42,30.64,1,270
1649764529.297924,1,300,118,60.49,16.10,0,270
1649764529.322921,1,300,114,60.53,16.18,0,270
1649764529.347918,1,300,115,60.55,16.10,0,270
1649764529.372916,1,300,114,60.46,16.10,0,270
1649764529.397913,1,300,116,60.50,16.10,0,270
1649764529.422910,1,300,117,60.56,36.22,1,277
1649764529.447908,1,300,113,60.56,16.50,0,277
1649764529.472905,1,300,115,60.43,16.15,0,277
1649764529.497902,1,300,118,60.48,15.92,0,277
1649764529.522899,1,300,116,60.56,15.93,0,277
1649764529.547897,1,300,115,60.56,15.98,0,277
1649764529.572894,1,300,115,60.44,32.70,1,281
1649764529.597891,1,300,114,60.50,16.07,0,281
1649764529.622889,1,300,116,60.55,16.09,0,281
1649764529.647886,1,300,115,60.56,15.94,0,281
1649764529.672883,1,300,114,60.42,15.95,0,281
1649764529.697881,1,300,116,60.48,15.85,0,281
1649764529.722878,1,300,113,60.54,37.61,1,259
1649764529.747875,1,300,115,60.54,16.33,0,259
1649764529.772872,1,300,115,60.43,15.92,0,259
1649764529.797870,1,300,115,60.48,15.87,0,259
1649764529.822867,1,300,116,60.53,15.96,0,259
