t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.13,0,0
1649764528.098053,0,0,0,60.45,1.00,0,0
1649764528.123050,0,0,0,60.56,1.01,0,0
1649764528.148048,0,0,0,60.57,1.02,0,0
1649764528.173045,0,0,0,60.47,1.02,0,0
1649764528.198042,0,0,0,60.46,0.99,0,0
1649764528.223039,0,0,0,60.56,1.00,0,0
1649764528.248037,0,0,0,60.58,1.07,0,0
1649764528.273034,0,0,0,60.45,1.02,0,0
1649764528.298031,0,0,0,60.46,0.99,0,0
1649764528.323029,0,0,0,60.54,1.03,0,0
1649764528.348026,0,0,0,60.55,1.03,0,0
1649764528.373023,0,0,0,60.43,1.14,0,0
1649764528.398021,0,0,0,60.43,1.00,0,0
1649764528.423018,0,0,0,60.53,1.00,0,0
1649764528.448015,0,0,0,60.54,1.01,0,0
1649764528.473012,0,0,0,60.41,1.06,0,0
1649764528.498010,0,0,0,60.43,1.02,0,0
1649764528.523007,0,0,0,60.53,1.11,0,0
1649764528.548005,0,0,0,60.55,1.03,0,0
1649764528.573002,0,0,0,60.41,1.01,0,0
1649764528.597999,0,0,0,60.42,1.00,0,0
1649764528.622997,0,0,0,60.51,1.06,0,0
1649764528.647994,0,0,0,60.53,1.00,0,0
1649764528.672991,0,0,0,60.42,1.02,0,0
1649764528.697988,0,0,0,60.42,1.00,0,0
1649764528.722986,0,0,0,60.50,0.99,0,0
1649764528.747983,0,0,0,60.53,1.07,0,0
1649764528.772980,0,0,0,60.42,1.05,0,0
1649764528.797978,0,0,0,60.43,1.00,0,0
1649764528.822975,0,0,0,60.51,1.01,0,0
1649764528.847972,0,0,0,60.55,1.03,0,0
1649764528.872969,0,0,0,60.42,1.00,0,0
1649764528.897967,0,0,0,60.45,0.99,0,0
1649764528.922964,0,0,0,60.51,1.00,0,0
1649764528.947961,0,0,0,60.52,1.04,0,0
1649764528.972959,1,177,89,60.41,23.56,1,88
1649764528.997956,1,300,108,60.46,24.36,0,88
1649764529.022953,1,300,111,60.54,25.81,0,88
1649764529.047951,1,300,113,60.55,26.52,0,88
1649764529.072948,1,300,114,60.43,26.06,0,88
1649764529.097945,1,300,111,60.46,21.38,0,88
1649764529.122942,1,300,113,60.54,29.72,1,179
1649764529.147940,1,300,116,60.55,26.40,0,179
1649764529.172937,1,300,116,60.44,21.94,0,179
1649764529.197934,1,300,112,60.48,21.74,0,179
1649764529.222932,1,300,114,60.53,21.70,0,179
1649764529.247929,1,300,112,60.54,26.16,0,179
1649764529.272927,1,300,113,60.42,36.02,1,190
1649764529.297924,1,300,117,60.49,22.21,0,190
1649764529.322921,1,300,113,60.53,21.70,0,190
1649764529.347918,1,300,114,60.55,21.53,0,190
1649764529.372916,1,300,114,60.46,21.67,0,190
1649764529.397913,1,300,115,60.50,21.71,0,190
1649764529.422910,1,300,116,60.56,35.51,1,152
1649764529.447908,1,300,112,60.56,22.18,0,152
1649764529.472905,1,300,113,60.43,22.11,0,152
1649764529.497902,1,300,116,60.48,21.67,0,152
1649764529.522899,1,300,113,60.56,21.75,0,152
1649764529.547897,1,300,113,60.56,21.67,0,152
1649764529.572894,1,300,113,60.44,41.83,1,233
1649764529.597891,1,300,113,60.50,21.51,0,233
1649764529.622889,1,300,115,60.55,21.62,0,233
1649764529.647886,1,300,113,60.56,21.60,0,233
1649764529.672883,1,300,112,60.42,21.50,0,233
1649764529.697881,1,300,114,60.48,21.53,0,233
1649764529.722878,1,300,112,60.54,40.32,1,266
1649764529.747875,1,300,112,60.54,21.46,0,266
1649764529.772872,1,300,114,60.43,21.74,0,266
1649764529.797870,1,300,113,60.48,21.67,0,266
1649764529.822867,1,300,114,60.53,21.72,0,266
1649764529.847864,1,300,117,60.52,21.92,0,266
1649764529.872862,1,300,113,60.40,42.21,1,281
1649764529.897859,1,300,114,60.48,21.54,0,281
1649764529.922856,1,300,114,60.53,21.53,0,281
1649764529.947854,1,300,115,60.54,27.08,0,281
1649764529.972851,1,300,116,60.40,21.63,0,281
1649764529.997848,1,300,115,60.48,21.72,0,281
1649764530.022846,1,300,115,60.53,56.22,1,267
1649764530.047843,1,300,113,60.53,21.65,0,267
1649764530.072840,1,300,115,60.40,21.76,0,267
1649764530.097838,1,300,115,60.48,21.58,0,267
1649764530.122835,1,300,114,60.53,21.71,0,267
1649764530.147832,1,300,115,60.53,21.63,0,267
1649764530.172829,1,300,115,60.39,47.31,1,250
1649764530.197827,1,300,113,60.50,21.46,0,250
1649764530.222824,1,300,113,60.54,21.43,0,250
1649764530.247821,1,300,115,60.51,21.63,0,250
1649764530.272819,1,300,116,60.40,21.81,0,250
1649764530.297816,1,300,115,60.47,21.81,0,250
