t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1649764528.073054,0,0,0,60.45,1.13,0,0
1649764528.098053,0,0,0,60.45,1.06,0,0
1649764528.123050,0,0,0,60.56,1.01,0,0
1649764528.148048,0,0,0,60.57,1.05,0,0
1649764528.173045,0,0,0,60.47,1.07,0,0
1649764528.198042,0,0,0,60.46,1.04,0,0
1649764528.223039,0,0,0,60.56,1.00,0,0
1649764528.248037,0,0,0,60.58,1.05,0,0
1649764528.273034,0,0,0,60.45,0.99,0,0
1649764528.298031,0,0,0,60.46,1.04,0,0
1649764528.323029,0,0,0,60.54,1.06,0,0
1649764528.348026,0,0,0,60.55,1.04,0,0
1649764528.373023,0,0,0,60.43,1.13,0,0
1649764528.398021,0,0,0,60.43,1.10,0,0
1649764528.423018,0,0,0,60.53,1.09,0,0
1649764528.448015,0,0,0,60.54,1.14,0,0
1649764528.473012,0,0,0,60.41,1.15,0,0
1649764528.498010,0,0,0,60.43,1.09,0,0
1649764528.523007,0,0,0,60.53,1.10,0,0
1649764528.548005,0,0,0,60.55,1.13,0,0
1649764528.573002,0,0,0,60.41,1.01,0,0
1649764528.597999,0,0,0,60.42,0.99,0,0
1649764528.622997,0,0,0,60.51,1.05,0,0
1649764528.647994,0,0,0,60.53,1.01,0,0
1649764528.672991,0,0,0,60.42,1.07,0,0
1649764528.697988,0,0,0,60.42,1.06,0,0
1649764528.722986,0,0,0,60.50,1.01,0,0
1649764528.747983,0,0,0,60.53,1.07,0,0
1649764528.772980,0,0,0,60.42,1.03,0,0
1649764528.797978,0,0,0,60.43,1.01,0,0
1649764528.822975,0,0,0,60.51,0.99,0,0
1649764528.847972,0,0,0,60.55,1.04,0,0
1649764528.872969,0,0,0,60.42,1.00,0,0
1649764528.897967,0,0,0,60.45,1.00,0,0
1649764528.922964,0,0,0,60.51,0.99,0,0
1649764528.947961,0,0,0,60.52,1.04,0,0
1649764528.972959,1,177,89,60.41,19.09,1,89
1649764528.997956,1,300,108,60.46,19.10,0,89
1649764529.022953,1,300,111,60.54,22.13,0,89
1649764529.047951,1,300,114,60.55,23.13,0,89
1649764529.072948,1,300,115,60.43,23.52,0,89
1649764529.097945,1,300,112,60.46,19.18,0,89
1649764529.122942,1,300,114,60.54,28.54,1,201
1649764529.147940,1,300,115,60.55,19.80,0,201
1649764529.172937,1,300,116,60.44,19.54,0,201
1649764529.197934,1,300,112,60.48,19.58,0,201
1649764529.222932,1,300,114,60.53,24.10,0,201
1649764529.247929,1,300,113,60.54,24.18,0,201
1649764529.272927,1,300,115,60.42,33.72,1,253
1649764529.297924,1,300,117,60.49,19.92,0,253
1649764529.322921,1,300,111,60.53,19.46,0,253
1649764529.347918,1,300,114,60.55,19.89,0,253
1649764529.372916,1,300,114,60.46,19.51,0,253
1649764529.397913,1,300,116,60.50,19.56,0,253
1649764529.422910,1,300,116,60.56,37.68,1,279
1649764529.447908,1,300,112,60.56,24.52,0,279
1649764529.472905,1,300,113,60.43,19.52,0,279
1649764529.497902,1,300,116,60.48,19.44,0,279
1649764529.522899,1,300,114,60.56,19.68,0,279
1649764529.547897,1,300,113,60.56,19.57,0,279
1649764529.572894,1,300,113,60.44,43.61,1,263
1649764529.597891,1,300,113,60.50,19.62,0,263
1649764529.622889,1,300,115,60.55,20.11,0,263
1649764529.647886,1,300,113,60.56,19.84,0,263
1649764529.672883,1,300,112,60.42,19.78,0,263
1649764529.697881,1,300,115,60.48,19.83,0,263
1649764529.722878,1,300,114,60.54,38.55,1,276
1649764529.747875,1,300,113,60.54,19.85,0,276
1649764529.772872,1,300,115,60.43,19.60,0,276
1649764529.797870,1,300,113,60.48,19.56,0,276
1649764529.822867,1,300,114,60.53,19.66,0,276
1649764529.847864,1,300,118,60.52,19.74,0,276
1649764529.872862,1,300,113,60.40,40.28,1,275
1649764529.897859,1,300,114,60.48,19.64,0,275
1649764529.922856,1,300,114,60.53,19.59,0,275
1649764529.947854,1,300,115,60.54,19.67,0,275
1649764529.972851,1,300,116,60.40,19.69,0,275
1649764529.997848,1,300,114,60.48,19.63,0,275
1649764530.022846,1,300,115,60.53,49.36,1,289
1649764530.047843,1,300,112,60.53,19.78,0,289
1649764530.072840,1,300,114,60.40,19.75,0,289
1649764530.097838,1,300,115,60.48,19.67,0,289
1649764530.122835,1,300,114,60.53,19.80,0,289
1649764530.147832,1,300,114,60.53,19.59,0,289
1649764530.172829,1,300,116,60.39,62.81,1,285
1649764530.197827,1,300,115,60.50,19.63,0,285
1649764530.222824,1,300,112,60.54,19.35,0,285
1649764530.247821,1,300,115,60.51,19.57,0,285
1649764530.272819,1,300,116,60.40,19.58,0,285
1649764530.297816,1,300,113,60.47,19.54,0,285
1649764530.322814,1,300,113,60.49,55.76,1,284
1649764530.347811,1,300,115,60.48,19.83,0,284
1649764530.372808,1,300,114,60.35,19.74,0,284
1649764530.397805,1,300,115,60.46,19.56,0,284
1649764530.422802,1,300,115,60.47,19.53,0,284
1649764530.447800,1,300,113,60.47,19.77,0,284
1649764530.472797,1,300,115,60.35,51.56,1,290
1649764530.497794,1,300,115,60.45,19.90,0,290
1649764530.522792,1,300,115,60.49,19.97,0,290
1649764530.547789,1,300,113,60.49,19.92,0,290
1649764530.572786,1,300,112,60.36,19.80,0,290
1649764530.597784,1,300,113,60.46,19.72,0,290
1649764530.622781,1,300,116,60.49,56.31,1,291
1649764530.647778,1,300,113,60.50,20.04,0,291
1649764530.672776,1,300,114,60.37,19.81,0,291
1649764530.697773,1,300,114,60.47,19.78,0,291
1649764530.722770,1,300,113,60.51,19.83,0,291
1649764530.747767,1,300,114,60.50,19.84,0,291
1649764530.772765,1,300,114,60.38,60.51,1,285
1649764530.797762,1,300,114,60.49,19.78,0,285
1649764530.822759,1,300,118,60.51,19.77,0,285
1649764530.847757,1,300,113,60.48,19.63,0,285
1649764530.872754,1,300,114,60.36,19.79,0,285
1649764530.897751,1,300,113,60.49,19.66,0,285
1649764530.922749,1,300,116,60.51,64.04,1,281
1649764530.947746,1,300,116,60.48,19.83,0,281
1649764530.972743,1,300,117,60.36,19.80,0,281
1649764530.997741,1,300,117,60.48,19.68,0,281
1649764531.022738,1,300,115,60.51,19.81,0,281
1649764531.047735,1,300,114,60.48,19.71,0,281
1649764531.072732,1,300,113,60.37,68.21,1,277
1649764531.097730,1,300,115,60.48,19.66,0,277
1649764531.122727,1,300,115,60.51,19.73,0,277
1649764531.147724,1,300,114,60.48,19.61,0,277
1649764531.172722,1,300,116,60.37,19.89,0,277
