# timestamp tx ty tz qx qy qz qw
1.520530308199447632e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.775170671832456163e-03 6.343944913180635074e-03 -0.000000000000000000e+00 9.999783013305960644e-01
1.520530308249448776e+09 3.847796688205562532e-05 1.074458123184740543e-04 -1.285504549741744995e-05 3.311809557002850287e-03 4.154991281959025812e-03 5.437214176567643645e-04 9.999857360642324666e-01
1.520530308299450636e+09 -5.817884084535762668e-05 3.863618185278028250e-04 -5.836989730596542358e-04 4.992585409832814292e-03 4.119476122433778781e-03 1.803467320189936418e-03 9.999774255017096491e-01
1.520530308349502563e+09 1.280298311030492187e-04 8.342657820321619511e-04 -1.219552010297775269e-03 7.272318831851053156e-03 2.522165223469779831e-03 3.170046240916649192e-03 9.999653508338294250e-01
1.520530308399504662e+09 -8.760098717175424099e-04 -1.812461763620376587e-03 -2.100425808748695999e-05 1.180887215042773775e-02 4.952474541942379974e-03 3.362185501612075834e-03 9.999123557807949592e-01
1.520530308449504614e+09 -1.457540085539221764e-03 -2.734693000093102455e-03 -3.175150050083175302e-05 1.333369006583145014e-02 3.469932507343789167e-03 2.157932881547303464e-03 9.999027530731683377e-01
1.520530308499506474e+09 -2.123304177075624466e-03 -4.624556284397840500e-03 -9.593705181032419205e-05 1.285896231233208536e-02 2.986546762515230290e-03 -2.084742247062697663e-03 9.999106867497958850e-01
1.520530308549507618e+09 -3.487075679004192352e-03 -7.155529223382472992e-03 -9.562030318193137646e-04 9.819293686005838712e-03 5.793634424485771817e-03 -8.615189601734256700e-03 9.998978916768400671e-01
1.520530308599509716e+09 -5.074949469417333603e-03 -9.863922372460365295e-03 -2.037606667727231979e-03 4.655600862047493474e-03 6.941376061548581305e-03 -1.319866032074718323e-02 9.998779615756729910e-01
1.520530308649555445e+09 -5.700708366930484772e-03 -1.152201648801565170e-02 -2.411139430478215218e-03 2.288123625922379879e-03 6.132666417822670718e-03 -1.233803280079920697e-02 9.999024591626358704e-01
1.520530308699512720e+09 -5.198987666517496109e-03 -1.176725234836339951e-02 -2.589187817648053169e-03 2.895160476117925822e-03 6.525513951636255187e-03 -1.030042172415446787e-02 9.999214654290551341e-01
1.520530308749559164e+09 -4.591315053403377533e-03 -1.197064574807882309e-02 -2.899857703596353531e-03 6.811856018629251601e-03 7.046864550686096455e-03 -9.831253975694953517e-03 9.999036387386792679e-01
1.520530308799560070e+09 -4.410661291331052780e-03 -1.244121603667736053e-02 -2.331184688955545425e-03 1.080239205164091991e-02 3.062085519664282940e-03 -1.020813559844185002e-02 9.998848563338864626e-01
1.520530308849561930e+09 -3.400627756491303444e-03 -1.209726836532354355e-02 -1.429046969860792160e-03 1.429070595931320950e-02 -1.671103958907751335e-03 -6.691682479869322242e-03 9.998740943340473919e-01
1.520530308899563074e+09 -2.462130039930343628e-03 -1.143458206206560135e-02 -4.137591749895364046e-04 1.625950759064491088e-02 -4.377179147405172409e-03 -3.555069077010844861e-03 9.998519041335467428e-01
1.520530308949564934e+09 -2.060084370896220207e-03 -1.118565816432237625e-02 3.346193698234856129e-04 1.582917130654547255e-02 -4.111318207049827027e-03 -1.887989964393778884e-03 9.998644757627119795e-01
1.520530308999567032e+09 -1.662499504163861275e-03 -1.116943545639514923e-02 1.345064840279519558e-03 1.453316088242659690e-02 -4.307016364431706483e-03 -1.087461389423384451e-03 9.998845204685030685e-01
1.520530309049568176e+09 -1.025093486532568932e-03 -1.115842536091804504e-02 2.247116994112730026e-03 1.429928428319111357e-02 -5.208617528635532505e-03 -1.529835489530366336e-03 9.998830233461331041e-01
1.520530309099570036e+09 -2.209072044934146106e-05 -1.104398723691701889e-02 2.948593581095337868e-03 1.472443225178155825e-02 -5.709421262610696324e-03 -2.391164152257495117e-03 9.998724298317789305e-01
1.520530309149567366e+09 1.342123257927596569e-03 -1.027405448257923126e-02 4.096488002687692642e-03 1.437646590781708512e-02 -7.982488580195672145e-03 -1.329968543445287851e-03 9.998639048829305320e-01
1.520530309199582577e+09 2.712150802835822105e-03 -9.360677562654018402e-03 5.890236236155033112e-03 1.331621413864906601e-02 -1.098022241874753446e-02 -1.239500828459366363e-03 9.998502771887123330e-01
