t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,440,135,13.88,5.31
1520530308.249449,1,436,146,13.96,6.12
1520530308.299451,1,439,143,13.93,2.53
1520530308.349503,1,433,146,14.57,2.74
1520530308.399505,1,435,143,14.72,2.82
1520530308.449505,1,442,156,14.76,2.76
1520530308.499506,1,444,160,14.63,3.28
1520530308.549508,1,439,163,14.67,3.52
1520530308.599509,1,438,155,14.71,13.38
1520530308.649555,1,438,147,14.68,4.47
1520530308.699512,1,430,151,14.63,4.46
1520530308.749559,1,439,156,15.28,4.39
1520530308.799560,1,438,165,15.25,4.41
1520530308.849562,1,435,159,15.24,4.15
1520530308.899563,1,445,165,15.27,4.51
1520530308.949565,1,437,161,15.37,4.37
1520530308.999567,1,434,163,15.36,4.37
1520530309.049568,1,442,156,15.43,4.72
1520530309.099570,1,440,151,15.38,5.16
1520530309.149567,1,439,161,15.32,4.56
1520530309.199583,1,440,166,15.55,4.55
1520530309.249583,1,437,154,15.45,4.62
1520530309.299586,1,444,164,15.58,4.35
1520530309.349586,1,440,150,15.57,4.48
1520530309.399589,1,439,153,15.46,4.58
1520530309.449590,1,442,158,15.43,4.56
1520530309.499591,1,439,149,15.50,4.56
1520530309.549594,1,443,159,15.55,4.59
1520530309.599597,1,440,142,15.49,4.57
1520530309.649599,1,439,158,15.64,4.79
1520530309.699600,1,440,161,15.66,4.62
1520530309.749602,1,442,146,15.65,4.62
1520530309.799603,1,439,164,15.58,4.57
1520530309.849605,1,439,158,15.67,4.79
1520530309.899606,1,441,158,15.70,4.89
1520530309.949608,1,442,159,15.55,4.62
1520530309.999622,1,440,160,15.85,4.39
1520530310.049623,1,435,163,15.81,4.42
1520530310.099625,1,443,157,15.84,4.68
1520530310.149627,1,438,142,15.89,4.60
1520530310.199628,1,441,157,15.92,4.60
1520530310.249729,1,442,153,15.84,7.68
1520530310.299631,1,438,164,15.88,2.38
1520530310.349633,1,442,153,15.83,2.23
1520530310.399625,1,438,158,15.71,2.25
1520530310.449627,1,437,158,15.66,22.86
1520530310.499628,1,442,166,15.73,20.55
1520530310.549630,1,445,163,15.73,17.74
1520530310.599632,1,445,170,15.74,15.37
1520530310.649633,1,444,165,15.73,12.93
1520530310.699635,1,439,159,15.70,10.51
1520530310.749636,1,442,163,15.67,10.54
1520530310.799651,1,442,169,15.93,10.21
1520530310.849652,1,441,166,15.94,10.94
1520530310.899654,1,441,169,16.01,11.24
1520530310.949655,1,441,161,15.96,10.84
1520530310.999657,1,442,178,15.97,10.89
1520530311.049659,1,439,183,16.00,11.12
1520530311.099660,1,440,180,15.92,10.91
1520530311.149662,1,439,169,15.99,10.66
1520530311.199672,1,435,174,16.10,10.73
1520530311.249673,1,444,170,16.08,10.75
1520530311.299675,1,450,159,16.02,10.75
1520530311.349677,1,446,161,16.05,10.65
1520530311.399678,1,448,167,16.08,10.53
1520530311.449679,1,437,170,16.07,10.55
1520530311.499684,1,439,173,16.09,10.76
1520530311.549683,1,445,162,16.07,10.82
1520530311.599684,1,441,174,16.13,11.28
