t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,429,332,61.16,5.67
1520530308.249449,1,377,0,61.35,0.58
1520530308.299451,1,362,0,61.22,0.60
1520530308.349503,1,338,0,63.37,0.50
1520530308.399505,1,331,0,63.58,0.50
1520530308.449505,1,328,0,63.53,0.61
1520530308.499506,1,324,0,63.17,0.53
1520530308.549508,1,312,0,63.14,0.53
1520530308.599509,1,305,0,63.35,0.61
1520530308.649555,1,301,0,63.36,0.52
1520530308.699512,1,295,0,63.23,0.86
1520530308.749559,1,293,0,65.20,0.57
1520530308.799560,1,286,0,64.92,0.56
1520530308.849562,1,281,0,64.96,0.62
1520530308.899563,1,279,0,64.96,0.56
1520530308.949565,1,277,0,65.38,0.57
1520530308.999567,1,276,0,65.32,0.69
1520530309.049568,1,274,0,65.55,0.57
1520530309.099570,1,270,0,65.38,0.58
1520530309.149567,1,270,0,65.27,0.69
1520530309.199583,1,269,0,66.00,0.60
1520530309.249583,1,268,0,65.79,0.59
1520530309.299586,1,266,0,66.13,0.67
1520530309.349586,1,264,0,66.23,0.60
1520530309.399589,1,264,0,66.05,0.92
1520530309.449590,1,262,0,66.04,0.62
1520530309.499591,1,261,0,66.02,0.64
1520530309.549594,1,260,0,66.27,0.75
1520530309.599597,1,258,0,66.33,0.66
1520530309.649599,1,259,0,66.50,0.69
1520530309.699600,1,258,0,66.63,0.77
1520530309.749602,1,258,0,66.56,0.68
1520530309.799603,1,257,0,66.43,0.92
1520530309.849605,1,254,0,66.78,0.70
1520530309.899606,1,253,0,66.68,0.70
1520530309.949608,1,253,0,66.57,0.80
1520530309.999622,1,253,0,67.20,0.72
1520530310.049623,1,252,0,67.27,0.90
1520530310.099625,1,251,0,67.24,0.74
1520530310.149627,1,251,0,67.52,0.74
1520530310.199628,1,249,0,67.46,0.82
1520530310.249729,1,248,0,67.35,0.74
1520530310.299631,1,247,0,67.23,0.74
1520530310.349633,1,242,0,67.07,0.82
1520530310.399625,1,242,0,66.82,0.75
1520530310.449627,1,242,0,66.78,0.83
1520530310.499628,1,240,0,66.83,0.82
1520530310.549630,1,240,0,66.82,0.82
1520530310.599632,1,239,0,66.84,0.84
1520530310.649633,1,238,0,66.89,0.76
1520530310.699635,1,238,0,66.82,0.84
1520530310.749636,1,238,0,66.66,0.79
1520530310.799651,1,236,0,67.37,1.08
1520530310.849652,1,235,0,67.31,0.79
1520530310.899654,1,233,0,67.43,0.81
1520530310.949655,1,231,0,67.24,0.87
1520530310.999657,1,230,0,67.41,0.82
1520530311.049659,1,229,0,67.37,0.91
1520530311.099660,1,229,0,67.29,0.82
1520530311.149662,1,229,0,67.41,0.83
1520530311.199672,1,227,0,67.44,0.91
1520530311.249673,1,227,0,67.46,0.83
1520530311.299675,1,227,0,67.47,1.02
1520530311.349677,1,227,0,67.51,0.85
1520530311.399678,1,226,0,67.51,1.15
1520530311.449679,1,225,0,67.46,0.86
1520530311.499684,1,224,0,67.61,0.87
1520530311.549683,1,223,0,67.41,0.94
1520530311.599684,1,223,0,67.56,0.86
1520530311.649719,1,222,0,69.10,0.98
1520530311.699720,1,222,0,68.88,0.89
1520530311.749722,1,220,0,69.14,0.88
1520530311.799723,1,221,0,69.01,0.97
1520530311.849725,1,221,0,68.94,0.89
1520530311.899726,1,220,0,69.04,0.98
1520530311.949728,1,220,0,69.11,0.91
1520530311.999729,1,220,0,69.07,0.99
1520530312.049721,1,219,0,68.65,0.92
1520530312.099721,1,220,0,68.80,0.93
1520530312.149723,1,219,0,68.76,1.00
1520530312.199726,1,219,0,69.03,0.93
1520530312.249727,1,218,0,68.99,1.01
1520530312.299728,1,218,0,68.89,0.95
1520530312.349730,1,218,0,68.87,1.03
1520530312.399731,1,217,0,68.84,0.95
1520530312.449712,1,217,0,68.03,1.04
1520530312.499714,1,216,0,67.87,0.98
1520530312.549715,1,216,0,67.95,0.98
1520530312.599717,1,216,0,68.03,1.06
1520530312.649719,1,214,0,68.04,0.99
1520530312.699720,1,214,0,68.05,1.07
1520530312.749722,1,213,0,68.13,1.01
1520530312.799724,1,213,0,68.16,1.08
1520530312.849720,1,213,0,67.99,1.02
1520530312.899721,1,212,0,67.90,1.09
1520530312.949723,1,212,0,67.80,1.01
1520530312.999725,1,212,0,67.97,1.25
1520530313.049726,1,212,0,67.77,1.14
1520530313.099727,1,212,0,67.79,1.14
1520530313.149729,1,210,0,67.89,1.07
1520530313.199730,1,211,0,67.87,1.16
1520530313.249736,1,210,0,68.07,1.08
1520530313.299738,1,210,0,68.33,1.09
1520530313.349739,1,210,0,68.21,1.17
1520530313.399790,1,210,0,68.07,1.13
1520530313.449743,1,210,0,68.06,1.19
1520530313.499744,1,210,0,67.96,1.09
1520530313.549746,1,210,0,68.12,1.17
1520530313.599747,1,210,0,68.13,1.10
1520530313.649745,1,210,0,67.97,1.21
1520530313.699746,1,209,0,67.96,1.15
1520530313.749748,1,209,0,67.95,1.21
1520530313.799750,1,208,0,67.99,1.14
1520530313.849751,0,208,0,68.08,1.30
1520530313.899753,1,428,325,68.06,0.96
1520530313.949754,1,392,0,68.03,0.64
1520530313.999756,1,366,0,68.12,0.56
1520530314.049757,1,352,0,68.46,0.64
1520530314.099763,1,336,0,68.49,0.55
1520530314.149765,1,331,0,68.64,0.55
1520530314.199766,1,321,0,68.76,0.78
1520530314.249768,1,313,0,69.01,0.55
1520530314.299769,1,308,0,69.10,0.56
1520530314.349771,1,301,0,69.12,0.64
1520530314.399773,1,297,0,69.14,0.55
1520530314.449774,1,290,0,68.82,0.58
1520530314.499774,1,279,0,68.66,0.64
1520530314.549776,1,272,0,68.45,0.57
1520530314.599777,1,267,0,68.86,0.59
1520530314.649779,1,261,0,68.88,0.67
1520530314.699780,1,248,0,69.10,0.59
1520530314.749782,1,241,0,69.08,0.90
1520530314.799787,1,231,0,68.94,0.57
1520530314.849784,1,226,0,69.55,0.57
1520530314.899810,1,214,0,71.09,0.68
1520530314.949812,1,204,0,72.11,0.58
1520530314.999919,1,201,0,71.94,0.59
1520530315.049815,1,196,0,71.85,0.67
1520530315.099817,1,188,0,72.00,0.58
1520530315.149818,1,186,0,71.90,0.67
1520530315.199819,1,185,0,71.90,0.59
1520530315.249821,1,184,0,71.99,0.60
1520530315.299635,1,432,327,63.00,6.69
1520530315.349637,1,296,0,62.92,0.91
1520530315.399639,1,283,0,62.91,0.62
1520530315.449640,1,276,0,63.33,0.55
1520530315.499642,1,264,0,63.57,0.62
1520530315.549643,1,258,0,63.67,0.54
1520530315.599645,1,254,0,62.60,0.53
1520530315.649646,1,246,0,61.76,0.62
1520530315.699637,1,236,0,60.81,0.55
1520530315.749639,1,232,0,61.22,0.76
1520530315.799640,1,226,0,61.42,0.55
1520530315.849642,1,220,0,61.24,0.56
1520530315.899643,1,213,0,60.54,0.55
1520530315.949645,1,209,0,60.14,0.63
1520530315.999647,1,206,0,60.19,0.54
1520530316.049648,1,202,0,60.07,0.88
1520530316.100221,1,434,351,83.33,3.06
1520530316.150223,1,339,0,83.64,0.60
1520530316.200224,1,317,0,84.31,0.56
1520530316.250226,1,306,0,85.12,0.62
1520530316.300227,1,292,0,85.21,0.59
1520530316.350229,1,280,0,85.48,0.59
1520530316.400230,1,270,0,85.03,0.64
1520530316.450231,1,262,0,84.74,0.55
1520530316.500233,1,252,0,84.91,0.54
1520530316.550276,1,247,0,86.29,0.64
1520530316.600278,1,237,0,86.75,0.54
1520530316.650280,1,231,0,87.08,0.53
1520530316.700281,1,228,0,86.93,0.63
1520530316.750283,1,219,0,86.60,0.55
1520530316.800284,1,217,0,86.47,0.55
1520530316.850286,1,215,0,86.00,0.63
1520530316.900287,1,212,0,86.45,0.56
1520530316.949773,1,193,0,66.70,0.55
1520530316.999775,1,191,0,66.96,0.63
1520530317.049776,1,189,0,66.92,0.56
1520530317.099778,1,439,376,67.25,3.18
1520530317.149779,1,361,0,67.52,0.89
1520530317.199781,1,354,0,67.55,0.56
1520530317.249782,1,337,0,67.39,0.55
1520530317.299784,1,323,0,67.64,0.56
1520530317.349743,1,304,0,65.46,0.63
1520530317.399745,1,295,0,65.34,0.57
1520530317.449748,1,286,0,65.14,0.80
1520530317.499748,1,272,0,65.16,0.56
1520530317.549752,1,260,0,64.68,0.56
1520530317.599752,1,256,0,64.30,0.56
1520530317.649754,1,251,0,64.33,0.64
1520530317.699755,1,240,0,63.72,0.58
1520530317.750237,1,186,0,83.42,0.91
1520530317.800239,1,185,0,82.30,0.55
1520530317.850240,1,439,360,81.43,3.10
1520530317.900242,1,346,0,80.48,0.62
1520530317.950243,1,330,0,80.34,0.65
1520530318.000244,1,313,0,80.02,0.58
