t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,432,133,45.26,5.24
1520530308.249449,1,427,148,45.41,7.09
1520530308.299451,1,431,160,45.32,2.98
1520530308.349503,1,430,154,46.87,2.60
1520530308.399505,1,432,144,47.15,2.96
1520530308.449505,1,434,161,47.29,3.00
1520530308.499506,1,432,157,46.85,3.45
1520530308.549508,1,433,159,46.93,3.53
1520530308.599509,1,426,144,46.97,14.25
1520530308.649555,1,432,158,46.85,4.68
1520530308.699512,1,428,171,46.79,4.63
1520530308.749559,1,431,164,48.28,4.74
1520530308.799560,1,429,155,48.10,4.62
1520530308.849562,1,431,172,48.20,4.45
1520530308.899563,1,431,187,48.34,4.70
1520530308.949565,1,429,167,48.56,4.62
1520530308.999567,1,430,172,48.68,4.38
1520530309.049568,1,433,158,48.79,5.27
1520530309.099570,1,428,162,48.65,4.58
1520530309.149567,1,430,150,48.55,4.66
1520530309.199583,1,431,171,49.09,4.63
1520530309.249583,1,431,157,48.83,4.54
1520530309.299586,1,431,158,49.09,4.74
1520530309.349586,1,434,157,49.20,4.42
1520530309.399589,1,432,153,48.93,4.46
1520530309.449590,1,433,176,48.88,4.77
1520530309.499591,1,428,154,49.14,4.47
1520530309.549594,1,435,159,49.19,4.55
1520530309.599597,1,432,164,49.10,4.74
1520530309.649599,1,432,161,49.45,4.52
1520530309.699600,1,432,164,49.58,4.47
1520530309.749602,1,432,169,49.56,4.76
1520530309.799603,1,434,170,49.42,4.54
1520530309.849605,1,429,165,49.67,5.01
1520530309.899606,1,435,171,49.76,4.79
1520530309.949608,1,434,170,49.35,4.63
1520530309.999622,1,430,163,49.95,4.77
1520530310.049623,1,431,174,49.84,4.71
1520530310.099625,1,428,146,49.98,4.46
1520530310.149627,1,427,155,50.03,4.73
1520530310.199628,1,428,160,50.19,4.72
1520530310.249729,1,431,164,50.03,44.74
1520530310.299631,1,431,172,50.08,35.91
1520530310.349633,1,433,167,50.01,33.07
1520530310.399625,1,436,164,49.71,27.31
1520530310.449627,1,434,168,49.64,23.95
1520530310.499628,1,433,186,49.72,21.70
1520530310.549630,1,432,176,49.76,19.10
1520530310.599632,1,430,166,49.81,16.23
1520530310.649633,1,433,173,49.76,13.47
1520530310.699635,1,433,165,49.66,11.09
1520530310.749636,1,434,176,49.57,10.91
1520530310.799651,1,431,175,50.18,10.78
1520530310.849652,1,431,163,50.23,10.77
1520530310.899654,1,439,153,50.35,10.76
1520530310.949655,1,430,183,50.26,11.19
1520530310.999657,1,432,184,50.22,10.93
1520530311.049659,1,432,171,50.34,10.99
1520530311.099660,1,429,173,50.17,10.37
1520530311.149662,1,434,169,50.33,10.08
