t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,418,111,37.56,5.42
1520530308.249449,1,419,139,37.75,6.40
1520530308.299451,1,418,151,37.65,2.46
1520530308.349503,1,417,134,38.85,2.52
1520530308.399505,1,413,146,39.19,2.90
1520530308.449505,1,422,152,39.27,3.01
1520530308.499506,1,424,152,38.95,3.03
1520530308.549508,1,414,152,39.05,3.24
1520530308.599509,1,416,139,39.12,13.54
1520530308.649555,1,422,149,39.04,4.78
1520530308.699512,1,419,146,38.97,4.23
1520530308.749559,1,417,152,40.13,4.49
1520530308.799560,1,417,170,40.08,4.67
1520530308.849562,1,421,170,40.08,4.59
1520530308.899563,1,423,156,40.14,4.93
1520530308.949565,1,417,156,40.35,4.34
1520530308.999567,1,414,138,40.30,4.69
1520530309.049568,1,414,156,40.47,4.60
1520530309.099570,1,420,149,40.35,4.82
1520530309.149567,1,416,150,40.22,4.32
1520530309.199583,1,418,154,40.69,4.81
1520530309.249583,1,417,156,40.45,4.61
1520530309.299586,1,420,146,40.72,4.58
1520530309.349586,1,423,148,40.71,4.63
1520530309.399589,1,418,157,40.50,4.30
1520530309.449590,1,423,154,40.44,5.07
1520530309.499591,1,419,148,40.59,4.37
1520530309.549594,1,419,148,40.71,4.86
1520530309.599597,1,416,143,40.58,5.13
1520530309.649599,1,419,132,40.89,4.33
1520530309.699600,1,417,147,40.91,4.68
1520530309.749602,1,419,128,40.90,4.35
1520530309.799603,1,413,144,40.74,4.68
1520530309.849605,1,420,140,40.95,4.57
1520530309.899606,1,419,160,40.98,4.95
1520530309.949608,1,422,144,40.67,4.59
1520530309.999622,1,418,153,41.25,4.53
1520530310.049623,1,420,163,41.14,4.62
1520530310.099625,1,422,146,41.20,4.54
1520530310.149627,1,410,141,41.31,4.26
1520530310.199628,1,418,153,41.37,4.61
1520530310.249729,1,422,147,41.21,37.26
1520530310.299631,1,414,151,41.29,29.29
1520530310.349633,1,416,157,41.20,26.39
1520530310.399625,1,420,165,41.00,23.59
1520530310.449627,1,417,157,40.90,20.96
1520530310.499628,1,419,160,41.02,18.33
1520530310.549630,1,418,154,41.05,16.67
1520530310.599632,1,419,150,41.05,14.88
1520530310.649633,1,419,156,41.05,12.28
1520530310.699635,1,412,153,40.96,10.13
1520530310.749636,1,419,159,40.90,10.24
1520530310.799651,1,421,159,41.40,10.16
1520530310.849652,1,420,158,41.42,10.46
1520530310.899654,1,426,151,41.55,10.46
1520530310.949655,1,420,161,41.43,10.66
1520530310.999657,1,418,158,41.45,10.35
1520530311.049659,1,422,177,41.52,10.51
1520530311.099660,1,416,171,41.36,10.48
1520530311.149662,1,418,159,41.53,10.71
1520530311.199672,1,416,153,41.73,10.53
1520530311.249673,1,416,155,41.70,10.40
1520530311.299675,1,429,162,41.60,10.54
1520530311.349677,1,424,145,41.66,10.46
1520530311.399678,1,419,143,41.72,10.43
1520530311.449679,1,414,167,41.67,10.44
1520530311.499684,1,416,150,41.67,10.33
1520530311.549683,1,422,171,41.61,10.36
1520530311.599684,1,413,143,41.77,10.26
1520530311.649719,1,417,152,42.65,10.22
1520530311.699720,1,417,148,42.48,10.12
1520530311.749722,1,420,152,42.74,10.31
1520530311.799723,1,413,154,42.60,10.48
1520530311.849725,1,419,155,42.53,10.09
1520530311.899726,1,417,150,42.56,10.16
1520530311.949728,1,419,158,42.58,10.03
1520530311.999729,1,416,162,42.51,10.11
1520530312.049721,1,418,167,42.27,10.02
1520530312.099721,1,419,159,42.41,10.49
