t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,434,135,13.88,5.54
1520530308.249449,1,432,145,13.96,7.13
1520530308.299451,1,434,142,13.93,2.51
1520530308.349503,1,431,145,14.57,2.79
1520530308.399505,1,432,144,14.72,2.62
1520530308.449505,1,435,158,14.76,2.83
1520530308.499506,1,437,159,14.63,3.23
1520530308.549508,1,433,161,14.67,3.45
1520530308.599509,1,430,155,14.71,4.07
1520530308.649555,1,434,147,14.68,15.79
1520530308.699512,1,427,151,14.63,4.25
1520530308.749559,1,434,157,15.28,4.39
1520530308.799560,1,432,166,15.25,4.54
1520530308.849562,1,434,159,15.24,4.56
1520530308.899563,1,437,159,15.27,4.47
1520530308.949565,1,431,164,15.37,4.30
1520530308.999567,1,433,160,15.36,4.44
1520530309.049568,1,436,155,15.43,4.53
1520530309.099570,1,435,154,15.38,4.70
1520530309.149567,1,433,161,15.32,4.94
1520530309.199583,1,435,164,15.55,4.56
1520530309.249583,1,434,157,15.45,4.69
1520530309.299586,1,437,163,15.58,4.64
1520530309.349586,1,431,150,15.57,4.65
1520530309.399589,1,435,149,15.46,4.36
1520530309.449590,1,436,157,15.43,4.58
1520530309.499591,1,432,149,15.50,4.96
1520530309.549594,1,435,160,15.55,4.67
1520530309.599597,1,435,141,15.49,4.38
1520530309.649599,1,432,155,15.64,4.37
1520530309.699600,1,437,167,15.66,4.49
1520530309.749602,1,438,145,15.65,4.70
1520530309.799603,1,435,159,15.58,4.64
1520530309.849605,1,434,158,15.67,4.60
1520530309.899606,1,435,161,15.70,4.37
1520530309.949608,1,438,152,15.55,4.65
1520530309.999622,1,435,158,15.85,4.60
1520530310.049623,1,433,162,15.81,4.60
1520530310.099625,1,436,163,15.84,4.33
1520530310.149627,1,429,150,15.89,4.56
1520530310.199628,1,435,159,15.92,4.87
1520530310.249729,1,438,162,15.84,7.18
1520530310.299631,1,435,162,15.88,2.28
1520530310.349633,1,436,152,15.83,2.29
1520530310.399625,1,436,158,15.71,2.30
1520530310.449627,1,435,158,15.66,22.93
1520530310.499628,1,436,167,15.73,19.69
1520530310.549630,1,441,165,15.73,17.67
1520530310.599632,1,439,173,15.74,15.28
1520530310.649633,1,437,166,15.73,12.99
1520530310.699635,1,433,172,15.70,10.67
1520530310.749636,1,437,163,15.67,10.52
1520530310.799651,1,435,167,15.93,10.49
1520530310.849652,1,436,167,15.94,10.39
1520530310.899654,1,439,168,16.01,10.53
1520530310.949655,1,437,152,15.96,10.57
1520530310.999657,1,439,171,15.97,10.86
1520530311.049659,1,435,174,16.00,10.89
1520530311.099660,1,431,170,15.92,10.56
1520530311.149662,1,437,170,15.99,10.53
1520530311.199672,1,433,164,16.10,10.51
