t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,440,245,13.85,5.61
1520530308.249449,1,248,0,13.93,0.62
1520530308.299451,1,224,0,13.89,0.98
1520530308.349503,1,207,0,14.54,0.60
1520530308.399505,1,197,0,14.69,0.58
1520530308.449505,1,191,0,14.72,0.65
1520530308.499506,1,187,0,14.59,0.63
1520530308.549508,1,442,267,14.63,6.70
1520530308.599509,1,240,0,14.67,0.76
1520530308.649555,1,231,0,14.64,0.68
1520530308.699512,1,218,0,14.60,0.71
1520530308.749559,1,205,0,15.25,0.76
1520530308.799560,1,201,0,15.21,0.73
1520530308.849562,1,197,0,15.22,0.74
1520530308.899563,1,195,0,15.24,0.65
1520530308.949565,1,188,0,15.34,0.67
1520530308.999567,1,185,0,15.33,0.64
1520530309.049568,1,444,297,15.40,3.01
1520530309.099570,1,265,0,15.34,0.72
1520530309.149567,1,255,0,15.29,0.80
1520530309.199583,1,242,0,15.52,0.96
1520530309.249583,1,230,0,15.42,0.99
1520530309.299586,1,222,0,15.55,0.67
1520530309.349586,1,216,0,15.54,0.65
1520530309.399589,1,216,0,15.43,0.68
1520530309.449590,1,214,0,15.40,0.67
1520530309.499591,1,209,0,15.47,0.71
1520530309.549594,1,206,0,15.52,0.72
1520530309.599597,1,204,0,15.46,0.78
1520530309.649599,1,203,0,15.61,0.79
1520530309.699600,1,198,0,15.63,0.78
1520530309.749602,1,196,0,15.62,0.78
1520530309.799603,1,193,0,15.55,0.71
1520530309.849605,1,191,0,15.64,0.72
1520530309.899606,1,191,0,15.66,0.73
1520530309.949608,1,189,0,15.53,0.77
1520530309.999622,1,186,0,15.82,0.76
1520530310.049623,1,184,0,15.77,0.77
1520530310.099625,1,441,289,15.81,3.14
1520530310.149627,1,258,0,15.86,0.73
1520530310.199628,1,244,0,15.89,0.79
1520530310.249729,1,231,0,15.81,0.66
1520530310.299631,1,223,0,15.84,0.77
1520530310.349633,1,221,0,15.80,0.66
1520530310.399625,1,213,0,15.68,0.70
1520530310.449627,1,209,0,15.64,0.69
1520530310.499628,1,204,0,15.70,0.73
1520530310.549630,1,202,0,15.70,0.68
1520530310.599632,1,199,0,15.71,0.70
1520530310.649633,1,196,0,15.70,0.68
1520530310.699635,1,194,0,15.67,0.76
1520530310.749636,1,192,0,15.64,0.67
1520530310.799651,1,191,0,15.90,0.71
1520530310.849652,1,184,0,15.91,0.95
1520530310.899654,1,443,282,15.98,3.05
1520530310.949655,1,252,0,15.93,0.79
1520530310.999657,1,240,0,15.94,0.71
1520530311.049659,1,223,0,15.97,0.74
1520530311.099660,1,212,0,15.89,0.67
1520530311.149662,1,204,0,15.96,0.96
1520530311.199672,1,196,0,16.07,0.77
1520530311.249673,1,195,0,16.05,0.67
1520530311.299675,1,191,0,15.99,0.66
1520530311.349677,1,187,0,16.02,0.81
1520530311.399678,1,185,0,16.05,0.72
1520530311.449679,1,443,294,16.05,3.24
1520530311.499684,1,257,0,16.05,0.75
1520530311.549683,1,237,0,16.04,0.68
1520530311.599684,1,227,0,16.10,0.66
1520530311.649719,1,221,0,16.60,0.69
1520530311.699720,1,215,0,16.51,0.67
1520530311.749722,1,207,0,16.64,0.70
1520530311.799723,1,205,0,16.57,0.67
1520530311.849725,1,202,0,16.55,0.70
1520530311.899726,1,200,0,16.57,0.79
1520530311.949728,1,198,0,16.56,0.72
1520530311.999729,1,195,0,16.54,0.74
1520530312.049721,1,195,0,16.39,0.81
1520530312.099721,1,193,0,16.49,0.68
1520530312.149723,1,191,0,16.42,0.72
1520530312.199726,1,191,0,16.52,0.75
1520530312.249727,1,186,0,16.51,0.78
