t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,437,369,32.81,5.46
1520530308.249449,1,408,0,32.97,0.63
1520530308.299451,1,387,0,32.88,0.56
1520530308.349503,1,363,0,34.46,0.50
1520530308.399505,1,361,0,34.83,0.60
1520530308.449505,1,357,0,34.94,0.49
1520530308.499506,1,351,0,34.57,0.51
1520530308.549508,1,347,0,34.72,0.52
1520530308.599509,1,340,0,34.80,0.48
1520530308.649555,1,336,0,34.70,0.50
1520530308.699512,1,332,0,34.58,0.55
1520530308.749559,1,325,0,36.16,0.49
1520530308.799560,1,324,0,36.06,0.48
1520530308.849562,1,322,0,36.08,0.49
1520530308.899563,1,320,0,36.16,0.47
1520530308.949565,1,318,0,36.42,0.46
1520530308.999567,1,316,0,36.31,0.48
1520530309.049568,1,315,0,36.56,0.40
1520530309.099570,1,315,0,36.48,0.40
1520530309.149567,1,313,0,36.26,0.48
1520530309.199583,1,311,0,36.84,0.69
1520530309.249583,1,310,0,36.56,0.51
1520530309.299586,1,310,0,36.86,0.48
1520530309.349586,1,309,0,36.84,0.47
1520530309.399589,1,309,0,36.56,0.45
1520530309.449590,1,308,0,36.54,0.51
1520530309.499591,1,307,0,36.69,0.47
1520530309.549594,1,306,0,36.90,0.39
1520530309.599597,1,305,0,36.75,0.46
1520530309.649599,1,303,0,37.06,0.65
1520530309.699600,1,303,0,37.13,0.47
1520530309.749602,1,302,0,37.06,0.48
1520530309.799603,1,300,0,36.94,0.47
1520530309.849605,1,300,0,37.12,0.40
1520530309.899606,1,295,0,37.19,0.49
1520530309.949608,1,294,0,36.80,0.46
1520530309.999622,1,293,0,37.51,0.47
1520530310.049623,1,292,0,37.44,0.39
1520530310.099625,1,291,0,37.51,0.47
1520530310.149627,1,292,0,37.62,0.40
1520530310.199628,1,292,0,37.76,0.47
1520530310.249729,1,291,0,37.48,0.52
1520530310.299631,1,289,0,37.60,0.46
1520530310.349633,1,288,0,37.51,0.46
1520530310.399625,1,288,0,37.22,0.39
1520530310.449627,1,287,0,37.11,0.66
1520530310.499628,1,287,0,37.30,0.38
1520530310.549630,1,287,0,37.27,0.47
1520530310.599632,1,287,0,37.29,0.45
1520530310.649633,1,287,0,37.27,0.39
1520530310.699635,1,286,0,37.18,0.47
1520530310.749636,1,285,0,37.14,0.63
1520530310.799651,1,285,0,37.75,0.45
1520530310.849652,1,285,0,37.79,0.38
1520530310.899654,1,285,0,38.00,0.47
1520530310.949655,1,285,0,37.84,0.46
1520530310.999657,1,283,0,37.81,0.45
1520530311.049659,1,282,0,37.88,0.51
1520530311.099660,1,280,0,37.72,0.39
1520530311.149662,1,279,0,38.00,0.45
1520530311.199672,1,278,0,38.23,0.44
1520530311.249673,1,278,0,38.21,0.44
1520530311.299675,1,275,0,38.06,0.43
1520530311.349677,1,273,0,38.18,0.43
1520530311.399678,1,270,0,38.19,0.44
1520530311.449679,1,269,0,38.15,0.45
1520530311.499684,1,267,0,38.18,0.46
1520530311.549683,1,267,0,38.12,0.64
1520530311.599684,1,266,0,38.31,0.44
1520530311.649719,1,266,0,39.47,0.44
1520530311.699720,1,265,0,39.30,0.44
1520530311.749722,1,265,0,39.57,0.37
1520530311.799723,1,265,0,39.43,0.44
1520530311.849725,1,265,0,39.32,0.69
1520530311.899726,1,265,0,39.37,0.50
1520530311.949728,1,265,0,39.37,0.38
1520530311.999729,1,265,0,39.33,0.43
1520530312.049721,1,265,0,38.87,0.37
1520530312.099721,1,265,0,39.11,0.66
1520530312.149723,1,264,0,38.97,0.60
1520530312.199726,1,262,0,39.22,0.44
1520530312.249727,1,262,0,39.22,0.43
1520530312.299728,1,262,0,38.95,0.37
1520530312.349730,1,262,0,38.93,0.44
1520530312.399731,1,262,0,38.95,0.42
1520530312.449712,1,261,0,38.31,0.44
1520530312.499714,1,261,0,38.34,0.44
1520530312.549715,1,260,0,38.47,0.44
1520530312.599717,1,261,0,38.40,0.37
1520530312.649719,1,260,0,38.30,0.43
1520530312.699720,1,258,0,38.24,0.54
1520530312.749722,1,257,0,38.27,0.44
1520530312.799724,1,257,0,38.44,0.43
1520530312.849720,1,256,0,38.28,0.42
1520530312.899721,1,256,0,38.35,0.44
1520530312.949723,1,255,0,38.23,0.51
1520530312.999725,1,255,0,38.41,0.44
1520530313.049726,1,255,0,38.29,0.45
1520530313.099727,1,255,0,38.34,0.45
1520530313.149729,1,255,0,38.34,0.44
1520530313.199730,1,255,0,38.21,0.71
1520530313.249736,1,253,0,38.34,0.44
1520530313.299738,1,253,0,38.64,0.44
1520530313.349739,1,252,0,38.59,0.43
1520530313.399790,1,252,0,38.60,0.43
1520530313.449743,1,252,0,38.43,0.43
1520530313.499744,1,251,0,38.29,0.53
1520530313.549746,1,252,0,38.47,0.42
1520530313.599747,1,251,0,38.46,0.43
1520530313.649745,1,250,0,38.30,0.42
1520530313.699746,1,250,0,38.16,0.44
1520530313.749748,1,250,0,38.33,0.49
1520530313.799750,1,249,0,38.35,0.43
1520530313.849751,1,249,0,38.56,0.43
1520530313.899753,1,248,0,38.43,0.43
1520530313.949754,1,248,0,38.19,0.43
1520530313.999756,1,247,0,38.23,0.43
1520530314.049757,1,243,0,38.63,0.50
1520530314.099763,1,243,0,38.57,0.44
1520530314.149765,1,243,0,38.61,0.44
1520530314.199766,1,240,0,38.71,0.43
1520530314.249768,1,238,0,38.92,0.44
1520530314.299769,1,238,0,38.97,0.73
1520530314.349771,1,237,0,38.77,0.43
1520530314.399773,1,235,0,38.90,0.42
1520530314.449774,1,233,0,38.84,0.42
1520530314.499774,1,229,0,39.13,0.42
1520530314.549776,1,226,0,38.97,0.41
1520530314.599777,1,215,0,39.12,0.59
1520530314.649779,1,213,0,39.45,0.41
1520530314.699780,1,207,0,39.77,0.39
1520530314.749782,1,205,0,39.80,0.40
1520530314.799787,1,196,0,40.00,0.39
1520530314.849784,1,194,0,40.42,0.52
1520530314.899810,1,191,0,41.22,0.39
1520530314.949812,1,183,0,41.66,0.38
1520530314.999919,1,437,376,41.68,5.74
1520530315.049815,1,371,0,41.70,0.53
1520530315.099817,1,343,0,41.89,0.57
1520530315.149818,1,330,0,41.99,0.48
1520530315.199819,1,314,0,42.16,0.48
1520530315.249821,1,305,0,42.37,0.48
1520530315.299635,1,278,0,35.04,0.53
1520530315.349637,1,272,0,34.89,0.47
1520530315.399639,1,269,0,34.76,0.46
1520530315.449640,1,264,0,34.76,0.44
1520530315.499642,1,258,0,34.61,0.45
1520530315.549643,1,255,0,34.78,0.68
1520530315.599645,1,251,0,34.53,0.43
1520530315.649646,1,247,0,34.36,0.43
1520530315.699637,1,245,0,33.55,0.42
1520530315.749639,1,237,0,33.52,0.43
1520530315.799640,1,236,0,33.62,0.41
1520530315.849642,1,231,0,33.53,0.46
1520530315.899643,1,230,0,33.29,0.43
1520530315.949645,1,222,0,32.86,0.42
1520530315.999647,1,220,0,32.87,0.42
1520530316.049648,1,216,0,32.67,0.42
1520530316.100221,1,436,371,53.46,2.26
1520530316.150223,1,394,0,53.66,0.56
1520530316.200224,1,372,0,54.00,0.84
1520530316.250226,1,355,0,54.22,0.52
1520530316.300227,1,338,0,54.27,0.51
1520530316.350229,1,327,0,54.59,0.48
1520530316.400230,1,320,0,54.29,0.48
1520530316.450231,1,314,0,54.30,0.49
1520530316.500233,1,311,0,54.43,0.53
1520530316.550276,1,302,0,55.71,0.47
1520530316.600278,1,294,0,55.64,0.48
1520530316.650280,1,286,0,55.65,0.47
1520530316.700281,1,274,0,55.63,0.53
1520530316.750283,1,270,0,55.50,0.46
1520530316.800284,1,260,0,55.53,0.45
1520530316.850286,1,258,0,55.31,0.43
1520530316.900287,1,255,0,55.56,0.43
1520530316.949773,1,197,0,37.26,0.42
1520530316.999775,1,192,0,37.40,0.44
1520530317.049776,1,191,0,37.18,0.39
1520530317.099778,1,190,0,37.26,0.38
1520530317.149779,1,188,0,37.34,0.38
1520530317.199781,1,188,0,37.32,0.38
1520530317.249782,1,185,0,37.36,0.39
1520530317.299784,1,441,381,37.31,2.65
1520530317.349743,1,382,0,35.72,0.74
1520530317.399745,1,345,0,35.72,0.53
1520530317.449748,1,330,0,35.60,0.49
1520530317.499748,1,311,0,35.65,0.47
1520530317.549752,1,299,0,35.41,0.59
1520530317.599752,1,290,0,35.16,0.53
1520530317.649754,1,283,0,35.17,0.47
1520530317.699755,1,280,0,34.48,0.48
1520530317.750237,1,442,386,50.63,2.77
1520530317.800239,1,394,0,49.92,0.57
1520530317.850240,1,358,0,49.24,0.54
1520530317.900242,1,338,0,48.60,0.53
1520530317.950243,1,319,0,48.25,0.52
1520530318.000244,1,303,0,47.68,0.57
1520530318.050247,1,293,0,47.23,0.50
1520530318.100248,1,276,0,47.07,0.49
1520530318.150816,1,200,0,63.41,0.46
1520530318.200769,1,192,0,63.21,0.48
1520530318.250771,1,186,0,63.22,0.41
1520530318.300772,1,428,366,63.11,2.47
1520530318.350774,1,381,0,63.43,0.64
1520530318.400775,1,361,0,63.61,0.57
1520530318.450777,1,346,0,63.88,0.54
1520530318.500778,1,337,0,63.82,0.51
1520530318.550780,1,326,0,64.03,0.52
1520530318.600567,1,310,0,57.46,0.57
1520530318.650568,1,300,0,57.57,0.49
1520530318.700570,0,298,0,57.73,0.58
1520530318.750571,1,422,384,58.06,0.95
1520530318.800573,1,401,0,58.25,0.63
