t,tracked,n_obs0,n_obs1,mean0,ms
1520530308.199448,1,437,369,32.81,5.63
1520530308.249449,1,408,0,32.97,0.70
1520530308.299451,1,386,0,32.88,0.57
1520530308.349503,1,366,0,34.46,0.55
1520530308.399505,1,360,0,34.83,0.61
1520530308.449505,1,354,0,34.94,0.56
1520530308.499506,1,347,0,34.57,0.55
1520530308.549508,1,336,0,34.72,0.56
1520530308.599509,1,329,0,34.80,0.64
1520530308.649555,1,326,0,34.70,0.59
1520530308.699512,1,321,0,34.58,0.56
1520530308.749559,1,317,0,36.16,0.85
1520530308.799560,1,316,0,36.06,0.59
1520530308.849562,1,316,0,36.08,0.61
1520530308.899563,1,313,0,36.16,0.62
1520530308.949565,1,312,0,36.42,0.62
1520530308.999567,1,311,0,36.31,0.70
1520530309.049568,1,310,0,36.56,0.63
1520530309.099570,1,309,0,36.48,0.65
1520530309.149567,1,307,0,36.26,0.81
1520530309.199583,1,304,0,36.84,0.71
1520530309.249583,1,302,0,36.56,0.64
1520530309.299586,1,300,0,36.86,0.67
1520530309.349586,1,300,0,36.84,1.02
1520530309.399589,1,298,0,36.56,0.67
1520530309.449590,1,297,0,36.54,0.68
1520530309.499591,1,297,0,36.69,0.68
1520530309.549594,1,295,0,36.90,0.76
1520530309.599597,1,293,0,36.75,0.70
1520530309.649599,1,293,0,37.06,0.70
1520530309.699600,1,292,0,37.13,0.78
1520530309.749602,1,292,0,37.06,0.74
1520530309.799603,1,292,0,36.94,0.72
1520530309.849605,1,292,0,37.12,0.73
1520530309.899606,1,291,0,37.19,0.79
1520530309.949608,1,289,0,36.80,0.74
1520530309.999622,1,289,0,37.51,0.73
1520530310.049623,1,287,0,37.44,0.80
1520530310.099625,1,286,0,37.51,0.76
1520530310.149627,1,285,0,37.62,0.77
1520530310.199628,1,284,0,37.76,0.78
1520530310.249729,1,283,0,37.48,0.84
1520530310.299631,1,277,0,37.60,0.78
1520530310.349633,1,277,0,37.51,0.79
1520530310.399625,1,277,0,37.22,0.85
1520530310.449627,1,277,0,37.11,0.79
1520530310.499628,1,277,0,37.30,0.80
1520530310.549630,1,277,0,37.27,0.81
1520530310.599632,1,277,0,37.29,0.89
1520530310.649633,1,276,0,37.27,0.82
1520530310.699635,1,273,0,37.18,1.12
1520530310.749636,1,273,0,37.14,0.84
1520530310.799651,1,272,0,37.75,0.85
1520530310.849652,1,271,0,37.79,0.84
1520530310.899654,1,271,0,38.00,0.92
1520530310.949655,1,268,0,37.84,0.85
1520530310.999657,1,267,0,37.81,0.85
1520530311.049659,1,266,0,37.88,1.06
1520530311.099660,1,264,0,37.72,0.85
1520530311.149662,1,262,0,38.00,0.85
1520530311.199672,1,262,0,38.23,0.93
1520530311.249673,1,262,0,38.21,0.87
1520530311.299675,1,260,0,38.06,0.87
1520530311.349677,1,259,0,38.18,0.88
1520530311.399678,1,258,0,38.19,0.96
1520530311.449679,1,258,0,38.15,0.89
1520530311.499684,1,258,0,38.18,0.97
1520530311.549683,1,256,0,38.12,0.91
1520530311.599684,1,256,0,38.31,0.90
1520530311.649719,1,255,0,39.47,0.92
1520530311.699720,1,254,0,39.30,0.99
1520530311.749722,1,254,0,39.57,0.91
1520530311.799723,1,254,0,39.43,1.22
1520530311.849725,1,254,0,39.32,0.95
1520530311.899726,1,254,0,39.37,0.94
1520530311.949728,1,254,0,39.37,0.97
1520530311.999729,1,253,0,39.33,1.03
1520530312.049721,1,254,0,38.87,0.98
1520530312.099721,1,254,0,39.11,1.15
1520530312.149723,1,254,0,38.97,0.99
1520530312.199726,1,254,0,39.22,0.99
1520530312.249727,1,254,0,39.22,1.00
1520530312.299728,1,254,0,38.95,1.08
1520530312.349730,1,253,0,38.93,1.00
1520530312.399731,1,252,0,38.95,1.08
1520530312.449712,1,252,0,38.31,1.02
