t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.48,0,0
1520530308.249449,0,0,0,32.97,0.62,0,0
1520530308.299451,0,0,0,32.88,0.62,0,0
1520530308.349503,0,0,0,34.46,0.62,0,0
1520530308.399505,0,0,0,34.83,0.63,0,0
1520530308.449505,0,0,0,34.94,0.63,0,0
1520530308.499506,0,0,0,34.57,0.63,0,0
1520530308.549508,0,0,0,34.72,0.63,0,0
1520530308.599509,0,0,0,34.80,0.62,0,0
1520530308.649555,0,0,0,34.70,0.62,0,0
1520530308.699512,0,0,0,34.58,0.63,0,0
1520530308.749559,0,0,0,36.16,0.62,0,0
1520530308.799560,0,0,0,36.06,0.61,0,0
1520530308.849562,0,0,0,36.08,0.60,0,0
1520530308.899563,0,0,0,36.16,0.61,0,0
1520530308.949565,0,0,0,36.42,0.61,0,0
1520530308.999567,0,0,0,36.31,0.61,0,0
1520530309.049568,0,0,0,36.56,0.71,0,0
1520530309.099570,0,0,0,36.48,0.60,0,0
1520530309.149567,0,0,0,36.26,0.61,0,0
1520530309.199583,0,0,0,36.84,0.61,0,0
1520530309.249583,0,0,0,36.56,0.60,0,0
1520530309.299586,0,0,0,36.86,0.60,0,0
1520530309.349586,0,0,0,36.84,0.61,0,0
1520530309.399589,0,0,0,36.56,0.61,0,0
1520530309.449590,0,0,0,36.54,0.61,0,0
1520530309.499591,0,0,0,36.69,0.61,0,0
1520530309.549594,0,0,0,36.90,0.60,0,0
1520530309.599597,0,0,0,36.75,0.61,0,0
1520530309.649599,0,0,0,37.06,0.61,0,0
1520530309.699600,0,0,0,37.13,0.61,0,0
1520530309.749602,0,0,0,37.06,0.61,0,0
1520530309.799603,0,0,0,36.94,0.65,0,0
1520530309.849605,0,0,0,37.12,0.62,0,0
1520530309.899606,0,0,0,37.19,0.64,0,0
1520530309.949608,0,0,0,36.80,0.60,0,0
1520530309.999622,0,0,0,37.51,0.60,0,0
1520530310.049623,0,0,0,37.44,0.61,0,0
1520530310.099625,0,0,0,37.51,0.61,0,0
1520530310.149627,0,0,0,37.62,0.60,0,0
1520530310.199628,0,0,0,37.76,0.61,0,0
1520530310.249729,0,0,0,37.48,0.68,0,0
1520530310.299631,0,0,0,37.60,0.62,0,0
1520530310.349633,0,0,0,37.51,0.62,0,0
1520530310.399625,0,0,0,37.22,0.60,0,0
1520530310.449627,0,0,0,37.11,0.62,0,0
1520530310.499628,0,0,0,37.30,0.62,0,0
1520530310.549630,0,0,0,37.27,0.62,0,0
1520530310.599632,0,0,0,37.29,0.62,0,0
1520530310.649633,0,0,0,37.27,0.61,0,0
1520530310.699635,0,0,0,37.18,0.62,0,0
1520530310.749636,0,0,0,37.14,0.65,0,0
1520530310.799651,0,0,0,37.75,0.60,0,0
1520530310.849652,0,0,0,37.79,0.60,0,0
1520530310.899654,0,0,0,38.00,0.61,0,0
1520530310.949655,0,0,0,37.84,0.62,0,0
1520530310.999657,0,0,0,37.81,0.60,0,0
1520530311.049659,0,0,0,37.88,0.60,0,0
1520530311.099660,1,115,99,37.72,19.92,1,99
1520530311.149662,1,220,172,38.00,20.84,0,99
1520530311.199672,1,225,177,38.23,22.68,0,99
1520530311.249673,1,219,175,38.21,30.51,1,185
1520530311.299675,1,216,175,38.06,21.51,0,185
1520530311.349677,1,215,172,38.18,20.56,0,185
1520530311.399678,1,215,176,38.19,33.06,1,220
1520530311.449679,1,216,175,38.15,22.73,0,220
1520530311.499684,1,227,178,38.18,22.78,0,220
1520530311.549683,1,228,179,38.12,35.16,1,234
1520530311.599684,1,226,176,38.31,21.73,0,234
1520530311.649719,1,227,177,39.47,21.22,0,234
1520530311.699720,1,226,180,39.30,47.01,1,249
1520530311.749722,1,226,179,39.57,22.61,0,249
1520530311.799723,1,227,180,39.43,22.57,0,249
1520530311.849725,1,227,177,39.32,38.57,1,243
1520530311.899726,1,223,178,39.37,21.54,0,243
1520530311.949728,1,227,182,39.37,23.00,0,243
1520530311.999729,1,230,183,39.33,49.48,1,251
1520530312.049721,1,227,180,38.87,23.35,0,251
1520530312.099721,1,229,184,39.11,21.55,0,251
1520530312.149723,1,232,182,38.97,40.33,1,269
1520530312.199726,1,226,178,39.22,23.96,0,269
1520530312.249727,1,252,194,39.22,22.73,0,269
1520530312.299728,1,257,200,38.95,62.02,1,292
1520530312.349730,1,260,202,38.93,23.25,0,292
1520530312.399731,1,260,203,38.95,23.64,0,292
1520530312.449712,1,260,200,38.31,55.90,1,301
1520530312.499714,1,257,202,38.34,24.41,0,301
1520530312.549715,1,258,202,38.47,23.44,0,301
1520530312.599717,1,258,200,38.40,88.96,1,311
1520530312.649719,1,254,197,38.30,23.99,0,311
1520530312.699720,1,259,206,38.24,23.58,0,311
1520530312.749722,1,258,202,38.27,78.71,1,321
1520530312.799724,1,258,201,38.44,23.57,0,321
1520530312.849720,1,261,207,38.28,24.03,0,321
1520530312.899721,1,261,206,38.35,98.28,1,332
1520530312.949723,1,261,203,38.23,24.88,0,332
1520530312.999725,1,261,204,38.41,24.06,0,332
1520530313.049726,1,261,205,38.29,72.84,1,344
1520530313.099727,1,254,202,38.34,23.84,0,344
1520530313.149729,1,249,202,38.34,23.36,0,344
1520530313.199730,1,249,201,38.21,98.15,1,350
1520530313.249736,1,248,203,38.34,23.20,0,350
1520530313.299738,1,247,201,38.64,23.08,0,350
1520530313.349739,1,247,199,38.59,83.23,1,352
1520530313.399790,1,247,199,38.60,23.46,0,352
1520530313.449743,1,247,197,38.43,22.79,0,352
1520530313.499744,1,248,199,38.29,76.07,1,353
1520530313.549746,1,249,198,38.47,23.24,0,353
1520530313.599747,1,251,199,38.46,23.38,0,353
1520530313.649745,1,253,203,38.30,104.67,1,358
1520530313.699746,1,252,200,38.16,24.46,0,358
1520530313.749748,1,252,206,38.33,24.62,0,358
1520530313.799750,1,255,204,38.35,86.35,1,372
1520530313.849751,1,254,203,38.56,24.68,0,372
1520530313.899753,1,253,202,38.43,23.73,0,372
1520530313.949754,1,255,202,38.19,122.71,1,388
1520530313.999756,1,253,202,38.23,24.88,0,388
1520530314.049757,1,255,203,38.63,24.52,0,388
1520530314.099763,1,255,206,38.57,132.23,1,401
1520530314.149765,1,253,202,38.61,24.39,0,401
1520530314.199766,1,253,203,38.71,24.33,0,401
1520530314.249768,1,248,201,38.92,137.76,1,405
1520530314.299769,1,248,204,38.97,24.47,0,405
1520530314.349771,1,251,201,38.77,23.76,0,405
1520530314.399773,1,256,207,38.90,108.07,1,420
1520530314.449774,1,252,209,38.84,24.72,0,420
1520530314.499774,1,252,207,39.13,24.87,0,420
1520530314.549776,1,251,209,38.97,202.69,1,426
1520530314.599777,1,243,204,39.12,24.65,0,426
1520530314.649779,1,239,205,39.45,24.30,0,426
1520530314.699780,1,223,195,39.77,218.41,1,440
1520530314.749782,1,228,197,39.80,23.32,0,440
1520530314.799787,1,224,193,40.00,23.42,0,440
1520530314.849784,1,233,197,40.42,234.57,1,460
1520530314.899810,1,220,192,41.22,23.82,0,460
1520530314.949812,1,215,192,41.66,231.57,1,473
1520530314.999919,1,248,212,41.68,24.98,0,473
1520530315.049815,1,259,222,41.70,26.21,0,473
1520530315.099817,1,257,222,41.89,306.59,1,511
1520530315.149818,1,263,224,41.99,25.83,0,511
1520530315.199819,1,263,225,42.16,25.91,0,511
1520530315.249821,1,262,230,42.37,119.43,1,506
1520530315.299635,1,207,177,35.04,24.92,0,506
1520530315.349637,1,202,177,34.89,20.62,0,506
1520530315.399639,1,209,180,34.76,65.44,1,462
1520530315.449640,1,225,195,34.76,23.03,0,462
1520530315.499642,1,228,196,34.61,24.07,0,462
1520530315.549643,1,215,193,34.78,73.34,1,485
1520530315.599645,1,255,216,34.53,25.52,0,485
1520530315.649646,1,236,209,34.36,79.93,1,508
1520530315.699637,1,246,216,33.55,25.40,0,508
1520530315.749639,1,250,218,33.52,59.10,1,501
1520530315.799640,1,247,213,33.62,26.41,0,501
1520530315.849642,1,243,210,33.53,59.82,1,503
1520530315.899643,1,234,203,33.29,24.88,0,503
1520530315.949645,1,228,193,32.86,78.53,1,511
1520530315.999647,1,226,187,32.87,24.06,0,511
1520530316.049648,1,222,188,32.67,23.84,0,511
1520530316.100221,1,161,148,53.46,76.27,1,526
1520530316.150223,1,191,166,53.66,20.31,0,526
1520530316.200224,1,187,166,54.00,21.73,0,526
1520530316.250226,1,183,166,54.22,81.01,1,541
