t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,13.88,1.48,0,0
1520530308.249449,0,0,0,13.96,0.61,0,0
1520530308.299451,0,0,0,13.93,0.63,0,0
1520530308.349503,0,0,0,14.57,0.62,0,0
1520530308.399505,0,0,0,14.72,0.63,0,0
1520530308.449505,0,0,0,14.76,0.62,0,0
1520530308.499506,0,0,0,14.63,0.63,0,0
1520530308.549508,0,0,0,14.67,0.62,0,0
1520530308.599509,0,0,0,14.71,0.62,0,0
1520530308.649555,0,0,0,14.68,0.62,0,0
1520530308.699512,0,0,0,14.63,0.62,0,0
1520530308.749559,0,0,0,15.28,0.61,0,0
1520530308.799560,0,0,0,15.25,0.60,0,0
1520530308.849562,0,0,0,15.24,0.60,0,0
1520530308.899563,0,0,0,15.27,0.60,0,0
1520530308.949565,0,0,0,15.37,0.61,0,0
1520530308.999567,0,0,0,15.36,0.71,0,0
1520530309.049568,0,0,0,15.43,0.64,0,0
1520530309.099570,0,0,0,15.38,0.61,0,0
1520530309.149567,0,0,0,15.32,0.62,0,0
1520530309.199583,0,0,0,15.55,0.61,0,0
1520530309.249583,0,0,0,15.45,0.61,0,0
1520530309.299586,0,0,0,15.58,0.63,0,0
1520530309.349586,0,0,0,15.57,0.62,0,0
1520530309.399589,0,0,0,15.46,0.60,0,0
1520530309.449590,0,0,0,15.43,0.59,0,0
1520530309.499591,0,0,0,15.50,0.62,0,0
1520530309.549594,0,0,0,15.55,0.60,0,0
1520530309.599597,0,0,0,15.49,0.60,0,0
1520530309.649599,0,0,0,15.64,0.61,0,0
1520530309.699600,0,0,0,15.66,0.60,0,0
1520530309.749602,0,0,0,15.65,0.60,0,0
1520530309.799603,0,0,0,15.58,0.61,0,0
1520530309.849605,0,0,0,15.67,0.59,0,0
1520530309.899606,0,0,0,15.70,0.60,0,0
1520530309.949608,0,0,0,15.55,0.60,0,0
1520530309.999622,0,0,0,15.85,0.60,0,0
1520530310.049623,0,0,0,15.81,0.61,0,0
1520530310.099625,0,0,0,15.84,0.62,0,0
1520530310.149627,0,0,0,15.89,0.61,0,0
1520530310.199628,0,0,0,15.92,0.60,0,0
1520530310.249729,0,0,0,15.84,0.72,0,0
1520530310.299631,0,0,0,15.88,0.62,0,0
1520530310.349633,0,0,0,15.83,0.61,0,0
1520530310.399625,0,0,0,15.71,0.60,0,0
1520530310.449627,0,0,0,15.66,0.60,0,0
1520530310.499628,0,0,0,15.73,0.60,0,0
1520530310.549630,0,0,0,15.73,0.60,0,0
1520530310.599632,0,0,0,15.74,0.60,0,0
1520530310.649633,0,0,0,15.73,0.61,0,0
1520530310.699635,0,0,0,15.70,0.60,0,0
1520530310.749636,0,0,0,15.67,0.60,0,0
1520530310.799651,0,0,0,15.93,0.61,0,0
1520530310.849652,0,0,0,15.94,0.60,0,0
1520530310.899654,0,0,0,16.01,0.61,0,0
1520530310.949655,0,0,0,15.96,0.62,0,0
1520530310.999657,0,0,0,15.97,0.60,0,0
1520530311.049659,0,0,0,16.00,0.60,0,0
1520530311.099660,1,151,124,15.92,23.39,1,124
1520530311.149662,1,166,136,15.99,21.06,0,124
1520530311.199672,1,300,217,16.10,29.53,0,124
1520530311.249673,1,300,225,16.08,45.50,1,249
1520530311.299675,1,300,223,16.02,34.24,0,249
1520530311.349677,1,300,226,16.05,32.45,0,249
1520530311.399678,1,300,225,16.08,50.75,1,330
1520530311.449679,1,300,225,16.07,33.67,0,330
1520530311.499684,1,300,224,16.09,34.22,0,330
1520530311.549683,1,300,232,16.07,48.25,1,402
1520530311.599684,1,300,226,16.13,33.05,0,402
1520530311.649719,1,300,232,16.63,33.59,0,402
1520530311.699720,1,300,223,16.54,57.47,1,462
1520530311.749722,1,300,217,16.67,33.41,0,462
1520530311.799723,1,300,224,16.60,32.66,0,462
1520530311.849725,1,300,235,16.58,54.59,1,529
1520530311.899726,1,300,228,16.59,32.66,0,529
1520530311.949728,1,300,227,16.59,31.49,0,529
1520530311.999729,1,300,225,16.58,66.57,1,584
1520530312.049721,1,300,237,16.42,33.46,0,584
1520530312.099721,1,300,227,16.52,31.89,0,584
1520530312.149723,1,300,224,16.45,79.64,1,644
1520530312.199726,1,300,225,16.54,32.01,0,644
1520530312.249727,1,300,226,16.54,31.70,0,644
1520530312.299728,1,300,239,16.46,108.54,1,707
1520530312.349730,1,300,221,16.43,32.07,0,707
1520530312.399731,1,300,227,16.46,32.52,0,707
1520530312.449712,1,300,235,16.16,105.29,1,769
1520530312.499714,1,300,232,16.18,34.00,0,769
1520530312.549715,1,300,226,16.22,31.18,0,769
1520530312.599717,1,300,224,16.23,72.79,1,817
1520530312.649719,1,300,227,16.19,31.26,0,817
1520530312.699720,1,264,208,16.15,29.01,0,817
1520530312.749722,1,300,228,16.16,88.41,1,873
1520530312.799724,1,300,233,16.24,31.77,0,873
1520530312.849720,1,300,236,16.15,31.30,0,873
1520530312.899721,1,300,230,16.18,119.61,1,931
1520530312.949723,1,275,213,16.12,30.21,0,931
1520530312.999725,1,300,228,16.19,32.20,0,931
1520530313.049726,1,300,242,16.15,88.94,1,997
1520530313.099727,1,300,242,16.16,32.61,0,997
1520530313.149729,1,300,237,16.16,31.55,0,997
1520530313.199730,1,300,229,16.14,92.78,1,1047
1520530313.249736,1,300,231,16.17,32.30,0,1047
1520530313.299738,1,300,235,16.27,32.43,0,1047
1520530313.349739,1,300,223,16.26,104.35,1,1098
1520530313.399790,1,271,209,16.26,29.62,0,1098
1520530313.449743,1,300,222,16.23,30.51,0,1098
1520530313.499744,1,300,228,16.18,103.79,1,1153
1520530313.549746,1,300,229,16.22,32.54,0,1153
1520530313.599747,1,300,239,16.22,31.67,0,1153
1520530313.649745,1,300,222,16.18,108.94,1,1195
1520530313.699746,1,300,234,16.11,31.97,0,1195
1520530313.749748,1,265,221,16.19,29.15,0,1195
1520530313.799750,1,300,230,16.18,114.51,1,1249
1520530313.849751,1,266,227,16.25,29.43,0,1249
1520530313.899753,1,300,232,16.20,30.40,0,1249
1520530313.949754,1,300,231,16.11,123.20,1,1304
1520530313.999756,1,300,238,16.15,32.67,0,1304
1520530314.049757,1,300,233,16.30,33.93,0,1304
1520530314.099763,1,300,234,16.26,130.16,1,1364
1520530314.149765,1,300,236,16.26,34.40,0,1364
1520530314.199766,1,300,234,16.32,30.87,0,1364
1520530314.249768,1,300,232,16.38,147.25,1,1424
1520530314.299769,1,300,239,16.41,33.05,0,1424
1520530314.349771,1,300,232,16.34,32.71,0,1424
1520530314.399773,1,300,233,16.35,153.18,1,1484
1520530314.449774,1,300,237,16.33,34.08,0,1484
1520530314.499774,1,300,236,16.42,32.66,0,1484
1520530314.549776,1,300,241,16.33,208.03,1,1555
1520530314.599777,1,300,227,16.37,33.94,0,1555
1520530314.649779,1,300,226,16.46,34.21,0,1555
1520530314.699780,1,300,225,16.59,210.97,1,1624
1520530314.749782,1,300,223,16.57,33.14,0,1624
1520530314.799787,1,300,223,16.62,33.09,0,1624
1520530314.849784,1,300,230,16.77,189.65,1,1700
1520530314.899810,1,300,219,17.15,35.20,0,1700
1520530314.949812,1,300,221,17.35,213.08,1,1764
1520530314.999919,1,300,223,17.36,34.70,0,1764
1520530315.049815,1,300,207,17.41,33.36,0,1764
1520530315.099817,1,300,214,17.47,291.77,1,1831
1520530315.149818,1,300,217,17.53,33.40,0,1831
1520530315.199819,1,300,206,17.58,32.88,0,1831
1520530315.249821,1,300,214,17.67,136.08,1,1829
1520530315.299635,1,300,210,14.64,33.78,0,1829
1520530315.349637,1,300,209,14.56,33.39,0,1829
