t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530731.400018,0,0,0,35.53,1.32,0,0
1520530731.450020,0,0,0,35.55,0.64,0,0
1520530731.500021,0,0,0,35.47,0.62,0,0
1520530731.550010,0,0,0,35.22,0.62,0,0
1520530731.600011,0,0,0,35.24,0.63,0,0
1520530731.650012,0,0,0,35.33,0.63,0,0
1520530731.700014,0,0,0,35.17,0.61,0,0
1520530731.750016,0,0,0,35.13,0.62,0,0
1520530731.800017,0,0,0,35.03,0.66,0,0
1520530731.850102,0,0,0,35.07,0.75,0,0
1520530731.900020,0,0,0,35.07,0.61,0,0
1520530731.950036,0,0,0,35.59,0.62,0,0
1520530732.000037,0,0,0,35.38,0.62,0,0
1520530732.050039,0,0,0,35.61,0.60,0,0
1520530732.100040,0,0,0,35.64,0.62,0,0
1520530732.150042,0,0,0,35.55,0.61,0,0
1520530732.200044,0,0,0,35.45,0.61,0,0
1520530732.250045,0,0,0,35.72,0.60,0,0
1520530732.300047,0,0,0,35.71,0.60,0,0
1520530732.350048,0,0,0,35.61,0.59,0,0
1520530732.400058,0,0,0,35.74,0.60,0,0
1520530732.450059,0,0,0,36.00,0.60,0,0
1520530732.500062,0,0,0,35.98,0.60,0,0
1520530732.550063,0,0,0,35.79,0.59,0,0
1520530732.600064,0,0,0,35.75,0.61,0,0
1520530732.650066,0,0,0,35.89,0.60,0,0
1520530732.700067,0,0,0,35.89,0.61,0,0
1520530732.750070,0,0,0,35.76,0.61,0,0
1520530732.800093,0,0,0,36.43,0.64,0,0
1520530732.850094,0,0,0,36.37,0.64,0,0
1520530732.900096,0,0,0,36.39,0.60,0,0
1520530732.950097,0,0,0,36.35,0.60,0,0
1520530733.000099,0,0,0,36.46,0.62,0,0
1520530733.050100,0,0,0,36.50,0.63,0,0
1520530733.100102,0,0,0,36.45,0.63,0,0
1520530733.150104,0,0,0,36.33,0.63,0,0
1520530733.200104,0,0,0,36.18,0.63,0,0
1520530733.250106,0,0,0,36.22,0.63,0,0
1520530733.300107,0,0,0,36.23,0.61,0,0
1520530733.350113,0,0,0,36.31,0.62,0,0
1520530733.400110,0,0,0,36.03,0.64,0,0
1520530733.450196,0,0,0,36.35,0.73,0,0
1520530733.500113,0,0,0,36.22,0.61,0,0
1520530733.550115,0,0,0,36.46,0.62,0,0
1520530733.600103,0,0,0,36.43,0.60,0,0
1520530733.650105,0,0,0,36.10,0.62,0,0
1520530733.700105,0,0,0,36.12,0.63,0,0
1520530733.750108,0,0,0,35.90,0.64,0,0
1520530733.800110,0,0,0,36.02,0.62,0,0
1520530733.850111,0,0,0,36.25,0.62,0,0
1520530733.900113,0,0,0,36.20,0.63,0,0
1520530733.950114,0,0,0,36.24,0.61,0,0
1520530734.000145,0,0,0,36.60,0.62,0,0
1520530734.050146,0,0,0,36.87,0.60,0,0
1520530734.100148,0,0,0,36.79,0.58,0,0
1520530734.150149,0,0,0,36.99,0.59,0,0
1520530734.200151,0,0,0,36.64,0.61,0,0
1520530734.250153,0,0,0,36.95,0.61,0,0
1520530734.300154,1,103,90,36.68,15.57,1,90
