t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.34,0,0
1520530308.249449,0,0,0,32.97,0.63,0,0
1520530308.299451,0,0,0,32.88,0.64,0,0
1520530308.349503,0,0,0,34.46,0.63,0,0
1520530308.399505,0,0,0,34.83,0.62,0,0
1520530308.449505,0,0,0,34.94,0.60,0,0
1520530308.499506,0,0,0,34.57,0.60,0,0
1520530308.549508,0,0,0,34.72,0.61,0,0
1520530308.599509,0,0,0,34.80,0.61,0,0
1520530308.649555,0,0,0,34.70,0.60,0,0
1520530308.699512,0,0,0,34.58,0.61,0,0
1520530308.749559,0,0,0,36.16,0.61,0,0
1520530308.799560,0,0,0,36.06,0.61,0,0
1520530308.849562,0,0,0,36.08,0.60,0,0
1520530308.899563,0,0,0,36.16,0.62,0,0
1520530308.949565,0,0,0,36.42,0.61,0,0
1520530308.999567,0,0,0,36.31,0.60,0,0
1520530309.049568,0,0,0,36.56,0.61,0,0
1520530309.099570,0,0,0,36.48,0.59,0,0
1520530309.149567,0,0,0,36.26,0.61,0,0
1520530309.199583,0,0,0,36.84,0.62,0,0
1520530309.249583,0,0,0,36.56,0.62,0,0
1520530309.299586,0,0,0,36.86,0.61,0,0
1520530309.349586,0,0,0,36.84,0.62,0,0
1520530309.399589,0,0,0,36.56,0.60,0,0
1520530309.449590,0,0,0,36.54,0.60,0,0
1520530309.499591,0,0,0,36.69,0.61,0,0
1520530309.549594,0,0,0,36.90,0.60,0,0
1520530309.599597,0,0,0,36.75,0.62,0,0
1520530309.649599,0,0,0,37.06,0.61,0,0
1520530309.699600,0,0,0,37.13,0.66,0,0
1520530309.749602,0,0,0,37.06,0.62,0,0
1520530309.799603,0,0,0,36.94,0.61,0,0
1520530309.849605,0,0,0,37.12,0.60,0,0
1520530309.899606,0,0,0,37.19,0.61,0,0
1520530309.949608,0,0,0,36.80,0.63,0,0
1520530309.999622,0,0,0,37.51,0.60,0,0
1520530310.049623,0,0,0,37.44,0.61,0,0
1520530310.099625,0,0,0,37.51,0.61,0,0
1520530310.149627,0,0,0,37.62,0.61,0,0
1520530310.199628,0,0,0,37.76,0.61,0,0
1520530310.249729,0,0,0,37.48,0.70,0,0
1520530310.299631,0,0,0,37.60,0.60,0,0
1520530310.349633,0,0,0,37.51,0.61,0,0
1520530310.399625,0,0,0,37.22,0.58,0,0
1520530310.449627,0,0,0,37.11,0.60,0,0
1520530310.499628,0,0,0,37.30,0.60,0,0
1520530310.549630,0,0,0,37.27,0.60,0,0
1520530310.599632,0,0,0,37.29,0.60,0,0
1520530310.649633,0,0,0,37.27,0.61,0,0
1520530310.699635,0,0,0,37.18,0.72,0,0
1520530310.749636,0,0,0,37.14,0.62,0,0
1520530310.799651,0,0,0,37.75,0.61,0,0
1520530310.849652,0,0,0,37.79,0.61,0,0
1520530310.899654,0,0,0,38.00,0.62,0,0
1520530310.949655,0,0,0,37.84,0.62,0,0
1520530310.999657,0,0,0,37.81,0.61,0,0
1520530311.049659,0,0,0,37.88,0.63,0,0
1520530311.099660,1,115,99,37.72,12.96,1,99
1520530311.149662,1,220,172,38.00,17.98,0,99
1520530311.199672,1,225,177,38.23,19.95,0,99
1520530311.249673,1,219,175,38.21,28.71,1,185
1520530311.299675,1,216,177,38.06,19.73,0,185
1520530311.349677,1,216,175,38.18,18.69,0,185
1520530311.399678,1,214,175,38.19,29.79,1,218
1520530311.449679,1,217,176,38.15,20.23,0,218
1520530311.499684,1,227,180,38.18,20.13,0,218
1520530311.549683,1,229,181,38.12,31.15,1,238
1520530311.599684,1,230,179,38.31,19.70,0,238
1520530311.649719,1,228,180,39.47,19.65,0,238
1520530311.699720,1,225,178,39.30,37.96,1,244
1520530311.749722,1,225,179,39.57,19.10,0,244
1520530311.799723,1,225,180,39.43,19.33,0,244
1520530311.849725,1,225,178,39.32,45.65,1,249
1520530311.899726,1,246,196,39.37,20.94,0,249
1520530311.949728,1,244,195,39.37,20.73,0,249
1520530311.999729,1,244,194,39.33,49.42,1,268
1520530312.049721,1,244,196,38.87,21.26,0,268
1520530312.099721,1,243,195,39.11,21.73,0,268
1520530312.149723,1,248,195,38.97,53.63,1,286
1520530312.199726,1,257,202,39.22,21.82,0,286
1520530312.249727,1,258,202,39.22,21.61,0,286
1520530312.299728,1,262,206,38.95,49.35,1,306
1520530312.349730,1,263,207,38.93,22.30,0,306
1520530312.399731,1,263,206,38.95,22.12,0,306
1520530312.449712,1,264,206,38.31,68.94,1,323
1520530312.499714,1,264,207,38.34,22.80,0,323
1520530312.549715,1,261,204,38.47,21.71,0,323
1520530312.599717,1,263,207,38.40,49.57,1,324
1520530312.649719,1,256,201,38.30,22.34,0,324
1520530312.699720,1,264,208,38.24,22.04,0,324
1520530312.749722,1,262,208,38.27,52.89,1,340
1520530312.799724,1,264,209,38.44,22.28,0,340
1520530312.849720,1,265,209,38.28,22.86,0,340
1520530312.899721,1,265,207,38.35,56.54,1,344
1520530312.949723,1,264,207,38.23,22.55,0,344
1520530312.999725,1,253,202,38.41,22.03,0,344
1520530313.049726,1,260,206,38.29,59.37,1,356
1520530313.099727,1,268,208,38.34,22.69,0,356
1520530313.149729,1,268,213,38.34,22.93,0,356
1520530313.199730,1,269,211,38.21,73.17,1,373
1520530313.249736,1,269,216,38.34,23.18,0,373
1520530313.299738,1,268,213,38.64,22.87,0,373
1520530313.349739,1,267,212,38.59,75.77,1,382
1520530313.399790,1,264,209,38.60,22.73,0,382
1520530313.449743,1,263,211,38.43,21.72,0,382
1520530313.499744,1,263,213,38.29,120.00,1,386
1520530313.549746,1,262,208,38.47,22.53,0,386
1520530313.599747,1,261,207,38.46,21.86,0,386
1520530313.649745,1,261,209,38.30,96.94,1,386
1520530313.699746,1,261,208,38.16,23.03,0,386
1520530313.749748,1,261,213,38.33,22.72,0,386
1520530313.799750,1,262,211,38.35,83.23,1,397
1520530313.849751,1,261,212,38.56,22.39,0,397
1520530313.899753,1,258,208,38.43,22.27,0,397
1520530313.949754,1,260,206,38.19,111.29,1,413
1520530313.999756,1,263,209,38.23,22.55,0,413
1520530314.049757,1,262,209,38.63,22.70,0,413
1520530314.099763,1,260,207,38.57,127.76,1,429
1520530314.149765,1,260,209,38.61,23.42,0,429
1520530314.199766,1,256,206,38.71,22.17,0,429
1520530314.249768,1,256,206,38.92,143.27,1,438
1520530314.299769,1,256,211,38.97,23.40,0,438
1520530314.349771,1,257,206,38.77,22.63,0,438
1520530314.399773,1,259,208,38.90,153.97,1,448
1520530314.449774,1,240,203,38.84,24.48,0,448
1520530314.499774,1,237,202,39.13,21.92,0,448
1520530314.549776,1,237,201,38.97,191.22,1,462
1520530314.599777,1,237,204,39.12,22.80,0,462
1520530314.649779,1,236,203,39.45,21.84,0,462
1520530314.699780,1,229,199,39.77,164.98,1,479
1520530314.749782,1,234,203,39.80,22.60,0,479
1520530314.799787,1,231,199,40.00,22.17,0,479
1520530314.849784,1,224,196,40.42,129.36,1,497
1520530314.899810,1,253,214,41.22,23.34,0,497
1520530314.949812,1,257,220,41.66,24.53,0,497
1520530314.999919,1,241,207,41.68,138.13,1,522
1520530315.049815,1,260,221,41.70,23.74,0,522
1520530315.099817,1,260,223,41.89,24.05,0,522
1520530315.149818,1,264,224,41.99,176.01,1,564
1520530315.199819,1,265,225,42.16,23.67,0,564
1520530315.249821,1,267,231,42.37,24.10,0,564
1520530315.299635,1,214,182,35.04,117.38,1,552
1520530315.349637,1,211,179,34.89,19.73,0,552
1520530315.399639,1,211,181,34.76,20.26,0,552
1520530315.449640,1,198,178,34.76,51.90,1,503
1520530315.499642,1,211,184,34.61,19.97,0,503
1520530315.549643,1,300,263,34.78,26.23,0,503
1520530315.599645,1,284,257,34.53,63.64,1,577
1520530315.649646,1,287,252,34.36,26.77,0,577
1520530315.699637,1,285,255,33.55,26.43,0,577
1520530315.749639,1,290,255,33.52,61.18,1,568
1520530315.799640,1,289,250,33.62,27.15,0,568
1520530315.849642,1,276,248,33.53,27.20,0,568
1520530315.899643,1,269,232,33.29,75.30,1,570
1520530315.949645,1,261,215,32.86,25.24,0,570
1520530315.999647,1,263,205,32.87,24.69,0,570
1520530316.049648,1,261,206,32.67,87.38,1,574
1520530316.100221,1,192,164,53.46,25.43,0,574
1520530316.150223,1,197,168,53.66,19.75,0,574
1520530316.200224,1,186,167,54.00,72.21,1,580
1520530316.250226,1,185,166,54.22,18.28,0,580
1520530316.300227,1,198,172,54.27,19.38,0,580
1520530316.350229,1,196,175,54.59,76.71,1,587
1520530316.400230,1,184,168,54.29,19.35,0,587
1520530316.450231,1,208,179,54.30,19.99,0,587
1520530316.500233,1,203,176,54.43,71.54,1,582
1520530316.550276,1,204,180,55.71,20.08,0,582
1520530316.600278,1,206,182,55.64,20.03,0,582
1520530316.650280,1,199,179,55.65,63.08,1,600
1520530316.700281,1,195,177,55.63,19.79,0,600
1520530316.750283,1,202,182,55.50,19.11,0,600
1520530316.800284,1,205,182,55.53,57.37,1,613
1520530316.850286,1,202,181,55.31,20.21,0,613
1520530316.900287,1,203,181,55.56,19.39,0,613
1520530316.949773,1,171,156,37.26,59.07,1,607
1520530316.999775,1,185,162,37.40,18.02,0,607
1520530317.049776,1,187,168,37.18,19.10,0,607
1520530317.099778,1,187,167,37.26,59.51,1,625
1520530317.149779,1,200,174,37.34,19.43,0,625
1520530317.199781,1,188,163,37.32,19.14,0,625
1520530317.249782,1,187,159,37.36,73.47,1,631
1520530317.299784,1,196,158,37.31,18.89,0,631
1520530317.349743,1,185,152,35.72,18.82,0,631
1520530317.399745,1,192,151,35.72,62.94,1,624
1520530317.449748,1,184,148,35.60,18.41,0,624
1520530317.499748,1,194,149,35.65,18.05,0,624
1520530317.549752,1,195,148,35.41,65.03,1,638
1520530317.599752,1,196,146,35.16,18.57,0,638
1520530317.649754,1,204,147,35.17,19.42,0,638
1520530317.699755,1,192,142,34.48,69.65,1,652
1520530317.750237,1,212,140,50.63,20.76,0,652
1520530317.800239,1,224,151,49.92,20.02,0,652
1520530317.850240,1,256,171,49.24,105.61,1,708
1520530317.900242,1,246,164,48.60,21.81,0,708
1520530317.950243,1,251,168,48.25,21.74,0,708
1520530318.000244,1,240,165,47.68,113.53,1,710
1520530318.050247,1,235,162,47.23,20.52,0,710
1520530318.100248,1,241,165,47.07,21.28,0,710
1520530318.150816,1,246,177,63.41,100.70,1,749
1520530318.200769,1,240,176,63.21,22.02,0,749
1520530318.250771,1,241,177,63.22,21.36,0,749
1520530318.300772,1,259,185,63.11,119.98,1,773
1520530318.350774,1,247,185,63.43,23.20,0,773
1520530318.400775,1,237,182,63.61,21.92,0,773
1520530318.450777,1,229,176,63.88,130.52,1,784
1520530318.500778,1,239,180,63.82,21.20,0,784
1520530318.550780,1,300,221,64.03,24.03,0,784
1520530318.600567,1,258,199,57.46,123.19,1,826
1520530318.650568,1,247,188,57.57,22.80,0,826
1520530318.700570,1,248,189,57.73,21.95,0,826
1520530318.750571,1,264,201,58.06,128.39,1,836
1520530318.800573,1,261,201,58.25,23.16,0,836
1520530318.850574,1,300,221,58.43,25.23,0,836
1520530318.900576,1,285,211,58.80,127.97,1,855
1520530318.950577,1,278,207,59.02,24.65,0,855
1520530318.999955,1,195,143,38.95,23.28,0,855
1520530319.049957,1,194,142,39.01,134.68,1,863
1520530319.099960,1,192,141,39.47,17.90,0,863
1520530319.149961,1,192,143,39.41,18.01,0,863
1520530319.199962,1,233,171,39.65,138.40,1,874
1520530319.249964,1,227,169,39.73,20.99,0,874
1520530319.299965,1,215,168,40.21,20.09,0,874
1520530319.349967,1,206,161,40.21,117.18,1,852
1520530319.399832,1,190,154,35.62,20.22,0,852
1520530319.449833,1,188,158,35.64,19.20,0,852
1520530319.499835,1,187,161,35.80,74.80,1,817
1520530319.549837,1,179,154,35.76,18.57,0,817
1520530319.599838,1,181,153,35.52,18.10,0,817
1520530319.649840,1,179,146,35.31,79.14,1,790
1520530319.699841,1,167,143,35.35,18.31,0,790
1520530319.749942,1,169,141,35.21,17.14,0,790
1520530319.800341,1,173,150,53.11,58.04,1,726
1520530319.850343,1,191,162,53.50,18.60,0,726
1520530319.900344,1,174,154,54.04,18.86,0,726
1520530319.950346,1,185,161,54.57,58.19,1,753
