t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,13.88,1.40,0,0
1520530308.249449,0,0,0,13.96,0.68,0,0
1520530308.299451,0,0,0,13.93,0.67,0,0
1520530308.349503,0,0,0,14.57,0.67,0,0
1520530308.399505,0,0,0,14.72,0.68,0,0
1520530308.449505,0,0,0,14.76,0.68,0,0
1520530308.499506,0,0,0,14.63,0.70,0,0
1520530308.549508,0,0,0,14.67,0.67,0,0
1520530308.599509,0,0,0,14.71,0.68,0,0
1520530308.649555,0,0,0,14.68,0.67,0,0
1520530308.699512,0,0,0,14.63,0.65,0,0
1520530308.749559,0,0,0,15.28,0.66,0,0
1520530308.799560,0,0,0,15.25,0.61,0,0
1520530308.849562,0,0,0,15.24,0.60,0,0
1520530308.899563,0,0,0,15.27,0.66,0,0
1520530308.949565,0,0,0,15.37,0.67,0,0
1520530308.999567,0,0,0,15.36,0.67,0,0
1520530309.049568,0,0,0,15.43,0.75,0,0
1520530309.099570,0,0,0,15.38,0.64,0,0
1520530309.149567,0,0,0,15.32,0.64,0,0
1520530309.199583,0,0,0,15.55,0.67,0,0
1520530309.249583,0,0,0,15.45,0.70,0,0
1520530309.299586,0,0,0,15.58,0.67,0,0
1520530309.349586,0,0,0,15.57,0.65,0,0
1520530309.399589,0,0,0,15.46,0.68,0,0
1520530309.449590,0,0,0,15.43,0.67,0,0
1520530309.499591,0,0,0,15.50,0.65,0,0
1520530309.549594,0,0,0,15.55,0.65,0,0
1520530309.599597,0,0,0,15.49,0.68,0,0
1520530309.649599,0,0,0,15.64,0.66,0,0
1520530309.699600,0,0,0,15.66,0.67,0,0
1520530309.749602,0,0,0,15.65,0.65,0,0
1520530309.799603,0,0,0,15.58,0.67,0,0
1520530309.849605,0,0,0,15.67,0.60,0,0
1520530309.899606,0,0,0,15.70,0.69,0,0
1520530309.949608,0,0,0,15.55,0.67,0,0
1520530309.999622,0,0,0,15.85,0.64,0,0
1520530310.049623,0,0,0,15.81,0.64,0,0
1520530310.099625,0,0,0,15.84,0.69,0,0
1520530310.149627,0,0,0,15.89,0.67,0,0
1520530310.199628,0,0,0,15.92,0.65,0,0
1520530310.249729,0,0,0,15.84,0.67,0,0
1520530310.299631,0,0,0,15.88,0.67,0,0
1520530310.349633,0,0,0,15.83,0.65,0,0
1520530310.399625,0,0,0,15.71,0.64,0,0
1520530310.449627,0,0,0,15.66,0.65,0,0
1520530310.499628,0,0,0,15.73,0.66,0,0
1520530310.549630,0,0,0,15.73,0.67,0,0
1520530310.599632,0,0,0,15.74,0.67,0,0
1520530310.649633,0,0,0,15.73,0.65,0,0
1520530310.699635,0,0,0,15.70,0.70,0,0
1520530310.749636,0,0,0,15.67,0.67,0,0
1520530310.799651,0,0,0,15.93,0.65,0,0
1520530310.849652,0,0,0,15.94,0.64,0,0
1520530310.899654,0,0,0,16.01,0.67,0,0
1520530310.949655,0,0,0,15.96,0.66,0,0
1520530310.999657,0,0,0,15.97,0.66,0,0
1520530311.049659,0,0,0,16.00,0.65,0,0
1520530311.099660,1,151,124,15.92,16.86,1,124
1520530311.149662,1,166,136,15.99,13.75,0,124
1520530311.199672,1,300,217,16.10,18.16,0,124
1520530311.249673,1,300,225,16.08,33.72,1,249
1520530311.299675,1,300,223,16.02,23.05,0,249
1520530311.349677,1,300,226,16.05,23.46,0,249
1520530311.399678,1,300,225,16.08,40.24,1,330
1520530311.449679,1,300,225,16.07,23.41,0,330
1520530311.499684,1,300,224,16.09,23.39,0,330
1520530311.549683,1,300,232,16.07,35.85,1,402
1520530311.599684,1,300,226,16.13,21.32,0,402
1520530311.649719,1,300,232,16.63,21.46,0,402
1520530311.699720,1,300,223,16.54,47.67,1,462
1520530311.749722,1,300,217,16.67,23.10,0,462
1520530311.799723,1,300,224,16.60,22.57,0,462
1520530311.849725,1,300,235,16.58,45.11,1,529
1520530311.899726,1,300,228,16.59,23.40,0,529
1520530311.949728,1,300,227,16.59,22.05,0,529
1520530311.999729,1,300,225,16.58,55.91,1,584
1520530312.049721,1,300,237,16.42,22.41,0,584
1520530312.099721,1,300,227,16.52,21.42,0,584
1520530312.149723,1,300,224,16.45,69.40,1,644
1520530312.199726,1,300,225,16.54,21.75,0,644
1520530312.249727,1,300,226,16.54,22.65,0,644
1520530312.299728,1,300,239,16.46,99.66,1,707
1520530312.349730,1,300,221,16.43,20.49,0,707
1520530312.399731,1,300,227,16.46,22.20,0,707
1520530312.449712,1,300,235,16.16,94.33,1,769
1520530312.499714,1,300,232,16.18,23.21,0,769
1520530312.549715,1,300,226,16.22,21.09,0,769
1520530312.599717,1,300,224,16.23,63.65,1,817
1520530312.649719,1,300,227,16.19,21.67,0,817
1520530312.699720,1,264,208,16.15,19.40,0,817
1520530312.749722,1,300,228,16.16,78.54,1,873
1520530312.799724,1,300,233,16.24,22.06,0,873
1520530312.849720,1,300,236,16.15,20.62,0,873
1520530312.899721,1,300,230,16.18,108.99,1,931
1520530312.949723,1,275,213,16.12,20.44,0,931
1520530312.999725,1,300,228,16.19,21.34,0,931
1520530313.049726,1,300,242,16.15,77.71,1,997
1520530313.099727,1,300,242,16.16,21.45,0,997
1520530313.149729,1,300,237,16.16,20.89,0,997
1520530313.199730,1,300,229,16.14,82.71,1,1047
1520530313.249736,1,300,231,16.17,22.15,0,1047
1520530313.299738,1,300,235,16.27,21.58,0,1047
1520530313.349739,1,300,223,16.26,94.37,1,1098
1520530313.399790,1,271,209,16.26,20.37,0,1098
1520530313.449743,1,300,222,16.23,20.40,0,1098
1520530313.499744,1,300,228,16.18,93.69,1,1153
1520530313.549746,1,300,229,16.22,21.28,0,1153
1520530313.599747,1,300,239,16.22,20.86,0,1153
1520530313.649745,1,300,222,16.18,98.23,1,1195
1520530313.699746,1,300,234,16.11,21.49,0,1195
1520530313.749748,1,265,221,16.19,19.03,0,1195
1520530313.799750,1,300,230,16.18,103.16,1,1249
1520530313.849751,1,266,227,16.25,18.96,0,1249
1520530313.899753,1,300,232,16.20,19.67,0,1249
1520530313.949754,1,300,231,16.11,112.90,1,1304
1520530313.999756,1,300,238,16.15,21.96,0,1304
1520530314.049757,1,300,233,16.30,23.18,0,1304
1520530314.099763,1,300,234,16.26,117.12,1,1364
1520530314.149765,1,300,236,16.26,22.54,0,1364
1520530314.199766,1,300,234,16.32,20.11,0,1364
1520530314.249768,1,300,232,16.38,135.06,1,1424
1520530314.299769,1,300,239,16.41,21.10,0,1424
1520530314.349771,1,300,232,16.34,21.75,0,1424
1520530314.399773,1,300,233,16.35,141.57,1,1484
1520530314.449774,1,300,237,16.33,23.21,0,1484
1520530314.499774,1,300,236,16.42,21.68,0,1484
1520530314.549776,1,300,241,16.33,192.74,1,1555
1520530314.599777,1,300,227,16.37,23.46,0,1555
1520530314.649779,1,300,226,16.46,23.58,0,1555
1520530314.699780,1,300,225,16.59,206.57,1,1624
1520530314.749782,1,300,223,16.57,24.04,0,1624
1520530314.799787,1,300,223,16.62,22.73,0,1624
1520530314.849784,1,300,230,16.77,185.34,1,1700
1520530314.899810,1,300,219,17.15,26.20,0,1700
1520530314.949812,1,300,221,17.35,23.75,0,1700
1520530314.999919,1,300,223,17.36,223.39,1,1779
1520530315.049815,1,300,207,17.41,23.52,0,1779
1520530315.099817,1,300,214,17.47,23.21,0,1779
1520530315.149818,1,300,219,17.53,211.94,1,1838
1520530315.199819,1,300,205,17.58,23.19,0,1838
1520530315.249821,1,300,218,17.67,22.08,0,1838
1520530315.299635,1,300,209,14.64,128.60,1,1831
1520530315.349637,1,300,210,14.56,22.94,0,1831
1520530315.399639,1,300,220,14.51,23.66,0,1831
1520530315.449640,1,223,194,14.51,101.35,1,1783
1520530315.499642,1,300,198,14.36,20.47,0,1783
1520530315.549643,1,300,199,14.41,25.69,0,1783
1520530315.599645,1,287,208,14.26,107.18,1,1783
1520530315.649646,1,262,206,14.14,22.60,0,1783
1520530315.699637,1,300,213,13.79,23.07,0,1783
1520530315.749639,1,214,176,13.72,113.51,1,1755
1520530315.799640,1,210,171,13.73,18.49,0,1755
1520530315.849642,1,258,183,13.66,19.94,0,1755
1520530315.899643,1,267,191,13.55,88.61,1,1751
1520530315.949645,1,300,206,13.38,23.37,0,1751
1520530315.999647,1,300,210,13.38,24.90,0,1751
1520530316.049648,1,235,185,13.35,90.59,1,1735
1520530316.100221,1,300,224,22.31,21.29,0,1735
1520530316.150223,1,300,223,22.44,23.23,0,1735
1520530316.200224,1,300,237,22.56,105.84,1,1773
1520530316.250226,1,300,232,22.70,22.60,0,1773
1520530316.300227,1,300,233,22.75,22.45,0,1773
1520530316.350229,1,272,219,22.96,115.52,1,1760
1520530316.400230,1,300,240,22.88,21.36,0,1760
1520530316.450231,1,300,238,22.91,21.61,0,1760
1520530316.500233,1,300,232,22.98,114.35,1,1763
1520530316.550276,1,300,236,23.58,21.71,0,1763
1520530316.600278,1,300,237,23.54,22.23,0,1763
1520530316.650280,1,300,237,23.55,94.99,1,1768
1520530316.700281,1,300,244,23.57,20.95,0,1768
1520530316.750283,1,271,236,23.51,19.49,0,1768
1520530316.800284,1,262,223,23.52,79.54,1,1768
1520530316.850286,1,269,219,23.41,18.73,0,1768
1520530316.900287,1,270,224,23.53,17.76,0,1768
1520530316.949773,1,300,223,15.62,103.95,1,1783
1520530316.999775,1,257,212,15.67,21.49,0,1783
1520530317.049776,1,300,222,15.56,19.64,0,1783
1520530317.099778,1,300,223,15.58,82.47,1,1798
1520530317.149779,1,300,217,15.59,22.51,0,1798
1520530317.199781,1,256,199,15.60,21.77,0,1798
1520530317.249782,1,300,223,15.57,96.02,1,1807
1520530317.299784,1,269,204,15.57,22.61,0,1807
1520530317.349743,1,300,204,14.85,20.87,0,1807
1520530317.399745,1,267,204,14.85,100.15,1,1831
1520530317.449748,1,255,195,14.84,21.21,0,1831
1520530317.499748,1,239,180,14.85,19.31,0,1831
1520530317.549752,1,300,203,14.79,84.65,1,1850
1520530317.599752,1,258,180,14.69,22.06,0,1850
