t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,13.88,1.49,0,0
1520530308.249449,0,0,0,13.96,0.63,0,0
1520530308.299451,0,0,0,13.93,0.63,0,0
1520530308.349503,0,0,0,14.57,0.64,0,0
1520530308.399505,0,0,0,14.72,0.62,0,0
1520530308.449505,0,0,0,14.76,0.62,0,0
1520530308.499506,0,0,0,14.63,0.61,0,0
1520530308.549508,0,0,0,14.67,0.62,0,0
1520530308.599509,0,0,0,14.71,0.62,0,0
1520530308.649555,0,0,0,14.68,0.62,0,0
1520530308.699512,0,0,0,14.63,0.62,0,0
1520530308.749559,0,0,0,15.28,0.60,0,0
1520530308.799560,0,0,0,15.25,0.62,0,0
1520530308.849562,0,0,0,15.24,0.62,0,0
1520530308.899563,0,0,0,15.27,0.62,0,0
1520530308.949565,0,0,0,15.37,0.62,0,0
1520530308.999567,0,0,0,15.36,0.65,0,0
1520530309.049568,0,0,0,15.43,0.72,0,0
1520530309.099570,0,0,0,15.38,0.59,0,0
1520530309.149567,0,0,0,15.32,0.61,0,0
1520530309.199583,0,0,0,15.55,0.62,0,0
1520530309.249583,0,0,0,15.45,0.61,0,0
1520530309.299586,0,0,0,15.58,0.61,0,0
1520530309.349586,0,0,0,15.57,0.62,0,0
1520530309.399589,0,0,0,15.46,0.60,0,0
1520530309.449590,0,0,0,15.43,0.60,0,0
1520530309.499591,0,0,0,15.50,0.61,0,0
1520530309.549594,0,0,0,15.55,0.61,0,0
1520530309.599597,0,0,0,15.49,0.60,0,0
1520530309.649599,0,0,0,15.64,0.60,0,0
1520530309.699600,0,0,0,15.66,0.61,0,0
1520530309.749602,0,0,0,15.65,0.60,0,0
1520530309.799603,0,0,0,15.58,0.61,0,0
1520530309.849605,0,0,0,15.67,0.60,0,0
1520530309.899606,0,0,0,15.70,0.60,0,0
1520530309.949608,0,0,0,15.55,0.60,0,0
1520530309.999622,0,0,0,15.85,0.60,0,0
1520530310.049623,0,0,0,15.81,0.60,0,0
1520530310.099625,0,0,0,15.84,0.60,0,0
1520530310.149627,0,0,0,15.89,0.60,0,0
1520530310.199628,0,0,0,15.92,0.60,0,0
1520530310.249729,0,0,0,15.84,0.60,0,0
1520530310.299631,0,0,0,15.88,0.61,0,0
1520530310.349633,0,0,0,15.83,0.70,0,0
1520530310.399625,0,0,0,15.71,0.60,0,0
1520530310.449627,0,0,0,15.66,0.61,0,0
1520530310.499628,0,0,0,15.73,0.62,0,0
1520530310.549630,0,0,0,15.73,0.61,0,0
1520530310.599632,0,0,0,15.74,0.60,0,0
1520530310.649633,0,0,0,15.73,0.62,0,0
1520530310.699635,0,0,0,15.70,0.61,0,0
1520530310.749636,0,0,0,15.67,0.60,0,0
1520530310.799651,0,0,0,15.93,0.60,0,0
1520530310.849652,0,0,0,15.94,0.60,0,0
1520530310.899654,0,0,0,16.01,0.60,0,0
1520530310.949655,0,0,0,15.96,0.60,0,0
1520530310.999657,0,0,0,15.97,0.60,0,0
1520530311.049659,0,0,0,16.00,0.61,0,0
1520530311.099660,1,151,124,15.92,23.16,1,124
1520530311.149662,1,166,136,15.99,21.44,0,124
1520530311.199672,1,300,217,16.10,40.95,1,237
1520530311.249673,1,300,225,16.08,33.75,0,237
1520530311.299675,1,300,223,16.02,45.81,1,307
1520530311.349677,1,300,226,16.05,32.36,0,307
1520530311.399678,1,300,222,16.08,53.76,1,369
1520530311.449679,1,300,229,16.07,33.58,0,369
1520530311.499684,1,300,223,16.09,57.85,1,424
1520530311.549683,1,300,234,16.07,32.35,0,424
1520530311.599684,1,300,225,16.13,66.99,1,473
1520530311.649719,1,300,226,16.63,33.84,0,473
1520530311.699720,1,300,223,16.54,59.19,1,528
1520530311.749722,1,300,217,16.67,31.53,0,528
1520530311.799723,1,300,228,16.60,61.75,1,586
1520530311.849725,1,300,231,16.58,32.36,0,586
1520530311.899726,1,300,225,16.59,65.49,1,638
1520530311.949728,1,300,224,16.59,31.37,0,638
1520530311.999729,1,300,228,16.58,71.19,1,687
1520530312.049721,1,300,236,16.42,32.06,0,687
1520530312.099721,1,300,229,16.52,72.85,1,737
1520530312.149723,1,300,227,16.45,31.37,0,737
1520530312.199726,1,264,210,16.54,88.60,1,779
1520530312.249727,1,300,231,16.54,30.60,0,779
1520530312.299728,1,300,235,16.46,81.64,1,831
1520530312.349730,1,300,218,16.43,31.70,0,831
1520530312.399731,1,300,226,16.46,85.00,1,880
1520530312.449712,1,300,240,16.16,34.91,0,880
1520530312.499714,1,300,232,16.18,92.67,1,933
1520530312.549715,1,300,231,16.22,31.93,0,933
1520530312.599717,1,300,228,16.23,97.09,1,980
1520530312.649719,1,300,230,16.19,31.79,0,980
1520530312.699720,1,300,227,16.15,124.12,1,1034
1520530312.749722,1,300,234,16.16,32.07,0,1034
1520530312.799724,1,300,233,16.24,104.60,1,1090
1520530312.849720,1,300,235,16.15,30.92,0,1090
1520530312.899721,1,300,231,16.18,135.86,1,1132
1520530312.949723,1,300,230,16.12,32.35,0,1132
1520530312.999725,1,300,224,16.19,117.45,1,1172
1520530313.049726,1,300,237,16.15,31.75,0,1172
1520530313.099727,1,300,236,16.16,122.11,1,1227
1520530313.149729,1,300,236,16.16,34.20,0,1227
1520530313.199730,1,300,230,16.14,157.97,1,1268
1520530313.249736,1,300,225,16.17,31.21,0,1268
1520530313.299738,1,300,229,16.27,135.57,1,1312
1520530313.349739,1,300,231,16.26,31.26,0,1312
1520530313.399790,1,300,228,16.26,267.89,1,1361
1520530313.449743,1,300,232,16.23,32.93,0,1361
1520530313.499744,1,300,232,16.18,274.18,1,1412
1520530313.549746,1,300,235,16.22,32.95,0,1412
1520530313.599747,1,300,239,16.22,156.58,1,1462
1520530313.649745,1,300,219,16.18,32.40,0,1462
1520530313.699746,1,300,231,16.11,161.70,1,1511
1520530313.749748,1,300,234,16.19,32.81,0,1511
1520530313.799750,1,300,227,16.18,176.14,1,1565
1520530313.849751,1,300,237,16.25,33.25,0,1565
1520530313.899753,1,300,234,16.20,186.24,1,1616
1520530313.949754,1,300,230,16.11,32.33,0,1616
1520530313.999756,1,300,227,16.15,306.72,1,1666
1520530314.049757,1,300,232,16.30,31.92,0,1666
1520530314.099763,1,300,244,16.26,316.34,1,1727
1520530314.149765,1,275,229,16.26,30.89,0,1727
1520530314.199766,1,300,228,16.32,210.27,1,1770
1520530314.249768,1,300,233,16.38,32.45,0,1770
1520530314.299769,1,300,236,16.41,352.34,1,1830
1520530314.349771,1,300,237,16.34,31.61,0,1830
1520530314.399773,1,272,221,16.35,357.78,1,1876
1520530314.449774,1,300,242,16.33,32.02,0,1876
1520530314.499774,1,300,240,16.42,301.62,1,1947
1520530314.549776,1,300,240,16.33,32.85,0,1947
1520530314.599777,1,300,231,16.37,328.97,1,1995
1520530314.649779,1,300,235,16.46,32.74,0,1995
1520530314.699780,1,300,224,16.59,334.64,1,2050
1520530314.749782,1,300,222,16.57,33.16,0,2050
1520530314.799787,1,300,219,16.62,250.20,1,2101
1520530314.849784,1,300,227,16.77,33.08,0,2101
1520530314.899810,1,300,218,17.15,378.75,1,2151
1520530314.949812,1,300,218,17.35,33.56,0,2151
1520530314.999919,1,300,222,17.36,493.50,1,2221
1520530315.049815,1,300,212,17.41,32.80,0,2221
1520530315.099817,1,300,225,17.47,474.34,1,2285
1520530315.149818,1,300,223,17.53,33.74,0,2285
1520530315.199819,1,300,212,17.58,308.71,1,2278
1520530315.249821,1,300,208,17.67,31.87,0,2278
1520530315.299635,1,300,219,14.64,226.14,1,2232
1520530315.349637,1,300,213,14.56,32.98,0,2232
1520530315.399639,1,300,217,14.51,196.54,1,2292
1520530315.449640,1,230,195,14.51,31.18,0,2292
1520530315.499642,1,300,195,14.36,196.83,1,2278
1520530315.549643,1,300,204,14.41,35.53,0,2278
1520530315.599645,1,286,211,14.26,184.77,1,2288
1520530315.649646,1,221,187,14.14,29.63,0,2288
1520530315.699637,1,207,181,13.79,168.14,1,2263
1520530315.749639,1,198,171,13.72,25.13,0,2263
1520530315.799640,1,207,175,13.73,173.56,1,2232
1520530315.849642,1,260,186,13.66,27.35,0,2232
1520530315.899643,1,210,175,13.55,170.12,1,2222
1520530315.949645,1,200,164,13.38,25.32,0,2222
1520530315.999647,1,300,211,13.38,148.02,1,2230
1520530316.049648,1,300,205,13.35,33.89,0,2230
1520530316.100221,1,300,225,22.31,179.15,1,2254
1520530316.150223,1,300,222,22.44,33.41,0,2254
1520530316.200224,1,253,217,22.56,168.52,1,2199
1520530316.250226,1,300,230,22.70,31.38,0,2199
1520530316.300227,1,300,228,22.75,130.29,1,2207
1520530316.350229,1,300,232,22.96,32.92,0,2207
1520530316.400230,1,300,240,22.88,129.61,1,2215
1520530316.450231,1,300,235,22.91,32.60,0,2215
1520530316.500233,1,300,229,22.98,127.34,1,2228
1520530316.550276,1,300,234,23.58,32.76,0,2228
1520530316.600278,1,300,242,23.54,134.20,1,2244
1520530316.650280,1,300,234,23.55,32.59,0,2244
1520530316.700281,1,300,244,23.57,133.68,1,2262
1520530316.750283,1,267,235,23.51,30.83,0,2262
1520530316.800284,1,300,230,23.52,128.16,1,2258
1520530316.850286,1,294,235,23.41,31.88,0,2258
1520530316.900287,1,275,226,23.53,197.18,1,2243
1520530316.949773,1,300,222,15.62,32.70,0,2243
1520530316.999775,1,257,211,15.67,181.37,1,2269
1520530317.049776,1,300,222,15.56,32.00,0,2269
1520530317.099778,1,300,222,15.58,189.96,1,2293
1520530317.149779,1,253,199,15.59,29.04,0,2293
1520530317.199781,1,300,218,15.60,160.14,1,2297
1520530317.249782,1,278,215,15.57,32.72,0,2297
1520530317.299784,1,264,207,15.57,143.15,1,2303
1520530317.349743,1,275,200,14.85,29.40,0,2303
1520530317.399745,1,270,203,14.85,218.88,1,2312
1520530317.449748,1,300,213,14.84,32.53,0,2312
1520530317.499748,1,265,194,14.85,150.47,1,2359
1520530317.549752,1,300,205,14.79,31.44,0,2359
1520530317.599752,1,262,184,14.69,151.94,1,2308
1520530317.649754,1,257,190,14.70,30.71,0,2308
1520530317.699755,1,266,181,14.46,247.27,1,2300
1520530317.750237,1,300,201,21.66,31.97,0,2300
1520530317.800239,1,300,206,21.42,305.92,1,2314
1520530317.850240,1,300,213,21.18,32.41,0,2314
1520530317.900242,1,300,202,20.92,161.90,1,2319
1520530317.950243,1,300,206,20.71,32.32,0,2319
1520530318.000244,1,300,213,20.40,231.62,1,2345
1520530318.050247,1,300,210,20.12,31.82,0,2345
