t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,13.88,1.31,0,0
1520530308.249449,0,0,0,13.96,0.64,0,0
1520530308.299451,0,0,0,13.93,0.63,0,0
1520530308.349503,0,0,0,14.57,0.63,0,0
1520530308.399505,0,0,0,14.72,0.62,0,0
1520530308.449505,0,0,0,14.76,0.61,0,0
1520530308.499506,0,0,0,14.63,0.61,0,0
1520530308.549508,0,0,0,14.67,0.62,0,0
1520530308.599509,0,0,0,14.71,0.63,0,0
1520530308.649555,0,0,0,14.68,0.60,0,0
1520530308.699512,0,0,0,14.63,0.60,0,0
1520530308.749559,0,0,0,15.28,0.60,0,0
1520530308.799560,0,0,0,15.25,0.62,0,0
1520530308.849562,0,0,0,15.24,0.62,0,0
1520530308.899563,0,0,0,15.27,0.62,0,0
1520530308.949565,0,0,0,15.37,0.62,0,0
1520530308.999567,0,0,0,15.36,0.62,0,0
1520530309.049568,0,0,0,15.43,0.70,0,0
1520530309.099570,0,0,0,15.38,0.60,0,0
1520530309.149567,0,0,0,15.32,0.60,0,0
1520530309.199583,0,0,0,15.55,0.62,0,0
1520530309.249583,0,0,0,15.45,0.62,0,0
1520530309.299586,0,0,0,15.58,0.61,0,0
1520530309.349586,0,0,0,15.57,0.61,0,0
1520530309.399589,0,0,0,15.46,0.61,0,0
1520530309.449590,0,0,0,15.43,0.60,0,0
1520530309.499591,0,0,0,15.50,0.62,0,0
1520530309.549594,0,0,0,15.55,0.61,0,0
1520530309.599597,0,0,0,15.49,0.60,0,0
1520530309.649599,0,0,0,15.64,0.60,0,0
1520530309.699600,0,0,0,15.66,0.60,0,0
1520530309.749602,0,0,0,15.65,0.60,0,0
1520530309.799603,0,0,0,15.58,0.61,0,0
1520530309.849605,0,0,0,15.67,0.61,0,0
1520530309.899606,0,0,0,15.70,0.59,0,0
1520530309.949608,0,0,0,15.55,0.60,0,0
1520530309.999622,0,0,0,15.85,0.61,0,0
1520530310.049623,0,0,0,15.81,0.60,0,0
1520530310.099625,0,0,0,15.84,0.61,0,0
1520530310.149627,0,0,0,15.89,0.61,0,0
1520530310.199628,0,0,0,15.92,0.60,0,0
1520530310.249729,0,0,0,15.84,0.71,0,0
1520530310.299631,0,0,0,15.88,0.60,0,0
1520530310.349633,0,0,0,15.83,0.61,0,0
1520530310.399625,0,0,0,15.71,0.60,0,0
1520530310.449627,0,0,0,15.66,0.61,0,0
1520530310.499628,0,0,0,15.73,0.60,0,0
1520530310.549630,0,0,0,15.73,0.60,0,0
1520530310.599632,0,0,0,15.74,0.62,0,0
1520530310.649633,0,0,0,15.73,0.61,0,0
1520530310.699635,0,0,0,15.70,0.61,0,0
1520530310.749636,0,0,0,15.67,0.60,0,0
1520530310.799651,0,0,0,15.93,0.60,0,0
1520530310.849652,0,0,0,15.94,0.61,0,0
1520530310.899654,0,0,0,16.01,0.61,0,0
1520530310.949655,0,0,0,15.96,0.60,0,0
1520530310.999657,0,0,0,15.97,0.61,0,0
1520530311.049659,0,0,0,16.00,0.61,0,0
1520530311.099660,1,300,214,15.92,31.81,1,120
1520530311.149662,1,300,223,15.99,31.05,0,120
1520530311.199672,1,300,218,16.10,30.66,0,120
1520530311.249673,1,300,229,16.08,42.52,1,240
1520530311.299675,1,300,227,16.02,31.27,0,240
1520530311.349677,1,300,221,16.05,30.11,0,240
1520530311.399678,1,300,222,16.08,41.31,1,310
1520530311.449679,1,300,228,16.07,31.86,0,310
1520530311.499684,1,300,228,16.09,30.51,0,310
1520530311.549683,1,300,228,16.07,44.03,1,377
1520530311.599684,1,300,219,16.13,30.53,0,377
1520530311.649719,1,300,225,16.63,30.54,0,377
1520530311.699720,1,300,220,16.54,43.40,1,438
1520530311.749722,1,300,219,16.67,30.90,0,438
1520530311.799723,1,300,226,16.60,29.33,0,438
1520530311.849725,1,300,235,16.58,45.54,1,505
1520530311.899726,1,300,229,16.59,30.64,0,505
1520530311.949728,1,300,225,16.59,29.09,0,505
1520530311.999729,1,300,226,16.58,45.68,1,555
1520530312.049721,1,300,231,16.42,31.10,0,555
1520530312.099721,1,300,231,16.52,30.14,0,555
1520530312.149723,1,300,229,16.45,47.74,1,614
1520530312.199726,1,300,224,16.54,29.24,0,614
1520530312.249727,1,300,222,16.54,32.19,0,614
1520530312.299728,1,300,241,16.46,49.43,1,681
1520530312.349730,1,300,221,16.43,29.89,0,681
1520530312.399731,1,300,230,16.46,29.33,0,681
1520530312.449712,1,300,240,16.16,50.60,1,743
1520530312.499714,1,300,225,16.18,30.76,0,743
1520530312.549715,1,300,226,16.22,29.93,0,743
1520530312.599717,1,300,233,16.23,49.95,1,801
1520530312.649719,1,300,229,16.19,30.22,0,801
1520530312.699720,1,300,224,16.15,32.33,0,801
