t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.57,0,0
1520530308.249449,0,0,0,32.97,0.64,0,0
1520530308.299451,0,0,0,32.88,0.65,0,0
1520530308.349503,0,0,0,34.46,0.64,0,0
1520530308.399505,0,0,0,34.83,0.62,0,0
1520530308.449505,0,0,0,34.94,0.62,0,0
1520530308.499506,0,0,0,34.57,0.61,0,0
1520530308.549508,0,0,0,34.72,0.60,0,0
1520530308.599509,0,0,0,34.80,0.61,0,0
1520530308.649555,0,0,0,34.70,0.61,0,0
1520530308.699512,0,0,0,34.58,0.61,0,0
1520530308.749559,0,0,0,36.16,0.60,0,0
1520530308.799560,0,0,0,36.06,0.62,0,0
1520530308.849562,0,0,0,36.08,0.61,0,0
1520530308.899563,0,0,0,36.16,0.62,0,0
1520530308.949565,0,0,0,36.42,0.62,0,0
1520530308.999567,0,0,0,36.31,0.62,0,0
1520530309.049568,0,0,0,36.56,0.62,0,0
1520530309.099570,0,0,0,36.48,0.59,0,0
1520530309.149567,0,0,0,36.26,0.60,0,0
1520530309.199583,0,0,0,36.84,0.62,0,0
1520530309.249583,0,0,0,36.56,0.62,0,0
1520530309.299586,0,0,0,36.86,0.62,0,0
1520530309.349586,0,0,0,36.84,0.61,0,0
1520530309.399589,0,0,0,36.56,0.62,0,0
1520530309.449590,0,0,0,36.54,0.61,0,0
1520530309.499591,0,0,0,36.69,0.71,0,0
1520530309.549594,0,0,0,36.90,0.62,0,0
1520530309.599597,0,0,0,36.75,0.63,0,0
1520530309.649599,0,0,0,37.06,0.61,0,0
1520530309.699600,0,0,0,37.13,0.62,0,0
1520530309.749602,0,0,0,37.06,0.62,0,0
1520530309.799603,0,0,0,36.94,0.62,0,0
1520530309.849605,0,0,0,37.12,0.61,0,0
1520530309.899606,0,0,0,37.19,0.60,0,0
1520530309.949608,0,0,0,36.80,0.59,0,0
1520530309.999622,0,0,0,37.51,0.62,0,0
1520530310.049623,0,0,0,37.44,0.60,0,0
1520530310.099625,0,0,0,37.51,0.59,0,0
1520530310.149627,0,0,0,37.62,0.60,0,0
1520530310.199628,0,0,0,37.76,0.60,0,0
1520530310.249729,0,0,0,37.48,0.66,0,0
1520530310.299631,0,0,0,37.60,0.62,0,0
1520530310.349633,0,0,0,37.51,0.62,0,0
1520530310.399625,0,0,0,37.22,0.60,0,0
1520530310.449627,0,0,0,37.11,0.62,0,0
1520530310.499628,0,0,0,37.30,0.61,0,0
1520530310.549630,0,0,0,37.27,0.62,0,0
1520530310.599632,0,0,0,37.29,0.62,0,0
1520530310.649633,0,0,0,37.27,0.62,0,0
1520530310.699635,0,0,0,37.18,0.61,0,0
1520530310.749636,0,0,0,37.14,0.61,0,0
1520530310.799651,0,0,0,37.75,0.61,0,0
1520530310.849652,0,0,0,37.79,0.61,0,0
1520530310.899654,0,0,0,38.00,0.60,0,0
1520530310.949655,0,0,0,37.84,0.60,0,0
1520530310.999657,0,0,0,37.81,0.61,0,0
1520530311.049659,0,0,0,37.88,0.60,0,0
1520530311.099660,1,115,99,37.72,12.72,1,99
1520530311.149662,1,220,172,38.00,17.78,0,99
1520530311.199672,1,225,177,38.23,19.83,0,99
1520530311.249673,1,219,175,38.21,29.30,1,185
1520530311.299675,1,217,177,38.06,19.37,0,185
1520530311.349677,1,218,175,38.18,18.84,0,185
1520530311.399678,1,218,177,38.19,28.36,1,216
1520530311.449679,1,219,177,38.15,19.24,0,216
1520530311.499684,1,225,179,38.18,19.27,0,216
1520530311.549683,1,226,179,38.12,36.82,1,227
1520530311.599684,1,228,177,38.31,19.95,0,227
1520530311.649719,1,227,180,39.47,19.59,0,227
1520530311.699720,1,226,179,39.30,40.70,1,239
1520530311.749722,1,227,180,39.57,19.06,0,239
1520530311.799723,1,228,179,39.43,19.73,0,239
1520530311.849725,1,227,179,39.32,38.71,1,239
1520530311.899726,1,246,194,39.37,20.82,0,239
1520530311.949728,1,246,194,39.37,21.06,0,239
1520530311.999729,1,247,195,39.33,50.84,1,257
1520530312.049721,1,245,195,38.87,20.70,0,257
1520530312.099721,1,246,193,39.11,20.58,0,257
1520530312.149723,1,246,195,38.97,44.55,1,269
1520530312.199726,1,256,200,39.22,21.30,0,269
1520530312.249727,1,258,200,39.22,21.14,0,269
1520530312.299728,1,261,204,38.95,58.68,1,287
1520530312.349730,1,262,205,38.93,22.18,0,287
1520530312.399731,1,263,206,38.95,21.89,0,287
1520530312.449712,1,263,202,38.31,74.54,1,304
1520530312.499714,1,260,204,38.34,22.01,0,304
1520530312.549715,1,260,203,38.47,21.48,0,304
1520530312.599717,1,262,202,38.40,54.18,1,301
1520530312.649719,1,263,204,38.30,22.00,0,301
1520530312.699720,1,264,206,38.24,26.42,0,301
1520530312.749722,1,264,204,38.27,59.79,1,314
1520530312.799724,1,264,205,38.44,22.05,0,314
