t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.48,0,0
1520530308.249449,0,0,0,32.97,0.64,0,0
1520530308.299451,0,0,0,32.88,0.64,0,0
1520530308.349503,0,0,0,34.46,0.64,0,0
1520530308.399505,0,0,0,34.83,0.62,0,0
1520530308.449505,0,0,0,34.94,0.62,0,0
1520530308.499506,0,0,0,34.57,0.61,0,0
1520530308.549508,0,0,0,34.72,0.61,0,0
1520530308.599509,0,0,0,34.80,0.61,0,0
1520530308.649555,0,0,0,34.70,0.61,0,0
1520530308.699512,0,0,0,34.58,0.61,0,0
1520530308.749559,0,0,0,36.16,0.62,0,0
1520530308.799560,0,0,0,36.06,0.62,0,0
1520530308.849562,0,0,0,36.08,0.62,0,0
1520530308.899563,0,0,0,36.16,0.63,0,0
1520530308.949565,0,0,0,36.42,0.63,0,0
1520530308.999567,0,0,0,36.31,0.63,0,0
1520530309.049568,0,0,0,36.56,0.72,0,0
1520530309.099570,0,0,0,36.48,0.60,0,0
1520530309.149567,0,0,0,36.26,0.61,0,0
1520530309.199583,0,0,0,36.84,0.61,0,0
1520530309.249583,0,0,0,36.56,0.61,0,0
1520530309.299586,0,0,0,36.86,0.62,0,0
1520530309.349586,0,0,0,36.84,0.61,0,0
1520530309.399589,0,0,0,36.56,0.62,0,0
1520530309.449590,0,0,0,36.54,0.61,0,0
1520530309.499591,0,0,0,36.69,0.60,0,0
1520530309.549594,0,0,0,36.90,0.61,0,0
1520530309.599597,0,0,0,36.75,0.61,0,0
1520530309.649599,0,0,0,37.06,0.61,0,0
1520530309.699600,0,0,0,37.13,0.61,0,0
1520530309.749602,0,0,0,37.06,0.61,0,0
1520530309.799603,0,0,0,36.94,0.61,0,0
1520530309.849605,0,0,0,37.12,0.62,0,0
1520530309.899606,0,0,0,37.19,0.60,0,0
1520530309.949608,0,0,0,36.80,0.59,0,0
1520530309.999622,0,0,0,37.51,0.61,0,0
1520530310.049623,0,0,0,37.44,0.61,0,0
1520530310.099625,0,0,0,37.51,0.60,0,0
1520530310.149627,0,0,0,37.62,0.61,0,0
1520530310.199628,0,0,0,37.76,0.60,0,0
1520530310.249729,0,0,0,37.48,0.64,0,0
1520530310.299631,0,0,0,37.60,0.65,0,0
1520530310.349633,0,0,0,37.51,0.72,0,0
1520530310.399625,0,0,0,37.22,0.60,0,0
1520530310.449627,0,0,0,37.11,0.61,0,0
1520530310.499628,0,0,0,37.30,0.61,0,0
1520530310.549630,0,0,0,37.27,0.60,0,0
1520530310.599632,0,0,0,37.29,0.61,0,0
1520530310.649633,0,0,0,37.27,0.61,0,0
1520530310.699635,0,0,0,37.18,0.62,0,0
1520530310.749636,0,0,0,37.14,0.60,0,0
1520530310.799651,0,0,0,37.75,0.61,0,0
1520530310.849652,0,0,0,37.79,0.60,0,0
1520530310.899654,0,0,0,38.00,0.60,0,0
1520530310.949655,0,0,0,37.84,0.60,0,0
1520530310.999657,0,0,0,37.81,0.60,0,0
1520530311.049659,0,0,0,37.88,0.61,0,0
1520530311.099660,1,115,99,37.72,12.74,1,99
1520530311.149662,1,220,172,38.00,17.99,0,99
1520530311.199672,1,225,177,38.23,20.24,0,99
1520530311.249673,1,219,175,38.21,28.87,1,185
1520530311.299675,1,215,175,38.06,19.73,0,185
1520530311.349677,1,217,174,38.18,19.19,0,185
1520530311.399678,1,217,177,38.19,29.94,1,218
1520530311.449679,1,215,172,38.15,20.07,0,218
1520530311.499684,1,220,174,38.18,19.53,0,218
1520530311.549683,1,224,177,38.12,30.61,1,234
1520530311.599684,1,225,178,38.31,19.67,0,234
1520530311.649719,1,224,179,39.47,19.83,0,234
1520530311.699720,1,221,172,39.30,30.32,1,237
1520530311.749722,1,221,175,39.57,18.82,0,237
1520530311.799723,1,220,174,39.43,19.50,0,237
1520530311.849725,1,221,173,39.32,45.19,1,243
1520530311.899726,1,246,196,39.37,20.87,0,243
1520530311.949728,1,244,196,39.37,21.11,0,243
1520530311.999729,1,243,192,39.33,47.66,1,266
1520530312.049721,1,245,193,38.87,20.85,0,266
1520530312.099721,1,243,194,39.11,21.29,0,266
1520530312.149723,1,245,191,38.97,57.89,1,295
1520530312.199726,1,235,186,39.22,20.40,0,295
1520530312.249727,1,257,198,39.22,21.41,0,295
1520530312.299728,1,262,205,38.95,76.38,1,321
1520530312.349730,1,262,207,38.93,22.23,0,321
1520530312.399731,1,261,203,38.95,21.57,0,321
1520530312.449712,1,259,200,38.31,76.45,1,326
1520530312.499714,1,257,199,38.34,22.15,0,326
1520530312.549715,1,258,200,38.47,21.37,0,326
1520530312.599717,1,260,202,38.40,54.27,1,333
1520530312.649719,1,258,199,38.30,21.80,0,333
1520530312.699720,1,259,202,38.24,21.61,0,333
1520530312.749722,1,258,204,38.27,58.50,1,350
1520530312.799724,1,260,203,38.44,21.54,0,350
1520530312.849720,1,260,205,38.28,21.95,0,350
1520530312.899721,1,261,202,38.35,64.04,1,365
1520530312.949723,1,261,198,38.23,22.88,0,365
1520530312.999725,1,260,200,38.41,22.57,0,365
1520530313.049726,1,260,198,38.29,66.53,1,379
1520530313.099727,1,256,200,38.34,22.08,0,379
1520530313.149729,1,256,200,38.34,21.59,0,379
1520530313.199730,1,251,198,38.21,70.18,1,386
1520530313.249736,1,249,201,38.34,21.94,0,386
1520530313.299738,1,245,195,38.64,21.10,0,386
1520530313.349739,1,242,193,38.59,129.32,1,390
1520530313.399790,1,242,192,38.60,21.35,0,390
1520530313.449743,1,242,193,38.43,20.33,0,390
1520530313.499744,1,242,192,38.29,131.91,1,391
1520530313.549746,1,243,195,38.47,21.35,0,391
1520530313.599747,1,247,197,38.46,20.76,0,391
1520530313.649745,1,249,197,38.30,76.47,1,395
1520530313.699746,1,252,201,38.16,22.32,0,395
1520530313.749748,1,254,206,38.33,21.83,0,395
1520530313.799750,1,254,205,38.35,101.77,1,408
1520530313.849751,1,253,206,38.56,21.92,0,408
1520530313.899753,1,244,196,38.43,21.62,0,408
1520530313.949754,1,250,202,38.19,87.04,1,426
1520530313.999756,1,254,203,38.23,22.71,0,426
1520530314.049757,1,254,204,38.63,21.95,0,426
1520530314.099763,1,257,207,38.57,129.54,1,438
1520530314.149765,1,253,205,38.61,23.05,0,438
1520530314.199766,1,254,201,38.71,21.86,0,438
1520530314.249768,1,254,204,38.92,139.19,1,443
1520530314.299769,1,253,210,38.97,23.05,0,443
1520530314.349771,1,252,205,38.77,22.40,0,443
1520530314.399773,1,255,209,38.90,152.51,1,453
1520530314.449774,1,249,204,38.84,24.13,0,453
1520530314.499774,1,250,206,39.13,22.73,0,453
1520530314.549776,1,250,205,38.97,165.04,1,465
1520530314.599777,1,248,210,39.12,24.03,0,465
1520530314.649779,1,241,204,39.45,23.16,0,465
1520530314.699780,1,236,202,39.77,174.06,1,474
1520530314.749782,1,252,208,39.80,24.06,0,474
1520530314.799787,1,244,206,40.00,22.69,0,474
1520530314.849784,1,238,202,40.42,190.39,1,490
1520530314.899810,1,250,211,41.22,23.93,0,490
1520530314.949812,1,253,214,41.66,23.75,0,490
1520530314.999919,1,248,213,41.68,257.07,1,520
1520530315.049815,1,258,219,41.70,25.01,0,520
1520530315.099817,1,258,225,41.89,23.80,0,520
1520530315.149818,1,263,223,41.99,252.59,1,549
1520530315.199819,1,263,224,42.16,23.84,0,549
1520530315.249821,1,267,232,42.37,23.59,0,549
1520530315.299635,1,234,199,35.04,154.75,1,546
1520530315.349637,1,239,200,34.89,21.77,0,546
1520530315.399639,1,235,199,34.76,22.10,0,546
1520530315.449640,1,237,204,34.76,59.60,1,512
1520530315.499642,1,235,202,34.61,23.58,0,512
1520530315.549643,1,213,197,34.78,21.82,0,512
1520530315.599645,1,222,197,34.53,54.06,1,510
1520530315.649646,1,215,196,34.36,22.78,0,510
1520530315.699637,1,211,193,33.55,20.95,0,510
1520530315.749639,1,222,195,33.52,73.44,1,507
1520530315.799640,1,224,192,33.62,21.53,0,507
1520530315.849642,1,229,196,33.53,22.50,0,507
1520530315.899643,1,213,182,33.29,66.62,1,511
1520530315.949645,1,207,176,32.86,20.55,0,511
1520530315.999647,1,208,174,32.87,20.01,0,511
1520530316.049648,1,207,181,32.67,80.71,1,521
1520530316.100221,1,185,159,53.46,21.83,0,521
1520530316.150223,1,205,176,53.66,19.93,0,521
1520530316.200224,1,200,176,54.00,54.68,1,525
1520530316.250226,1,196,178,54.22,20.28,0,525
1520530316.300227,1,204,178,54.27,19.96,0,525
1520530316.350229,1,200,179,54.59,53.70,1,532
1520530316.400230,1,216,183,54.29,20.84,0,532
1520530316.450231,1,216,185,54.30,20.25,0,532
1520530316.500233,1,265,221,54.43,71.76,1,563
1520530316.550276,1,300,250,55.71,26.73,0,563
1520530316.600278,1,274,239,55.64,26.17,0,563
1520530316.650280,1,277,236,55.65,58.61,1,606
1520530316.700281,1,273,234,55.63,24.90,0,606
1520530316.750283,1,269,234,55.50,24.57,0,606
1520530316.800284,1,270,237,55.53,61.68,1,616
1520530316.850286,1,267,237,55.31,24.50,0,616
1520530316.900287,1,272,238,55.56,24.31,0,616
1520530316.949773,1,189,167,37.26,83.51,1,614
1520530316.999775,1,193,168,37.40,18.74,0,614
1520530317.049776,1,195,174,37.18,19.25,0,614
1520530317.099778,1,192,172,37.26,60.11,1,618
1520530317.149779,1,196,172,37.34,19.83,0,618
1520530317.199781,1,194,166,37.32,19.63,0,618
1520530317.249782,1,196,165,37.36,61.61,1,622
1520530317.299784,1,193,158,37.31,18.66,0,622
1520530317.349743,1,191,154,35.72,18.82,0,622
1520530317.399745,1,188,154,35.72,63.66,1,630
1520530317.449748,1,196,154,35.60,18.75,0,630
1520530317.499748,1,195,152,35.65,18.84,0,630
1520530317.549752,1,194,149,35.41,67.10,1,642
1520530317.599752,1,190,145,35.16,18.94,0,642
1520530317.649754,1,201,149,35.17,18.59,0,642
1520530317.699755,1,196,144,34.48,69.92,1,653
1520530317.750237,1,212,143,50.63,22.20,0,653
1520530317.800239,1,222,153,49.92,19.88,0,653
1520530317.850240,1,241,166,49.24,76.35,1,703
1520530317.900242,1,243,165,48.60,21.81,0,703
1520530317.950243,1,245,164,48.25,21.08,0,703
1520530318.000244,1,236,162,47.68,78.40,1,709
1520530318.050247,1,235,158,47.23,20.56,0,709
1520530318.100248,1,242,164,47.07,20.48,0,709
1520530318.150816,1,250,179,63.41,126.78,1,747
1520530318.200769,1,262,187,63.21,23.35,0,747
1520530318.250771,1,252,184,63.22,22.99,0,747
1520530318.300772,1,265,194,63.11,109.15,1,787
1520530318.350774,1,250,192,63.43,23.87,0,787
1520530318.400775,1,242,188,63.61,22.59,0,787
1520530318.450777,1,233,181,63.88,141.77,1,794
1520530318.500778,1,242,185,63.82,22.46,0,794
1520530318.550780,1,287,213,64.03,23.70,0,794
1520530318.600567,1,291,219,57.46,119.84,1,847
1520530318.650568,1,275,207,57.57,24.48,0,847
1520530318.700570,1,266,209,57.73,23.72,0,847
1520530318.750571,1,262,205,58.06,112.43,1,864
1520530318.800573,1,262,206,58.25,23.14,0,864
1520530318.850574,1,258,205,58.43,23.19,0,864
1520530318.900576,1,256,197,58.80,118.39,1,868
1520530318.950577,1,261,197,59.02,22.81,0,868
1520530318.999955,1,193,148,38.95,22.80,0,868
1520530319.049957,1,195,148,39.01,116.68,1,874
1520530319.099960,1,197,149,39.47,18.36,0,874
1520530319.149961,1,202,152,39.41,18.87,0,874
1520530319.199962,1,203,156,39.65,121.55,1,868
1520530319.249964,1,199,154,39.73,20.14,0,868
1520530319.299965,1,300,228,40.21,24.68,0,868
1520530319.349967,1,280,218,40.21,156.29,1,929
1520530319.399832,1,220,180,35.62,25.03,0,929
1520530319.449833,1,213,179,35.64,20.79,0,929
1520530319.499835,1,216,183,35.80,79.71,1,872
1520530319.549837,1,209,177,35.76,20.82,0,872
1520530319.599838,1,208,173,35.52,20.19,0,872
1520530319.649840,1,204,165,35.31,62.97,1,834
1520530319.699841,1,213,166,35.35,20.19,0,834
1520530319.749942,1,204,164,35.21,19.71,0,834
1520530319.800341,1,202,164,53.11,79.27,1,858
1520530319.850343,1,201,168,53.50,19.38,0,858
1520530319.900344,1,202,170,54.04,19.91,0,858
1520530319.950346,1,198,173,54.57,65.88,1,876
1520530320.000347,1,188,167,54.93,19.38,0,876
1520530320.050349,1,179,162,55.13,19.02,0,876
1520530320.100350,1,189,170,55.48,66.52,1,895
1520530320.150352,1,193,173,55.63,19.57,0,895
1520530320.200401,1,195,174,57.84,19.44,0,895
1520530320.250402,1,193,173,58.04,96.84,1,913
1520530320.300404,1,198,173,58.24,19.65,0,913
1520530320.350405,1,203,178,58.49,19.81,0,913
1520530320.400407,1,208,182,58.48,84.00,1,891
1520530320.450408,1,287,246,58.62,25.02,0,891
1520530320.500410,1,285,249,58.62,26.94,0,891
1520530320.550412,1,283,241,58.87,96.80,1,941
1520530320.599869,1,175,147,38.01,25.50,0,941
1520530320.649871,1,220,179,37.99,19.81,0,941
1520530320.699873,1,223,183,38.25,91.52,1,935
1520530320.749874,1,223,182,37.95,20.86,0,935
1520530320.799876,1,219,180,38.17,21.43,0,935
1520530320.849877,1,253,203,38.06,103.42,1,937
1520530320.899879,1,236,191,38.01,22.96,0,937
1520530320.949880,1,221,183,38.08,22.40,0,937
1520530320.999882,1,220,184,38.18,86.51,1,940
1520530321.049740,1,206,176,32.32,21.35,0,940
1520530321.099742,1,205,174,31.98,19.67,0,940
1520530321.149743,1,209,179,31.64,92.47,1,932
1520530321.199745,1,206,179,31.80,19.87,0,932
1520530321.249747,1,202,177,31.69,19.94,0,932
1520530321.299749,1,198,179,31.33,95.32,1,933
1520530321.349750,1,200,176,31.22,20.11,0,933
1520530321.399751,1,300,248,30.84,26.24,0,933
1520530321.449856,1,236,205,34.85,95.45,1,954
1520530321.499857,1,300,258,34.75,26.27,0,954
1520530321.549859,1,300,266,34.46,28.15,0,954
1520530321.599860,1,300,264,34.27,115.89,1,1006
1520530321.649862,1,300,261,34.12,28.09,0,1006
1520530321.699863,1,289,255,34.08,26.95,0,1006
1520530321.749866,1,289,261,33.89,139.30,1,1009
1520530321.799867,1,290,260,33.47,27.58,0,1009
1520530321.850152,1,228,204,44.22,25.63,0,1009
1520530321.900154,1,227,201,44.27,128.40,1,1009
1520530321.950155,1,300,254,44.04,26.35,0,1009
1520530322.000157,1,279,247,44.01,26.54,0,1009
1520530322.050158,1,300,258,43.77,142.17,1,1036
1520530322.100160,1,300,258,43.77,27.79,0,1036
1520530322.150162,1,288,250,43.53,26.69,0,1036
1520530322.200163,1,296,262,43.30,109.54,1,1049
1520530322.250207,1,288,255,44.96,26.60,0,1049
1520530322.300208,1,300,265,44.81,26.61,0,1049
1520530322.350209,1,300,264,44.73,155.40,1,1021
1520530322.400212,1,300,259,44.49,27.11,0,1021
1520530322.450214,1,300,258,44.39,26.55,0,1021
1520530322.500215,1,300,260,44.14,156.82,1,997
1520530322.550216,1,300,262,44.19,26.92,0,997
1520530322.600218,1,300,265,43.96,26.97,0,997
1520530322.650023,1,273,237,36.87,144.57,1,1018
1520530322.700025,1,283,244,36.88,25.54,0,1018
1520530322.750027,1,300,257,36.84,26.57,0,1018
1520530322.800028,1,276,248,36.73,135.61,1,980
1520530322.850031,1,282,247,36.88,26.18,0,980
1520530322.900065,1,300,256,36.64,26.45,0,980
1520530322.950033,1,289,249,36.58,175.66,1,989
1520530323.000035,1,276,242,36.63,26.77,0,989
1520530323.050036,1,267,238,36.47,24.84,0,989
1520530323.100074,1,274,240,38.09,111.72,1,996
1520530323.150076,1,263,234,37.95,25.85,0,996
1520530323.200077,1,263,232,38.01,24.38,0,996
1520530323.250079,1,257,228,38.24,137.39,1,992
1520530323.300080,1,266,232,38.18,26.36,0,992
1520530323.350082,1,269,233,37.96,25.00,0,992
1520530323.400084,1,276,233,38.16,154.75,1,1001
1520530323.450085,1,265,230,38.25,26.05,0,1001
1520530323.500345,1,246,208,47.47,24.36,0,1001
1520530323.550346,1,300,249,47.49,145.89,1,979
1520530323.600348,1,282,233,47.48,26.60,0,979
1520530323.650349,1,276,233,47.47,25.38,0,979
1520530323.700351,1,278,230,47.71,95.55,1,992
1520530323.750353,1,280,237,47.63,24.95,0,992
