t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.52,0,0
1520530308.249449,0,0,0,32.97,0.63,0,0
1520530308.299451,0,0,0,32.88,0.63,0,0
1520530308.349503,0,0,0,34.46,0.63,0,0
1520530308.399505,0,0,0,34.83,0.61,0,0
1520530308.449505,0,0,0,34.94,0.60,0,0
1520530308.499506,0,0,0,34.57,0.61,0,0
1520530308.549508,0,0,0,34.72,0.62,0,0
1520530308.599509,0,0,0,34.80,0.61,0,0
1520530308.649555,0,0,0,34.70,0.61,0,0
1520530308.699512,0,0,0,34.58,0.61,0,0
1520530308.749559,0,0,0,36.16,0.61,0,0
1520530308.799560,0,0,0,36.06,0.60,0,0
1520530308.849562,0,0,0,36.08,0.60,0,0
1520530308.899563,0,0,0,36.16,0.61,0,0
1520530308.949565,0,0,0,36.42,0.61,0,0
1520530308.999567,0,0,0,36.31,0.61,0,0
1520530309.049568,0,0,0,36.56,0.61,0,0
1520530309.099570,0,0,0,36.48,0.59,0,0
1520530309.149567,0,0,0,36.26,0.60,0,0
1520530309.199583,0,0,0,36.84,0.62,0,0
1520530309.249583,0,0,0,36.56,0.61,0,0
1520530309.299586,0,0,0,36.86,0.61,0,0
1520530309.349586,0,0,0,36.84,0.61,0,0
1520530309.399589,0,0,0,36.56,0.61,0,0
1520530309.449590,0,0,0,36.54,0.60,0,0
1520530309.499591,0,0,0,36.69,0.61,0,0
1520530309.549594,0,0,0,36.90,0.61,0,0
1520530309.599597,0,0,0,36.75,0.72,0,0
1520530309.649599,0,0,0,37.06,0.61,0,0
1520530309.699600,0,0,0,37.13,0.60,0,0
1520530309.749602,0,0,0,37.06,0.60,0,0
1520530309.799603,0,0,0,36.94,0.62,0,0
1520530309.849605,0,0,0,37.12,0.61,0,0
1520530309.899606,0,0,0,37.19,0.66,0,0
1520530309.949608,0,0,0,36.80,0.62,0,0
1520530309.999622,0,0,0,37.51,0.60,0,0
1520530310.049623,0,0,0,37.44,0.61,0,0
1520530310.099625,0,0,0,37.51,0.62,0,0
1520530310.149627,0,0,0,37.62,0.61,0,0
1520530310.199628,0,0,0,37.76,0.62,0,0
1520530310.249729,0,0,0,37.48,0.66,0,0
1520530310.299631,0,0,0,37.60,0.60,0,0
1520530310.349633,0,0,0,37.51,0.60,0,0
1520530310.399625,0,0,0,37.22,0.58,0,0
1520530310.449627,0,0,0,37.11,0.60,0,0
1520530310.499628,0,0,0,37.30,0.61,0,0
1520530310.549630,0,0,0,37.27,0.60,0,0
1520530310.599632,0,0,0,37.29,0.61,0,0
1520530310.649633,0,0,0,37.27,0.60,0,0
1520530310.699635,0,0,0,37.18,0.61,0,0
1520530310.749636,0,0,0,37.14,0.61,0,0
1520530310.799651,0,0,0,37.75,0.61,0,0
1520530310.849652,0,0,0,37.79,0.61,0,0
1520530310.899654,0,0,0,38.00,0.61,0,0
1520530310.949655,0,0,0,37.84,0.61,0,0
1520530310.999657,0,0,0,37.81,0.61,0,0
1520530311.049659,0,0,0,37.88,0.61,0,0
1520530311.099660,1,115,99,37.72,12.43,1,99
1520530311.149662,1,220,172,38.00,18.10,0,99
1520530311.199672,1,225,177,38.23,19.87,0,99
1520530311.249673,1,219,175,38.21,28.59,1,185
1520530311.299675,1,216,177,38.06,19.27,0,185
1520530311.349677,1,217,176,38.18,18.71,0,185
1520530311.399678,1,217,178,38.19,29.33,1,215
1520530311.449679,1,214,176,38.15,19.31,0,215
1520530311.499684,1,224,180,38.18,20.14,0,215
1520530311.549683,1,225,178,38.12,32.06,1,229
1520530311.599684,1,224,175,38.31,19.60,0,229
1520530311.649719,1,224,178,39.47,19.74,0,229
1520530311.699720,1,221,176,39.30,35.14,1,244
1520530311.749722,1,220,177,39.57,19.02,0,244
1520530311.799723,1,221,178,39.43,19.26,0,244
1520530311.849725,1,222,176,39.32,47.59,1,249
1520530311.899726,1,273,219,39.37,22.41,0,249
1520530311.949728,1,271,218,39.37,24.13,0,249
1520530311.999729,1,270,216,39.33,51.59,1,287
1520530312.049721,1,270,216,38.87,22.89,0,287
1520530312.099721,1,269,216,39.11,23.16,0,287
1520530312.149723,1,272,214,38.97,50.48,1,307
1520530312.199726,1,270,215,39.22,22.66,0,307
1520530312.249727,1,279,218,39.22,23.06,0,307
1520530312.299728,1,282,221,38.95,50.78,1,321
1520530312.349730,1,282,222,38.93,23.51,0,321
1520530312.399731,1,276,217,38.95,22.88,0,321
1520530312.449712,1,279,217,38.31,75.24,1,338
1520530312.499714,1,281,221,38.34,23.47,0,338
1520530312.549715,1,281,221,38.47,23.00,0,338
1520530312.599717,1,280,219,38.40,63.38,1,341
1520530312.649719,1,281,220,38.30,23.85,0,341
1520530312.699720,1,281,221,38.24,23.62,0,341
1520530312.749722,1,282,221,38.27,71.55,1,352
1520530312.799724,1,282,224,38.44,23.46,0,352
1520530312.849720,1,281,223,38.28,23.94,0,352
1520530312.899721,1,281,220,38.35,69.93,1,360
1520530312.949723,1,280,217,38.23,24.24,0,360
1520530312.999725,1,282,219,38.41,23.55,0,360
1520530313.049726,1,281,221,38.29,74.22,1,371
1520530313.099727,1,283,220,38.34,24.36,0,371
1520530313.149729,1,287,226,38.34,24.02,0,371
1520530313.199730,1,283,225,38.21,123.56,1,382
1520530313.249736,1,278,227,38.34,25.25,0,382
1520530313.299738,1,273,222,38.64,23.42,0,382
1520530313.349739,1,273,223,38.59,84.51,1,385
1520530313.399790,1,273,222,38.60,23.31,0,385
1520530313.449743,1,273,223,38.43,22.63,0,385
1520530313.499744,1,274,222,38.29,91.33,1,386
1520530313.549746,1,274,223,38.47,23.57,0,386
1520530313.599747,1,278,225,38.46,23.16,0,386
1520530313.649745,1,279,225,38.30,97.74,1,388
1520530313.699746,1,279,224,38.16,24.44,0,388
1520530313.749748,1,279,230,38.33,24.13,0,388
1520530313.799750,1,280,227,38.35,106.03,1,397
1520530313.849751,1,279,223,38.56,23.57,0,397
1520530313.899753,1,277,221,38.43,23.56,0,397
1520530313.949754,1,279,219,38.19,114.53,1,411
1520530313.999756,1,279,222,38.23,23.84,0,411
1520530314.049757,1,280,226,38.63,24.03,0,411
1520530314.099763,1,279,227,38.57,127.61,1,436
1520530314.149765,1,277,226,38.61,25.40,0,436
1520530314.199766,1,278,223,38.71,23.78,0,436
1520530314.249768,1,276,221,38.92,138.18,1,439
1520530314.299769,1,277,227,38.97,24.85,0,439
1520530314.349771,1,275,222,38.77,23.93,0,439
1520530314.399773,1,277,227,38.90,150.40,1,449
1520530314.449774,1,274,228,38.84,25.17,0,449
1520530314.499774,1,274,225,39.13,24.18,0,449
1520530314.549776,1,273,227,38.97,162.89,1,454
1520530314.599777,1,265,227,39.12,25.36,0,454
1520530314.649779,1,252,220,39.45,23.70,0,454
1520530314.699780,1,261,223,39.77,176.13,1,467
1520530314.749782,1,258,219,39.80,24.69,0,467
1520530314.799787,1,251,215,40.00,23.33,0,467
1520530314.849784,1,258,222,40.42,189.54,1,490
1520530314.899810,1,269,227,41.22,25.17,0,490
1520530314.949812,1,244,217,41.66,23.91,0,490
1520530314.999919,1,231,210,41.68,203.57,1,506
1520530315.049815,1,231,212,41.70,23.37,0,506
1520530315.099817,1,224,210,41.89,21.92,0,506
1520530315.149818,1,224,201,41.99,205.32,1,515
1520530315.199819,1,224,198,42.16,22.22,0,515
1520530315.249821,1,265,226,42.37,22.60,0,515
1520530315.299635,1,286,235,35.04,214.39,1,586
1520530315.349637,1,280,237,34.89,26.23,0,586
1520530315.399639,1,273,232,34.76,25.18,0,586
1520530315.449640,1,264,234,34.76,209.71,1,602
1520530315.499642,1,271,238,34.61,25.74,0,602
1520530315.549643,1,258,234,34.78,25.43,0,602
1520530315.599645,1,294,248,34.53,213.86,1,614
1520530315.649646,1,268,242,34.36,27.74,0,614
1520530315.699637,1,262,236,33.55,25.07,0,614
1520530315.749639,1,270,240,33.52,208.95,1,627
1520530315.799640,1,262,235,33.62,26.44,0,627
1520530315.849642,1,267,235,33.53,25.08,0,627
1520530315.899643,1,252,221,33.29,263.33,1,634
1520530315.949645,1,250,201,32.86,24.69,0,634
1520530315.999647,1,250,193,32.87,22.97,0,634
1520530316.049648,1,251,196,32.67,194.78,1,624
1520530316.100221,1,183,156,53.46,24.95,0,624
1520530316.150223,1,191,164,53.66,18.72,0,624
1520530316.200224,1,186,165,54.00,180.27,1,646
1520530316.250226,1,185,165,54.22,18.80,0,646
1520530316.300227,1,201,172,54.27,19.05,0,646
1520530316.350229,1,196,173,54.59,177.74,1,662
1520530316.400230,1,204,172,54.29,19.85,0,662
