t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.32,0,0
1520530308.249449,0,0,0,32.97,0.63,0,0
1520530308.299451,0,0,0,32.88,0.64,0,0
1520530308.349503,0,0,0,34.46,0.63,0,0
1520530308.399505,0,0,0,34.83,0.62,0,0
1520530308.449505,0,0,0,34.94,0.61,0,0
1520530308.499506,0,0,0,34.57,0.62,0,0
1520530308.549508,0,0,0,34.72,0.62,0,0
1520530308.599509,0,0,0,34.80,0.61,0,0
1520530308.649555,0,0,0,34.70,0.60,0,0
1520530308.699512,0,0,0,34.58,0.60,0,0
1520530308.749559,0,0,0,36.16,0.60,0,0
1520530308.799560,0,0,0,36.06,0.62,0,0
1520530308.849562,0,0,0,36.08,0.62,0,0
1520530308.899563,0,0,0,36.16,0.65,0,0
1520530308.949565,0,0,0,36.42,0.63,0,0
1520530308.999567,0,0,0,36.31,0.65,0,0
1520530309.049568,0,0,0,36.56,0.75,0,0
1520530309.099570,0,0,0,36.48,0.64,0,0
1520530309.149567,0,0,0,36.26,0.63,0,0
1520530309.199583,0,0,0,36.84,0.62,0,0
1520530309.249583,0,0,0,36.56,0.62,0,0
1520530309.299586,0,0,0,36.86,0.61,0,0
1520530309.349586,0,0,0,36.84,0.62,0,0
1520530309.399589,0,0,0,36.56,0.61,0,0
1520530309.449590,0,0,0,36.54,0.60,0,0
1520530309.499591,0,0,0,36.69,0.61,0,0
1520530309.549594,0,0,0,36.90,0.61,0,0
1520530309.599597,0,0,0,36.75,0.61,0,0
1520530309.649599,0,0,0,37.06,0.60,0,0
1520530309.699600,0,0,0,37.13,0.61,0,0
1520530309.749602,0,0,0,37.06,0.61,0,0
1520530309.799603,0,0,0,36.94,0.61,0,0
1520530309.849605,0,0,0,37.12,0.60,0,0
1520530309.899606,0,0,0,37.19,0.60,0,0
1520530309.949608,0,0,0,36.80,0.61,0,0
1520530309.999622,0,0,0,37.51,0.60,0,0
1520530310.049623,0,0,0,37.44,0.60,0,0
1520530310.099625,0,0,0,37.51,0.61,0,0
1520530310.149627,0,0,0,37.62,0.61,0,0
1520530310.199628,0,0,0,37.76,0.60,0,0
1520530310.249729,0,0,0,37.48,0.61,0,0
1520530310.299631,0,0,0,37.60,0.63,0,0
1520530310.349633,0,0,0,37.51,0.70,0,0
1520530310.399625,0,0,0,37.22,0.60,0,0
1520530310.449627,0,0,0,37.11,0.62,0,0
1520530310.499628,0,0,0,37.30,0.62,0,0
1520530310.549630,0,0,0,37.27,0.61,0,0
1520530310.599632,0,0,0,37.29,0.62,0,0
1520530310.649633,0,0,0,37.27,0.62,0,0
1520530310.699635,0,0,0,37.18,0.61,0,0
1520530310.749636,0,0,0,37.14,0.62,0,0
1520530310.799651,0,0,0,37.75,0.61,0,0
1520530310.849652,0,0,0,37.79,0.60,0,0
1520530310.899654,0,0,0,38.00,0.61,0,0
1520530310.949655,0,0,0,37.84,0.61,0,0
1520530310.999657,0,0,0,37.81,0.60,0,0
1520530311.049659,0,0,0,37.88,0.61,0,0
1520530311.099660,1,115,99,37.72,12.75,1,99
1520530311.149662,1,220,172,38.00,17.89,0,99
1520530311.199672,1,225,177,38.23,20.05,0,99
1520530311.249673,1,219,175,38.21,28.24,1,185
1520530311.299675,1,216,177,38.06,19.21,0,185
1520530311.349677,1,217,176,38.18,18.73,0,185
1520530311.399678,1,217,178,38.19,28.98,1,215
1520530311.449679,1,214,176,38.15,19.20,0,215
1520530311.499684,1,224,180,38.18,19.90,0,215
1520530311.549683,1,225,178,38.12,32.13,1,229
1520530311.599684,1,224,175,38.31,19.59,0,229
1520530311.649719,1,224,178,39.47,19.53,0,229
1520530311.699720,1,221,176,39.30,34.88,1,244
1520530311.749722,1,220,177,39.57,18.94,0,244
1520530311.799723,1,221,178,39.43,19.19,0,244
1520530311.849725,1,222,176,39.32,47.68,1,249
1520530311.899726,1,273,219,39.37,22.54,0,249
1520530311.949728,1,271,218,39.37,23.65,0,249
1520530311.999729,1,270,216,39.33,51.33,1,287
1520530312.049721,1,270,216,38.87,23.17,0,287
1520530312.099721,1,269,216,39.11,23.15,0,287
1520530312.149723,1,272,214,38.97,50.49,1,307
1520530312.199726,1,270,215,39.22,22.77,0,307
1520530312.249727,1,279,218,39.22,22.92,0,307
1520530312.299728,1,282,221,38.95,50.94,1,321
1520530312.349730,1,282,222,38.93,23.27,0,321
1520530312.399731,1,276,217,38.95,22.91,0,321
1520530312.449712,1,279,217,38.31,75.30,1,338
1520530312.499714,1,281,221,38.34,23.75,0,338
1520530312.549715,1,281,221,38.47,23.04,0,338
1520530312.599717,1,280,219,38.40,62.93,1,341
1520530312.649719,1,281,220,38.30,23.57,0,341
1520530312.699720,1,281,221,38.24,23.64,0,341
1520530312.749722,1,282,221,38.27,71.18,1,352
1520530312.799724,1,282,224,38.44,23.61,0,352
1520530312.849720,1,281,223,38.28,23.92,0,352
1520530312.899721,1,281,220,38.35,69.29,1,360
1520530312.949723,1,280,217,38.23,23.76,0,360
1520530312.999725,1,282,219,38.41,23.37,0,360
