t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.34,0,0
1520530308.249449,0,0,0,32.97,0.67,0,0
1520530308.299451,0,0,0,32.88,0.66,0,0
1520530308.349503,0,0,0,34.46,0.64,0,0
1520530308.399505,0,0,0,34.83,0.70,0,0
1520530308.449505,0,0,0,34.94,0.69,0,0
1520530308.499506,0,0,0,34.57,0.70,0,0
1520530308.549508,0,0,0,34.72,0.69,0,0
1520530308.599509,0,0,0,34.80,0.71,0,0
1520530308.649555,0,0,0,34.70,0.70,0,0
1520530308.699512,0,0,0,34.58,0.70,0,0
1520530308.749559,0,0,0,36.16,0.69,0,0
1520530308.799560,0,0,0,36.06,0.70,0,0
1520530308.849562,0,0,0,36.08,0.70,0,0
1520530308.899563,0,0,0,36.16,0.60,0,0
1520530308.949565,0,0,0,36.42,0.59,0,0
1520530308.999567,0,0,0,36.31,0.70,0,0
1520530309.049568,0,0,0,36.56,0.61,0,0
1520530309.099570,0,0,0,36.48,0.59,0,0
1520530309.149567,0,0,0,36.26,0.61,0,0
1520530309.199583,0,0,0,36.84,0.63,0,0
1520530309.249583,0,0,0,36.56,0.64,0,0
1520530309.299586,0,0,0,36.86,0.61,0,0
1520530309.349586,0,0,0,36.84,0.63,0,0
1520530309.399589,0,0,0,36.56,0.70,0,0
1520530309.449590,0,0,0,36.54,0.64,0,0
1520530309.499591,0,0,0,36.69,0.76,0,0
1520530309.549594,0,0,0,36.90,0.66,0,0
1520530309.599597,0,0,0,36.75,0.65,0,0
1520530309.649599,0,0,0,37.06,0.63,0,0
1520530309.699600,0,0,0,37.13,0.62,0,0
1520530309.749602,0,0,0,37.06,0.63,0,0
1520530309.799603,0,0,0,36.94,0.60,0,0
1520530309.849605,0,0,0,37.12,0.58,0,0
1520530309.899606,0,0,0,37.19,0.61,0,0
1520530309.949608,0,0,0,36.80,0.61,0,0
1520530309.999622,0,0,0,37.51,0.62,0,0
1520530310.049623,0,0,0,37.44,0.63,0,0
1520530310.099625,0,0,0,37.51,0.60,0,0
1520530310.149627,0,0,0,37.62,0.60,0,0
1520530310.199628,0,0,0,37.76,0.63,0,0
1520530310.249729,0,0,0,37.48,0.69,0,0
1520530310.299631,0,0,0,37.60,0.63,0,0
1520530310.349633,0,0,0,37.51,0.65,0,0
1520530310.399625,0,0,0,37.22,0.63,0,0
1520530310.449627,0,0,0,37.11,0.59,0,0
1520530310.499628,0,0,0,37.30,0.66,0,0
1520530310.549630,0,0,0,37.27,0.66,0,0
1520530310.599632,0,0,0,37.29,0.63,0,0
1520530310.649633,0,0,0,37.27,0.63,0,0
1520530310.699635,0,0,0,37.18,0.60,0,0
1520530310.749636,0,0,0,37.14,0.59,0,0
1520530310.799651,0,0,0,37.75,0.67,0,0
1520530310.849652,0,0,0,37.79,0.68,0,0
1520530310.899654,0,0,0,38.00,0.64,0,0
1520530310.949655,0,0,0,37.84,0.65,0,0
1520530310.999657,0,0,0,37.81,0.67,0,0
1520530311.049659,0,0,0,37.88,0.68,0,0
1520530311.099660,1,115,99,37.72,15.20,1,99
1520530311.149662,1,220,172,38.00,13.01,0,99
1520530311.199672,1,225,177,38.23,15.59,0,99
1520530311.249673,1,219,176,38.21,23.71,1,183
1520530311.299675,1,217,174,38.06,16.21,0,183
1520530311.349677,1,212,172,38.18,15.98,0,183
1520530311.399678,1,210,172,38.19,27.83,1,214
1520530311.449679,1,213,171,38.15,15.79,0,214
1520530311.499684,1,225,179,38.18,16.35,0,214
1520530311.549683,1,226,180,38.12,29.38,1,231
1520530311.599684,1,227,179,38.31,16.69,0,231
1520530311.649719,1,228,182,39.47,18.26,0,231
1520530311.699720,1,224,182,39.30,34.04,1,236
1520530311.749722,1,224,182,39.57,16.29,0,236
1520530311.799723,1,225,181,39.43,17.65,0,236
