t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.47,0,0
1520530308.249449,0,0,0,32.97,0.63,0,0
1520530308.299451,0,0,0,32.88,0.63,0,0
1520530308.349503,0,0,0,34.46,0.64,0,0
1520530308.399505,0,0,0,34.83,0.63,0,0
1520530308.449505,0,0,0,34.94,0.63,0,0
1520530308.499506,0,0,0,34.57,0.63,0,0
1520530308.549508,0,0,0,34.72,0.62,0,0
1520530308.599509,0,0,0,34.80,0.62,0,0
1520530308.649555,0,0,0,34.70,0.62,0,0
1520530308.699512,0,0,0,34.58,0.62,0,0
1520530308.749559,0,0,0,36.16,0.62,0,0
1520530308.799560,0,0,0,36.06,0.60,0,0
1520530308.849562,0,0,0,36.08,0.60,0,0
1520530308.899563,0,0,0,36.16,0.62,0,0
1520530308.949565,0,0,0,36.42,0.61,0,0
1520530308.999567,0,0,0,36.31,0.63,0,0
1520530309.049568,0,0,0,36.56,0.76,0,0
1520530309.099570,0,0,0,36.48,0.66,0,0
1520530309.149567,0,0,0,36.26,0.65,0,0
1520530309.199583,0,0,0,36.84,0.65,0,0
1520530309.249583,0,0,0,36.56,0.62,0,0
1520530309.299586,0,0,0,36.86,0.60,0,0
1520530309.349586,0,0,0,36.84,0.61,0,0
1520530309.399589,0,0,0,36.56,0.62,0,0
1520530309.449590,0,0,0,36.54,0.66,0,0
1520530309.499591,0,0,0,36.69,0.64,0,0
1520530309.549594,0,0,0,36.90,0.65,0,0
1520530309.599597,0,0,0,36.75,0.65,0,0
1520530309.649599,0,0,0,37.06,0.65,0,0
1520530309.699600,0,0,0,37.13,0.61,0,0
1520530309.749602,0,0,0,37.06,0.61,0,0
1520530309.799603,0,0,0,36.94,0.63,0,0
1520530309.849605,0,0,0,37.12,0.62,0,0
1520530309.899606,0,0,0,37.19,0.63,0,0
1520530309.949608,0,0,0,36.80,0.63,0,0
1520530309.999622,0,0,0,37.51,0.62,0,0
1520530310.049623,0,0,0,37.44,0.63,0,0
1520530310.099625,0,0,0,37.51,0.63,0,0
1520530310.149627,0,0,0,37.62,0.62,0,0
1520530310.199628,0,0,0,37.76,0.65,0,0
1520530310.249729,0,0,0,37.48,0.65,0,0
1520530310.299631,0,0,0,37.60,0.63,0,0
1520530310.349633,0,0,0,37.51,0.72,0,0
1520530310.399625,0,0,0,37.22,0.60,0,0
1520530310.449627,0,0,0,37.11,0.61,0,0
1520530310.499628,0,0,0,37.30,0.62,0,0
1520530310.549630,0,0,0,37.27,0.62,0,0
1520530310.599632,0,0,0,37.29,0.62,0,0
1520530310.649633,0,0,0,37.27,0.62,0,0
1520530310.699635,0,0,0,37.18,0.63,0,0
1520530310.749636,0,0,0,37.14,0.63,0,0
1520530310.799651,0,0,0,37.75,0.62,0,0
1520530310.849652,0,0,0,37.79,0.63,0,0
1520530310.899654,0,0,0,38.00,0.62,0,0
1520530310.949655,0,0,0,37.84,0.62,0,0
1520530310.999657,0,0,0,37.81,0.63,0,0
1520530311.049659,0,0,0,37.88,0.62,0,0
1520530311.099660,1,115,99,37.72,12.90,1,99
1520530311.149662,1,220,172,38.00,18.09,0,99
1520530311.199672,1,225,177,38.23,20.27,0,99
1520530311.249673,1,219,175,38.21,28.82,1,185
1520530311.299675,1,216,175,38.06,19.97,0,185
1520530311.349677,1,215,172,38.18,18.79,0,185
1520530311.399678,1,215,176,38.19,30.68,1,220
1520530311.449679,1,216,175,38.15,19.40,0,220
1520530311.499684,1,227,178,38.18,19.76,0,220
1520530311.549683,1,228,179,38.12,33.19,1,234
1520530311.599684,1,226,176,38.31,19.78,0,234
1520530311.649719,1,227,177,39.47,19.41,0,234
1520530311.699720,1,226,180,39.30,43.90,1,249
1520530311.749722,1,226,179,39.57,19.39,0,249
1520530311.799723,1,227,180,39.43,19.92,0,249
1520530311.849725,1,227,177,39.32,36.52,1,243
1520530311.899726,1,223,178,39.37,19.66,0,243
1520530311.949728,1,227,182,39.37,19.30,0,243
1520530311.999729,1,230,183,39.33,45.46,1,251
1520530312.049721,1,227,180,38.87,20.12,0,251
1520530312.099721,1,229,184,39.11,19.68,0,251
1520530312.149723,1,232,182,38.97,39.56,1,269
1520530312.199726,1,226,178,39.22,22.05,0,269
1520530312.249727,1,252,194,39.22,20.93,0,269
1520530312.299728,1,257,200,38.95,60.43,1,292
1520530312.349730,1,260,202,38.93,21.47,0,292
1520530312.399731,1,260,203,38.95,21.92,0,292
1520530312.449712,1,260,200,38.31,53.35,1,301
1520530312.499714,1,257,202,38.34,22.13,0,301
1520530312.549715,1,258,202,38.47,21.19,0,301
1520530312.599717,1,258,200,38.40,86.75,1,311
1520530312.649719,1,254,197,38.30,21.98,0,311
1520530312.699720,1,259,206,38.24,21.89,0,311
1520530312.749722,1,258,202,38.27,77.36,1,321
1520530312.799724,1,258,201,38.44,21.75,0,321
1520530312.849720,1,261,207,38.28,22.19,0,321
1520530312.899721,1,261,206,38.35,96.22,1,332
1520530312.949723,1,261,203,38.23,22.77,0,332
1520530312.999725,1,261,204,38.41,22.34,0,332
1520530313.049726,1,261,205,38.29,71.73,1,344
1520530313.099727,1,254,202,38.34,21.99,0,344
1520530313.149729,1,249,202,38.34,21.95,0,344
1520530313.199730,1,249,201,38.21,96.07,1,350
1520530313.249736,1,248,203,38.34,21.48,0,350
1520530313.299738,1,247,201,38.64,21.37,0,350
1520530313.349739,1,247,199,38.59,82.02,1,352
1520530313.399790,1,247,199,38.60,21.49,0,352
1520530313.449743,1,247,197,38.43,21.00,0,352
1520530313.499744,1,248,199,38.29,76.86,1,353
1520530313.549746,1,249,198,38.47,21.90,0,353
1520530313.599747,1,251,199,38.46,21.04,0,353
1520530313.649745,1,253,203,38.30,103.52,1,358
1520530313.699746,1,252,200,38.16,22.59,0,358
1520530313.749748,1,252,206,38.33,22.57,0,358
1520530313.799750,1,255,204,38.35,82.75,1,372
1520530313.849751,1,254,203,38.56,21.86,0,372
1520530313.899753,1,253,202,38.43,22.05,0,372
1520530313.949754,1,255,202,38.19,116.46,1,388
1520530313.999756,1,253,202,38.23,21.76,0,388
1520530314.049757,1,255,203,38.63,22.84,0,388
1520530314.099763,1,255,206,38.57,126.81,1,401
1520530314.149765,1,253,202,38.61,22.28,0,401
1520530314.199766,1,253,203,38.71,22.83,0,401
1520530314.249768,1,248,201,38.92,136.14,1,405
1520530314.299769,1,248,204,38.97,22.66,0,405
1520530314.349771,1,251,201,38.77,21.74,0,405
1520530314.399773,1,256,207,38.90,111.13,1,420
1520530314.449774,1,252,209,38.84,22.94,0,420
1520530314.499774,1,252,207,39.13,22.75,0,420
1520530314.549776,1,251,209,38.97,204.19,1,426
1520530314.599777,1,243,204,39.12,22.97,0,426
1520530314.649779,1,239,205,39.45,22.46,0,426
1520530314.699780,1,223,195,39.77,220.05,1,440
1520530314.749782,1,228,197,39.80,21.38,0,440
1520530314.799787,1,224,193,40.00,21.59,0,440
1520530314.849784,1,233,197,40.42,235.08,1,460
1520530314.899810,1,220,192,41.22,21.79,0,460
1520530314.949812,1,215,192,41.66,21.83,0,460
1520530314.999919,1,248,212,41.68,178.78,1,489
1520530315.049815,1,259,222,41.70,24.32,0,489
1520530315.099817,1,257,222,41.89,23.76,0,489
1520530315.149818,1,263,223,41.99,295.04,1,523
1520530315.199819,1,263,225,42.16,24.11,0,523
1520530315.249821,1,262,230,42.37,23.95,0,523
1520530315.299635,1,207,177,35.04,114.68,1,508
1520530315.349637,1,202,177,34.89,19.52,0,508
1520530315.399639,1,209,180,34.76,20.17,0,508
1520530315.449640,1,225,195,34.76,66.27,1,471
1520530315.499642,1,228,196,34.61,21.81,0,471
1520530315.549643,1,215,193,34.78,21.38,0,471
1520530315.599645,1,255,216,34.53,54.04,1,496
1520530315.649646,1,236,209,34.36,24.25,0,496
1520530315.699637,1,246,216,33.55,22.77,0,496
1520530315.749639,1,235,213,33.52,52.79,1,490
