t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530731.400018,0,0,0,36.63,1.37,0,0
1520530731.450020,0,0,0,36.75,0.65,0,0
1520530731.500021,0,0,0,36.69,0.63,0,0
1520530731.550010,0,0,0,36.29,0.63,0,0
1520530731.600011,0,0,0,36.25,0.63,0,0
1520530731.650012,0,0,0,36.33,0.63,0,0
1520530731.700014,0,0,0,36.26,0.63,0,0
1520530731.750016,0,0,0,36.13,0.63,0,0
1520530731.800017,0,0,0,36.04,0.63,0,0
1520530731.850102,0,0,0,36.04,0.73,0,0
1520530731.900020,0,0,0,36.09,0.61,0,0
1520530731.950036,0,0,0,36.87,0.62,0,0
1520530732.000037,0,0,0,36.53,0.61,0,0
1520530732.050039,0,0,0,36.77,0.60,0,0
1520530732.100040,0,0,0,36.82,0.62,0,0
1520530732.150042,0,0,0,36.62,0.62,0,0
1520530732.200044,0,0,0,36.54,0.62,0,0
1520530732.250045,0,0,0,36.83,0.61,0,0
1520530732.300047,0,0,0,36.87,0.63,0,0
1520530732.350048,0,0,0,36.77,0.63,0,0
1520530732.400058,0,0,0,36.83,0.63,0,0
1520530732.450059,0,0,0,37.21,0.80,0,0
1520530732.500062,0,0,0,37.10,0.65,0,0
1520530732.550063,0,0,0,36.91,0.63,0,0
1520530732.600064,0,0,0,36.86,0.65,0,0
1520530732.650066,0,0,0,36.93,0.62,0,0
1520530732.700067,0,0,0,37.02,0.60,0,0
1520530732.750070,0,0,0,36.94,0.62,0,0
1520530732.800093,0,0,0,37.91,0.63,0,0
1520530732.850094,0,0,0,37.76,0.63,0,0
1520530732.900096,0,0,0,37.76,0.62,0,0
1520530732.950097,0,0,0,37.70,0.61,0,0
1520530733.000099,0,0,0,37.75,0.62,0,0
1520530733.050100,0,0,0,37.85,0.62,0,0
1520530733.100102,0,0,0,37.80,0.63,0,0
1520530733.150104,0,0,0,37.81,0.63,0,0
1520530733.200104,0,0,0,37.41,0.62,0,0
1520530733.250106,0,0,0,37.65,0.63,0,0
1520530733.300107,0,0,0,37.61,0.64,0,0
1520530733.350113,0,0,0,37.68,0.63,0,0
1520530733.400110,0,0,0,37.29,0.64,0,0
1520530733.450196,0,0,0,37.61,0.63,0,0
1520530733.500113,0,0,0,37.54,0.62,0,0
1520530733.550115,0,0,0,37.66,0.61,0,0
1520530733.600103,0,0,0,37.58,0.61,0,0
1520530733.650105,0,0,0,37.20,0.61,0,0
1520530733.700105,0,0,0,37.36,0.62,0,0
1520530733.750108,0,0,0,37.09,0.62,0,0
1520530733.800110,0,0,0,37.30,0.63,0,0
1520530733.850111,0,0,0,37.50,0.62,0,0
1520530733.900113,0,0,0,37.40,0.61,0,0
1520530733.950114,0,0,0,37.50,0.60,0,0
1520530734.000145,0,0,0,37.98,0.63,0,0
1520530734.050146,0,0,0,38.35,0.64,0,0
1520530734.100148,0,0,0,38.14,0.63,0,0
1520530734.150149,0,0,0,38.46,0.63,0,0
1520530734.200151,0,0,0,38.08,0.64,0,0
1520530734.250153,0,0,0,38.41,0.63,0,0
1520530734.300154,1,114,101,38.12,15.60,1,101
1520530734.350156,1,172,134,38.21,11.75,0,101
1520530734.400153,1,193,150,38.34,12.37,0,101
1520530734.450154,1,231,182,38.09,22.83,1,194
1520530734.500156,1,254,204,38.18,16.11,0,194
1520530734.550158,1,264,207,38.24,16.09,0,194
1520530734.600159,1,281,229,38.14,34.10,1,250
1520530734.650161,1,283,225,38.28,16.70,0,250
1520530734.700162,1,280,223,38.08,18.17,0,250
1520530734.750163,1,271,218,38.01,30.29,1,267
1520530734.800165,1,270,217,38.20,14.85,0,267
1520530734.850171,1,266,218,38.19,15.28,0,267
1520530734.900172,1,263,216,38.20,33.53,1,277
1520530734.950177,1,264,219,38.39,15.04,0,277
