t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530731.400018,0,0,0,15.49,2.21,0,0
1520530731.450020,0,0,0,15.51,1.34,0,0
1520530731.500021,0,0,0,15.47,1.30,0,0
1520530731.550010,0,0,0,15.28,1.30,0,0
1520530731.600011,0,0,0,15.27,1.44,0,0
1520530731.650012,0,0,0,15.30,1.46,0,0
1520530731.700014,0,0,0,15.30,1.30,0,0
1520530731.750016,0,0,0,15.27,1.30,0,0
1520530731.800017,0,0,0,15.22,1.41,0,0
1520530731.850102,0,0,0,15.21,1.25,0,0
1520530731.900020,0,0,0,15.23,1.14,0,0
1520530731.950036,0,0,0,15.54,1.14,0,0
1520530732.000037,0,0,0,15.41,0.94,0,0
1520530732.050039,0,0,0,15.49,0.59,0,0
1520530732.100040,0,0,0,15.51,1.39,0,0
1520530732.150042,0,0,0,15.45,1.41,0,0
1520530732.200044,0,0,0,15.41,1.31,0,0
1520530732.250045,0,0,0,15.52,1.29,0,0
1520530732.300047,0,0,0,15.53,0.78,0,0
1520530732.350048,0,0,0,15.49,0.77,0,0
1520530732.400058,0,0,0,15.56,1.45,0,0
1520530732.450059,0,0,0,15.66,1.46,0,0
1520530732.500062,0,0,0,15.62,1.30,0,0
1520530732.550063,0,0,0,15.54,1.30,0,0
1520530732.600064,0,0,0,15.53,1.45,0,0
1520530732.650066,0,0,0,15.58,1.45,0,0
1520530732.700067,0,0,0,15.60,1.30,0,0
1520530732.750070,0,0,0,15.56,1.30,0,0
1520530732.800093,0,0,0,15.96,1.38,0,0
1520530732.850094,0,0,0,15.93,1.36,0,0
1520530732.900096,0,0,0,15.92,1.29,0,0
1520530732.950097,0,0,0,15.89,1.29,0,0
1520530733.000099,0,0,0,15.92,1.52,0,0
1520530733.050100,0,0,0,15.95,1.50,0,0
1520530733.100102,0,0,0,15.94,1.28,0,0
1520530733.150104,0,0,0,15.93,1.29,0,0
1520530733.200104,0,0,0,15.83,1.52,0,0
1520530733.250106,0,0,0,15.91,1.51,0,0
1520530733.300107,0,0,0,15.91,1.29,0,0
1520530733.350113,0,0,0,15.91,1.30,0,0
1520530733.400110,0,0,0,15.77,1.46,0,0
1520530733.450196,0,0,0,15.89,1.22,0,0
1520530733.500113,0,0,0,15.83,1.21,0,0
1520530733.550115,0,0,0,15.87,0.70,0,0
1520530733.600103,0,0,0,15.79,0.60,0,0
1520530733.650105,0,0,0,15.65,0.58,0,0
1520530733.700105,0,0,0,15.72,1.50,0,0
1520530733.750108,0,0,0,15.64,1.50,0,0
1520530733.800110,0,0,0,15.73,1.29,0,0
1520530733.850111,0,0,0,15.81,1.29,0,0
1520530733.900113,0,0,0,15.76,1.47,0,0
1520530733.950114,0,0,0,15.80,1.46,0,0
1520530734.000145,0,0,0,16.04,1.30,0,0
1520530734.050146,0,0,0,16.17,1.30,0,0
1520530734.100148,0,0,0,16.10,1.50,0,0
1520530734.150149,0,0,0,16.19,1.50,0,0
1520530734.200151,0,0,0,16.08,1.30,0,0
1520530734.250153,0,0,0,16.20,1.29,0,0
1520530734.300154,1,141,120,16.09,17.77,1,120
1520530734.350156,1,300,206,16.11,18.90,0,120
1520530734.400153,1,300,213,16.16,23.32,0,120
1520530734.450154,1,300,214,16.06,34.03,1,229
1520530734.500156,1,300,209,16.10,24.82,0,229
1520530734.550158,1,300,225,16.12,25.11,0,229
1520530734.600159,1,300,215,16.08,33.05,1,303
1520530734.650161,1,300,218,16.14,24.27,0,303
1520530734.700162,1,264,212,16.06,21.22,0,303
1520530734.750163,1,300,220,16.04,41.48,1,359
1520530734.800165,1,300,224,16.11,21.27,0,359
1520530734.850171,1,300,231,16.11,20.58,0,359
1520530734.900172,1,300,235,16.11,47.76,1,438
1520530734.950177,1,300,234,16.19,22.72,0,438
1520530735.000176,1,300,234,16.13,22.63,0,438
1520530735.050266,1,300,233,16.02,57.43,1,489
1520530735.100178,1,300,226,16.16,22.82,0,489
1520530735.150181,1,300,229,16.08,23.08,0,489
1520530735.200181,1,300,225,16.15,53.57,1,541
1520530735.250203,1,300,234,16.44,21.59,0,541
1520530735.300204,1,300,238,16.44,21.45,0,541
1520530735.350206,1,300,232,16.44,64.50,1,595
1520530735.400208,1,300,232,16.47,22.26,0,595
1520530735.450209,1,300,224,16.58,21.04,0,595
1520530735.500211,1,300,240,16.49,64.24,1,664
1520530735.550212,1,300,239,16.53,22.23,0,664
1520530735.600214,1,300,225,16.48,23.31,0,664
1520530735.650176,1,300,221,15.83,83.07,1,719
1520530735.700178,1,300,230,15.84,22.13,0,719
1520530735.750179,1,300,224,15.87,21.72,0,719
1520530735.800181,1,300,228,15.84,93.93,1,775
1520530735.850183,1,300,228,15.95,23.04,0,775
1520530735.900184,1,260,217,15.97,23.20,0,775
1520530735.950186,1,300,223,15.84,66.00,1,838
1520530736.000188,1,300,231,15.85,21.70,0,838
1520530736.050192,1,300,225,15.91,21.35,0,838
1520530736.100193,1,271,222,15.95,73.22,1,894
1520530736.150194,1,300,229,15.91,21.67,0,894
1520530736.200196,1,300,223,15.90,22.15,0,894
1520530736.250198,1,258,216,15.92,73.64,1,940
1520530736.300199,1,300,220,15.93,20.56,0,940
1520530736.350200,1,300,217,15.95,21.67,0,940
1520530736.400202,1,300,235,15.94,69.18,1,1017
1520530736.450248,1,270,215,16.74,22.21,0,1017
1520530736.500249,1,270,218,16.76,20.02,0,1017
1520530736.550255,1,300,232,16.78,85.08,1,1078
1520530736.600252,1,300,229,16.67,21.63,0,1078
1520530736.650344,1,300,227,16.71,21.42,0,1078
1520530736.700255,1,300,223,16.70,94.89,1,1133
1520530736.750257,1,300,223,16.68,22.67,0,1133
1520530736.800258,1,300,218,16.68,22.28,0,1133
1520530736.850260,1,300,226,16.79,115.55,1,1193
1520530736.900250,1,291,223,16.62,21.94,0,1193
1520530736.950252,1,300,224,16.52,22.92,0,1193
1520530737.000254,1,300,219,16.56,106.07,1,1247
1520530737.050255,1,300,229,16.63,24.14,0,1247
