t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1520530308.199448,0,0,0,32.81,1.43,0,0
1520530308.249449,0,0,0,32.97,0.71,0,0
1520530308.299451,0,0,0,32.88,0.69,0,0
1520530308.349503,0,0,0,34.46,0.67,0,0
1520530308.399505,0,0,0,34.83,0.77,0,0
1520530308.449505,0,0,0,34.94,0.76,0,0
1520530308.499506,0,0,0,34.57,0.77,0,0
1520530308.549508,0,0,0,34.72,0.77,0,0
1520530308.599509,0,0,0,34.80,0.76,0,0
1520530308.649555,0,0,0,34.70,0.76,0,0
1520530308.699512,0,0,0,34.58,0.77,0,0
1520530308.749559,0,0,0,36.16,0.77,0,0
1520530308.799560,0,0,0,36.06,0.61,0,0
1520530308.849562,0,0,0,36.08,0.60,0,0
1520530308.899563,0,0,0,36.16,0.77,0,0
1520530308.949565,0,0,0,36.42,0.77,0,0
1520530308.999567,0,0,0,36.31,0.78,0,0
1520530309.049568,0,0,0,36.56,0.69,0,0
1520530309.099570,0,0,0,36.48,0.59,0,0
1520530309.149567,0,0,0,36.26,0.58,0,0
1520530309.199583,0,0,0,36.84,0.77,0,0
1520530309.249583,0,0,0,36.56,0.78,0,0
1520530309.299586,0,0,0,36.86,0.67,0,0
1520530309.349586,0,0,0,36.84,0.66,0,0
1520530309.399589,0,0,0,36.56,0.75,0,0
1520530309.449590,0,0,0,36.54,0.72,0,0
1520530309.499591,0,0,0,36.69,0.71,0,0
1520530309.549594,0,0,0,36.90,0.72,0,0
1520530309.599597,0,0,0,36.75,0.72,0,0
1520530309.649599,0,0,0,37.06,0.68,0,0
1520530309.699600,0,0,0,37.13,0.71,0,0
1520530309.749602,0,0,0,37.06,0.71,0,0
1520530309.799603,0,0,0,36.94,0.64,0,0
1520530309.849605,0,0,0,37.12,0.58,0,0
1520530309.899606,0,0,0,37.19,0.70,0,0
1520530309.949608,0,0,0,36.80,0.71,0,0
1520530309.999622,0,0,0,37.51,0.68,0,0
1520530310.049623,0,0,0,37.44,0.68,0,0
1520530310.099625,0,0,0,37.51,0.68,0,0
1520530310.149627,0,0,0,37.62,0.69,0,0
1520530310.199628,0,0,0,37.76,0.66,0,0
1520530310.249729,0,0,0,37.48,0.67,0,0
1520530310.299631,0,0,0,37.60,0.67,0,0
1520530310.349633,0,0,0,37.51,0.60,0,0
1520530310.399625,0,0,0,37.22,0.58,0,0
1520530310.449627,0,0,0,37.11,0.59,0,0
1520530310.499628,0,0,0,37.30,0.69,0,0
1520530310.549630,0,0,0,37.27,0.69,0,0
1520530310.599632,0,0,0,37.29,0.65,0,0
1520530310.649633,0,0,0,37.27,0.66,0,0
1520530310.699635,0,0,0,37.18,0.72,0,0
1520530310.749636,0,0,0,37.14,0.73,0,0
1520530310.799651,0,0,0,37.75,0.67,0,0
1520530310.849652,0,0,0,37.79,0.66,0,0
1520530310.899654,0,0,0,38.00,0.73,0,0
1520530310.949655,0,0,0,37.84,0.72,0,0
1520530310.999657,0,0,0,37.81,0.72,0,0
1520530311.049659,0,0,0,37.88,0.70,0,0
1520530311.099660,1,115,99,37.72,26.66,1,99
1520530311.149662,1,220,172,38.00,33.58,0,99
1520530311.199672,1,225,177,38.23,37.08,0,99
1520530311.249673,1,219,175,38.21,44.05,1,185
1520530311.299675,1,214,173,38.06,34.45,0,185
1520530311.349677,1,215,174,38.18,34.10,0,185
1520530311.399678,1,214,177,38.19,47.77,1,218
1520530311.449679,1,214,172,38.15,36.08,0,218
1520530311.499684,1,226,178,38.18,37.54,0,218
1520530311.549683,1,228,179,38.12,48.08,1,233
1520530311.599684,1,226,176,38.31,35.26,0,233
1520530311.649719,1,225,178,39.47,35.46,0,233
1520530311.699720,1,224,178,39.30,50.57,1,247
1520530311.749722,1,224,179,39.57,36.10,0,247
1520530311.799723,1,225,178,39.43,36.16,0,247
1520530311.849725,1,225,176,39.32,56.72,1,246
1520530311.899726,1,247,196,39.37,37.87,0,246
1520530311.949728,1,246,198,39.37,39.58,0,246
1520530311.999729,1,247,193,39.33,68.23,1,265
1520530312.049721,1,246,194,38.87,39.13,0,265
1520530312.099721,1,244,193,39.11,37.81,0,265
1520530312.149723,1,246,193,38.97,69.23,1,282
1520530312.199726,1,258,200,39.22,39.20,0,282
1520530312.249727,1,261,202,39.22,41.03,0,282
1520530312.299728,1,265,206,38.95,86.77,1,312
1520530312.349730,1,266,208,38.93,40.20,0,312
1520530312.399731,1,266,209,38.95,40.67,0,312
1520530312.449712,1,267,204,38.31,70.31,1,324
1520530312.499714,1,267,208,38.34,40.68,0,324
1520530312.549715,1,265,205,38.47,39.97,0,324
1520530312.599717,1,268,208,38.40,109.55,1,343
1520530312.649719,1,269,209,38.30,41.03,0,343
1520530312.699720,1,268,209,38.24,40.84,0,343
1520530312.749722,1,269,210,38.27,95.57,1,345
1520530312.799724,1,269,210,38.44,40.40,0,345
1520530312.849720,1,269,214,38.28,41.05,0,345
1520530312.899721,1,268,212,38.35,87.14,1,352
1520530312.949723,1,266,207,38.23,40.90,0,352
1520530312.999725,1,268,209,38.41,41.34,0,352
1520530313.049726,1,268,209,38.29,97.27,1,367
1520530313.099727,1,271,215,38.34,41.79,0,367
1520530313.149729,1,282,225,38.34,42.50,0,367
1520530313.199730,1,278,222,38.21,133.83,1,387
