t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1649764528.073054,0,0,0,60.45,2.98,0,0,0/0/0/0/0
1649764528.098053,0,0,0,60.45,3.32,0,0,0/0/0/0/0
1649764528.123050,0,0,0,60.56,2.87,0,0,0/0/0/0/0
1649764528.148048,0,0,0,60.57,3.27,0,0,0/0/0/0/0
1649764528.173045,0,0,0,60.47,3.45,0,0,0/0/0/0/0
1649764528.198042,0,0,0,60.46,4.08,0,0,0/0/0/0/0
1649764528.223039,0,0,0,60.56,3.00,0,0,0/0/0/0/0
1649764528.248037,0,0,0,60.58,2.84,0,0,0/0/0/0/0
1649764528.273034,0,0,0,60.45,2.70,0,0,0/0/0/0/0
1649764528.298031,0,0,0,60.46,2.73,0,0,0/0/0/0/0
1649764528.323029,0,0,0,60.54,2.88,0,0,0/0/0/0/0
1649764528.348026,0,0,0,60.55,4.25,0,0,0/0/0/0/0
1649764528.373023,0,0,0,60.43,3.87,0,0,0/0/0/0/0
1649764528.398021,0,0,0,60.43,3.84,0,0,0/0/0/0/0
1649764528.423018,0,0,0,60.53,3.09,0,0,0/0/0/0/0
1649764528.448015,0,0,0,60.54,2.83,0,0,0/0/0/0/0
1649764528.473012,0,0,0,60.41,3.08,0,0,0/0/0/0/0
1649764528.498010,0,0,0,60.43,3.51,0,0,0/0/0/0/0
1649764528.523007,0,0,0,60.53,3.23,0,0,0/0/0/0/0
1649764528.548005,0,0,0,60.55,3.04,0,0,0/0/0/0/0
1649764528.573002,0,0,0,60.41,2.80,0,0,0/0/0/0/0
1649764528.597999,0,0,0,60.42,2.95,0,0,0/0/0/0/0
1649764528.622997,0,0,0,60.51,2.81,0,0,0/0/0/0/0
1649764528.647994,0,0,0,60.53,2.74,0,0,0/0/0/0/0
1649764528.672991,0,0,0,60.42,2.92,0,0,0/0/0/0/0
1649764528.697988,0,0,0,60.42,3.14,0,0,0/0/0/0/0
1649764528.722986,0,0,0,60.50,4.48,0,0,0/0/0/0/0
1649764528.747983,0,0,0,60.53,3.86,0,0,0/0/0/0/0
1649764528.772980,0,0,0,60.42,3.27,0,0,0/0/0/0/0
1649764528.797978,0,0,0,60.43,4.13,0,0,0/0/0/0/0
1649764528.822975,0,0,0,60.51,4.51,0,0,0/0/0/0/0
1649764528.847972,0,0,0,60.55,3.56,0,0,0/0/0/0/0
1649764528.872969,0,0,0,60.42,3.85,0,0,0/0/0/0/0
1649764528.897967,0,0,0,60.45,2.75,0,0,0/0/0/0/0
1649764528.922964,0,0,0,60.51,2.83,0,0,0/0/0/0/0
1649764528.947961,0,0,0,60.52,2.67,0,0,0/0/0/0/0
1649764528.972959,1,177,89,60.41,35.34,1,89,177/89/0/0/0
1649764528.997956,1,300,108,60.46,41.91,0,89,300/108/0/0/0
1649764529.022953,1,300,111,60.54,39.20,0,89,300/111/0/0/0
1649764529.047951,1,300,113,60.55,62.17,1,162,300/113/0/0/0
1649764529.072948,1,300,114,60.43,42.88,0,162,300/114/0/0/0
1649764529.097945,1,300,111,60.46,31.96,0,162,300/111/0/0/0
1649764529.122942,1,300,113,60.54,45.85,1,223,300/113/0/0/0
1649764529.147940,1,300,116,60.55,31.10,0,223,300/116/0/0/0
1649764529.172937,1,300,116,60.44,30.23,0,223,300/116/0/0/0
1649764529.197934,1,300,112,60.48,54.37,1,215,300/112/0/0/0
1649764529.222932,1,300,114,60.53,29.40,0,215,300/114/0/0/0
1649764529.247929,1,300,113,60.54,35.85,0,215,300/113/0/0/0
1649764529.272927,1,300,113,60.42,60.46,1,165,300/113/0/0/0
1649764529.297924,1,300,117,60.49,32.60,0,165,300/117/0/0/0
1649764529.322921,1,300,113,60.53,37.39,0,165,300/113/0/0/0
1649764529.347918,1,300,114,60.55,69.09,1,177,300/114/0/0/0
1649764529.372916,1,300,114,60.46,27.17,0,177,300/114/0/0/0
1649764529.397913,1,300,115,60.50,34.46,0,177,300/115/0/0/0
1649764529.422910,1,300,116,60.56,83.02,1,173,300/116/0/0/0
1649764529.447908,1,300,112,60.56,32.04,0,173,300/112/0/0/0
1649764529.472905,1,300,113,60.43,31.13,0,173,300/113/0/0/0
1649764529.497902,1,300,116,60.48,78.20,1,181,300/116/0/0/0
1649764529.522899,1,300,113,60.56,28.52,0,181,300/113/0/0/0
1649764529.547897,1,300,113,60.56,26.54,0,181,300/113/0/0/0
1649764529.572894,1,300,113,60.44,86.04,1,205,300/113/0/0/0
1649764529.597891,1,300,113,60.50,29.29,0,205,300/113/0/0/0
1649764529.622889,1,300,115,60.55,35.96,0,205,300/115/0/0/0
1649764529.647886,1,300,113,60.56,82.15,1,231,300/113/0/0/0
1649764529.672883,1,300,112,60.42,35.55,0,231,300/112/0/0/0
1649764529.697881,1,300,114,60.48,36.27,0,231,300/114/0/0/0
1649764529.722878,1,300,112,60.54,131.96,1,226,300/112/0/0/0
1649764529.747875,1,300,113,60.54,29.12,0,226,300/113/0/0/0
1649764529.772872,1,300,114,60.43,31.17,0,226,300/114/0/0/0
1649764529.797870,1,300,113,60.48,98.32,1,183,300/113/0/0/0
1649764529.822867,1,300,114,60.53,43.39,0,183,300/114/0/0/0
1649764529.847864,1,300,117,60.52,33.40,0,183,300/117/0/0/0
1649764529.872862,1,300,113,60.40,99.19,1,191,300/113/0/0/0
1649764529.897859,1,300,115,60.48,36.80,0,191,300/115/0/0/0
1649764529.922856,1,300,114,60.53,25.37,0,191,300/114/0/0/0
1649764529.947854,1,300,115,60.54,101.16,1,205,300/115/0/0/0
1649764529.972851,1,300,116,60.40,28.72,0,205,300/116/0/0/0
1649764529.997848,1,300,115,60.48,37.86,0,205,300/115/0/0/0
1649764530.022846,1,300,115,60.53,164.12,1,191,300/115/0/0/0
1649764530.047843,1,300,113,60.53,25.73,0,191,300/113/0/0/0
1649764530.072840,1,300,114,60.40,39.04,0,191,300/114/0/0/0
1649764530.097838,1,300,115,60.48,118.75,1,175,300/115/0/0/0
1649764530.122835,1,300,114,60.53,29.85,0,175,300/114/0/0/0
1649764530.147832,1,300,115,60.53,32.75,0,175,300/115/0/0/0
1649764530.172829,1,300,115,60.39,94.21,1,169,300/115/0/0/0
1649764530.197827,1,300,113,60.50,37.33,0,169,300/113/0/0/0
1649764530.222824,1,300,113,60.54,25.69,0,169,300/113/0/0/0
1649764530.247821,1,300,115,60.51,106.61,1,166,300/115/0/0/0
1649764530.272819,1,300,116,60.40,28.80,0,166,300/116/0/0/0
1649764530.297816,1,300,113,60.47,33.36,0,166,300/113/0/0/0
1649764530.322814,1,300,113,60.49,107.67,1,187,300/113/0/0/0
1649764530.347811,1,300,116,60.48,31.03,0,187,300/116/0/0/0
1649764530.372808,1,300,115,60.35,30.78,0,187,300/115/0/0/0
1649764530.397805,1,300,115,60.46,133.56,1,161,300/115/0/0/0
1649764530.422802,1,300,115,60.47,33.84,0,161,300/115/0/0/0
1649764530.447800,1,300,113,60.47,37.41,0,161,300/113/0/0/0
1649764530.472797,1,300,116,60.35,140.70,1,151,300/116/0/0/0
1649764530.497794,1,300,115,60.45,26.18,0,151,300/115/0/0/0
1649764530.522792,1,300,116,60.49,32.06,0,151,300/116/0/0/0
1649764530.547789,1,300,113,60.49,129.87,1,179,300/113/0/0/0
1649764530.572786,1,300,112,60.36,28.55,0,179,300/112/0/0/0
1649764530.597784,1,300,116,60.46,32.73,0,179,300/116/0/0/0
1649764530.622781,1,300,116,60.49,126.23,1,175,300/116/0/0/0
1649764530.647778,1,300,115,60.50,25.04,0,175,300/115/0/0/0
1649764530.672776,1,300,114,60.37,36.90,0,175,300/114/0/0/0
1649764530.697773,1,300,115,60.47,136.04,1,165,300/115/0/0/0
1649764530.722770,1,300,114,60.51,33.70,0,165,300/114/0/0/0
1649764530.747767,1,300,114,60.50,25.25,0,165,300/114/0/0/0
1649764530.772765,1,300,114,60.38,234.80,1,192,300/114/0/0/0
1649764530.797762,1,300,114,60.49,27.23,0,192,300/114/0/0/0
1649764530.822759,1,300,116,60.51,35.06,0,192,300/116/0/0/0
1649764530.847757,1,300,113,60.48,148.57,1,190,300/113/0/0/0
1649764530.872754,1,300,114,60.36,36.80,0,190,300/114/0/0/0
1649764530.897751,1,300,113,60.49,26.95,0,190,300/113/0/0/0
1649764530.922749,1,300,117,60.51,273.86,1,197,300/117/0/0/0
1649764530.947746,1,300,116,60.48,26.80,0,197,300/116/0/0/0
1649764530.972743,1,300,119,60.36,30.75,0,197,300/119/0/0/0
1649764530.997741,1,300,117,60.48,163.79,1,192,300/117/0/0/0
1649764531.022738,1,300,116,60.51,35.30,0,192,300/116/0/0/0
1649764531.047735,1,300,114,60.48,39.47,0,192,300/114/0/0/0
1649764531.072732,1,300,113,60.37,170.17,1,192,300/113/0/0/0
1649764531.097730,1,300,115,60.48,32.97,0,192,300/115/0/0/0
1649764531.122727,1,300,116,60.51,34.02,0,192,300/116/0/0/0
1649764531.147724,1,300,116,60.48,181.27,1,191,300/116/0/0/0
1649764531.172722,1,300,117,60.37,36.06,0,191,300/117/0/0/0
1649764531.197719,1,300,114,60.48,35.09,0,191,300/114/0/0/0
1649764531.222716,1,300,116,60.50,394.28,1,194,300/116/0/0/0
1649764531.247714,1,300,114,60.46,27.36,0,194,300/114/0/0/0
