t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1649764528.073054,0,0,0,60.45,3.28,0,0,0/0/0/0/0
1649764528.098053,0,0,0,60.45,2.98,0,0,0/0/0/0/0
1649764528.123050,0,0,0,60.56,4.55,0,0,0/0/0/0/0
1649764528.148048,0,0,0,60.57,3.03,0,0,0/0/0/0/0
1649764528.173045,0,0,0,60.47,2.78,0,0,0/0/0/0/0
1649764528.198042,0,0,0,60.46,2.90,0,0,0/0/0/0/0
1649764528.223039,0,0,0,60.56,2.87,0,0,0/0/0/0/0
1649764528.248037,0,0,0,60.58,3.27,0,0,0/0/0/0/0
1649764528.273034,0,0,0,60.45,2.97,0,0,0/0/0/0/0
1649764528.298031,0,0,0,60.46,3.41,0,0,0/0/0/0/0
1649764528.323029,0,0,0,60.54,5.47,0,0,0/0/0/0/0
1649764528.348026,0,0,0,60.55,2.93,0,0,0/0/0/0/0
1649764528.373023,0,0,0,60.43,3.74,0,0,0/0/0/0/0
1649764528.398021,0,0,0,60.43,3.53,0,0,0/0/0/0/0
1649764528.423018,0,0,0,60.53,3.55,0,0,0/0/0/0/0
1649764528.448015,0,0,0,60.54,3.65,0,0,0/0/0/0/0
1649764528.473012,0,0,0,60.41,3.06,0,0,0/0/0/0/0
1649764528.498010,0,0,0,60.43,2.83,0,0,0/0/0/0/0
1649764528.523007,0,0,0,60.53,2.82,0,0,0/0/0/0/0
1649764528.548005,0,0,0,60.55,3.01,0,0,0/0/0/0/0
1649764528.573002,0,0,0,60.41,3.24,0,0,0/0/0/0/0
1649764528.597999,0,0,0,60.42,4.31,0,0,0/0/0/0/0
1649764528.622997,0,0,0,60.51,3.45,0,0,0/0/0/0/0
1649764528.647994,0,0,0,60.53,2.92,0,0,0/0/0/0/0
1649764528.672991,0,0,0,60.42,3.00,0,0,0/0/0/0/0
1649764528.697988,0,0,0,60.42,3.73,0,0,0/0/0/0/0
1649764528.722986,0,0,0,60.50,3.66,0,0,0/0/0/0/0
1649764528.747983,0,0,0,60.53,3.54,0,0,0/0/0/0/0
1649764528.772980,0,0,0,60.42,3.06,0,0,0/0/0/0/0
1649764528.797978,0,0,0,60.43,2.83,0,0,0/0/0/0/0
1649764528.822975,0,0,0,60.51,2.93,0,0,0/0/0/0/0
1649764528.847972,0,0,0,60.55,2.71,0,0,0/0/0/0/0
1649764528.872969,0,0,0,60.42,4.06,0,0,0/0/0/0/0
1649764528.897967,0,0,0,60.45,3.01,0,0,0/0/0/0/0
1649764528.922964,0,0,0,60.51,4.50,0,0,0/0/0/0/0
1649764528.947961,0,0,0,60.52,3.20,0,0,0/0/0/0/0
1649764528.972959,1,177,89,60.41,31.89,1,89,177/89/0/0/0
1649764528.997956,1,301,108,60.46,35.28,0,89,301/108/0/0/0
1649764529.022953,1,301,111,60.54,41.15,0,89,301/111/0/0/0
1649764529.047951,1,301,113,60.55,53.63,1,162,301/113/0/0/0
1649764529.072948,1,301,114,60.43,36.14,0,162,301/114/0/0/0
1649764529.097945,1,301,111,60.46,34.41,0,162,301/111/0/0/0
1649764529.122942,1,301,113,60.54,61.89,1,224,301/113/0/0/0
1649764529.147940,1,301,116,60.55,39.50,0,224,301/116/0/0/0
1649764529.172937,1,301,116,60.44,29.30,0,224,301/116/0/0/0
1649764529.197934,1,301,112,60.48,51.69,1,215,301/112/0/0/0
1649764529.222932,1,301,114,60.53,36.72,0,215,301/114/0/0/0
1649764529.247929,1,301,113,60.54,37.62,0,215,301/113/0/0/0
1649764529.272927,1,301,113,60.42,56.19,1,218,301/113/0/0/0
1649764529.297924,1,301,116,60.49,34.29,0,218,301/116/0/0/0
