t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1649764528.073054,0,0,0,60.45,3.51,0,0,0/0/0/0/0
1649764528.098053,0,0,0,60.45,3.23,0,0,0/0/0/0/0
1649764528.123050,0,0,0,60.56,2.86,0,0,0/0/0/0/0
1649764528.148048,0,0,0,60.57,3.22,0,0,0/0/0/0/0
1649764528.173045,0,0,0,60.47,4.09,0,0,0/0/0/0/0
1649764528.198042,0,0,0,60.46,3.04,0,0,0/0/0/0/0
1649764528.223039,0,0,0,60.56,4.45,0,0,0/0/0/0/0
1649764528.248037,0,0,0,60.58,4.43,0,0,0/0/0/0/0
1649764528.273034,0,0,0,60.45,3.55,0,0,0/0/0/0/0
1649764528.298031,0,0,0,60.46,4.18,0,0,0/0/0/0/0
1649764528.323029,0,0,0,60.54,3.08,0,0,0/0/0/0/0
1649764528.348026,0,0,0,60.55,3.31,0,0,0/0/0/0/0
1649764528.373023,0,0,0,60.43,4.36,0,0,0/0/0/0/0
1649764528.398021,0,0,0,60.43,3.12,0,0,0/0/0/0/0
1649764528.423018,0,0,0,60.53,3.02,0,0,0/0/0/0/0
1649764528.448015,0,0,0,60.54,3.62,0,0,0/0/0/0/0
1649764528.473012,0,0,0,60.41,4.02,0,0,0/0/0/0/0
1649764528.498010,0,0,0,60.43,4.36,0,0,0/0/0/0/0
1649764528.523007,0,0,0,60.53,2.84,0,0,0/0/0/0/0
1649764528.548005,0,0,0,60.55,2.78,0,0,0/0/0/0/0
1649764528.573002,0,0,0,60.41,2.76,0,0,0/0/0/0/0
1649764528.597999,0,0,0,60.42,2.67,0,0,0/0/0/0/0
1649764528.622997,0,0,0,60.51,4.14,0,0,0/0/0/0/0
1649764528.647994,0,0,0,60.53,4.12,0,0,0/0/0/0/0
1649764528.672991,0,0,0,60.42,3.74,0,0,0/0/0/0/0
1649764528.697988,0,0,0,60.42,2.93,0,0,0/0/0/0/0
1649764528.722986,0,0,0,60.50,3.93,0,0,0/0/0/0/0
1649764528.747983,0,0,0,60.53,3.21,0,0,0/0/0/0/0
1649764528.772980,0,0,0,60.42,4.01,0,0,0/0/0/0/0
1649764528.797978,0,0,0,60.43,5.32,0,0,0/0/0/0/0
1649764528.822975,0,0,0,60.51,2.84,0,0,0/0/0/0/0
1649764528.847972,0,0,0,60.55,2.83,0,0,0/0/0/0/0
1649764528.872969,0,0,0,60.42,2.71,0,0,0/0/0/0/0
1649764528.897967,0,0,0,60.45,2.86,0,0,0/0/0/0/0
1649764528.922964,0,0,0,60.51,3.02,0,0,0/0/0/0/0
1649764528.947961,0,0,0,60.52,3.03,0,0,0/0/0/0/0
1649764528.972959,1,177,89,60.41,37.35,1,89,177/89/0/0/0
1649764528.997956,1,300,108,60.46,42.47,0,89,300/108/0/0/0
1649764529.022953,1,300,111,60.54,30.90,0,89,300/111/0/0/0
1649764529.047951,1,300,113,60.55,65.31,1,162,300/113/0/0/0
1649764529.072948,1,300,114,60.43,40.30,0,162,300/114/0/0/0
1649764529.097945,1,300,111,60.46,32.43,0,162,300/111/0/0/0
1649764529.122942,1,300,113,60.54,62.64,1,223,300/113/0/0/0
1649764529.147940,1,300,116,60.55,36.71,0,223,300/116/0/0/0
1649764529.172937,1,300,116,60.44,39.83,0,223,300/116/0/0/0
1649764529.197934,1,300,112,60.48,61.40,1,215,300/112/0/0/0
1649764529.222932,1,300,114,60.53,26.92,0,215,300/114/0/0/0
1649764529.247929,1,300,113,60.54,43.13,0,215,300/113/0/0/0
1649764529.272927,1,300,113,60.42,63.90,1,165,300/113/0/0/0
1649764529.297924,1,300,117,60.49,32.78,0,165,300/117/0/0/0
1649764529.322921,1,300,113,60.53,31.85,0,165,300/113/0/0/0
1649764529.347918,1,300,114,60.55,67.28,1,177,300/114/0/0/0
1649764529.372916,1,300,114,60.46,35.86,0,177,300/114/0/0/0
1649764529.397913,1,300,115,60.50,38.50,0,177,300/115/0/0/0
1649764529.422910,1,300,116,60.56,85.15,1,173,300/116/0/0/0
1649764529.447908,1,300,112,60.56,35.56,0,173,300/112/0/0/0
1649764529.472905,1,300,113,60.43,27.13,0,173,300/113/0/0/0
1649764529.497902,1,300,116,60.48,78.96,1,181,300/116/0/0/0
1649764529.522899,1,300,113,60.56,30.41,0,181,300/113/0/0/0
1649764529.547897,1,300,113,60.56,31.75,0,181,300/113/0/0/0
