t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1649764528.073054,0,0,0,60.45,3.00,0,0,0/0/0/0/0
1649764528.098053,0,0,0,60.45,2.86,0,0,0/0/0/0/0
1649764528.123050,0,0,0,60.56,2.72,0,0,0/0/0/0/0
1649764528.148048,0,0,0,60.57,2.80,0,0,0/0/0/0/0
1649764528.173045,0,0,0,60.47,2.74,0,0,0/0/0/0/0
1649764528.198042,0,0,0,60.46,2.88,0,0,0/0/0/0/0
1649764528.223039,0,0,0,60.56,2.88,0,0,0/0/0/0/0
1649764528.248037,0,0,0,60.58,3.87,0,0,0/0/0/0/0
1649764528.273034,0,0,0,60.45,4.37,0,0,0/0/0/0/0
1649764528.298031,0,0,0,60.46,3.25,0,0,0/0/0/0/0
1649764528.323029,0,0,0,60.54,3.19,0,0,0/0/0/0/0
1649764528.348026,0,0,0,60.55,2.87,0,0,0/0/0/0/0
1649764528.373023,0,0,0,60.43,3.48,0,0,0/0/0/0/0
1649764528.398021,0,0,0,60.43,3.04,0,0,0/0/0/0/0
1649764528.423018,0,0,0,60.53,3.91,0,0,0/0/0/0/0
1649764528.448015,0,0,0,60.54,3.76,0,0,0/0/0/0/0
1649764528.473012,0,0,0,60.41,4.36,0,0,0/0/0/0/0
1649764528.498010,0,0,0,60.43,3.34,0,0,0/0/0/0/0
1649764528.523007,0,0,0,60.53,3.79,0,0,0/0/0/0/0
1649764528.548005,0,0,0,60.55,4.01,0,0,0/0/0/0/0
1649764528.573002,0,0,0,60.41,2.95,0,0,0/0/0/0/0
1649764528.597999,0,0,0,60.42,4.06,0,0,0/0/0/0/0
1649764528.622997,0,0,0,60.51,5.33,0,0,0/0/0/0/0
1649764528.647994,0,0,0,60.53,3.04,0,0,0/0/0/0/0
1649764528.672991,0,0,0,60.42,3.01,0,0,0/0/0/0/0
1649764528.697988,0,0,0,60.42,2.76,0,0,0/0/0/0/0
1649764528.722986,0,0,0,60.50,2.91,0,0,0/0/0/0/0
1649764528.747983,0,0,0,60.53,2.84,0,0,0/0/0/0/0
1649764528.772980,0,0,0,60.42,3.94,0,0,0/0/0/0/0
1649764528.797978,0,0,0,60.43,3.64,0,0,0/0/0/0/0
1649764528.822975,0,0,0,60.51,3.51,0,0,0/0/0/0/0
1649764528.847972,0,0,0,60.55,3.38,0,0,0/0/0/0/0
1649764528.872969,0,0,0,60.42,2.85,0,0,0/0/0/0/0
1649764528.897967,0,0,0,60.45,2.77,0,0,0/0/0/0/0
1649764528.922964,0,0,0,60.51,2.84,0,0,0/0/0/0/0
1649764528.947961,0,0,0,60.52,2.91,0,0,0/0/0/0/0
1649764528.972959,1,177,89,60.41,36.16,1,89,177/89/0/0/0
1649764528.997956,1,301,108,60.46,32.34,0,89,301/108/0/0/0
1649764529.022953,1,301,111,60.54,34.42,0,89,301/111/0/0/0
1649764529.047951,1,301,113,60.55,47.49,1,162,301/113/0/0/0
1649764529.072948,1,301,114,60.43,38.44,0,162,301/114/0/0/0
1649764529.097945,1,301,111,60.46,33.15,0,162,301/111/0/0/0
1649764529.122942,1,301,113,60.54,58.62,1,224,301/113/0/0/0
1649764529.147940,1,301,116,60.55,41.59,0,224,301/116/0/0/0
1649764529.172937,1,301,116,60.44,25.51,0,224,301/116/0/0/0
1649764529.197934,1,301,112,60.48,54.88,1,215,301/112/0/0/0
1649764529.222932,1,301,114,60.53,32.75,0,215,301/114/0/0/0
1649764529.247929,1,301,113,60.54,31.87,0,215,301/113/0/0/0
1649764529.272927,1,301,113,60.42,73.71,1,218,301/113/0/0/0
1649764529.297924,1,301,116,60.49,37.06,0,218,301/116/0/0/0
1649764529.322921,1,301,113,60.53,34.89,0,218,301/113/0/0/0
1649764529.347918,1,301,114,60.55,69.03,1,238,301/114/0/0/0
1649764529.372916,1,301,114,60.46,25.98,0,238,301/114/0/0/0
1649764529.397913,1,301,115,60.50,35.36,0,238,301/115/0/0/0
1649764529.422910,1,301,116,60.56,89.20,1,205,301/116/0/0/0
1649764529.447908,1,301,112,60.56,35.98,0,205,301/112/0/0/0
1649764529.472905,1,301,113,60.43,27.78,0,205,301/113/0/0/0
1649764529.497902,1,301,116,60.48,75.31,1,181,301/116/0/0/0
1649764529.522899,1,301,113,60.56,31.78,0,181,301/113/0/0/0
1649764529.547897,1,301,113,60.56,36.89,0,181,301/113/0/0/0
1649764529.572894,1,301,113,60.44,57.00,1,167,301/113/0/0/0
1649764529.597891,1,301,113,60.50,32.22,0,167,301/113/0/0/0
1649764529.622889,1,301,114,60.55,34.82,0,167,301/114/0/0/0
1649764529.647886,1,301,113,60.56,57.92,1,171,301/113/0/0/0
1649764529.672883,1,301,112,60.42,30.31,0,171,301/112/0/0/0
1649764529.697881,1,301,114,60.48,35.46,0,171,301/114/0/0/0
1649764529.722878,1,301,112,60.54,66.32,1,156,301/112/0/0/0
1649764529.747875,1,301,113,60.54,27.27,0,156,301/113/0/0/0
1649764529.772872,1,301,114,60.43,30.51,0,156,301/114/0/0/0
1649764529.797870,1,301,113,60.48,75.94,1,209,301/113/0/0/0
1649764529.822867,1,301,114,60.53,31.95,0,209,301/114/0/0/0
1649764529.847864,1,301,117,60.52,26.85,0,209,301/117/0/0/0
1649764529.872862,1,301,113,60.40,78.26,1,258,301/113/0/0/0
1649764529.897859,1,301,114,60.48,32.93,0,258,301/114/0/0/0
1649764529.922856,1,301,114,60.53,25.68,0,258,301/114/0/0/0
1649764529.947854,1,301,115,60.54,98.89,1,266,301/115/0/0/0
1649764529.972851,1,301,116,60.40,26.14,0,266,301/116/0/0/0
1649764529.997848,1,301,115,60.48,34.66,0,266,301/115/0/0/0
1649764530.022846,1,301,115,60.53,142.69,1,262,301/115/0/0/0
1649764530.047843,1,301,113,60.53,35.17,0,262,301/113/0/0/0
1649764530.072840,1,301,115,60.40,25.49,0,262,301/115/0/0/0
1649764530.097838,1,301,115,60.48,114.59,1,256,301/115/0/0/0
1649764530.122835,1,301,114,60.53,27.85,0,256,301/114/0/0/0
1649764530.147832,1,301,115,60.53,29.97,0,256,301/115/0/0/0
1649764530.172829,1,301,115,60.39,107.20,1,262,301/115/0/0/0
1649764530.197827,1,301,113,60.50,29.97,0,262,301/113/0/0/0
1649764530.222824,1,301,113,60.54,31.74,0,262,301/113/0/0/0
1649764530.247821,1,301,115,60.51,128.85,1,252,301/115/0/0/0
1649764530.272819,1,301,116,60.40,26.42,0,252,301/116/0/0/0
1649764530.297816,1,301,114,60.47,40.15,0,252,301/114/0/0/0
1649764530.322814,1,301,113,60.49,130.15,1,236,301/113/0/0/0
1649764530.347811,1,301,116,60.48,34.27,0,236,301/116/0/0/0
1649764530.372808,1,301,115,60.35,25.40,0,236,301/115/0/0/0
1649764530.397805,1,301,115,60.46,120.17,1,236,301/115/0/0/0
1649764530.422802,1,301,114,60.47,34.00,0,236,301/114/0/0/0
1649764530.447800,1,301,113,60.47,28.02,0,236,301/113/0/0/0
1649764530.472797,1,301,115,60.35,130.50,1,252,301/115/0/0/0
1649764530.497794,1,301,115,60.45,32.84,0,252,301/115/0/0/0
1649764530.522792,1,301,116,60.49,26.83,0,252,301/116/0/0/0
1649764530.547789,1,301,113,60.49,136.20,1,254,301/113/0/0/0
1649764530.572786,1,301,112,60.36,35.09,0,254,301/112/0/0/0
1649764530.597784,1,301,115,60.46,29.72,0,254,301/115/0/0/0
1649764530.622781,1,301,116,60.49,142.41,1,241,301/116/0/0/0
1649764530.647778,1,301,115,60.50,26.00,0,241,301/115/0/0/0
1649764530.672776,1,301,113,60.37,27.51,0,241,301/113/0/0/0
1649764530.697773,1,301,115,60.47,162.85,1,231,301/115/0/0/0
1649764530.722770,1,301,115,60.51,33.29,0,231,301/115/0/0/0
1649764530.747767,1,301,114,60.50,27.50,0,231,301/114/0/0/0
1649764530.772765,1,301,114,60.38,172.99,1,229,301/114/0/0/0
1649764530.797762,1,301,114,60.49,29.71,0,229,301/114/0/0/0
1649764530.822759,1,301,116,60.51,34.32,0,229,301/116/0/0/0
1649764530.847757,1,301,114,60.48,169.39,1,226,301/114/0/0/0
1649764530.872754,1,301,114,60.36,37.28,0,226,301/114/0/0/0
1649764530.897751,1,301,113,60.49,35.32,0,226,301/113/0/0/0
1649764530.922749,1,301,117,60.51,199.23,1,212,301/117/0/0/0
1649764530.947746,1,301,116,60.48,33.93,0,212,301/116/0/0/0
1649764530.972743,1,301,120,60.36,33.59,0,212,301/120/0/0/0
1649764530.997741,1,301,118,60.48,231.85,1,212,301/118/0/0/0
1649764531.022738,1,301,115,60.51,29.77,0,212,301/115/0/0/0
1649764531.047735,1,301,114,60.48,26.54,0,212,301/114/0/0/0
1649764531.072732,1,301,114,60.37,201.84,1,184,301/114/0/0/0
1649764531.097730,1,301,115,60.48,29.89,0,184,301/115/0/0/0
1649764531.122727,1,301,115,60.51,33.54,0,184,301/115/0/0/0
1649764531.147724,1,301,116,60.48,231.80,1,185,301/116/0/0/0
1649764531.172722,1,301,117,60.37,32.29,0,185,301/117/0/0/0
1649764531.197719,1,301,114,60.48,28.55,0,185,301/114/0/0/0
1649764531.222716,1,301,115,60.50,383.40,1,197,301/115/0/0/0
1649764531.247714,1,301,113,60.46,38.87,0,197,301/113/0/0/0
1649764531.272711,1,301,113,60.37,30.83,0,197,301/113/0/0/0
1649764531.297708,1,301,115,60.47,224.93,1,198,301/115/0/0/0
1649764531.322706,1,301,117,60.51,31.21,0,198,301/117/0/0/0
1649764531.347703,1,301,115,60.46,28.18,0,198,301/115/0/0/0
1649764531.372700,1,301,114,60.35,312.68,1,196,301/114/0/0/0
1649764531.397697,1,301,115,60.46,33.70,0,196,301/115/0/0/0
1649764531.422695,1,301,113,60.49,28.17,0,196,301/113/0/0/0
1649764531.447692,1,301,114,60.45,153.23,1,189,301/114/0/0/0
1649764531.472689,1,301,115,60.34,31.18,0,189,301/115/0/0/0
1649764531.497687,1,301,112,60.46,35.90,0,189,301/112/0/0/0
1649764531.522684,1,301,115,60.51,101.24,1,197,301/115/0/0/0
1649764531.547681,1,301,114,60.45,32.43,0,197,301/114/0/0/0
1649764531.572679,1,301,115,60.34,28.13,0,197,301/115/0/0/0
1649764531.597676,1,301,115,60.46,110.83,1,191,301/115/0/0/0
1649764531.622673,1,301,117,60.49,34.66,0,191,301/117/0/0/0
1649764531.647671,1,301,113,60.44,32.29,0,191,301/113/0/0/0
1649764531.672668,1,301,116,60.34,111.68,1,188,301/116/0/0/0
1649764531.697665,1,301,115,60.47,36.96,0,188,301/115/0/0/0
1649764531.722662,1,301,114,60.50,28.41,0,188,301/114/0/0/0
1649764531.747659,1,301,115,60.44,150.57,1,206,301/115/0/0/0
1649764531.772657,1,301,117,60.34,37.86,0,206,301/117/0/0/0
1649764531.797654,1,301,113,60.45,34.97,0,206,301/113/0/0/0
1649764531.822652,1,301,114,60.49,185.97,1,198,301/114/0/0/0
1649764531.847649,1,301,116,60.42,38.09,0,198,301/116/0/0/0
1649764531.872646,1,301,117,60.34,36.89,0,198,301/117/0/0/0
1649764531.897644,1,301,118,60.45,151.43,1,184,301/118/0/0/0
1649764531.922641,1,301,114,60.48,31.33,0,184,301/114/0/0/0
1649764531.947638,1,301,114,60.41,35.23,0,184,301/114/0/0/0
1649764531.972636,1,301,115,60.32,122.68,1,183,301/115/0/0/0
1649764531.997633,1,301,117,60.45,39.05,0,183,301/117/0/0/0
1649764532.022630,1,301,114,60.49,30.21,0,183,301/114/0/0/0
1649764532.047627,1,301,115,60.41,191.09,1,215,301/115/0/0/0
1649764532.072625,1,301,116,60.32,57.28,0,215,301/116/0/0/0
1649764532.097619,1,301,117,60.44,40.69,0,215,301/117/0/0/0
1649764532.122616,1,301,115,60.48,146.22,1,137,301/115/0/0/0
1649764532.147614,1,301,114,60.42,51.78,0,137,301/114/0/0/0
1649764532.172611,1,301,115,60.31,50.39,0,137,301/115/0/0/0
1649764532.197608,1,301,116,60.42,140.35,1,142,301/116/0/0/0
1649764532.222605,1,301,116,60.49,41.40,0,142,301/116/0/0/0
1649764532.247603,1,301,117,60.40,50.51,0,142,301/117/0/0/0
1649764532.272600,1,301,115,60.31,137.51,1,156,301/115/0/0/0
1649764532.297597,1,301,115,60.41,52.07,0,156,301/115/0/0/0
1649764532.322595,1,301,114,60.47,40.40,0,156,301/114/0/0/0
1649764532.347592,1,301,116,60.40,107.84,1,144,301/116/0/0/0
1649764532.372589,1,301,116,60.31,31.15,0,144,301/116/0/0/0
1649764532.397587,1,301,117,60.44,31.67,0,144,301/117/0/0/0
1649764532.422584,1,301,117,60.52,139.20,1,142,301/117/0/0/0
1649764532.447581,1,301,118,60.45,27.98,0,142,301/118/0/0/0
1649764532.472578,1,301,118,60.39,26.54,0,142,301/118/0/0/0
1649764532.497576,1,301,113,60.50,102.52,1,135,301/113/0/0/0
1649764532.522573,1,301,119,60.54,27.08,0,135,301/119/0/0/0
1649764532.547570,1,301,117,60.48,30.36,0,135,301/117/0/0/0
1649764532.572568,1,301,116,60.39,113.14,1,152,301/116/0/0/0
1649764532.597565,1,301,118,60.51,29.58,0,152,301/118/0/0/0
