t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1700000000.000000,0,0,0,167.19,5.99,0,0
1700000000.050000,0,0,0,167.19,4.02,0,0
1700000000.100000,0,0,0,167.19,3.92,0,0
1700000000.150000,0,0,0,167.19,6.73,0,0
1700000000.200000,0,0,0,167.19,6.39,0,0
1700000000.250000,0,0,0,167.19,6.55,0,0
1700000000.300000,0,0,0,167.19,4.31,0,0
1700000000.350000,0,0,0,167.19,4.04,0,0
1700000000.400000,0,0,0,167.19,6.11,0,0
1700000000.450000,0,0,0,167.19,3.81,0,0
1700000000.500000,0,0,0,167.20,2.63,0,0
1700000000.550000,0,0,0,167.19,3.86,0,0
1700000000.600000,0,0,0,167.20,5.40,0,0
1700000000.650000,0,0,0,167.19,3.91,0,0
1700000000.700000,0,0,0,167.20,5.16,0,0
1700000000.750000,0,0,0,167.20,4.19,0,0
1700000000.800000,0,0,0,167.19,6.38,0,0
1700000000.850000,0,0,0,167.19,7.85,0,0
1700000000.900000,1,241,40,167.19,89.80,1,40
1700000000.950000,1,300,42,167.19,41.47,0,40
1700000001.000000,1,300,43,167.20,17.21,0,40
1700000001.050000,1,300,45,167.19,19.89,1,88
1700000001.100000,1,300,44,167.19,13.15,0,88
1700000001.150000,1,300,39,167.19,11.24,0,88
1700000001.200000,1,300,45,167.20,23.05,1,208
1700000001.250000,1,300,41,167.19,31.88,0,208
1700000001.300000,1,300,44,167.20,13.98,0,208
1700000001.350000,1,300,42,167.19,25.33,1,226
1700000001.400000,1,300,42,167.19,11.90,0,226
1700000001.450000,1,300,43,167.19,32.77,0,226
1700000001.500000,1,300,45,167.19,27.86,1,258
1700000001.550000,1,300,40,167.19,12.72,0,258
1700000001.600000,1,300,41,167.20,33.62,0,258
1700000001.650000,1,300,41,167.19,30.32,1,269
1700000001.700000,1,300,41,167.18,12.77,0,269
1700000001.750000,1,300,41,167.19,11.86,0,269
1700000001.800000,1,300,44,167.18,39.07,1,266
1700000001.850000,1,300,43,167.22,32.91,0,266
1700000001.900000,1,300,45,167.26,12.63,0,266
1700000001.950000,1,300,47,167.28,71.92,1,298
1700000002.000000,1,300,44,167.32,13.82,0,298
1700000002.050000,1,300,46,167.35,31.36,0,298
1700000002.100000,1,300,41,167.40,63.82,1,305
