t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1700000000.000000,0,0,0,66.14,5.34,0,0
1700000000.050000,0,0,0,66.13,4.13,0,0
1700000000.100000,0,0,0,66.13,4.01,0,0
1700000000.150000,0,0,0,66.13,4.16,0,0
1700000000.200000,0,0,0,66.13,4.00,0,0
1700000000.250000,0,0,0,66.13,7.13,0,0
1700000000.300000,0,0,0,66.13,6.79,0,0
1700000000.350000,0,0,0,66.13,7.04,0,0
1700000000.400000,0,0,0,66.13,6.72,0,0
1700000000.450000,0,0,0,66.13,4.10,0,0
1700000000.500000,0,0,0,66.13,6.06,0,0
1700000000.550000,0,0,0,66.13,3.58,0,0
1700000000.600000,0,0,0,66.13,6.56,0,0
1700000000.650000,0,0,0,66.13,6.69,0,0
1700000000.700000,0,0,0,66.13,4.74,0,0
1700000000.750000,0,0,0,66.13,6.94,0,0
1700000000.800000,0,0,0,66.14,6.78,0,0
1700000000.850000,0,0,0,66.13,6.19,0,0
1700000000.900000,1,20,14,66.13,33.60,1,14
1700000000.950000,1,300,221,66.12,32.38,0,14
1700000001.000000,1,300,219,66.13,33.69,0,14
1700000001.050000,1,300,216,66.13,39.73,1,219
1700000001.100000,1,300,209,66.13,35.39,0,219
1700000001.150000,1,300,207,66.13,35.78,0,219
1700000001.200000,1,300,203,66.13,47.78,1,332
1700000001.250000,1,300,199,66.13,36.68,0,332
1700000001.300000,1,300,201,66.13,33.51,0,332
1700000001.350000,1,300,202,66.14,52.01,1,413
1700000001.400000,1,300,199,66.13,33.62,0,413
1700000001.450000,1,300,204,66.13,35.09,0,413
1700000001.500000,1,300,206,66.13,64.17,1,487
1700000001.550000,1,300,203,66.13,36.40,0,487
1700000001.600000,1,300,211,66.14,34.44,0,487
1700000001.650000,1,300,202,66.14,58.58,1,566
1700000001.700000,1,300,192,66.16,35.43,0,566
1700000001.750000,1,300,209,66.14,35.81,0,566
1700000001.800000,1,300,207,66.15,59.22,1,629
1700000001.850000,1,300,203,66.19,36.26,0,629
1700000001.900000,1,300,213,66.20,37.18,0,629
1700000001.950000,1,300,210,66.21,73.88,1,711
1700000002.000000,1,300,202,66.23,33.60,0,711
1700000002.050000,1,300,201,66.26,34.05,0,711
1700000002.100000,1,300,199,66.28,70.65,1,811
1700000002.150000,1,300,205,66.32,36.52,0,811
1700000002.200000,1,300,198,66.36,35.27,0,811
1700000002.250000,1,300,200,66.43,75.83,1,882
1700000002.300000,1,300,190,66.46,37.59,0,882
1700000002.350000,1,300,196,66.52,36.77,0,882
1700000002.400000,1,300,198,66.62,78.60,1,962
1700000002.450000,1,300,199,66.70,38.32,0,962
1700000002.500000,1,300,191,66.80,35.01,0,962
1700000002.550000,1,300,207,66.92,82.19,1,1027
1700000002.600000,1,300,202,67.05,36.86,0,1027
1700000002.650000,1,300,195,67.18,38.28,0,1027
1700000002.700000,1,300,192,67.35,88.65,1,1099
1700000002.750000,1,300,205,67.52,36.68,0,1099
1700000002.800000,1,300,204,67.69,38.02,0,1099
1700000002.850000,1,300,197,67.90,152.01,1,1194
1700000002.900000,1,300,202,68.12,36.63,0,1194
1700000002.950000,1,300,210,68.37,36.93,0,1194
1700000003.000000,1,300,197,68.60,95.40,1,1294
1700000003.050000,1,300,205,68.88,36.43,0,1294
1700000003.100000,1,300,194,69.16,37.14,0,1294
1700000003.150000,1,300,208,69.45,129.33,1,1395
1700000003.200000,1,300,200,69.75,37.21,0,1395
1700000003.250000,1,300,186,70.02,36.89,0,1395
1700000003.300000,1,300,177,70.29,126.78,1,1491
1700000003.350000,1,300,175,70.57,32.95,0,1491
1700000003.400000,1,300,173,70.87,38.61,0,1491
1700000003.450000,1,300,178,71.20,121.25,1,1605
1700000003.500000,1,300,167,71.55,31.58,0,1605
1700000003.550000,1,300,163,71.70,36.63,0,1605
1700000003.600000,1,300,165,71.66,130.42,1,1702
1700000003.650000,1,300,156,71.61,37.70,0,1702
1700000003.700000,1,300,163,71.59,36.34,0,1702
1700000003.750000,1,300,156,71.55,131.56,1,1811
1700000003.800000,1,300,168,71.56,36.74,0,1811
1700000003.850000,1,300,140,71.58,39.43,0,1811
1700000003.900000,1,300,140,71.61,130.04,1,1911
1700000003.950000,1,300,140,71.72,37.15,0,1911
1700000004.000000,1,300,136,71.97,37.56,0,1911
1700000004.050000,1,300,137,72.54,148.63,1,2009
1700000004.100000,1,300,146,73.31,32.01,0,2009
1700000004.150000,1,300,134,74.16,31.67,0,2009
1700000004.200000,1,300,127,75.14,152.92,1,2108
1700000004.250000,1,300,126,76.24,33.14,0,2108
1700000004.300000,1,300,127,77.50,35.43,0,2108
1700000004.350000,1,300,103,78.90,158.95,1,2193
1700000004.400000,1,300,110,80.38,36.03,0,2193
1700000004.450000,1,300,86,81.96,36.55,0,2193
1700000004.500000,1,300,104,83.66,159.29,1,2283
1700000004.550000,1,300,75,85.53,36.27,0,2283
1700000004.600000,1,300,83,87.58,36.17,0,2283
1700000004.650000,1,300,83,89.85,171.32,1,2356
1700000004.700000,1,300,55,92.13,32.21,0,2356
1700000004.750000,1,300,71,92.45,34.99,0,2356
1700000004.800000,1,300,32,91.40,153.64,1,2390
1700000004.850000,1,247,21,89.79,32.78,0,2390
1700000004.900000,1,300,25,87.90,33.09,0,2390
1700000004.950000,1,186,26,86.02,176.56,1,2400
1700000005.000000,1,300,35,83.97,33.02,0,2400
1700000005.050000,1,300,38,81.93,37.53,0,2400
1700000005.100000,1,131,14,80.21,169.13,1,2393
1700000005.150000,1,287,24,79.51,34.26,0,2393
1700000005.200000,1,300,76,80.16,35.52,0,2393
1700000005.250000,1,300,213,80.87,109.88,1,2350
1700000005.300000,1,300,259,81.59,32.64,0,2350
1700000005.350000,1,300,276,82.30,32.63,0,2350
1700000005.400000,1,300,277,83.00,128.28,1,2372
1700000005.450000,1,300,284,83.69,31.84,0,2372
1700000005.500000,1,300,286,84.34,31.94,0,2372
1700000005.550000,1,300,289,84.96,112.29,1,2345
1700000005.600000,1,300,293,85.55,34.22,0,2345
1700000005.650000,1,300,288,86.12,31.49,0,2345
1700000005.700000,1,300,286,86.66,113.23,1,2315
1700000005.750000,1,300,287,87.17,31.53,0,2315
1700000005.800000,1,300,289,87.66,32.21,0,2315
1700000005.850000,1,300,287,88.11,98.78,1,2278
1700000005.900000,1,300,288,88.53,33.03,0,2278
1700000005.950000,1,300,291,88.91,30.74,0,2278
1700000006.000000,1,300,286,89.26,99.54,1,2259
1700000006.050000,1,300,293,89.58,29.50,0,2259
1700000006.100000,1,300,286,89.86,31.23,0,2259
1700000006.150000,1,300,286,90.12,98.08,1,2222
1700000006.200000,1,300,48,90.34,38.56,0,2222
1700000006.250000,1,300,7,90.52,34.02,0,2222
1700000006.300000,1,300,296,90.68,99.13,1,2200
1700000006.350000,1,161,34,87.01,97.20,1,2130
1700000006.400000,1,184,0,64.33,28.85,0,2130
1700000006.450000,1,132,124,90.99,27.94,0,2130
1700000006.500000,1,300,270,91.04,116.19,1,2400
1700000006.550000,1,300,278,91.07,33.33,0,2400
1700000006.600000,1,300,289,91.07,33.33,0,2400
1700000006.650000,1,300,282,91.05,104.56,1,2425
1700000006.700000,1,300,287,91.02,32.56,0,2425
1700000006.750000,1,300,287,90.97,28.97,0,2425
1700000006.800000,1,300,288,90.90,103.38,1,2431
1700000006.850000,1,300,5,90.82,33.89,0,2431
1700000006.900000,1,300,137,90.73,34.08,0,2431
1700000006.950000,1,284,0,63.11,150.60,1,2357
1700000007.000000,1,74,0,76.18,198.88,1,2270
1700000007.050000,1,78,0,83.68,30.15,0,2270
1700000007.100000,1,86,5,93.44,27.85,0,2270
1700000007.150000,1,126,114,90.26,141.10,1,2383
1700000007.200000,1,300,277,90.16,30.89,0,2383
1700000007.250000,1,300,273,90.05,31.23,0,2383
1700000007.300000,1,300,286,89.92,103.58,1,2494
1700000007.350000,1,300,273,89.79,32.07,0,2494
1700000007.400000,1,300,276,89.62,33.16,0,2494
1700000007.450000,1,300,280,89.46,155.52,1,2453
1700000007.500000,1,300,282,89.31,30.42,0,2453
1700000007.550000,1,300,276,89.17,30.79,0,2453
1700000007.600000,1,300,272,89.06,103.31,1,2410
1700000007.650000,1,300,272,88.99,34.70,0,2410
1700000007.700000,1,300,266,88.93,31.01,0,2410
1700000007.750000,1,300,265,88.90,139.80,1,2360
1700000007.800000,1,300,263,88.87,34.68,0,2360
1700000007.850000,1,300,253,88.86,32.73,0,2360
1700000007.900000,1,300,235,88.83,107.50,1,2317
1700000007.950000,1,300,244,88.79,33.58,0,2317
1700000008.000000,1,300,233,88.76,32.99,0,2317
1700000008.050000,1,300,229,88.73,108.64,1,2263
1700000008.100000,1,300,214,88.72,35.42,0,2263
1700000008.150000,1,300,216,88.74,30.45,0,2263
1700000008.200000,1,300,199,88.78,166.07,1,2240
1700000008.250000,1,300,190,88.84,30.43,0,2240
1700000008.300000,1,300,195,88.92,36.56,0,2240
1700000008.350000,1,300,198,89.02,110.73,1,2210
1700000008.400000,1,300,201,89.11,32.67,0,2210
1700000008.450000,1,300,188,89.19,33.08,0,2210
1700000008.500000,1,300,186,89.24,162.45,1,2196
1700000008.550000,1,300,175,89.28,33.26,0,2196
1700000008.600000,1,300,179,89.30,36.59,0,2196
1700000008.650000,1,300,175,89.36,163.06,1,2179
1700000008.700000,1,300,175,89.43,31.46,0,2179
1700000008.750000,1,277,160,89.55,32.48,0,2179
1700000008.800000,1,263,144,89.83,145.00,1,2139
1700000008.850000,1,260,139,90.27,30.94,0,2139
1700000008.900000,1,252,133,90.83,31.83,0,2139
1700000008.950000,1,247,128,91.40,152.84,1,2109
1700000009.000000,1,242,120,91.93,29.46,0,2109
1700000009.050000,1,241,108,92.50,31.09,0,2109
1700000009.100000,1,235,90,93.03,146.03,1,2115
1700000009.150000,1,235,76,93.56,30.25,0,2115
1700000009.200000,1,237,70,94.01,29.76,0,2115
1700000009.250000,1,233,63,94.44,170.60,1,2137
1700000009.300000,1,300,47,94.98,33.59,0,2137
1700000009.350000,1,249,34,95.55,34.42,0,2137
1700000009.400000,1,300,28,96.13,174.88,1,2111
1700000009.450000,1,257,23,96.72,32.38,0,2111
1700000009.500000,1,300,23,97.13,35.38,0,2111
1700000009.550000,1,275,21,97.35,147.01,1,1973
1700000009.600000,1,231,19,97.45,34.43,0,1973
1700000009.650000,1,248,14,97.47,33.38,0,1973
1700000009.700000,1,256,20,97.41,156.13,1,1953
1700000009.750000,1,257,19,97.27,35.03,0,1953
1700000009.800000,1,300,19,97.07,36.36,0,1953
1700000009.850000,1,300,21,96.84,102.45,1,1932
1700000009.900000,1,241,21,96.57,34.83,0,1932
1700000009.950000,1,217,17,96.26,33.26,0,1932
1700000010.000000,1,190,18,95.91,161.69,1,1945
1700000010.050000,1,169,21,95.54,31.19,0,1945
1700000010.100000,1,154,23,95.14,30.10,0,1945
1700000010.150000,1,300,53,94.70,120.22,1,1920
1700000010.200000,1,213,63,94.23,33.10,0,1920
1700000010.250000,1,183,83,93.72,30.45,0,1920
1700000010.300000,1,198,129,93.21,140.85,1,1926
1700000010.350000,1,197,156,92.88,30.58,0,1926
1700000010.400000,1,198,168,92.78,29.51,0,1926
1700000010.450000,1,300,251,92.86,144.76,1,2035
1700000010.500000,1,300,251,92.99,34.02,0,2035
1700000010.550000,1,300,253,93.12,34.74,0,2035
1700000010.600000,1,300,258,93.26,148.38,1,2076
1700000010.650000,1,300,253,93.40,33.67,0,2076
1700000010.700000,1,300,253,93.56,33.63,0,2076
1700000010.750000,1,300,258,93.71,102.67,1,1886
1700000010.800000,1,300,260,93.88,30.98,0,1886
1700000010.850000,1,300,263,94.05,30.87,0,1886
1700000010.900000,1,300,259,94.22,148.29,1,1884
1700000010.950000,1,300,254,94.41,37.69,0,1884
1700000011.000000,1,300,254,94.59,33.09,0,1884
1700000011.050000,1,300,252,94.77,103.24,1,1900
1700000011.100000,1,300,253,94.94,33.85,0,1900
1700000011.150000,1,300,253,95.11,31.78,0,1900
1700000011.200000,1,300,257,95.26,132.94,1,1996
1700000011.250000,1,300,264,95.39,36.21,0,1996
1700000011.300000,1,300,263,95.51,31.29,0,1996
1700000011.350000,1,300,259,95.62,149.73,1,1962
1700000011.400000,1,300,260,95.74,34.89,0,1962
1700000011.450000,1,300,261,95.86,33.67,0,1962
1700000011.500000,1,296,256,95.98,138.71,1,1844
1700000011.550000,1,300,263,96.12,31.67,0,1844
1700000011.600000,1,300,267,96.24,32.92,0,1844
1700000011.650000,1,290,258,96.36,115.61,1,1860
1700000011.700000,1,286,249,96.44,32.05,0,1860
1700000011.750000,1,276,253,96.50,31.40,0,1860
1700000011.800000,1,284,254,96.55,135.30,1,1856
1700000011.850000,1,300,266,96.57,33.53,0,1856
1700000011.900000,1,300,265,96.57,31.57,0,1856
1700000011.950000,1,300,275,96.56,113.08,1,1889
1700000012.000000,1,285,256,96.53,33.15,0,1889
1700000012.050000,1,292,264,96.50,29.83,0,1889
1700000012.100000,1,300,278,96.48,117.59,1,1918
1700000012.150000,1,300,270,96.44,31.28,0,1918
1700000012.200000,1,293,266,96.40,31.93,0,1918
1700000012.250000,1,285,257,96.36,145.65,1,1911
1700000012.300000,1,300,266,96.32,32.13,0,1911
1700000012.350000,1,300,270,96.27,33.00,0,1911
1700000012.400000,1,289,265,96.18,146.46,1,1894
1700000012.450000,1,300,271,96.10,32.01,0,1894
1700000012.500000,1,300,275,96.00,30.15,0,1894
1700000012.550000,1,300,264,95.88,129.09,1,1895
1700000012.600000,1,300,274,95.74,33.34,0,1895
1700000012.650000,1,291,265,95.61,30.94,0,1895
1700000012.700000,1,300,277,95.48,173.61,1,1866
1700000012.750000,1,289,259,95.35,33.08,0,1866
1700000012.800000,1,286,260,95.20,32.05,0,1866
1700000012.850000,1,300,274,95.07,145.76,1,1866
1700000012.900000,1,300,272,94.98,33.67,0,1866
1700000012.950000,1,300,277,94.89,32.75,0,1866
1700000013.000000,1,300,275,94.81,153.19,1,1892
1700000013.050000,1,300,274,94.71,32.47,0,1892
1700000013.100000,1,300,280,94.61,31.11,0,1892
1700000013.150000,1,300,280,94.49,130.66,1,1890
1700000013.200000,1,300,274,94.37,30.58,0,1890
1700000013.250000,1,300,279,94.24,31.57,0,1890
1700000013.300000,1,300,276,94.12,138.74,1,1889
