t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,116.72,1.49,0,0,0/0/0
1700000000.050000,0,0,0,116.71,0.94,0,0,0/0/0
1700000000.100000,0,0,0,116.72,0.95,0,0,0/0/0
1700000000.150000,0,0,0,116.71,0.92,0,0,0/0/0
1700000000.200000,0,0,0,116.71,0.95,0,0,0/0/0
1700000000.250000,0,0,0,116.71,0.96,0,0,0/0/0
1700000000.300000,0,0,0,116.72,0.92,0,0,0/0/0
1700000000.350000,0,0,0,116.72,0.92,0,0,0/0/0
1700000000.400000,0,0,0,116.71,0.93,0,0,0/0/0
1700000000.450000,0,0,0,116.72,0.92,0,0,0/0/0
1700000000.500000,0,0,0,116.70,0.91,0,0,0/0/0
1700000000.550000,0,0,0,116.71,0.93,0,0,0/0/0
1700000000.600000,0,0,0,116.71,0.92,0,0,0/0/0
1700000000.650000,0,0,0,116.72,1.06,0,0,0/0/0
1700000000.700000,0,0,0,116.70,0.92,0,0,0/0/0
1700000000.750000,0,0,0,116.70,0.91,0,0,0/0/0
1700000000.800000,0,0,0,116.71,0.93,0,0,0/0/0
1700000000.850000,0,0,0,116.70,0.91,0,0,0/0/0
1700000000.900000,1,252,235,116.70,18.61,1,0,252/235/225
1700000000.950000,1,300,300,116.70,17.84,0,0,300/300/300
1700000001.000000,1,300,300,116.72,19.49,0,0,300/300/300
1700000001.050000,1,300,300,116.70,29.42,1,158,300/300/300
1700000001.100000,1,300,300,116.72,19.54,0,158,300/300/300
1700000001.150000,1,300,300,116.72,19.16,0,158,300/300/300
1700000001.200000,1,300,300,116.71,29.47,1,120,300/300/300
1700000001.250000,1,300,300,116.71,20.14,0,120,300/300/300
1700000001.300000,1,300,300,116.71,19.72,0,120,300/300/300
1700000001.350000,1,300,300,116.71,36.12,1,62,300/300/300
1700000001.400000,1,300,300,116.71,20.40,0,62,300/300/300
1700000001.450000,1,300,300,116.71,22.56,0,62,300/300/300
1700000001.500000,1,300,300,116.72,32.61,1,101,300/300/300
1700000001.550000,1,300,300,116.71,20.64,0,101,300/300/300
1700000001.600000,1,300,300,116.71,21.02,0,101,300/300/300
1700000001.650000,1,300,300,116.71,37.39,1,149,300/300/300
1700000001.700000,1,300,300,116.71,22.40,0,149,300/300/300
1700000001.750000,1,300,300,116.71,21.83,0,149,300/300/300
1700000001.800000,1,300,300,116.71,38.03,1,239,300/300/300
