t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,116.72,2.43,0,0,0/0/0
1700000000.050000,0,0,0,116.71,1.00,0,0,0/0/0
1700000000.100000,0,0,0,116.72,0.94,0,0,0/0/0
1700000000.150000,0,0,0,116.71,0.91,0,0,0/0/0
1700000000.200000,0,0,0,116.70,0.91,0,0,0/0/0
1700000000.250000,0,0,0,116.71,1.00,0,0,0/0/0
1700000000.300000,0,0,0,116.71,0.94,0,0,0/0/0
1700000000.350000,0,0,0,116.72,0.96,0,0,0/0/0
1700000000.400000,0,0,0,116.71,0.94,0,0,0/0/0
1700000000.450000,0,0,0,116.70,0.94,0,0,0/0/0
1700000000.500000,0,0,0,116.71,0.95,0,0,0/0/0
1700000000.550000,0,0,0,116.72,0.95,0,0,0/0/0
1700000000.600000,0,0,0,116.72,0.95,0,0,0/0/0
1700000000.650000,0,0,0,116.70,0.92,0,0,0/0/0
1700000000.700000,0,0,0,116.71,0.93,0,0,0/0/0
1700000000.750000,0,0,0,116.71,0.89,0,0,0/0/0
1700000000.800000,0,0,0,116.71,0.90,0,0,0/0/0
1700000000.850000,0,0,0,116.70,0.94,0,0,0/0/0
1700000000.900000,1,240,229,116.72,17.32,1,0,240/229/233
1700000000.950000,1,300,300,116.71,31.64,1,145,300/300/300
1700000001.000000,1,300,300,116.71,42.32,1,196,300/300/300
1700000001.050000,1,300,300,116.72,35.59,1,68,300/300/300
1700000001.100000,1,300,300,116.70,37.75,1,76,300/300/300
1700000001.150000,1,300,300,116.71,37.22,1,122,300/300/300
1700000001.200000,1,300,300,116.71,37.47,1,76,300/300/300
1700000001.250000,1,300,300,116.71,41.99,1,96,300/300/300
1700000001.300000,1,300,300,116.70,48.54,1,172,300/300/300
1700000001.350000,1,300,300,116.70,40.86,1,110,300/300/300
1700000001.400000,1,300,300,116.70,34.82,1,64,300/300/300
1700000001.450000,1,300,300,116.71,47.50,1,108,300/300/300
1700000001.500000,1,300,300,116.71,40.10,1,101,300/300/300
1700000001.550000,1,300,300,116.72,45.62,1,78,300/300/300
1700000001.600000,1,300,300,116.71,42.64,1,97,300/300/300
1700000001.650000,1,300,300,116.71,44.36,1,134,300/300/300
1700000001.700000,1,300,300,116.71,40.53,1,113,300/300/300
1700000001.750000,1,300,300,116.71,46.95,1,169,300/300/300
1700000001.800000,1,300,300,116.72,58.29,1,236,300/300/300
1700000001.850000,1,300,300,116.71,52.87,1,267,300/300/300
