t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,77.20,1.65,0,0,0/0/0
1700000000.050000,0,0,0,77.21,0.93,0,0,0/0/0
1700000000.100000,0,0,0,77.20,0.93,0,0,0/0/0
1700000000.150000,0,0,0,77.22,0.92,0,0,0/0/0
1700000000.200000,0,0,0,77.22,0.92,0,0,0/0/0
1700000000.250000,0,0,0,77.22,0.91,0,0,0/0/0
1700000000.300000,0,0,0,77.20,0.90,0,0,0/0/0
1700000000.350000,0,0,0,77.20,0.90,0,0,0/0/0
1700000000.400000,0,0,0,77.19,1.00,0,0,0/0/0
1700000000.450000,0,0,0,77.20,0.91,0,0,0/0/0
1700000000.500000,0,0,0,77.21,0.91,0,0,0/0/0
1700000000.550000,0,0,0,77.20,0.91,0,0,0/0/0
1700000000.600000,0,0,0,77.18,0.90,0,0,0/0/0
1700000000.650000,0,0,0,77.21,0.89,0,0,0/0/0
1700000000.700000,0,0,0,77.21,0.92,0,0,0/0/0
1700000000.750000,0,0,0,77.21,0.91,0,0,0/0/0
1700000000.800000,0,0,0,77.20,0.89,0,0,0/0/0
1700000000.850000,0,0,0,77.23,0.90,0,0,0/0/0
1700000000.900000,1,300,0,77.22,23.56,1,0,300/0/0
1700000000.950000,1,300,0,77.22,21.18,0,0,300/0/0
1700000001.000000,1,300,0,77.20,20.27,0,0,300/0/0
1700000001.050000,1,300,0,77.20,26.29,1,54,300/0/0
1700000001.100000,1,300,0,77.20,20.79,0,54,300/0/0
1700000001.150000,1,300,0,77.21,19.70,0,54,300/0/0
1700000001.200000,1,300,0,77.20,27.15,1,41,300/0/0
1700000001.250000,1,300,0,77.19,19.84,0,41,300/0/0
1700000001.300000,1,300,0,77.20,19.30,0,41,300/0/0
1700000001.350000,1,300,0,77.20,28.89,1,29,300/0/0
1700000001.400000,1,300,0,77.17,19.14,0,29,300/0/0
1700000001.450000,1,300,0,77.20,19.84,0,29,300/0/0
1700000001.500000,1,300,0,77.22,28.71,1,41,300/0/0
