t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,52.63,1.50,0,0,0/0/0
1700000000.050000,0,0,0,52.62,0.92,0,0,0/0/0
1700000000.100000,0,0,0,52.62,0.94,0,0,0/0/0
1700000000.150000,0,0,0,52.62,0.92,0,0,0/0/0
1700000000.200000,0,0,0,52.62,0.92,0,0,0/0/0
1700000000.250000,0,0,0,52.62,0.91,0,0,0/0/0
1700000000.300000,0,0,0,52.62,0.91,0,0,0/0/0
1700000000.350000,0,0,0,52.62,0.90,0,0,0/0/0
1700000000.400000,0,0,0,52.62,0.92,0,0,0/0/0
1700000000.450000,0,0,0,52.62,0.92,0,0,0/0/0
1700000000.500000,0,0,0,52.63,1.00,0,0,0/0/0
1700000000.550000,0,0,0,52.62,0.89,0,0,0/0/0
1700000000.600000,0,0,0,52.62,0.92,0,0,0/0/0
1700000000.650000,0,0,0,52.63,0.90,0,0,0/0/0
1700000000.700000,0,0,0,52.62,0.91,0,0,0/0/0
1700000000.750000,0,0,0,52.63,0.91,0,0,0/0/0
1700000000.800000,0,0,0,52.63,0.92,0,0,0/0/0
1700000000.850000,0,0,0,52.63,0.92,0,0,0/0/0
1700000000.900000,1,225,235,52.63,18.51,1,0,225/235/231
1700000000.950000,1,300,300,52.61,17.99,0,0,300/300/300
1700000001.000000,1,300,300,52.62,20.56,0,0,300/300/300
1700000001.050000,1,300,300,52.62,37.09,1,174,300/300/300
1700000001.100000,1,300,300,52.62,20.62,0,174,300/300/300
1700000001.150000,1,300,300,52.62,21.02,0,174,300/300/300
1700000001.200000,1,300,300,52.62,58.36,1,405,300/300/300
1700000001.250000,1,300,300,52.62,20.97,0,405,300/300/300
1700000001.300000,1,300,300,52.62,20.30,0,405,300/300/300
1700000001.350000,1,300,300,52.63,42.32,1,213,300/300/300
1700000001.400000,1,300,300,52.62,21.82,0,213,300/300/300
1700000001.450000,1,300,300,52.62,20.20,0,213,300/300/300
1700000001.500000,1,300,300,52.62,39.17,1,129,300/300/300
1700000001.550000,1,300,300,52.62,20.46,0,129,300/300/300
1700000001.600000,1,300,300,52.62,19.90,0,129,300/300/300
1700000001.650000,1,300,300,52.63,49.61,1,220,300/300/300
1700000001.700000,1,300,300,52.62,20.96,0,220,300/300/300
1700000001.750000,1,300,300,52.62,20.25,0,220,300/300/300
1700000001.800000,1,300,300,52.64,60.23,1,420,300/300/300
1700000001.850000,1,300,300,52.64,21.04,0,420,300/300/300
1700000001.900000,1,300,300,52.65,19.12,0,420,300/300/300
1700000001.950000,1,300,300,52.65,58.65,1,622,300/300/300
1700000002.000000,1,300,300,52.66,20.25,0,622,300/300/300
1700000002.050000,1,300,300,52.67,19.93,0,622,300/300/300
1700000002.100000,1,300,300,52.69,60.79,1,706,300/300/300
1700000002.150000,1,300,300,52.72,19.76,0,706,300/300/300
1700000002.200000,1,300,300,52.74,20.61,0,706,300/300/300
1700000002.250000,1,300,300,52.77,65.83,1,734,300/300/300
1700000002.300000,1,300,300,52.80,21.25,0,734,300/300/300
1700000002.350000,1,300,300,52.84,20.56,0,734,300/300/300
