t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.04,2.62,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.05,1.92,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.04,1.85,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.04,1.91,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.04,1.83,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.05,1.80,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.04,1.82,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,115.06,1.82,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,115.04,1.83,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,115.05,1.86,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,115.03,1.79,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,115.04,1.78,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,115.04,1.75,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,115.04,1.76,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,115.04,1.77,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,115.04,1.77,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,115.05,1.77,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,115.05,39.78,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,115.04,39.60,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,115.06,38.43,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,115.04,54.64,1,199,300/300/300/300/300/300
1700000001.100000,1,300,300,115.05,39.31,0,199,300/300/300/300/300/300
1700000001.150000,1,300,300,115.05,38.85,0,199,300/300/300/300/300/300
1700000001.200000,1,300,300,115.04,63.94,1,367,300/300/300/300/300/300
1700000001.250000,1,300,300,115.04,39.01,0,367,300/300/300/300/300/300
1700000001.300000,1,300,300,115.05,39.51,0,367,300/300/300/300/300/300
1700000001.350000,1,300,300,115.04,73.15,1,382,300/300/300/300/300/300
1700000001.400000,1,300,300,115.05,36.72,0,382,300/300/300/300/300/300
1700000001.450000,1,300,300,115.04,25.13,0,382,300/300/300/300/300/300
1700000001.500000,1,300,300,115.05,70.97,1,315,300/300/300/300/300/300
1700000001.550000,1,300,300,115.05,32.41,0,315,300/300/300/300/300/300
1700000001.600000,1,300,300,115.04,36.21,0,315,300/300/300/300/300/300
1700000001.650000,1,300,300,115.04,77.11,1,514,300/300/300/300/300/300
1700000001.700000,1,300,300,115.04,32.33,0,514,300/300/300/300/300/300
1700000001.750000,1,300,300,115.02,35.06,0,514,300/300/300/300/300/300
1700000001.800000,1,300,300,115.01,105.66,1,679,300/300/300/300/300/300
1700000001.850000,1,300,300,115.02,34.10,0,679,300/300/300/300/300/300
1700000001.900000,1,300,300,115.02,39.77,0,679,300/300/300/300/300/300
1700000001.950000,1,300,300,114.99,90.39,1,724,300/300/300/300/300/300
1700000002.000000,1,300,300,114.96,37.19,0,724,300/300/300/300/300/300
1700000002.050000,1,300,300,114.94,32.15,0,724,300/300/300/300/300/300
