t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.04,2.63,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.05,1.88,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.04,1.80,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.04,2.06,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.04,1.82,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.05,1.86,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.04,1.80,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,115.06,1.79,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,115.04,1.83,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,115.05,1.89,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,115.03,1.76,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,115.04,1.77,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,115.04,1.77,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,115.04,1.80,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,115.04,1.76,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,115.04,1.90,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,115.05,1.99,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,115.05,29.68,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,115.04,38.04,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,115.06,37.03,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,115.04,55.58,1,184,300/300/300/300/300/300
1700000001.100000,1,300,300,115.05,37.69,0,184,300/300/300/300/300/300
1700000001.150000,1,300,300,115.05,37.05,0,184,300/300/300/300/300/300
1700000001.200000,1,300,300,115.04,62.92,1,263,300/300/300/300/300/300
