t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.05,2.58,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.04,1.87,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.05,1.81,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.04,1.99,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.05,1.88,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.04,1.85,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.05,1.86,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,115.04,1.74,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,115.04,1.77,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,115.05,1.82,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,115.04,1.86,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,115.05,1.77,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,115.04,1.75,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,115.05,1.74,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,115.06,1.81,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,115.04,1.74,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,115.04,1.79,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,115.04,28.11,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,115.04,38.07,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,115.05,36.15,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,115.04,48.79,1,199,300/300/300/300/300/300
1700000001.100000,1,300,300,115.05,36.80,0,199,300/300/300/300/300/300
1700000001.150000,1,300,300,115.04,35.80,0,199,300/300/300/300/300/300
1700000001.200000,1,300,300,115.04,60.24,1,300,300/300/300/300/300/300
1700000001.250000,1,300,300,115.04,36.38,0,300,300/300/300/300/300/300
1700000001.300000,1,300,300,115.05,36.82,0,300,300/300/300/300/300/300
1700000001.350000,1,300,300,115.04,66.81,1,325,300/300/300/300/300/300
1700000001.400000,1,300,300,115.05,37.21,0,325,300/300/300/300/300/300
