t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.05,2.68,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.04,1.87,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.04,1.88,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.04,1.87,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.05,1.90,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,115.04,1.90,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,115.04,1.79,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,115.05,1.93,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,115.04,1.90,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,115.05,1.80,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,115.04,1.94,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,115.05,1.89,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,115.06,1.82,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,115.05,1.78,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,115.04,1.92,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,115.04,1.80,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,115.04,28.69,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,115.04,38.06,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,115.05,36.52,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,115.04,50.20,1,199,300/300/300/300/300/300
1700000001.100000,1,300,300,115.05,38.36,0,199,300/300/300/300/300/300
1700000001.150000,1,300,300,115.04,36.12,0,199,300/300/300/300/300/300
1700000001.200000,1,300,300,115.04,61.78,1,300,300/300/300/300/300/300
1700000001.250000,1,300,300,115.04,36.36,0,300,300/300/300/300/300/300
1700000001.300000,1,300,300,115.05,39.49,0,300,300/300/300/300/300/300
1700000001.350000,1,300,300,115.04,66.94,1,325,300/300/300/300/300/300
1700000001.400000,1,300,300,115.05,37.23,0,325,300/300/300/300/300/300
1700000001.450000,1,300,300,115.04,36.58,0,325,300/300/300/300/300/300
1700000001.500000,1,300,300,115.05,74.70,1,384,300/300/300/300/300/300
1700000001.550000,1,300,300,115.05,37.35,0,384,300/300/300/300/300/300
1700000001.600000,1,300,300,115.04,36.50,0,384,300/300/300/300/300/300
1700000001.650000,1,300,300,115.04,94.25,1,494,300/300/300/300/300/300
1700000001.700000,1,300,300,115.04,35.03,0,494,300/300/300/300/300/300
1700000001.750000,1,300,300,115.03,34.29,0,494,300/300/300/300/300/300
1700000001.800000,1,300,300,115.01,92.23,1,641,300/300/300/300/300/300
1700000001.850000,1,300,300,115.02,31.77,0,641,300/300/300/300/300/300
1700000001.900000,1,300,300,115.01,34.19,0,641,300/300/300/300/300/300
1700000001.950000,1,300,300,115.00,111.87,1,698,300/300/300/300/300/300
1700000002.000000,1,300,300,114.97,36.80,0,698,300/300/300/300/300/300
1700000002.050000,1,300,300,114.94,35.47,0,698,300/300/300/300/300/300
1700000002.100000,1,300,300,114.92,132.93,1,737,300/300/300/300/300/300
1700000002.150000,1,300,300,114.87,40.94,0,737,300/300/300/300/300/300
1700000002.200000,1,300,300,114.82,41.64,0,737,300/300/300/300/300/300
1700000002.250000,1,300,300,114.77,130.55,1,770,300/300/300/300/300/300
1700000002.300000,1,300,300,114.71,47.39,0,770,300/300/300/300/300/300
1700000002.350000,1,300,300,114.60,41.01,0,770,300/300/300/300/300/300
1700000002.400000,1,300,300,114.51,138.13,1,810,300/300/300/300/300/300
1700000002.450000,1,300,300,114.40,43.77,0,810,300/300/300/300/300/300
1700000002.500000,1,300,300,114.30,43.45,0,810,300/300/300/300/300/300
1700000002.550000,1,300,300,114.15,145.05,1,853,300/300/300/300/300/300
1700000002.600000,1,300,300,113.96,48.42,0,853,300/300/300/300/300/300
1700000002.650000,1,300,300,113.80,49.58,0,853,300/300/300/300/300/300
1700000002.700000,1,300,300,113.55,154.05,1,924,300/300/300/300/300/300
1700000002.750000,1,300,300,113.30,55.81,0,924,300/300/300/300/300/300
1700000002.800000,1,300,300,113.03,50.62,0,924,300/300/300/300/300/300
1700000002.850000,1,300,300,112.70,219.30,1,1013,300/300/300/300/300/300
1700000002.900000,1,300,300,112.41,52.63,0,1013,300/300/300/300/300/300
1700000002.950000,1,300,300,112.11,51.90,0,1013,300/300/300/300/300/300
1700000003.000000,1,300,300,111.64,236.69,1,1098,300/300/300/300/300/300
1700000003.050000,1,300,300,110.87,54.77,0,1098,300/300/300/300/300/300
1700000003.100000,1,300,300,109.98,53.84,0,1098,300/300/300/300/300/300
1700000003.150000,1,300,300,108.77,187.73,1,1190,300/300/300/300/300/300
1700000003.200000,1,300,300,106.79,52.29,0,1190,300/300/300/300/300/300
1700000003.250000,1,300,300,102.47,49.75,0,1190,300/300/300/300/300/300
1700000003.300000,1,285,300,96.23,198.96,1,1274,285/300/300/300/300/300
1700000003.350000,1,300,300,118.82,64.71,0,1274,300/300/300/300/300/300
1700000003.400000,1,300,300,118.85,48.69,0,1274,300/300/300/300/300/300
1700000003.450000,1,300,300,118.84,204.72,1,1357,300/300/300/300/300/300
1700000003.500000,1,300,300,118.90,50.75,0,1357,300/300/300/300/300/300
1700000003.550000,1,300,300,118.93,52.02,0,1357,300/300/300/300/300/300
1700000003.600000,1,300,300,118.99,224.50,1,1549,300/300/300/300/300/300
1700000003.650000,1,300,300,119.01,51.63,0,1549,300/300/300/300/300/300
1700000003.700000,1,300,300,107.38,63.91,0,1549,300/300/300/300/300/300
1700000003.750000,1,300,300,110.41,223.98,1,1653,300/300/300/300/300/300
1700000003.800000,1,300,300,112.31,55.53,0,1653,300/300/300/300/300/300
1700000003.850000,1,300,300,114.08,67.69,0,1653,300/300/300/300/300/300
1700000003.900000,1,300,300,114.85,236.45,1,1815,300/300/300/300/300/300
1700000003.950000,1,300,300,115.43,53.76,0,1815,300/300/300/300/300/300
1700000004.000000,1,300,300,115.97,52.30,0,1815,300/300/300/300/300/300
1700000004.050000,1,300,300,116.43,239.53,1,2003,300/300/300/300/300/300
1700000004.100000,1,300,300,116.79,51.43,0,2003,300/300/300/300/300/300
1700000004.150000,1,300,300,117.05,49.91,0,2003,300/300/300/300/300/300
1700000004.200000,1,300,300,117.36,252.71,1,2196,300/300/300/300/300/300
1700000004.250000,1,300,300,117.64,52.69,0,2196,300/300/300/300/300/300
1700000004.300000,1,300,300,117.89,55.87,0,2196,300/300/300/300/300/300
1700000004.350000,1,300,300,118.07,414.93,1,2330,300/300/300/300/300/300
1700000004.400000,1,300,300,118.24,52.12,0,2330,300/300/300/300/300/300
1700000004.450000,1,300,300,118.41,56.43,0,2330,300/300/300/300/300/300
1700000004.500000,1,300,300,118.59,265.86,1,2420,300/300/300/300/300/300
