t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.05,2.54,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.04,2.00,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.05,1.97,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.04,1.83,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.05,1.81,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.04,1.79,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.05,1.84,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,115.04,1.79,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,115.04,1.92,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,115.05,1.87,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,115.04,1.82,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,115.04,1.78,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,115.05,1.77,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,115.06,1.86,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,115.05,1.90,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,115.04,1.86,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,115.04,1.80,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,115.04,28.75,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,115.04,37.24,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,115.05,36.11,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,115.04,48.80,1,199,300/300/300/300/300/300
1700000001.100000,1,300,300,115.05,37.33,0,199,300/300/300/300/300/300
1700000001.150000,1,300,300,115.04,36.39,0,199,300/300/300/300/300/300
1700000001.200000,1,300,300,115.04,61.64,1,300,300/300/300/300/300/300
1700000001.250000,1,300,300,115.04,36.49,0,300,300/300/300/300/300/300
1700000001.300000,1,300,300,115.05,37.19,0,300,300/300/300/300/300/300
1700000001.350000,1,300,300,115.04,68.28,1,325,300/300/300/300/300/300
1700000001.400000,1,300,300,115.05,37.13,0,325,300/300/300/300/300/300
1700000001.450000,1,300,300,115.04,37.85,0,325,300/300/300/300/300/300
1700000001.500000,1,300,300,115.05,73.79,1,384,300/300/300/300/300/300
1700000001.550000,1,300,300,115.05,37.56,0,384,300/300/300/300/300/300
1700000001.600000,1,300,300,115.04,36.74,0,384,300/300/300/300/300/300
1700000001.650000,1,300,300,115.04,92.02,1,494,300/300/300/300/300/300
1700000001.700000,1,300,300,115.04,36.24,0,494,300/300/300/300/300/300
1700000001.750000,1,300,300,115.03,33.30,0,494,300/300/300/300/300/300
1700000001.800000,1,300,300,115.01,90.19,1,641,300/300/300/300/300/300
1700000001.850000,1,300,300,115.02,31.08,0,641,300/300/300/300/300/300
1700000001.900000,1,300,300,115.01,33.98,0,641,300/300/300/300/300/300
1700000001.950000,1,300,300,115.00,107.60,1,698,300/300/300/300/300/300
1700000002.000000,1,300,300,114.97,36.85,0,698,300/300/300/300/300/300
1700000002.050000,1,300,300,114.94,35.14,0,698,300/300/300/300/300/300
1700000002.100000,1,300,300,114.92,131.02,1,737,300/300/300/300/300/300
1700000002.150000,1,300,300,114.87,41.58,0,737,300/300/300/300/300/300
1700000002.200000,1,300,300,114.82,42.34,0,737,300/300/300/300/300/300
1700000002.250000,1,300,300,114.77,125.93,1,770,300/300/300/300/300/300
1700000002.300000,1,300,300,114.71,44.95,0,770,300/300/300/300/300/300
1700000002.350000,1,300,300,114.60,41.79,0,770,300/300/300/300/300/300
1700000002.400000,1,300,300,114.51,135.79,1,810,300/300/300/300/300/300
1700000002.450000,1,300,300,114.40,43.51,0,810,300/300/300/300/300/300
1700000002.500000,1,300,300,114.30,43.93,0,810,300/300/300/300/300/300
1700000002.550000,1,300,300,114.15,136.38,1,853,300/300/300/300/300/300
1700000002.600000,1,300,300,113.96,47.41,0,853,300/300/300/300/300/300
1700000002.650000,1,300,300,113.80,49.47,0,853,300/300/300/300/300/300
1700000002.700000,1,300,300,113.55,152.66,1,924,300/300/300/300/300/300
1700000002.750000,1,300,300,113.30,49.57,0,924,300/300/300/300/300/300
1700000002.800000,1,300,300,113.03,50.17,0,924,300/300/300/300/300/300
1700000002.850000,1,300,300,112.70,219.37,1,1016,300/300/300/300/300/300
1700000002.900000,1,300,300,112.41,50.44,0,1016,300/300/300/300/300/300
1700000002.950000,1,300,300,112.11,50.51,0,1016,300/300/300/300/300/300
1700000003.000000,1,300,300,111.64,173.10,1,1098,300/300/300/300/300/300
1700000003.050000,1,300,300,110.87,54.03,0,1098,300/300/300/300/300/300
1700000003.100000,1,300,300,109.98,52.86,0,1098,300/300/300/300/300/300
1700000003.150000,1,300,300,108.77,212.72,1,1183,300/300/300/300/300/300
1700000003.200000,1,300,300,106.79,52.89,0,1183,300/300/300/300/300/300
1700000003.250000,1,300,300,102.47,50.13,0,1183,300/300/300/300/300/300
1700000003.300000,1,285,300,96.23,192.00,1,1265,285/300/300/300/300/300
1700000003.350000,1,300,300,118.82,59.98,0,1265,300/300/300/300/300/300
1700000003.400000,1,300,300,118.85,49.48,0,1265,300/300/300/300/300/300
1700000003.450000,1,300,300,118.84,200.63,1,1342,300/300/300/300/300/300
1700000003.500000,1,300,300,118.90,54.93,0,1342,300/300/300/300/300/300
1700000003.550000,1,300,300,118.93,53.45,0,1342,300/300/300/300/300/300
1700000003.600000,1,300,300,118.99,242.69,1,1536,300/300/300/300/300/300
1700000003.650000,1,300,300,119.01,52.75,0,1536,300/300/300/300/300/300
1700000003.700000,1,300,300,107.38,61.75,0,1536,300/300/300/300/300/300
1700000003.750000,1,300,300,110.41,226.12,1,1644,300/300/300/300/300/300
1700000003.800000,1,300,300,112.31,52.28,0,1644,300/300/300/300/300/300
1700000003.850000,1,300,300,114.08,66.46,0,1644,300/300/300/300/300/300
1700000003.900000,1,300,300,114.85,225.98,1,1805,300/300/300/300/300/300
1700000003.950000,1,300,300,115.43,56.04,0,1805,300/300/300/300/300/300
1700000004.000000,1,300,300,115.97,56.73,0,1805,300/300/300/300/300/300
1700000004.050000,1,300,300,116.43,231.47,1,1976,300/300/300/300/300/300
1700000004.100000,1,300,300,116.79,53.68,0,1976,300/300/300/300/300/300
1700000004.150000,1,300,300,117.05,53.44,0,1976,300/300/300/300/300/300
1700000004.200000,1,300,300,117.36,245.66,1,2171,300/300/300/300/300/300
1700000004.250000,1,300,300,117.64,50.41,0,2171,300/300/300/300/300/300
1700000004.300000,1,300,300,117.89,55.72,0,2171,300/300/300/300/300/300
1700000004.350000,1,300,300,118.07,264.57,1,2338,300/300/300/300/300/300
1700000004.400000,1,300,300,118.24,54.63,0,2338,300/300/300/300/300/300
1700000004.450000,1,300,300,118.41,55.83,0,2338,300/300/300/300/300/300
1700000004.500000,1,300,300,118.59,509.65,1,2420,300/300/300/300/300/300
1700000004.550000,1,300,300,118.67,57.07,0,2420,300/300/300/300/300/300
1700000004.600000,1,300,300,118.76,53.78,0,2420,300/300/300/300/300/300
1700000004.650000,1,300,300,118.87,352.62,1,2522,300/300/300/300/300/300
1700000004.700000,1,300,300,118.90,53.74,0,2522,300/300/300/300/300/300
1700000004.750000,1,300,300,118.97,53.29,0,2522,300/300/300/300/300/300
1700000004.800000,1,300,300,119.02,371.24,1,2596,300/300/300/300/300/300
1700000004.850000,1,300,300,119.04,51.23,0,2596,300/300/300/300/300/300
1700000004.900000,1,300,300,119.08,52.95,0,2596,300/300/300/300/300/300
1700000004.950000,1,300,300,119.18,389.70,1,2680,300/300/300/300/300/300
1700000005.000000,1,300,300,119.22,52.16,0,2680,300/300/300/300/300/300
1700000005.050000,1,300,300,119.27,52.28,0,2680,300/300/300/300/300/300
1700000005.100000,1,300,300,119.35,381.31,1,2658,300/300/300/300/300/300
1700000005.150000,1,300,300,119.43,56.87,0,2658,300/300/300/300/300/300
1700000005.200000,1,300,300,119.41,55.70,0,2658,300/300/300/300/300/300
1700000005.250000,1,300,300,119.39,285.25,1,2611,300/300/300/300/300/300
1700000005.300000,1,300,300,119.32,54.24,0,2611,300/300/300/300/300/300
1700000005.350000,1,300,300,119.15,55.19,0,2611,300/300/300/300/300/300
1700000005.400000,1,300,300,118.99,311.02,1,2477,300/300/300/300/300/300
1700000005.450000,1,300,300,118.81,53.84,0,2477,300/300/300/300/300/300
1700000005.500000,1,300,300,118.64,54.56,0,2477,300/300/300/300/300/300
1700000005.550000,1,300,300,118.55,272.75,1,2504,300/300/300/300/300/300
1700000005.600000,1,300,300,118.39,56.09,0,2504,300/300/300/300/300/300
1700000005.650000,1,300,300,118.28,55.73,0,2504,300/300/300/300/300/300
1700000005.700000,1,300,300,118.05,162.23,1,2421,300/300/300/300/300/300
1700000005.750000,1,300,300,117.80,56.42,0,2421,300/300/300/300/300/300
1700000005.800000,1,300,300,117.46,53.12,0,2421,300/300/300/300/300/300
1700000005.850000,1,300,300,117.22,279.79,1,2469,300/300/300/300/300/300
1700000005.900000,1,300,300,117.11,60.71,0,2469,300/300/300/300/300/300
1700000005.950000,1,300,300,116.89,54.87,0,2469,300/300/300/300/300/300
1700000006.000000,1,300,300,116.82,279.77,1,2517,300/300/300/300/300/300
1700000006.050000,1,300,300,116.81,51.21,0,2517,300/300/300/300/300/300
1700000006.100000,1,300,300,116.70,56.22,0,2517,300/300/300/300/300/300
1700000006.150000,1,300,300,116.50,186.99,1,2577,300/300/300/300/300/300
1700000006.200000,1,300,300,116.70,52.38,0,2577,300/300/300/300/300/300
1700000006.250000,1,300,300,116.81,51.42,0,2577,300/300/300/300/300/300
1700000006.300000,1,300,300,117.08,274.36,1,2648,300/300/300/300/300/300
1700000006.350000,1,300,300,117.18,53.57,0,2648,300/300/300/300/300/300
1700000006.400000,1,300,300,117.25,50.42,0,2648,300/300/300/300/300/300
1700000006.450000,1,300,300,117.43,277.21,1,2716,300/300/300/300/300/300
1700000006.500000,1,300,300,117.55,53.03,0,2716,300/300/300/300/300/300
1700000006.550000,1,300,300,117.58,52.33,0,2716,300/300/300/300/300/300
1700000006.600000,1,300,300,117.77,175.20,1,2781,300/300/300/300/300/300
1700000006.650000,1,300,300,117.94,56.50,0,2781,300/300/300/300/300/300
1700000006.700000,1,300,300,118.19,55.00,0,2781,300/300/300/300/300/300
1700000006.750000,1,300,300,118.26,182.01,1,2809,300/300/300/300/300/300
1700000006.800000,1,300,300,118.35,54.33,0,2809,300/300/300/300/300/300
1700000006.850000,1,300,300,118.50,53.83,0,2809,300/300/300/300/300/300
1700000006.900000,1,300,300,118.53,303.30,1,2852,300/300/300/300/300/300
1700000006.950000,1,300,300,118.65,52.45,0,2852,300/300/300/300/300/300
1700000007.000000,1,300,300,118.77,53.38,0,2852,300/300/300/300/300/300
1700000007.050000,1,300,300,118.97,370.72,1,2875,300/300/300/300/300/300
1700000007.100000,1,300,300,119.07,54.75,0,2875,300/300/300/300/300/300
