t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.05,2.61,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.04,1.94,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.04,1.89,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.04,1.79,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.05,1.79,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,115.04,1.80,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,115.04,1.87,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,115.05,1.83,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,115.04,1.97,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,115.05,1.73,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,115.04,1.77,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,115.05,1.84,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,115.06,1.88,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,115.05,1.82,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,115.04,1.79,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,115.04,1.80,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,115.04,29.08,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,115.04,38.51,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,115.05,36.26,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,115.04,50.07,1,199,300/300/300/300/300/300
1700000001.100000,1,300,300,115.05,37.49,0,199,300/300/300/300/300/300
1700000001.150000,1,300,300,115.04,35.98,0,199,300/300/300/300/300/300
1700000001.200000,1,300,300,115.04,58.72,1,290,300/300/300/300/300/300
1700000001.250000,1,300,300,115.04,37.05,0,290,300/300/300/300/300/300
1700000001.300000,1,300,300,115.05,36.98,0,290,300/300/300/300/300/300
1700000001.350000,1,300,300,115.04,64.03,1,281,300/300/300/300/300/300
1700000001.400000,1,300,300,115.05,33.11,0,281,300/300/300/300/300/300
1700000001.450000,1,300,300,115.04,36.91,0,281,300/300/300/300/300/300
1700000001.500000,1,300,300,115.05,80.97,1,412,300/300/300/300/300/300
1700000001.550000,1,300,300,115.05,37.79,0,412,300/300/300/300/300/300
1700000001.600000,1,300,300,115.04,38.60,0,412,300/300/300/300/300/300
1700000001.650000,1,300,300,115.04,77.08,1,507,300/300/300/300/300/300
1700000001.700000,1,300,300,115.04,35.03,0,507,300/300/300/300/300/300
1700000001.750000,1,300,300,115.03,33.34,0,507,300/300/300/300/300/300
1700000001.800000,1,300,300,115.01,79.56,1,345,300/300/300/300/300/300
1700000001.850000,1,300,300,115.02,33.75,0,345,300/300/300/300/300/300
1700000001.900000,1,300,300,115.01,30.93,0,345,300/300/300/300/300/300
1700000001.950000,1,300,300,115.00,71.74,1,421,300/300/300/300/300/300
1700000002.000000,1,300,300,114.97,38.70,0,421,300/300/300/300/300/300
1700000002.050000,1,300,300,114.94,39.94,0,421,300/300/300/300/300/300
