t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.31,2.63,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.25,1.86,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.18,1.80,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.14,1.91,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.10,1.84,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.04,1.77,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.01,1.80,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,114.99,1.78,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,114.98,1.78,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,114.96,1.82,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,114.96,1.82,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,114.97,1.75,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,114.95,1.79,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,114.96,1.89,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,114.93,1.78,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,114.93,1.79,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,114.91,1.77,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,114.88,1.80,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,114.86,29.88,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,114.83,39.95,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,114.79,39.00,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,114.75,53.04,1,193,300/300/300/300/300/300
1700000001.100000,1,300,300,114.65,40.26,0,193,300/300/300/300/300/300
1700000001.150000,1,300,300,114.57,42.28,0,193,300/300/300/300/300/300
1700000001.200000,1,300,300,114.49,63.11,1,289,300/300/300/300/300/300
1700000001.250000,1,300,300,114.37,41.86,0,289,300/300/300/300/300/300
1700000001.300000,1,300,300,114.26,40.93,0,289,300/300/300/300/300/300
1700000001.350000,1,300,300,114.15,70.54,1,290,300/300/300/300/300/300
1700000001.400000,1,300,300,114.03,41.73,0,290,300/300/300/300/300/300
1700000001.450000,1,300,300,113.93,40.98,0,290,300/300/300/300/300/300
1700000001.500000,1,300,300,113.83,77.74,1,319,300/300/300/300/300/300
1700000001.550000,1,300,300,113.74,40.37,0,319,300/300/300/300/300/300
1700000001.600000,1,300,300,113.69,40.29,0,319,300/300/300/300/300/300
1700000001.650000,1,300,300,113.62,83.80,1,423,300/300/300/300/300/300
1700000001.700000,1,300,300,113.58,39.52,0,423,300/300/300/300/300/300
1700000001.750000,1,300,300,113.56,39.28,0,423,300/300/300/300/300/300
1700000001.800000,1,300,300,113.55,86.98,1,477,300/300/300/300/300/300
1700000001.850000,1,300,300,113.58,37.63,0,477,300/300/300/300/300/300
1700000001.900000,1,300,300,113.62,39.81,0,477,300/300/300/300/300/300
1700000001.950000,1,300,300,113.67,103.33,1,509,300/300/300/300/300/300
1700000002.000000,1,300,300,113.72,41.00,0,509,300/300/300/300/300/300
1700000002.050000,1,300,300,113.81,41.27,0,509,300/300/300/300/300/300
1700000002.100000,1,300,300,113.90,100.96,1,542,300/300/300/300/300/300
1700000002.150000,1,300,300,113.98,43.99,0,542,300/300/300/300/300/300
1700000002.200000,1,300,300,114.07,44.44,0,542,300/300/300/300/300/300
1700000002.250000,1,300,300,114.16,107.31,1,595,300/300/300/300/300/300
1700000002.300000,1,300,300,114.23,45.44,0,595,300/300/300/300/300/300
1700000002.350000,1,300,300,114.25,45.69,0,595,300/300/300/300/300/300
1700000002.400000,1,300,300,114.30,118.62,1,662,300/300/300/300/300/300
1700000002.450000,1,300,300,114.30,44.15,0,662,300/300/300/300/300/300
1700000002.500000,1,300,300,114.28,45.91,0,662,300/300/300/300/300/300
1700000002.550000,1,300,300,114.25,169.30,1,672,300/300/300/300/300/300
1700000002.600000,1,300,300,114.14,48.08,0,672,300/300/300/300/300/300
1700000002.650000,1,300,300,114.08,47.48,0,672,300/300/300/300/300/300
1700000002.700000,1,300,300,113.91,133.12,1,742,300/300/300/300/300/300
1700000002.750000,1,300,300,113.72,55.63,0,742,300/300/300/300/300/300
1700000002.800000,1,300,300,113.52,51.52,0,742,300/300/300/300/300/300
1700000002.850000,1,300,300,113.23,144.94,1,849,300/300/300/300/300/300
1700000002.900000,1,300,300,112.91,53.72,0,849,300/300/300/300/300/300
1700000002.950000,1,300,300,112.55,55.78,0,849,300/300/300/300/300/300
1700000003.000000,1,300,300,112.28,208.13,1,954,300/300/300/300/300/300
1700000003.050000,1,300,300,111.85,50.81,0,954,300/300/300/300/300/300
1700000003.100000,1,300,300,111.24,54.49,0,954,300/300/300/300/300/300
1700000003.150000,1,300,300,110.41,162.91,1,988,300/300/300/300/300/300
1700000003.200000,1,300,300,109.52,53.61,0,988,300/300/300/300/300/300
1700000003.250000,1,300,300,107.72,53.68,0,988,300/300/300/300/300/300
1700000003.300000,1,300,300,103.90,156.76,1,962,300/300/300/300/300/300
1700000003.350000,1,300,300,101.86,55.24,0,962,300/300/300/300/300/300
1700000003.400000,1,300,300,118.86,70.73,0,962,300/300/300/300/300/300
1700000003.450000,1,300,300,118.85,132.54,1,923,300/300/300/300/300/300
1700000003.500000,1,300,300,118.90,56.45,0,923,300/300/300/300/300/300
1700000003.550000,1,300,300,118.95,54.04,0,923,300/300/300/300/300/300
1700000003.600000,1,300,300,118.98,146.75,1,1058,300/300/300/300/300/300
1700000003.650000,1,300,300,119.02,49.78,0,1058,300/300/300/300/300/300
1700000003.700000,1,300,300,119.03,54.75,0,1058,300/300/300/300/300/300
1700000003.750000,1,300,300,119.09,137.47,1,1157,300/300/300/300/300/300
1700000003.800000,1,300,300,109.16,59.42,0,1157,300/300/300/300/300/300
1700000003.850000,1,300,300,110.72,62.15,0,1157,300/300/300/300/300/300
1700000003.900000,1,300,300,113.15,141.33,1,1166,300/300/242/300/300/300
1700000003.950000,1,300,300,114.48,61.25,0,1166,300/300/300/300/300/300
1700000004.000000,1,300,300,115.15,59.64,0,1166,300/300/300/300/300/300
1700000004.050000,1,300,300,115.68,129.50,1,1305,300/300/300/300/300/300
1700000004.100000,1,300,300,116.09,54.34,0,1305,300/300/300/300/300/300
1700000004.150000,1,300,300,116.49,53.41,0,1305,300/300/300/300/300/300
1700000004.200000,1,300,300,116.93,132.19,1,1408,300/300/300/300/300/300
1700000004.250000,1,300,300,117.32,51.86,0,1408,300/300/300/300/300/300
1700000004.300000,1,300,300,117.64,52.90,0,1408,300/300/300/300/300/300
1700000004.350000,1,300,300,117.84,139.17,1,1577,300/300/300/300/300/300
1700000004.400000,1,300,300,118.07,58.62,0,1577,300/300/300/300/300/300
1700000004.450000,1,300,300,118.23,60.14,0,1577,300/300/300/300/300/300
1700000004.500000,1,300,300,118.41,140.38,1,1681,300/300/300/300/300/300
1700000004.550000,1,300,300,118.55,54.85,0,1681,300/300/300/300/300/300
1700000004.600000,1,300,300,118.68,54.16,0,1681,300/300/300/300/300/300
1700000004.650000,1,300,300,118.81,161.09,1,1743,300/300/300/300/300/300
1700000004.700000,1,300,300,118.88,54.52,0,1743,300/300/300/300/300/300
1700000004.750000,1,300,300,118.95,56.99,0,1743,300/300/300/300/300/300
1700000004.800000,1,300,300,119.02,127.81,1,1760,300/300/300/300/300/300
1700000004.850000,1,300,300,119.05,53.50,0,1760,300/300/300/300/300/300
1700000004.900000,1,300,300,119.05,53.35,0,1760,300/300/300/300/300/300
1700000004.950000,1,300,300,119.09,124.82,1,1758,300/300/300/300/300/300
1700000005.000000,1,300,300,119.18,60.39,0,1758,300/300/300/300/300/300
1700000005.050000,1,300,300,119.24,56.02,0,1758,300/300/300/300/300/300
1700000005.100000,1,300,300,119.28,132.74,1,1759,300/300/300/300/300/300
1700000005.150000,1,300,300,119.30,54.49,0,1759,300/300/300/300/300/300
1700000005.200000,1,300,300,119.37,53.40,0,1759,300/300/300/300/300/300
1700000005.250000,1,300,300,119.42,135.30,1,1777,300/300/300/300/300/300
1700000005.300000,1,300,300,119.47,56.82,0,1777,300/300/300/300/300/300
1700000005.350000,1,300,300,119.43,56.86,0,1777,300/300/300/300/300/300
1700000005.400000,1,300,300,119.37,139.54,1,1767,300/300/300/300/300/300
1700000005.450000,1,300,300,119.27,58.48,0,1767,300/300/300/300/300/300
1700000005.500000,1,300,300,119.10,58.78,0,1767,300/300/300/300/300/300
1700000005.550000,1,300,300,118.88,183.32,1,1721,300/300/300/300/300/300
1700000005.600000,1,300,300,118.60,53.72,0,1721,300/300/300/300/300/300
1700000005.650000,1,300,300,118.40,57.82,0,1721,300/300/300/300/300/300
1700000005.700000,1,300,300,118.27,172.28,1,1659,300/300/300/300/300/300
1700000005.750000,1,300,300,117.89,61.32,0,1659,300/300/300/300/300/300
1700000005.800000,1,300,300,117.42,56.37,0,1659,300/300/300/300/300/300
1700000005.850000,1,300,300,117.21,192.16,1,1571,300/300/300/300/300/300
1700000005.900000,1,300,300,116.99,59.74,0,1571,300/300/300/300/300/300
1700000005.950000,1,300,300,116.98,56.53,0,1571,300/300/300/300/300/300
1700000006.000000,1,300,300,116.84,135.32,1,1570,300/300/300/300/300/300
1700000006.050000,1,300,300,116.74,62.03,0,1570,300/300/300/300/300/300
1700000006.100000,1,300,300,116.89,57.67,0,1570,300/300/300/300/300/300
1700000006.150000,1,300,300,117.03,134.40,1,1546,300/300/300/300/300/300
1700000006.200000,1,300,300,117.29,58.30,0,1546,300/300/300/300/300/300
1700000006.250000,1,300,300,117.35,54.11,0,1546,300/300/300/300/300/300
1700000006.300000,1,300,300,117.42,145.59,1,1521,300/300/300/300/300/300
1700000006.350000,1,300,300,117.51,54.79,0,1521,300/300/300/300/300/300
1700000006.400000,1,300,300,117.50,48.84,0,1521,300/300/300/300/300/300
1700000006.450000,1,300,300,117.60,117.30,1,1473,300/300/300/300/300/300
1700000006.500000,1,300,300,117.80,52.60,0,1473,300/300/300/300/300/300
1700000006.550000,1,300,300,117.96,55.81,0,1473,300/300/300/300/300/300
1700000006.600000,1,300,300,118.16,127.31,1,1505,300/300/300/300/300/300
1700000006.650000,1,300,300,118.22,54.03,0,1505,300/300/300/300/300/300
1700000006.700000,1,300,300,118.38,54.34,0,1505,300/300/300/300/300/300
1700000006.750000,1,300,300,118.42,148.57,1,1524,300/300/300/300/300/300
1700000006.800000,1,300,300,118.56,58.73,0,1524,300/300/300/300/300/300
1700000006.850000,1,300,300,118.63,54.04,0,1524,300/300/300/300/300/300
1700000006.900000,1,300,300,118.83,118.08,1,1552,300/300/300/300/300/300
1700000006.950000,1,300,300,118.97,53.82,0,1552,300/300/300/300/300/300
1700000007.000000,1,300,300,119.07,50.98,0,1552,300/300/300/300/300/300
1700000007.050000,1,300,300,119.18,120.76,1,1545,300/300/300/300/300/300
1700000007.100000,1,300,300,119.23,54.70,0,1545,300/300/300/300/300/300
1700000007.150000,1,300,300,119.22,55.86,0,1545,300/300/300/300/300/300
1700000007.200000,1,300,300,119.26,145.48,1,1557,300/300/300/300/300/300
1700000007.250000,1,300,300,119.27,57.83,0,1557,300/300/300/300/300/300
1700000007.300000,1,300,300,119.27,55.35,0,1557,300/300/300/300/300/300
1700000007.350000,1,300,300,119.28,155.03,1,1574,300/300/300/300/300/300
1700000007.400000,1,300,300,119.25,53.73,0,1574,300/300/300/300/300/300
1700000007.450000,1,300,300,119.29,50.16,0,1574,300/300/300/300/300/300
1700000007.500000,1,300,300,119.28,200.61,1,1602,300/300/300/300/300/300
1700000007.550000,1,300,300,119.36,55.21,0,1602,300/300/300/300/300/300
1700000007.600000,1,300,300,119.42,52.20,0,1602,300/300/300/300/300/300
1700000007.650000,1,300,300,119.47,176.15,1,1613,300/300/300/300/300/300
1700000007.700000,1,300,300,119.56,52.29,0,1613,300/300/300/300/300/300
1700000007.750000,1,300,300,119.63,53.45,0,1613,300/300/300/300/300/300
1700000007.800000,1,300,300,119.71,147.99,1,1598,300/300/300/300/300/300
1700000007.850000,1,300,300,119.75,56.18,0,1598,300/300/300/300/300/300
1700000007.900000,1,300,300,119.83,52.21,0,1598,300/300/300/300/300/300
1700000007.950000,1,300,300,119.84,153.65,1,1585,300/300/300/300/300/300
1700000008.000000,1,300,300,119.88,55.78,0,1585,300/300/300/300/300/300
1700000008.050000,1,300,300,119.93,53.25,0,1585,300/300/300/300/300/300
1700000008.100000,1,300,300,119.92,165.49,1,1578,300/300/300/300/300/300
1700000008.150000,1,300,300,119.95,51.75,0,1578,300/300/300/300/300/300
1700000008.200000,1,300,300,119.97,52.00,0,1578,300/300/300/300/300/300
1700000008.250000,1,300,300,119.96,171.72,1,1558,300/300/300/300/300/300
1700000008.300000,1,300,300,119.96,50.78,0,1558,300/300/300/300/300/300
1700000008.350000,1,300,300,119.93,53.43,0,1558,300/300/300/300/300/300
1700000008.400000,1,300,300,119.92,162.16,1,1519,300/300/300/300/300/300
1700000008.450000,1,300,300,119.96,52.69,0,1519,300/300/300/300/300/300
1700000008.500000,1,300,300,119.96,51.94,0,1519,300/300/300/300/300/300
1700000008.550000,1,300,300,119.97,149.04,1,1480,300/300/300/300/300/300
1700000008.600000,1,300,300,119.99,55.43,0,1480,300/300/300/300/300/300
1700000008.650000,1,300,300,120.04,54.77,0,1480,300/300/300/300/300/300
1700000008.700000,1,300,300,120.10,143.54,1,1405,300/300/300/300/300/300
1700000008.750000,1,300,300,120.12,55.13,0,1405,300/300/300/300/300/300
1700000008.800000,1,300,300,120.18,52.94,0,1405,300/300/300/300/300/300
1700000008.850000,1,300,300,120.23,153.39,1,1452,300/300/300/300/300/300
1700000008.900000,1,300,300,120.24,51.09,0,1452,300/300/300/300/300/300
1700000008.950000,1,300,300,120.26,54.58,0,1452,300/300/300/300/300/300
1700000009.000000,1,300,300,120.24,142.30,1,1473,300/300/300/300/300/300
1700000009.050000,1,300,300,120.26,51.96,0,1473,300/300/300/300/300/300
1700000009.100000,1,300,300,120.27,50.86,0,1473,300/300/300/300/300/300
1700000009.150000,1,300,300,120.27,190.35,1,1475,300/300/300/300/300/300
1700000009.200000,1,300,300,120.26,53.55,0,1475,300/300/300/300/300/300
1700000009.250000,1,300,300,120.24,52.69,0,1475,300/300/300/300/300/300
1700000009.300000,1,300,300,120.27,156.99,1,1469,300/300/300/300/300/300
1700000009.350000,1,300,300,120.33,51.87,0,1469,300/300/300/300/300/300
1700000009.400000,1,300,300,120.39,51.45,0,1469,300/300/300/300/300/300
1700000009.450000,1,300,300,120.45,144.75,1,1447,300/300/300/300/300/300
1700000009.500000,1,300,300,120.49,55.29,0,1447,300/300/300/300/300/300
1700000009.550000,1,300,300,120.57,51.42,0,1447,300/300/300/300/300/300
1700000009.600000,1,300,300,120.65,150.35,1,1440,300/300/300/300/300/300
1700000009.650000,1,300,300,120.71,54.64,0,1440,300/300/300/300/300/300
1700000009.700000,1,300,300,120.79,51.02,0,1440,300/300/300/300/300/300
1700000009.750000,1,300,300,120.90,179.27,1,1467,300/300/300/300/300/300
1700000009.800000,1,300,300,120.94,50.60,0,1467,300/300/300/300/300/300
1700000009.850000,1,300,300,120.96,48.68,0,1467,300/300/300/300/300/300
1700000009.900000,1,300,300,120.98,198.30,1,1434,300/300/300/300/300/300
1700000009.950000,1,300,300,120.94,53.05,0,1434,300/300/300/300/300/300
1700000010.000000,1,300,300,120.96,48.01,0,1434,300/300/300/300/300/300
1700000010.050000,1,300,300,120.95,158.78,1,1413,300/300/300/300/300/300
1700000010.100000,1,300,300,120.96,51.03,0,1413,300/300/300/300/300/300
1700000010.150000,1,300,300,120.96,49.63,0,1413,300/300/300/300/300/300
1700000010.200000,1,300,300,120.94,158.03,1,1395,300/300/300/300/300/300
1700000010.250000,1,300,300,120.93,51.83,0,1395,300/300/300/300/300/300
1700000010.300000,1,300,300,120.93,50.82,0,1395,300/300/300/300/300/300
1700000010.350000,1,300,300,120.96,144.67,1,1380,300/300/300/300/300/300
1700000010.400000,1,300,300,120.97,53.26,0,1380,300/300/300/300/300/300
1700000010.450000,1,300,300,120.96,55.43,0,1380,300/300/300/300/300/300
1700000010.500000,1,300,300,120.98,153.75,1,1368,300/300/300/300/300/300
1700000010.550000,1,300,300,121.01,52.45,0,1368,300/300/300/300/300/300
1700000010.600000,1,300,300,121.06,52.77,0,1368,300/300/300/300/300/300
1700000010.650000,1,300,300,121.15,152.02,1,1383,300/300/300/300/300/300
1700000010.700000,1,300,300,121.18,50.31,0,1383,300/300/300/300/300/300
1700000010.750000,1,300,300,121.24,55.25,0,1383,300/300/300/300/300/300
1700000010.800000,1,300,300,121.25,159.64,1,1389,300/300/300/300/300/300
1700000010.850000,1,300,300,121.26,49.02,0,1389,300/300/300/300/300/300
1700000010.900000,1,300,300,121.32,50.07,0,1389,300/300/300/300/300/300
1700000010.950000,1,300,300,121.37,138.67,1,1334,300/300/300/300/300/300
1700000011.000000,1,300,300,121.40,50.90,0,1334,300/300/300/300/300/300
1700000011.050000,1,300,300,121.43,52.81,0,1334,300/300/300/300/300/300
1700000011.100000,1,300,300,121.44,128.06,1,1371,300/300/300/300/300/300
1700000011.150000,1,300,300,121.46,50.08,0,1371,300/300/300/300/300/300
1700000011.200000,1,300,300,121.48,51.82,0,1371,300/300/300/300/300/300
1700000011.250000,1,300,300,121.48,144.41,1,1396,300/300/300/300/300/300
1700000011.300000,1,300,300,121.48,51.32,0,1396,300/300/300/300/300/300
1700000011.350000,1,300,300,121.47,51.83,0,1396,300/300/300/300/300/300
1700000011.400000,1,300,300,121.51,157.39,1,1399,300/300/300/300/300/300
1700000011.450000,1,300,300,121.52,51.52,0,1399,300/300/300/300/300/300
1700000011.500000,1,300,300,121.54,50.34,0,1399,300/300/300/300/300/300
1700000011.550000,1,300,300,121.55,147.78,1,1425,300/300/300/300/300/300
1700000011.600000,1,300,300,121.54,53.72,0,1425,300/300/300/300/300/300
1700000011.650000,1,300,300,121.56,53.99,0,1425,300/300/300/300/300/300
1700000011.700000,1,300,300,121.57,148.03,1,1394,300/300/300/300/300/300
1700000011.750000,1,300,300,121.59,52.45,0,1394,300/300/300/300/300/300
1700000011.800000,1,300,300,121.59,52.54,0,1394,300/300/300/300/300/300
1700000011.850000,1,300,300,121.62,142.14,1,1397,300/300/300/300/300/300
1700000011.900000,1,300,300,121.65,53.97,0,1397,300/300/300/300/300/300
1700000011.950000,1,300,300,121.66,52.18,0,1397,300/300/300/300/300/300
1700000012.000000,1,300,300,121.66,150.51,1,1415,300/300/300/300/300/300
1700000012.050000,1,300,300,121.68,52.57,0,1415,300/300/300/300/300/300
1700000012.100000,1,300,300,121.69,55.39,0,1415,300/300/300/300/300/300
1700000012.150000,1,300,300,121.67,155.88,1,1427,300/300/300/300/300/300
1700000012.200000,1,300,300,121.68,51.92,0,1427,300/300/300/300/300/300
1700000012.250000,1,300,300,121.73,51.43,0,1427,300/300/300/300/300/300
1700000012.300000,1,300,300,121.76,158.22,1,1453,300/300/300/300/300/300
1700000012.350000,1,300,300,121.74,52.79,0,1453,300/300/300/300/300/300
1700000012.400000,1,300,300,121.78,51.58,0,1453,300/300/300/300/300/300
1700000012.450000,1,300,300,121.77,144.29,1,1456,300/300/300/300/300/300
1700000012.500000,1,300,300,121.77,53.50,0,1456,300/300/300/300/300/300
1700000012.550000,1,300,300,121.77,48.91,0,1456,300/300/300/300/300/300
