t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.31,4.26,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.25,3.00,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.18,2.80,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.14,2.10,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.10,2.41,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.04,2.17,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.01,2.42,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,114.99,2.18,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,114.98,2.41,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,114.96,2.05,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,114.96,2.01,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,114.97,1.89,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,114.95,1.91,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,114.96,1.73,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,114.93,1.96,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,114.93,1.73,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,114.91,1.74,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,114.88,1.86,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,114.86,30.01,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,114.83,39.65,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,114.79,40.33,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,114.75,53.53,1,193,300/300/300/300/300/300
1700000001.100000,1,300,300,114.65,41.50,0,193,300/300/300/300/300/300
1700000001.150000,1,300,300,114.57,44.46,0,193,300/300/300/300/300/300
1700000001.200000,1,300,300,114.49,63.93,1,289,300/300/300/300/300/300
1700000001.250000,1,300,300,114.37,42.05,0,289,300/300/300/300/300/300
1700000001.300000,1,300,300,114.26,41.58,0,289,300/300/300/300/300/300
1700000001.350000,1,300,300,114.15,70.26,1,290,300/300/300/300/300/300
1700000001.400000,1,300,300,114.03,40.33,0,290,300/300/300/300/300/300
1700000001.450000,1,300,300,113.93,41.37,0,290,300/300/300/300/300/300
1700000001.500000,1,300,300,113.83,77.43,1,319,300/300/300/300/300/300
1700000001.550000,1,300,300,113.74,40.19,0,319,300/300/300/300/300/300
1700000001.600000,1,300,300,113.69,39.97,0,319,300/300/300/300/300/300
1700000001.650000,1,300,300,113.62,81.41,1,423,300/300/300/300/300/300
1700000001.700000,1,300,300,113.58,39.34,0,423,300/300/300/300/300/300
