t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.31,2.56,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.25,1.86,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.18,2.08,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.14,1.85,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.10,1.82,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.04,1.76,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.01,1.81,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,114.99,1.74,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,114.98,1.76,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,114.96,1.76,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,114.96,1.76,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,114.97,1.76,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,114.95,1.81,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,114.96,1.83,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,114.93,1.79,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,114.93,1.75,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,114.91,1.75,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,114.88,1.78,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,114.86,29.93,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,114.83,39.86,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,114.79,39.45,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,114.75,58.36,1,187,300/300/300/300/300/300
1700000001.100000,1,300,300,114.65,40.09,0,187,300/300/300/300/300/300
1700000001.150000,1,300,300,114.57,40.30,0,187,300/300/300/300/300/300
1700000001.200000,1,300,300,114.49,64.83,1,340,300/300/300/300/300/300
1700000001.250000,1,300,300,114.37,45.11,0,340,300/300/300/300/300/300
1700000001.300000,1,300,300,114.26,43.47,0,340,300/300/300/300/300/300
1700000001.350000,1,300,300,114.15,78.94,1,439,300/300/300/300/300/300
1700000001.400000,1,300,300,114.03,42.88,0,439,300/300/300/300/300/300
1700000001.450000,1,300,300,113.93,42.18,0,439,300/300/300/300/300/300
1700000001.500000,1,300,300,113.83,88.43,1,468,300/300/300/300/300/300
1700000001.550000,1,300,300,113.74,41.48,0,468,300/300/300/300/300/300
1700000001.600000,1,300,300,113.69,41.88,0,468,300/300/300/300/300/300
1700000001.650000,1,300,300,113.62,86.02,1,470,300/300/300/300/300/300
1700000001.700000,1,300,300,113.58,39.49,0,470,300/300/300/300/300/300
1700000001.750000,1,300,300,113.56,39.20,0,470,300/300/300/300/300/300
1700000001.800000,1,300,300,113.55,90.35,1,515,300/300/300/300/300/300
1700000001.850000,1,300,300,113.58,40.68,0,515,300/300/300/300/300/300
1700000001.900000,1,300,300,113.62,40.00,0,515,300/300/300/300/300/300
1700000001.950000,1,300,300,113.67,109.14,1,550,300/300/300/300/300/300
1700000002.000000,1,300,300,113.72,42.10,0,550,300/300/300/300/300/300
1700000002.050000,1,300,300,113.81,40.80,0,550,300/300/300/300/300/300
1700000002.100000,1,300,300,113.90,98.86,1,476,300/300/300/300/300/300
1700000002.150000,1,300,300,113.98,42.38,0,476,300/300/300/300/300/300
1700000002.200000,1,300,300,114.07,43.90,0,476,300/300/300/300/300/300
1700000002.250000,1,300,300,114.16,99.39,1,537,300/300/300/300/300/300
1700000002.300000,1,300,300,114.23,43.22,0,537,300/300/300/300/300/300
1700000002.350000,1,300,300,114.25,43.86,0,537,300/300/300/300/300/300
1700000002.400000,1,300,300,114.30,109.01,1,753,300/300/300/300/300/300
1700000002.450000,1,300,300,114.30,45.36,0,753,300/300/300/300/300/300
1700000002.500000,1,300,300,114.28,48.58,0,753,300/300/300/300/300/300
1700000002.550000,1,300,300,114.25,120.60,1,816,300/300/300/300/300/300
1700000002.600000,1,300,300,114.14,50.18,0,816,300/300/300/300/300/300
1700000002.650000,1,300,300,114.08,49.41,0,816,300/300/300/300/300/300
1700000002.700000,1,300,300,113.91,145.11,1,900,300/300/300/300/300/300
1700000002.750000,1,300,300,113.72,51.67,0,900,300/300/300/300/300/300
1700000002.800000,1,300,300,113.52,51.96,0,900,300/300/300/300/300/300
1700000002.850000,1,300,300,113.23,141.95,1,969,300/300/300/300/300/300
1700000002.900000,1,300,300,112.91,52.73,0,969,300/300/300/300/300/300
1700000002.950000,1,300,300,112.55,52.37,0,969,300/300/300/300/300/300
1700000003.000000,1,300,300,112.28,151.29,1,1041,300/300/300/300/300/300
1700000003.050000,1,300,300,111.85,55.47,0,1041,300/300/300/300/300/300
1700000003.100000,1,300,300,111.24,51.07,0,1041,300/300/300/300/300/300
1700000003.150000,1,300,300,110.41,161.03,1,1127,300/300/300/300/300/300
