t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.31,2.57,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.25,1.90,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.18,1.83,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.13,1.87,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.09,1.94,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.05,1.76,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.01,2.87,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,114.98,2.38,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,114.97,1.84,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,114.96,1.81,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,114.96,1.89,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,114.98,1.85,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,114.96,1.99,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,114.94,1.76,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,114.95,2.18,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,114.93,1.80,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,114.90,1.88,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,114.88,1.81,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,114.85,28.71,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,114.82,40.28,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,114.78,38.81,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,114.74,52.85,1,188,300/300/300/300/300/300
1700000001.100000,1,300,300,114.65,41.38,0,188,300/300/300/300/300/300
1700000001.150000,1,300,300,114.58,39.33,0,188,300/300/300/300/300/300
1700000001.200000,1,300,300,114.47,69.27,1,280,300/300/300/300/300/300
1700000001.250000,1,300,300,114.38,43.61,0,280,300/300/300/300/300/300
1700000001.300000,1,300,300,114.25,40.80,0,280,300/300/300/300/300/300
1700000001.350000,1,300,300,114.15,70.57,1,295,300/300/300/300/300/300
1700000001.400000,1,300,300,114.02,40.43,0,295,300/300/300/300/300/300
1700000001.450000,1,300,300,113.93,39.17,0,295,300/300/300/300/300/300
1700000001.500000,1,300,300,113.82,79.47,1,220,300/300/300/300/300/300
1700000001.550000,1,300,300,113.74,39.43,0,220,300/300/300/300/300/300
1700000001.600000,1,300,300,113.68,40.35,0,220,300/300/300/300/300/300
1700000001.650000,1,300,300,113.63,85.14,1,419,300/300/300/300/300/300
1700000001.700000,1,300,300,113.58,38.58,0,419,300/300/300/300/300/300
1700000001.750000,1,300,300,113.56,39.14,0,419,300/300/300/300/300/300
1700000001.800000,1,300,300,113.54,92.02,1,449,300/300/300/300/300/300
1700000001.850000,1,300,300,113.58,42.79,0,449,300/300/300/300/300/300
1700000001.900000,1,300,300,113.62,41.60,0,449,300/300/300/300/300/300
1700000001.950000,1,300,300,113.67,89.87,1,478,300/300/300/300/300/300
1700000002.000000,1,300,300,113.73,40.32,0,478,300/300/300/300/300/300
1700000002.050000,1,300,300,113.80,40.69,0,478,300/300/300/300/300/300
1700000002.100000,1,300,300,113.90,111.74,1,586,300/300/300/300/300/300
1700000002.150000,1,300,300,113.99,40.61,0,586,300/300/300/300/300/300
1700000002.200000,1,300,300,114.07,40.11,0,586,300/300/300/300/300/300
1700000002.250000,1,300,300,114.16,139.62,1,667,300/300/300/300/300/300
1700000002.300000,1,300,300,114.22,42.64,0,667,300/300/300/300/300/300
1700000002.350000,1,300,300,114.26,43.35,0,667,300/300/300/300/300/300
1700000002.400000,1,300,300,114.30,112.52,1,727,300/300/300/300/300/300
1700000002.450000,1,300,300,114.30,44.07,0,727,300/300/300/300/300/300
1700000002.500000,1,300,300,114.29,45.91,0,727,300/300/300/300/300/300
1700000002.550000,1,300,300,114.25,122.15,1,787,300/300/300/300/300/300
1700000002.600000,1,300,300,114.14,46.52,0,787,300/300/300/300/300/300
1700000002.650000,1,300,300,114.08,47.47,0,787,300/300/300/300/300/300
1700000002.700000,1,300,300,113.91,150.45,1,888,300/300/300/300/300/300
1700000002.750000,1,300,300,113.72,48.33,0,888,300/300/300/300/300/300
1700000002.800000,1,300,300,113.51,50.40,0,888,300/300/300/300/300/300
1700000002.850000,1,300,300,113.23,149.17,1,952,300/300/300/300/300/300
1700000002.900000,1,300,300,112.90,55.01,0,952,300/300/300/300/300/300
1700000002.950000,1,300,300,112.55,50.76,0,952,300/300/300/300/300/300
1700000003.000000,1,300,300,112.27,156.40,1,1038,300/300/300/300/300/300
1700000003.050000,1,300,300,111.85,51.46,0,1038,300/300/300/300/300/300
1700000003.100000,1,300,300,111.24,52.53,0,1038,300/300/300/300/300/300
1700000003.150000,1,300,300,110.42,168.29,1,1117,300/300/300/300/300/300
1700000003.200000,1,300,300,109.53,53.09,0,1117,300/300/300/300/300/300
1700000003.250000,1,300,300,107.72,49.78,0,1117,300/300/300/300/300/300
1700000003.300000,1,300,300,103.89,188.61,1,1179,300/300/300/300/300/300
1700000003.350000,1,300,300,101.86,51.63,0,1179,300/300/300/300/300/300
1700000003.400000,1,300,300,118.85,66.36,0,1179,300/300/300/300/300/300
1700000003.450000,1,300,300,118.84,182.77,1,1261,300/300/300/300/300/300
1700000003.500000,1,300,300,118.90,55.73,0,1261,300/300/300/300/300/300
1700000003.550000,1,300,300,118.94,52.81,0,1261,300/300/300/300/300/300
1700000003.600000,1,300,300,118.98,196.91,1,1450,300/300/300/300/300/300
1700000003.650000,1,300,300,119.00,49.69,0,1450,300/300/300/300/300/300
1700000003.700000,1,300,300,119.05,52.54,0,1450,300/300/300/300/300/300
1700000003.750000,1,300,300,119.09,211.57,1,1591,300/300/300/300/300/300
1700000003.800000,1,300,300,109.18,55.99,0,1591,300/300/300/300/300/300
1700000003.850000,1,300,300,110.73,61.60,0,1591,300/300/300/300/300/300
1700000003.900000,1,300,300,113.15,224.59,1,1694,300/300/238/300/300/300
1700000003.950000,1,300,300,114.47,63.61,0,1694,300/300/300/300/300/300
1700000004.000000,1,300,300,115.15,61.10,0,1694,300/300/300/300/300/300
1700000004.050000,1,300,300,115.69,221.93,1,1850,300/300/300/300/300/300
1700000004.100000,1,300,300,116.10,53.17,0,1850,300/300/300/300/300/300
1700000004.150000,1,300,300,116.49,53.84,0,1850,300/300/300/300/300/300
1700000004.200000,1,300,300,116.93,274.97,1,2048,300/300/300/300/300/300
1700000004.250000,1,300,300,117.33,54.84,0,2048,300/300/300/300/300/300
1700000004.300000,1,300,300,117.65,58.41,0,2048,300/300/300/300/300/300
1700000004.350000,1,300,300,117.86,246.75,1,2247,300/300/300/300/300/300
1700000004.400000,1,300,300,118.07,57.08,0,2247,300/300/300/300/300/300
1700000004.450000,1,300,300,118.23,53.00,0,2247,300/300/300/300/300/300
1700000004.500000,1,300,300,118.42,258.84,1,2363,300/300/300/300/300/300
1700000004.550000,1,300,300,118.55,54.87,0,2363,300/300/300/300/300/300
1700000004.600000,1,300,300,118.69,49.73,0,2363,300/300/300/300/300/300
1700000004.650000,1,300,300,118.81,263.57,1,2474,300/300/300/300/300/300
1700000004.700000,1,300,300,118.87,54.58,0,2474,300/300/300/300/300/300
1700000004.750000,1,300,300,118.95,54.51,0,2474,300/300/300/300/300/300
1700000004.800000,1,300,300,119.02,284.04,1,2544,300/300/300/300/300/300
1700000004.850000,1,300,300,119.05,55.24,0,2544,300/300/300/300/300/300
1700000004.900000,1,300,300,119.07,51.80,0,2544,300/300/300/300/300/300
1700000004.950000,1,300,300,119.08,295.18,1,2624,300/300/300/300/300/300
1700000005.000000,1,300,300,119.19,52.72,0,2624,300/300/300/300/300/300
1700000005.050000,1,300,300,119.24,56.97,0,2624,300/300/300/300/300/300
1700000005.100000,1,300,300,119.28,289.71,1,2683,300/300/300/300/300/300
1700000005.150000,1,300,300,119.30,53.13,0,2683,300/300/300/300/300/300
1700000005.200000,1,300,300,119.38,53.20,0,2683,300/300/300/300/300/300
1700000005.250000,1,300,300,119.43,291.50,1,2679,300/300/300/300/300/300
1700000005.300000,1,300,300,119.46,55.96,0,2679,300/300/300/300/300/300
1700000005.350000,1,300,300,119.43,55.88,0,2679,300/300/300/300/300/300
1700000005.400000,1,300,300,119.38,256.74,1,2598,300/300/300/300/300/300
1700000005.450000,1,300,300,119.27,56.66,0,2598,300/300/300/300/300/300
1700000005.500000,1,300,300,119.11,55.49,0,2598,300/300/300/300/300/300
1700000005.550000,1,300,300,118.90,266.05,1,2669,300/300/300/300/300/300
1700000005.600000,1,300,300,118.61,54.26,0,2669,300/300/300/300/300/300
1700000005.650000,1,300,300,118.40,56.62,0,2669,300/300/300/300/300/300
1700000005.700000,1,300,300,118.26,336.37,1,2625,300/300/300/300/300/300
1700000005.750000,1,300,300,117.88,60.48,0,2625,300/300/300/300/300/300
1700000005.800000,1,300,300,117.42,52.73,0,2625,300/300/300/300/300/300
1700000005.850000,1,300,300,117.23,278.03,1,2567,300/300/300/300/300/300
1700000005.900000,1,300,300,116.99,54.47,0,2567,300/300/300/300/300/300
1700000005.950000,1,300,300,116.99,55.19,0,2567,300/300/300/300/300/300
1700000006.000000,1,300,300,116.86,292.23,1,2562,300/300/300/300/300/300
1700000006.050000,1,300,300,116.74,59.06,0,2562,300/300/300/300/300/300
1700000006.100000,1,300,300,116.90,61.34,0,2562,300/300/300/300/300/300
1700000006.150000,1,300,300,117.03,288.53,1,2549,300/300/300/300/300/300
1700000006.200000,1,300,300,117.28,56.24,0,2549,300/300/300/300/300/300
1700000006.250000,1,300,300,117.34,51.80,0,2549,300/300/300/300/300/300
1700000006.300000,1,300,300,117.43,241.38,1,2619,300/300/300/300/300/300
1700000006.350000,1,300,300,117.51,50.78,0,2619,300/300/300/300/300/300
1700000006.400000,1,300,300,117.50,50.74,0,2619,300/300/300/300/300/300
1700000006.450000,1,300,300,117.61,194.00,1,2694,300/300/300/300/300/300
1700000006.500000,1,300,300,117.80,53.41,0,2694,300/300/300/300/300/300
1700000006.550000,1,300,300,117.96,52.64,0,2694,300/300/300/300/300/300
1700000006.600000,1,300,300,118.16,282.81,1,2750,300/300/300/300/300/300
1700000006.650000,1,300,300,118.22,54.34,0,2750,300/300/300/300/300/300
1700000006.700000,1,300,300,118.38,54.43,0,2750,300/300/300/300/300/300
1700000006.750000,1,300,300,118.43,255.60,1,2770,300/300/300/300/300/300
1700000006.800000,1,300,300,118.58,50.85,0,2770,300/300/300/300/300/300
1700000006.850000,1,300,300,118.62,52.12,0,2770,300/300/300/300/300/300
1700000006.900000,1,300,300,118.83,234.72,1,2787,300/300/300/300/300/300
1700000006.950000,1,300,300,118.95,53.04,0,2787,300/300/300/300/300/300
1700000007.000000,1,300,300,119.07,50.31,0,2787,300/300/300/300/300/300
1700000007.050000,1,300,300,119.17,309.74,1,2797,300/300/300/300/300/300
1700000007.100000,1,300,300,119.22,53.55,0,2797,300/300/300/300/300/300
1700000007.150000,1,300,300,119.23,50.44,0,2797,300/300/300/300/300/300
1700000007.200000,1,300,300,119.27,319.71,1,2798,300/300/300/300/300/300
1700000007.250000,1,300,300,119.28,54.95,0,2798,300/300/300/300/300/300
1700000007.300000,1,300,300,119.25,52.48,0,2798,300/300/300/300/300/300
1700000007.350000,1,300,300,119.27,286.83,1,2811,300/300/300/300/300/300
1700000007.400000,1,300,300,119.23,55.64,0,2811,300/300/300/300/300/300
1700000007.450000,1,300,300,119.28,50.70,0,2811,300/300/300/300/300/300
1700000007.500000,1,300,300,119.28,334.43,1,2826,300/300/300/300/300/300
1700000007.550000,1,300,300,119.37,51.48,0,2826,300/300/300/300/300/300
1700000007.600000,1,300,300,119.42,53.31,0,2826,300/300/300/300/300/300
1700000007.650000,1,300,300,119.46,293.53,1,2735,300/300/300/300/300/300
1700000007.700000,1,300,300,119.56,52.85,0,2735,300/300/300/300/300/300
1700000007.750000,1,300,300,119.62,51.74,0,2735,300/300/300/300/300/300
1700000007.800000,1,300,300,119.71,281.97,1,2693,300/300/300/300/300/300
1700000007.850000,1,300,300,119.76,49.99,0,2693,300/300/300/300/300/300
1700000007.900000,1,300,300,119.82,51.23,0,2693,300/300/300/300/300/300
1700000007.950000,1,300,300,119.84,329.93,1,2730,300/300/300/300/300/300
1700000008.000000,1,300,300,119.88,51.19,0,2730,300/300/300/300/300/300
1700000008.050000,1,300,300,119.93,53.62,0,2730,300/300/300/300/300/300
1700000008.100000,1,300,300,119.93,322.32,1,2678,300/300/300/300/300/300
1700000008.150000,1,300,300,119.95,52.14,0,2678,300/300/300/300/300/300
1700000008.200000,1,300,300,119.97,49.25,0,2678,300/300/300/300/300/300
1700000008.250000,1,300,300,119.98,317.43,1,2594,300/300/300/300/300/300
1700000008.300000,1,300,300,119.95,50.03,0,2594,300/300/300/300/300/300
1700000008.350000,1,300,300,119.94,48.79,0,2594,300/300/300/300/300/300
1700000008.400000,1,300,300,119.94,274.00,1,2489,300/300/300/300/300/300
1700000008.450000,1,300,300,119.96,51.68,0,2489,300/300/300/300/300/300
1700000008.500000,1,300,300,119.95,51.49,0,2489,300/300/300/300/300/300
1700000008.550000,1,300,300,119.97,254.45,1,2536,300/300/300/300/300/300
1700000008.600000,1,300,300,119.99,50.46,0,2536,300/300/300/300/300/300
1700000008.650000,1,300,300,120.05,53.43,0,2536,300/300/300/300/300/300
1700000008.700000,1,300,300,120.10,225.38,1,2504,300/300/300/300/300/300
1700000008.750000,1,300,300,120.11,53.99,0,2504,300/300/300/300/300/300
1700000008.800000,1,300,300,120.17,53.47,0,2504,300/300/300/300/300/300
1700000008.850000,1,300,300,120.21,224.61,1,2527,300/300/300/300/300/300
1700000008.900000,1,300,300,120.22,51.52,0,2527,300/300/300/300/300/300
1700000008.950000,1,300,300,120.25,49.81,0,2527,300/300/300/300/300/300
1700000009.000000,1,300,300,120.23,226.21,1,2534,300/300/300/300/300/300
1700000009.050000,1,300,300,120.28,51.36,0,2534,300/300/300/300/300/300
1700000009.100000,1,300,300,120.28,47.76,0,2534,300/300/300/300/300/300
1700000009.150000,1,300,300,120.25,230.79,1,2523,300/300/300/300/300/300
1700000009.200000,1,300,300,120.26,51.62,0,2523,300/300/300/300/300/300
1700000009.250000,1,300,300,120.24,52.69,0,2523,300/300/300/300/300/300
1700000009.300000,1,300,300,120.28,232.73,1,2539,300/300/300/300/300/300
1700000009.350000,1,300,300,120.33,51.68,0,2539,300/300/300/300/300/300
1700000009.400000,1,300,300,120.40,47.68,0,2539,300/300/300/300/300/300
1700000009.450000,1,300,300,120.45,270.69,1,2536,300/300/300/300/300/300
1700000009.500000,1,300,300,120.50,52.27,0,2536,300/300/300/300/300/300
1700000009.550000,1,300,300,120.58,48.29,0,2536,300/300/300/300/300/300
1700000009.600000,1,300,300,120.65,232.89,1,2524,300/300/300/300/300/300
1700000009.650000,1,300,300,120.71,51.95,0,2524,300/300/300/300/300/300
1700000009.700000,1,300,300,120.81,49.34,0,2524,300/300/300/300/300/300
1700000009.750000,1,300,300,120.89,361.30,1,2518,300/300/300/300/300/300
1700000009.800000,1,300,300,120.94,50.54,0,2518,300/300/300/300/300/300
1700000009.850000,1,300,300,120.96,50.08,0,2518,300/300/300/300/300/300
1700000009.900000,1,300,300,120.97,303.84,1,2514,300/300/300/300/300/300
1700000009.950000,1,300,300,120.96,50.44,0,2514,300/300/300/300/300/300
1700000010.000000,1,300,300,120.96,48.66,0,2514,300/300/300/300/300/300
1700000010.050000,1,300,300,120.95,237.67,1,2521,300/300/300/300/300/300
1700000010.100000,1,300,300,120.96,47.71,0,2521,300/300/300/300/300/300
1700000010.150000,1,300,300,120.97,48.83,0,2521,300/300/300/300/300/300
1700000010.200000,1,300,300,120.93,276.02,1,2499,300/300/300/300/300/300
1700000010.250000,1,300,300,120.93,52.02,0,2499,300/300/300/300/300/300
1700000010.300000,1,300,300,120.93,49.16,0,2499,300/300/300/300/300/300
1700000010.350000,1,300,300,120.94,237.16,1,2473,300/300/300/300/300/300
1700000010.400000,1,300,300,120.96,49.89,0,2473,300/300/300/300/300/300
1700000010.450000,1,300,300,120.96,50.80,0,2473,300/300/300/300/300/300
1700000010.500000,1,300,300,120.99,272.49,1,2440,300/300/300/300/300/300
1700000010.550000,1,300,300,121.01,52.07,0,2440,300/300/300/300/300/300
1700000010.600000,1,300,300,121.06,51.07,0,2440,300/300/300/300/300/300
1700000010.650000,1,300,300,121.16,274.10,1,2439,300/300/300/300/300/300
1700000010.700000,1,300,300,121.18,52.20,0,2439,300/300/300/300/300/300
1700000010.750000,1,300,300,121.24,49.77,0,2439,300/300/300/300/300/300
1700000010.800000,1,300,300,121.26,289.43,1,2464,300/300/300/300/300/300
1700000010.850000,1,300,300,121.25,51.60,0,2464,300/300/300/300/300/300
1700000010.900000,1,300,300,121.32,48.28,0,2464,300/300/300/300/300/300
1700000010.950000,1,300,300,121.38,227.85,1,2460,300/300/300/300/300/300
1700000011.000000,1,300,300,121.39,48.74,0,2460,300/300/300/300/300/300
1700000011.050000,1,300,300,121.42,52.93,0,2460,300/300/300/300/300/300
1700000011.100000,1,300,300,121.43,288.39,1,2465,300/300/300/300/300/300
1700000011.150000,1,300,300,121.46,49.50,0,2465,300/300/300/300/300/300
1700000011.200000,1,300,300,121.47,49.97,0,2465,300/300/300/300/300/300
1700000011.250000,1,300,300,121.48,301.48,1,2472,300/300/300/300/300/300
1700000011.300000,1,300,300,121.48,48.84,0,2472,300/300/300/300/300/300
1700000011.350000,1,300,300,121.48,51.18,0,2472,300/300/300/300/300/300
1700000011.400000,1,300,300,121.53,302.21,1,2487,300/300/300/300/300/300
1700000011.450000,1,300,300,121.52,49.70,0,2487,300/300/300/300/300/300
1700000011.500000,1,300,300,121.53,50.90,0,2487,300/300/300/300/300/300
1700000011.550000,1,300,300,121.57,363.64,1,2460,300/300/300/300/300/300
1700000011.600000,1,300,300,121.54,51.46,0,2460,300/300/300/300/300/300
1700000011.650000,1,300,300,121.55,49.82,0,2460,300/300/300/300/300/300
1700000011.700000,1,300,300,121.58,178.18,1,2438,300/300/300/300/300/300
1700000011.750000,1,300,300,121.59,50.03,0,2438,300/300/300/300/300/300
1700000011.800000,1,300,300,121.61,48.86,0,2438,300/300/300/300/300/300
1700000011.850000,1,300,300,121.64,308.73,1,2430,300/300/300/300/300/300
1700000011.900000,1,300,300,121.64,51.39,0,2430,300/300/300/300/300/300
1700000011.950000,1,300,300,121.66,54.33,0,2430,300/300/300/300/300/300
1700000012.000000,1,300,300,121.65,212.28,1,2380,300/300/300/300/300/300
1700000012.050000,1,300,300,121.68,51.11,0,2380,300/300/300/300/300/300
1700000012.100000,1,300,300,121.69,50.79,0,2380,300/300/300/300/300/300
1700000012.150000,1,300,300,121.68,236.58,1,2392,300/300/300/300/300/300
1700000012.200000,1,300,300,121.67,51.19,0,2392,300/300/300/300/300/300
1700000012.250000,1,300,300,121.73,47.45,0,2392,300/300/300/300/300/300
1700000012.300000,1,300,300,121.76,335.10,1,2370,300/300/300/300/300/300
1700000012.350000,1,300,300,121.72,53.31,0,2370,300/300/300/300/300/300
1700000012.400000,1,300,300,121.77,50.42,0,2370,300/300/300/300/300/300
1700000012.450000,1,300,300,121.78,268.60,1,2376,300/300/300/300/300/300
1700000012.500000,1,300,300,121.77,48.56,0,2376,300/300/300/300/300/300
1700000012.550000,1,300,300,121.77,49.62,0,2376,300/300/300/300/300/300
1700000012.600000,1,300,300,121.77,230.42,1,2327,300/300/300/300/300/300
1700000012.650000,1,300,300,121.78,49.17,0,2327,300/300/300/300/300/300
1700000012.700000,1,300,300,121.75,48.58,0,2327,300/300/300/300/300/300
1700000012.750000,1,300,300,121.77,258.00,1,2386,300/300/300/300/300/300
1700000012.800000,1,300,300,121.74,47.90,0,2386,300/300/300/300/300/300
1700000012.850000,1,300,300,121.74,47.91,0,2386,300/300/300/300/300/300
1700000012.900000,1,300,300,121.72,261.67,1,2379,300/300/300/300/300/300
1700000012.950000,1,300,300,121.70,46.54,0,2379,300/300/300/300/300/300
1700000013.000000,1,300,300,121.71,46.73,0,2379,300/300/300/300/300/300
1700000013.050000,1,300,300,121.69,231.87,1,2379,300/300/300/300/300/300
1700000013.100000,1,300,300,121.72,49.06,0,2379,300/300/300/300/300/300
1700000013.150000,1,300,300,121.70,50.42,0,2379,300/300/300/300/300/300
1700000013.200000,1,300,300,121.72,332.47,1,2345,300/300/300/300/300/300
1700000013.250000,1,300,300,121.72,49.80,0,2345,300/300/300/300/300/300
1700000013.300000,1,300,300,121.71,48.45,0,2345,300/300/300/300/300/300
1700000013.350000,1,300,300,121.73,227.88,1,2336,300/300/300/300/300/300
1700000013.400000,1,300,300,121.71,47.79,0,2336,300/300/300/300/300/300
1700000013.450000,1,300,300,121.75,45.83,0,2336,300/300/300/300/300/300
1700000013.500000,1,300,300,121.73,277.51,1,2340,300/300/300/300/300/300
1700000013.550000,1,300,300,121.74,50.60,0,2340,300/300/300/300/300/300
1700000013.600000,1,300,300,121.75,50.67,0,2340,300/300/300/300/300/300
1700000013.650000,1,300,300,121.79,243.74,1,2331,300/300/300/300/300/300
1700000013.700000,1,300,300,121.78,48.01,0,2331,300/300/300/300/300/300
1700000013.750000,1,300,300,121.77,47.04,0,2331,300/300/300/300/300/300
1700000013.800000,1,300,300,121.78,232.76,1,2294,300/300/300/300/300/300
1700000013.850000,1,300,300,121.82,45.08,0,2294,300/300/300/300/300/300
1700000013.900000,1,300,300,121.84,45.37,0,2294,300/300/300/300/300/300
1700000013.950000,1,300,300,121.84,275.54,1,2274,300/300/300/300/300/300
