t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.31,2.73,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.25,1.98,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.18,1.78,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.13,1.89,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.09,1.79,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.05,1.76,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.01,1.84,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,114.98,1.88,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,114.97,1.82,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,114.96,2.02,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,114.96,1.88,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,114.98,1.79,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,114.96,1.86,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,114.94,1.92,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,114.95,1.79,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,114.93,1.80,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,114.90,1.86,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,114.88,1.89,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,114.85,28.64,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,114.82,39.90,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,114.78,38.99,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,114.74,52.45,1,188,300/300/300/300/300/300
1700000001.100000,1,300,300,114.65,40.15,0,188,300/300/300/300/300/300
1700000001.150000,1,300,300,114.58,39.61,0,188,300/300/300/300/300/300
1700000001.200000,1,300,300,114.47,69.16,1,280,300/300/300/300/300/300
1700000001.250000,1,300,300,114.38,42.58,0,280,300/300/300/300/300/300
