t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,115.31,2.74,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,115.25,1.85,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,115.18,1.81,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,115.13,1.80,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,115.09,1.85,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,115.05,1.87,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,115.01,1.91,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,114.98,1.79,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,114.97,1.76,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,114.96,1.81,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,114.96,1.87,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,114.98,1.83,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,114.96,1.83,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,114.94,1.86,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,114.95,1.77,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,114.93,1.75,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,114.90,1.77,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,114.88,1.78,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,114.85,28.73,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,114.82,41.54,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,114.78,38.79,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,114.74,56.01,1,185,300/300/300/300/300/300
1700000001.100000,1,300,300,114.65,38.90,0,185,300/300/300/300/300/300
1700000001.150000,1,300,300,114.58,39.42,0,185,300/300/300/300/300/300
1700000001.200000,1,300,300,114.47,68.10,1,298,300/300/300/300/300/300
1700000001.250000,1,300,300,114.38,40.16,0,298,300/300/300/300/300/300
1700000001.300000,1,300,300,114.25,39.51,0,298,300/300/300/300/300/300
1700000001.350000,1,300,300,114.15,83.72,1,421,300/300/300/300/300/300
1700000001.400000,1,300,300,114.02,40.84,0,421,300/300/300/300/300/300
1700000001.450000,1,300,300,113.93,40.44,0,421,300/300/300/300/300/300
1700000001.500000,1,300,300,113.82,97.78,1,530,300/300/300/300/300/300
1700000001.550000,1,300,300,113.74,39.59,0,530,300/300/300/300/300/300
1700000001.600000,1,300,300,113.68,39.61,0,530,300/300/300/300/300/300
1700000001.650000,1,300,300,113.63,86.44,1,314,300/300/300/300/300/300
1700000001.700000,1,300,300,113.58,40.69,0,314,300/300/300/300/300/300
1700000001.750000,1,300,300,113.56,38.76,0,314,300/300/300/300/300/300
1700000001.800000,1,300,300,113.54,73.22,1,352,300/300/300/300/300/300
1700000001.850000,1,300,300,113.58,39.09,0,352,300/300/300/300/300/300
1700000001.900000,1,300,300,113.62,41.45,0,352,300/300/300/300/300/300
1700000001.950000,1,300,300,113.67,89.80,1,455,300/300/300/300/300/300
1700000002.000000,1,300,300,113.73,42.15,0,455,300/300/300/300/300/300
1700000002.050000,1,300,300,113.80,40.18,0,455,300/300/300/300/300/300
1700000002.100000,1,300,300,113.90,94.55,1,543,300/300/300/300/300/300
1700000002.150000,1,300,300,113.99,43.32,0,543,300/300/300/300/300/300
1700000002.200000,1,300,300,114.07,42.16,0,543,300/300/300/300/300/300
1700000002.250000,1,300,300,114.16,104.29,1,682,300/300/300/300/300/300
1700000002.300000,1,300,300,114.22,42.63,0,682,300/300/300/300/300/300
1700000002.350000,1,300,300,114.26,42.13,0,682,300/300/300/300/300/300
1700000002.400000,1,300,300,114.30,111.20,1,749,300/300/300/300/300/300
1700000002.450000,1,300,300,114.30,44.61,0,749,300/300/300/300/300/300
1700000002.500000,1,300,300,114.29,45.70,0,749,300/300/300/300/300/300
1700000002.550000,1,300,300,114.25,124.55,1,810,300/300/300/300/300/300
1700000002.600000,1,300,300,114.14,47.91,0,810,300/300/300/300/300/300
1700000002.650000,1,300,300,114.08,50.08,0,810,300/300/300/300/300/300
1700000002.700000,1,300,300,113.91,138.20,1,890,300/300/300/300/300/300
1700000002.750000,1,300,300,113.72,50.88,0,890,300/300/300/300/300/300
1700000002.800000,1,300,300,113.51,53.33,0,890,300/300/300/300/300/300
1700000002.850000,1,300,300,113.23,143.55,1,958,300/300/300/300/300/300
1700000002.900000,1,300,300,112.90,55.49,0,958,300/300/300/300/300/300
1700000002.950000,1,300,300,112.55,50.37,0,958,300/300/300/300/300/300
1700000003.000000,1,300,300,112.27,175.09,1,1054,300/300/300/300/300/300
1700000003.050000,1,300,300,111.85,51.64,0,1054,300/300/300/300/300/300
1700000003.100000,1,300,300,111.24,50.75,0,1054,300/300/300/300/300/300
1700000003.150000,1,300,300,110.42,167.02,1,1139,300/300/300/300/300/300
1700000003.200000,1,300,300,109.53,51.76,0,1139,300/300/300/300/300/300
1700000003.250000,1,300,300,107.72,51.45,0,1139,300/300/300/300/300/300
1700000003.300000,1,300,300,103.89,182.17,1,1202,300/300/300/300/300/300
1700000003.350000,1,300,300,101.86,52.04,0,1202,300/300/300/300/300/300
1700000003.400000,1,300,300,118.85,68.88,0,1202,300/300/300/300/300/300
1700000003.450000,1,300,300,118.84,182.27,1,1274,300/300/300/300/300/300
1700000003.500000,1,300,300,118.90,57.17,0,1274,300/300/300/300/300/300
1700000003.550000,1,300,300,118.94,52.17,0,1274,300/300/300/300/300/300
1700000003.600000,1,300,300,118.98,195.94,1,1460,300/300/300/300/300/300
1700000003.650000,1,300,300,119.00,52.39,0,1460,300/300/300/300/300/300
1700000003.700000,1,300,300,119.05,51.93,0,1460,300/300/300/300/300/300
1700000003.750000,1,300,300,119.09,209.99,1,1601,300/300/300/300/300/300
1700000003.800000,1,300,300,109.18,56.79,0,1601,300/300/300/300/300/300
1700000003.850000,1,300,300,110.73,62.23,0,1601,300/300/300/300/300/300
1700000003.900000,1,300,300,113.15,225.50,1,1719,300/300/235/300/300/300
1700000003.950000,1,300,300,114.47,67.44,0,1719,300/300/300/300/300/300
1700000004.000000,1,300,300,115.15,59.67,0,1719,300/300/300/300/300/300
1700000004.050000,1,300,300,115.69,228.29,1,1877,300/300/300/300/300/300
1700000004.100000,1,300,300,116.10,53.94,0,1877,300/300/300/300/300/300
1700000004.150000,1,300,300,116.49,53.46,0,1877,300/300/300/300/300/300
1700000004.200000,1,300,300,116.93,231.33,1,2065,300/300/300/300/300/300
1700000004.250000,1,300,300,117.33,55.28,0,2065,300/300/300/300/300/300
1700000004.300000,1,300,300,117.65,52.26,0,2065,300/300/300/300/300/300
1700000004.350000,1,300,300,117.86,238.99,1,2265,300/300/300/300/300/300
1700000004.400000,1,300,300,118.07,55.39,0,2265,300/300/300/300/300/300
1700000004.450000,1,300,300,118.23,52.15,0,2265,300/300/300/300/300/300
1700000004.500000,1,300,300,118.42,251.86,1,2395,300/300/300/300/300/300
